DOY2,HR2,H,LE,FC,USTAR,CO2,H2O,T_SONIC,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,NETRAD,PPFD_IN,PPFD_OUT,G_1_1_1,G_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1
11,22.25,-58.6084625,-13.31724,-4.545402,0.045175,401.2299,3.622087,10.07005,0.19519615,0.270717035481181,0.251613008562099,0.0839668190524131,5.627075,28.5035,99.2965605,-110.235,0,0,-3.9223,-4.242475,7.951275,11.009,12.7845,13.44375,14.5515,10.182,11.73,12.7105,13.181,14.302,10.69925,12.274,12.892,13.5725,14.35625,10.822,12.28175,13.0045,13.4045,14.07725
11,22.75,-65.2875725,-12.203748,-2.287037,0.0541425,399.935375,3.69344,9.55695000000001,0.31699625,0.256867648223859,0.263644366363833,0.0786027281333508,5.699,28.962,99.3138785,-106.93,0,0,-4.3038,-4.875275,8.4935,10.85,12.58425,13.30825,14.5515,9.9985,11.511,12.67,13.1715,14.2915,10.36775,11.9205,12.60875,13.531,14.3615,10.658,12.179,12.9345,13.37175,14.08725
11,23.25,-62.62272,-17.6810375,-3.449593,0.04818,401.4428,3.709392,9.50360000000002,0.17843865,0.296047758793618,0.2801046714009,0.0719733512514013,5.6495,29.1665,99.3236915,-109.26,0,0,-4.638,-5.490625,8.235,10.7295,12.42775,13.186,14.5715,9.68675,11.23625,12.62575,13.161,14.2905,9.9635,11.67725,12.54025,13.4525,14.3715,10.476,12.089,12.87175,13.339,14.10725
11,23.75,-77.65814,-11.65417875,-5.097212,0.042025,399.5328,3.60254875,9.03775000000003,0.25314135,0.240727639994315,0.298239407489887,0.0825798880686258,5.369,29.192,99.3490675,-111.04,0,0,-4.93385,-6.0679,6.3847,10.65075,12.275,13.06275,14.57675,9.50325,10.9535,12.50925,13.1415,14.3005,9.70675,11.45675,12.4575,13.38075,14.37675,10.275,12.00625,12.809,13.299,14.1145
12,0.25,-72.04841,-10.82945,-1.4475825,0.05642,409.96835,4.62294,6.27920000000003,0.2496302,0.246208391135862,0.269515079157418,0.0738372941334655,2.5854,37.131,99.15904125,-106.54,0,0,-13.824,-7.0044,4.29425,6.581375,9.05,9.22625,10.555,5.5645,7.09,8.4,9.185,10.4375,7.132125,8.57625,8.82875,9.36,10.5375,5.842,7.6466,8.456,9.1475,10.15
12,0.75,-68.15765,-15.42126,-2.36560875,0.0458,408.8274,4.41766225,5.75100000000002,0.2670218,0.229889158520446,0.253179315519792,0.0667297486488472,2.8442,35.429,99.1665375,-103.9125,0,0,-14.122,-7.306,4.142625,6.39475,9.084,9.1325,10.575,5.337875,6.89,8.30875,9.14,10.455,6.890125,8.41875,8.79875,9.32125,10.55,5.67425,7.5139,8.385,9.102,10.1655
12,1.25,-64.41545,-15.9918625,-1.8551235,0.05579,409.089,4.423857,5.68545000000004,0.162603,0.229002171917721,0.306633233213386,0.0829909222401822,3.2658,31.8,99.15511,-101.3,0,0,-14.44,-7.5908,4.095625,6.246625,9.09,9.03875,10.58125,5.1725,6.69475,8.18625,9.0875,10.455,6.647875,8.3275,8.765,9.26,10.55625,5.5325,7.39575,8.314,9.058,10.174
12,1.75,-80.08571,-10.402781,-0.962831,0.0557375,408.1373,4.064431,5.50112500000003,0.2223855,0.276758505266975,0.304913005017081,0.0843976015478578,3.2816,32.15325,99.13711625,-100.68,0,0,-14.75,-7.856,4.00925,6.14625,8.98,8.94875,10.59375,5.03975,6.51925,8.0775,9.0175,10.44875,6.443375,8.21125,8.73875,9.22125,10.55875,5.39335,7.2807,8.2655,9.0125,10.1725
12,2.25,-73.70451,-30.15914,-2.4498305,0.0547125,408.05295,4.59601375,5.62912500000003,0.192775375,0.26495495212297,0.266571022152371,0.0916699508014525,2.687,33.14225,99.132215,-105.9,0,0,-15.106,-8.08,3.8505,6.04975,8.9095,8.85625,10.60375,4.8775,6.3635,7.960375,8.955,10.4525,6.274625,8.072,8.71875,9.19125,10.56875,5.2512,7.1663,8.2365,8.9685,10.181
12,2.75,-71.589545,-17.90366,-0.296517825,0.052425,407.7807,4.680668,5.43812500000003,0.175539375,0.257477083892722,0.261945882566014,0.0788193899103702,2.3614,34.17625,99.1422825,-102.25,0,0,-15.266,-8.278,3.582875,5.897,8.797,8.78375,10.5975,4.6845,6.19225,7.833375,8.885,10.4425,6.14275,7.919875,8.67,9.15375,10.56875,5.11255,7.0517,8.2075,8.9145,10.1795
12,3.25,-59.27572,-13.852096,-5.197955,0.05334,410.569375,4.6159725,5.409,0.2227722,0.248993608792828,0.291549159179353,0.0748185701287294,2.72125,35.03075,99.1489975,-100.42,0,0,-14.994,-8.462,3.415375,5.726375,8.6705,8.71625,10.60125,4.49775,6.021625,7.739875,8.84375,10.44625,6.049625,7.78525,8.60375,9.1275,10.575,4.99085,6.944,8.16925,8.862,10.178
12,3.75,-58.71746,-10.5639375,-5.644049,0.0475,410.471975,4.2177085,4.77480000000004,0.2053824,0.225330894224225,0.249099218726992,0.0619087298746841,2.37725,35.9645,99.15126625,-98.32,0,0,-14.928,-8.63,3.41,5.605125,8.564,8.655,10.605,4.31625,5.84975,7.642625,8.745,10.44625,5.909625,7.656375,8.55125,9.0975,10.58125,4.90985,6.8497,8.0824,8.8165,10.178
12,4.25,-79.34514,-16.4554875,-1.8195161,0.04669,409.4065,4.20598125,4.98620000000003,0.220238975,0.287733650580395,0.30529442900756,0.0728790594398517,2.226625,35.57675,99.10169,-106.145,0,0,-15.11875,-8.78875,3.4274,5.519,8.462,8.568,10.6,4.1436,5.6742,7.5702,8.652,10.44,5.7468,7.4988,8.484,9.08,10.572,4.855075,6.7503,7.98165,8.763,10.17425
12,4.75,-64.99938,-24.376715,-1.3465145,0.0483225,411.0265,4.02218225,4.97395000000005,0.08574,0.188722529766624,0.285656160831883,0.0682104874944715,1.58975,36.024,99.072514,-107.38,0,0,-15.3025,-8.93625,3.3032,5.4904,8.40375,8.472,10.602,3.9948,5.529,7.4914,8.596,10.442,5.594,7.3546,8.42,9.036,10.578,4.90625,6.65665,7.879175,8.7265,10.16775
12,5.25,-69.213995,-11.60730825,-2.049193,0.04856,408.543,4.0409505,5.48452500000003,0.22006595,0.251430179789,0.21497506254606,0.0687143938094428,1.909,35.641,99.05093,-111.125,0,0,-15.49,-9.14875,3.18,5.4684,8.37975,8.374,10.596,3.8402,5.3828,7.3792,8.518,10.438,5.405,7.2134,8.362,8.978,10.58,5.054125,6.642425,7.800525,8.71125,10.15775
12,5.75,-62.2443,-12.896805,-2.238595,0.042295,410.7362,4.0724165,5.22840000000003,0.2127192,0.312277521666666,0.226772852719319,0.0638940509453838,1.92925,35.35225,99.037456,-114.3625,0,0,-15.64,-9.34,3.077,5.361,8.31275,8.274,10.586,3.734,5.2644,7.2884,8.458,10.422,5.267,7.091,8.298,8.934,10.58,5.2137,6.652825,7.74785,8.68775,10.14775
