DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE,G_2_1_1,G_3_1_1
1,5.25,0.35,0.24,-1.070605,-2.9,-4.1,-2.0026,414.9,5.15994,90.24616,-2.960952653,0.29385,-1.783945,-2.84,-2.56,90.35,0,0,0,275.6,300.1,-28.97667,-0.27,0.154,0.9565,1.747,2.92,4.382,0.0991,0.41187,0.46,0.1,1.049,0.607,-4.10113,-2.0026
1,5.75,0.39,0.27,-1.42,-3.191815,-4.1,-2.002315,416.20367,5.11238,90.21,-3.1647,0.287925,-2.04513,-2.985,-2.6237,90.166665,0,0,0,274.248335,300.91,-27.985,-0.35,0.13,0.907,1.728,2.905,4.3875,0.09694,0.396445,0.4352,0.09455,1.0424,0.9815,-4.39391,-2.002695
1,6.25,0.33,0.239995,-1.19285,-3.1923,-4.1,-2.0026,416.72544,5.1,90.22437,-3.0807,0.29329,-2.19915,-2.86,-2.63,90.255835,0,0,0,273.66667,300.23,-28.97333,-0.392,0.118,0.895,1.75,2.93,4.37,0.105518745,0.41689,0.43373,0.1029,1.06255,0.909,-5.12644,-2.002705
1,6.75,0.275,0.19,-1.14899,-3.0512,-4.1,-2.0026,416.97242,5.32756,90.22315,-3.20502075,0.2863,-2.315735,-3.08,-2.51,90.169335,0,0,0,278.46667,300.22,-27.73,-0.432,0.1,0.8805,1.739,2.907,4.38,0.101,0.42,0.48014,0.1,1.11,0.697,-5.025235,-2.002785
1,7.25,0.2,0.045305,-0.964,-3.19307,-4.10231,-2.00217,417.1,5.25,90.245,-3.2914,0.29,-2.8965,-3.16,-2.623,90.191835,0,0,0,275.8,299.3,-26.35667,-0.4865,0.1135,0.87,1.7245,2.913,4.3685,0.0912,0.399825,0.4763,0.10548,1.058,0.3725,-5.12692,-2.00294
1,7.75,0.1,0.3,-0.939,-3.19551,-4.1,-2.0024,417.05,5.285,90.27,-3.41911,0.29825,-2.54421,-3.21,-2.7565,90.17,11.97,0,0,270.718335,299.18335,-27.023335,-0.515,0.092,0.8575,1.703,2.89,4.363,0.09112,0.39528,0.43,0.1,1.07205,0.6835,-5.12696,-2.00318
1,8.25,0.121,0.17644,-1.44,-3.2,-3.9647,-2.0026,416.5,5.1,90.2815,-3.13677,0.32885,-2.2884,-3.011,-2.53,87.998335,63.125,29.7205,11.5325,264.333335,299.4,-4.657,-0.513,0.01,0.8235,1.669,2.88,4.323,0.09,0.42,0.4465026305,0.0996,0.977445,-0.076,-5.07569,-2.00301
1,8.75,0.2505,1.0115,-0.68947,-3.2,-3.1,-2.00234,415.7,5.3,90.304,-2.59287,0.42911,-1.31458,-2.625,-1.728,84.856,159.2,83.83,24.55,267.9,303.866665,26.563869695,-0.452,-0.017,0.7495,1.452,2.77,4.29,0.092,0.407465,0.449555,0.12104,0.85,-0.416,-5.0586,-2.00263
1,9.25,0.111,3.79662,3.2383,-3.19439,-3.1,-2.00209,414.3,5.6,90.304,-1.14,0.41227,0.53973,-1.605,-0.61,81.0967,238.2,117.79333,29.836,266.2,309.56665,59.27,-0.25,0.06,0.773,1.48,2.77,4.248,0.13,0.385475,0.414905,0.155,0.76989,-0.53,-4.188495,-2.002115
1,9.75,-0.0365,9.9065,13.9,-3.1917,-3.0761,-2.0018,410.73209,5.7,90.302,0.90763,0.37,1.8713,-0.74,1,75.876665,338.965,174.835,38.22,267.53,313.56667,98.13,-0.04,0.194,0.78,1.488,2.76,4.269,0.16,0.44134,0.42624,0.22,0.790307824,-0.0435,-3.28056,-2.00208
1,10.25,-0.43,13.0412,31.32,-2.12797,-2.1,-2.0012,407.9,5.7,90.28915,1.87065,0.368155738,2.794835,0.245,1.64,71.56,433.53,226.23,42.21835,274.365,319.01835,140.105,0.25,0.402,0.8145,1.529,2.795,4.317,0.19,0.53,0.5,0.28,0.91191,-0.32,-2.75059,-2.002095
1,10.75,-0.595,15.225,43.61,-2.127915,-2.1,-2.000555,406.6,5.7922847815,90.28961,2.48,0.38268,3.88363,1.14,2.38,67.40333,522.815,276.135,47.05,273.51,322.325,163.871665,0.539,0.55,0.9125,1.549,2.7985,4.353,0.21,0.53,0.55,0.32,0.98,-0.3945,-3.07522,-2.002705
1,11.25,-0.785,16.20095,58.1285,-2.126035,-2.05061,-2,406.6,5.9,90.24125,2.95,0.387743878,4.96568,1.65,3.032,64.041665,583.695,305.33,50.325,275.07,326.285,176.29,0.995,0.7725,1.013,1.637,2.8725,4.376,0.225095,0.59,0.59493,0.35,1.059724602,-0.5425,-2.545245,-2.002735
1,11.75,-0.74,15.7231,54.55,-2.1,-2,-2,405.473715,5.895455272,90.18005,3.62,0.3862,5.06095,2.5,3.74,60.6865,658.73,339.63,54.25,275.97,329.97,197.5,1.513,0.9375,1.068,1.6615,2.9185,4.461,0.238985,0.59,0.65,0.36,1.16585,-0.706,-2.93896,-2.00325
