DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,H,LE,SH,SLE,PA,RH,T_SONIC,TA,VPD,NETRAD,PPFD_IN,PPFD_OUT,TS_1_3_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,NEE
1,0.25,1933.2772085,396.3224399,-0.1421912285,-0.1615,4.110037016,-0.0561,-0.5345,-36.059760815,-0.898611368,-0.4828058045,-0.2401780455,100.9,65.75,4.62605810000002,-3.2875,1.00379101485,-58.035318335,0,0.360303617,2.22346146768207,-0.338910559468925,-0.2351478255,0.408218044490365,0.102939416,0.314160014896393,0.114563559466024,0.6689245325,-0.081023907
1,0.75,1937.640383,395.83874935,-0.2412327275,-5.08,3.8553632235,-0.0679,-0.57725,-35.856087705,-1.043858096,-0.300010084,-0.201979595,100.9,67.25,4.77496760000002,-3.5375,1.1010807265,-57.778185,0,0.378848617,2.20067009834426,-0.264020998335933,-0.2364928225,0.336890599271242,0.1021746765,0.354706835561766,0.106197140357508,0.603990125,-0.192142994
1,1.25,1924.6684185,396.57455795,-0.129579021,-9.065,3.901995082,-0.05375,-1.12,-37.347178065,-0.6389985875,-0.6421029465,-0.200520277,100.9,69,5.05371270000001,-3.6875,1.117673469,-55.361001665,0,0.38149795,2.11995648751702,-0.446432088961157,-0.2191088175,0.429519087800812,0.132771275,0.340082959137735,0.153554315775427,0.812361019,-0.196965497
1,1.75,1944.0161815,397.40526135,-0.11782252,-6.74,4.0087419235,-0.0307,-1.27,-46.183927855,-0.529095038,-0.89153716,-0.243368888,100.9,69.5,4.75229415000001,-3.8125,1.03026289,-50.886698335,0,0.3821603,2.19429901431477,-0.528695499345569,-0.225724569,0.466258428554704,0.126398866,0.334695967751792,0.112568157086576,0.741431829,0.0595118435
1,2.25,1948.49136,398.0627287,-0.088989549,-5.93,4.0342587785,-0.01885,-0.9635,-38.695369915,-0.6754218715,-0.7600381395,-0.0425,100.9,71.125,4.35907610000004,-3.8625,1.0501065905,-51.27263833,0,0.3589789665,2.15634129127438,-0.620111235851616,-0.174370908,0.476312054464799,0.1552513475,0.335943008133323,0.164927990367482,0.7908415595,-0.0685773405
1,2.75,1923.41702075,398.67188195,-0.2718897,-6.4275,4.042083374,-0.03845,-0.55275,-32.155383275,-0.437810999,-0.9389529365,-0.182481118,100.9,70.5,4.20844700000001,-3.9875,0.994458175,-50.87552,0,0.3556673165,2.04404104143623,-0.764359831490447,-0.188689776,0.472953604518265,0.1500492155,0.369478236071845,0.215742901302105,1.083248598,-0.171985582
1,3.25,1925.118727,397.5468544,-0.342074506,1.24,4.010487734,-0.04585,-0.302,-21.39432688,-0.331743754,-0.753879541,-0.3399800425,100.9066956,68.375,3.95238900000004,-3.925,1.1763505125,-53.323131665,0,0.361628267,1.99728804872275,-0.769959366739117,-0.1648456785,0.432487147023819,0.165631275,0.407914640365181,0.221875321441063,0.942970589,-0.254966795
1,3.75,1932.549692,397.80878015,-0.222551783,-7.94,3.993949096,-0.086174246,-0.566,-24.527550905,-0.344497541,-0.742766188,-0.225718228,100.8657903,69.875,3.44483465000002,-3.875,1.1243807575,-60.838836665,0,0.35897895,1.92655669712003,-0.867844543339829,-0.186409504,0.424190587409072,0.132698755,0.383473264082048,0.179261183819095,1.1217735855,-0.1956525185
1,4.25,1937.6218685,396.02982945,-0.2492154935,4.84,3.906801843,-0.02,-0.04851,-19.49916557,-0.567510333,-0.7950057545,-0.1149695215,100.8972987,69.625,3.0239368,-3.95,1.1053606725,-63.879666665,0,0.336460067,1.92135586712839,-0.912807037848914,-0.2233569745,0.480507385917531,0.1858135895,0.409127632133552,0.260187966102611,0.9582012775,-0.1256641795
1,4.75,1930.009743,396.14204855,-0.3763775885,5.245,3.886944909,-0.016495,-0.4775,-18.338699115,-0.0439,-0.443694565,-0.178206396,100.9352241,71.25,3.29334580000002,-3.9875,0.97128537645,-49.957463335,0,0.3391093,1.90655870764384,-0.903689216038038,-0.225397502,0.461672069214046,0.162238494,0.414329468195939,0.207122589058993,0.88842606,-0.3539975885
1,5.25,1936.88739,396.5053527,-0.2882291575,-13.05,3.978133659,-0.04595,-0.543,-16.95055348,-0.163471115,-0.2707499955,-0.2790755695,100.9297563,70.125,3.54428095,-4.0375,0.9346316033,-54.573041665,0,0.3437455835,1.79432949694625,-0.870497087923505,-0.1988091125,0.460817125935703,0.1324343945,0.401543173137452,0.177211110476118,0.857706217,-0.242461418
1,5.75,1948.545321,397.0358279,-0.1542515515,1.95,3.9782126675,-0.0318,-1.33,-22.916447995,-0.591613825,-0.4937200075,-0.2697770665,100.9319268,70.375,4.00527770000002,-4.4125,1.03524914245,-53.52127,0,0.3556673665,1.53012731580599,-1.15971327053682,-0.19123926775,0.443955955798753,0.1519833595,0.462397554938421,0.176032376398642,1.0036015125,-0.16591574
1,6.25,1954.45387,396.5642628,-0.23970884725,4.145,3.941826417,-0.0492,-1.04125,-23.2202284475,-0.2838518565,-0.681779219,-0.4242463545,100.9231878,68.25,3.73931870000004,-4.8875,1.0813352305,-58.34186667,0,0.3576543,1.36463052652748,-1.5488933246058,-0.2106623735,0.420542428624986,0.15522035725,0.35291312387908,0.188665957468908,1.229152902,-0.186869962
1,6.75,1955.86160825,396.82278435,-0.2793163965,-4.655,3.954886855,-0.06995,-0.608,-19.5897450625,-1.0847503825,-0.4715176695,-0.2895952775,100.9,70.25,3.79405145000001,-5.125,1.039027794,-55.41953667,0,0.411964745,1.26406937226194,-1.60504240100983,-0.2089088335,0.387317442549198,0.1407720815,0.367149127291395,0.166179134692119,0.8335058155,-0.222792605
1,7.25,1948.3215015,397.19673735,-0.1699191285,4.845,4.0643985565,-0.02265,-1.81,-17.22734415,-0.8265084725,-0.2329747495,-0.152304173,100.9,72.625,3.86232360000003,-5.3,1.03041859405,-34.60454667,4.3,3.2175645,1.11685415133863,-1.70982572582701,-0.215115911,0.456029264201989,0.14674362925,0.427961876585013,0.172789448038198,1.06325981,-0.238037472
1,7.75,1952.997437,397.05428975,-0.277569306,-9.155,4.248128956,-0.134007628,-1.0765,-6.07765274,-0.7011126955,0.1117789135,-0.1308253615,100.9,71.5,4.21501645000003,-4.85,0.9593902626,-7.5065945,20,6.591436,1.46789307879888,-1.02680633317074,-0.21641739125,0.574755233770785,0.172395648,0.49290768986014,0.243762426810432,1.3738764905,-0.266292698
