DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
1,0.25,0.58067130725,1.58903,1.01427275,0,-12.725,-0.83325,83.3,0.15144,100.6,0.46225,-1.332,0,0,-2.10775,0.82112075,-2.728,-2.34675,-2.7485,-4.41025,-2.960875,-3.63275,445.95,0.7136025,-2.75175
1,0.75,0.5427114485,2.081445,1.248790283,0.005,-12.625,-0.83975,82.85,0.14413,100.6,0.449,-1.0305,0,0,-2.106,0.773,-2.7595,-2.29025,-2.78125,-4.4625,-2.93325,-3.698,446.35,0.783715,-2.7595
1,1.25,0.7045237165,1.826647491,1.142143885,0,-12.66,-0.84425,83.075,0.14832,100.6,0.425,-0.87,0,0,-2.10775,0.74775,-2.7925,-2.30575,-2.7985,-4.51975,-2.936875,-3.716375,447.3,0.7221375,-2.76475
1,1.75,0.72051995475,1.92165,1.287268175,0.01475,-12.8225,-0.8515,83.575,0.161041106,100.6,0.43,-0.70325,0,0,-2.10325,0.737939,-2.8405,-2.3185,-2.81275,-4.55725,-2.96875,-3.7285,445.475,0.684,-2.7645
1,2.25,0.62712208225,1.04072092975,2.0238052835,0.013,-12.7625,-0.84975,83.5,0.16714197425,100.6,0.44625,-0.713,0,0,-2.0975,0.7971975,-2.86975,-2.3505,-2.8125,-4.58475,-2.963375,-3.732875,446,0.564875,-2.76875
1,2.75,0.57349873525,1.59129,1.2964625,0.038,-12.245,-0.842,83.175,0.149187,100.6,0.42875,-0.662,0,0,-2.105,0.7114995,-2.848,-2.335,-2.80675,-4.58775,-2.95625,-3.754375,446.8,0.59818,-2.77425
1,3.25,0.6060428235,1.889865,1.58925,0,-12.03,-0.83775,83.075,0.1434758305,100.7,0.43225,-1.14375,0,0,-2.12125,0.7411475,-2.8465,-2.32775,-2.82375,-4.5985,-2.96225,-3.77375,447.45,0.57413,-2.7745
1,3.75,0.575304868,1.63029,1.716008823,0,-12.3725,-0.83525,83.1,0.1758,100.7,0.41875,-0.69,0,0,-2.1185,0.77219,-2.848,-2.31175,-2.81625,-4.60275,-3.000625,-3.788875,446.8,0.5111025,-2.77475
1,4.25,0.5006172935,1.566692731,1.424206478,0.01525,-12.76,-0.83975,82.95,0.135514486,100.7,0.397,-0.585,0,0,-2.11875,0.77194275,-2.847,-2.33625,-2.81525,-4.6115,-2.996375,-3.784625,448.1,0.575405,-2.77475
1,4.75,0.6666497755,1.89429,1.44307,0.054548,-12.9175,-0.8345,83.025,0.139,100.7,0.4045,-0.765,0,0,-2.115,0.766923,-2.87375,-2.36475,-2.8205,-4.644,-2.97725,-3.784625,449.275,0.557065,-2.777
1,5.25,0.7224415015,1.51365,2.015635,0.045,-12.9225,-0.8315,83.2045,0.141772,100.625,0.42525,-0.78,0,0,-2.118,0.77905,-2.89025,-2.3665,-2.8315,-4.64,-2.97525,-3.773625,449,0.5722975,-2.782
