DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,CH4,FCH4,SC_1_1_1,SC_2_1_1,NEE,G_2_2_1,SH_1_1_1,SH_2_1_1,SLE_1_1_1,SLE_2_1_1,WS_1_1_1,WS_2_1_1
1,0.25,0.1146895,404.278015,-17.0835,-0.077574,-2.534,-2.9155,-2.54,0.283068,0.648594,0.51773,0.350267,100.400002,77.465,-20.7799995,-22.2157,0.180018,-3.14,-0.828,-0.466,-0.141,1.14,2.68,-0.138,0.097,0.391,0.861,1.972,3.249,0,0.366355,205.75851,221.4538185,0.751588,2021.25,2.80292,-0.001741,0.002052,0.109122,-2.6975,-0.3793205,-0.303861,-0.004232,-0.023184,4.1814,3.680135
1,0.75,0.092025,404.29599,-14.20175,-0.0174675,-2.521,-2.911,-2.5405,0.291518,0.714262,0.500512,0.349527,100.400002,77.505001,-20.9700005,-22.1416,0.183063,-3.136,-0.831,-0.466,-0.141,1.14,2.679,-0.138,0.096,0.391,0.861,1.972,3.248,0,0.3691585,204.714625,223.057432,0.7500255,2027.599976,2.385945,0.007116,0.0043225,0.091365,-2.697,-0.422201,-0.2643565,-0.015178,-0.0230065,4.0513,3.927915
1,1.25,0.104374,404.238007,-16.5642005,-0.037807,-2.521,-2.904,-2.5405,0.3106825,0.7406485,0.55479,0.3720345,100.400002,77.674999,-21.054999,-22.1052495,0.168875,-3.139,-0.831,-0.464,-0.14,1.139,2.678,-0.138,0.095,0.391,0.861,1.971,3.248,0,0.4074765,206.212819,221.5593425,0.766991,2024.3649905,2.33285,0.00523,0.0040775,0.102737,-2.7045,-0.396808,-0.276948,-0.024824,-0.022117,4.2115,3.87957
1,1.75,0.093923,404.0149995,-19.70805,-0.032918,-2.507,-2.9025,-2.539,0.3116205,0.7550765,0.5437935,0.377498,100.400002,77.59,-21.174999,-22.3250505,0.179716,-3.137,-0.836,-0.463,-0.14,1.139,2.678,-0.138,0.095,0.39,0.861,1.971,3.247,0,0.374299,205.843078,220.488538,0.7458,2027.86499,2.58736,0.009096,0.006733,0.101977,-2.7045,-0.5510725,-0.329792,-0.0077105,-0.0294045,4.1679,4.04241
1,2.25,0.111041,403.964996,-16.28955,-0.038351,-2.506,-2.895,-2.54,0.2974445,0.724507,0.577525,0.369488,100.400002,77.3499985,-21.2799995,-22.219,0.198365,-3.145,-0.84,-0.462,-0.14,1.139,2.677,-0.138,0.094,0.39,0.86,1.97,3.247,0,0.419626,203.190538,219.813676,0.730659,2031.655029,1.65088,0.018315,0.009911,0.116142,-2.704,-0.560145,-0.391765,-0.019403,-0.031615,4.1613,3.950035
1,2.75,0.113226,403.81601,-17.9394995,-0.01741,-2.495,-2.8765,-2.54,0.288678,0.733235,0.556042,0.362271,100.450001,77.545002,-21.445001,-22.2763,0.186647,-3.153,-0.836,-0.461,-0.14,1.137,2.676,-0.139,0.094,0.39,0.86,1.97,3.246,0,0.418224,205.4664085,219.673363,0.7198945,2037.75,3.19699,0.013149,0.00554,0.119853,-2.7045,-0.422118,-0.2470125,-0.022785,-0.02482,4.238,3.98988
1,3.25,0.118473,403.915985,-15.7227,-0.0594845,-2.502,-2.8585,-2.544,0.2864995,0.6744,0.521551,0.363889,100.5,77.619999,-21.52,-22.278,0.1741625,-3.157,-0.835,-0.46,-0.14,1.137,2.676,-0.139,0.094,0.39,0.859,1.969,3.245,0,0.3948595,206.249456,219.9185365,0.721734,2039.400024,2.09197,0.006514,0.0047955,0.120672,-2.7,-0.912546,-0.147104,-0.040133,-0.018052,3.977,3.90179
1,3.75,0.109186,404.2259975,-14.92755,0.0103225,-2.493,-2.86,-2.538,0.311541,0.738533,0.5585545,0.3782035,100.5,77.494999,-21.4400005,-22.2342005,0.175424,-3.129,-0.828,-0.46,-0.141,1.137,2.675,-0.139,0.094,0.39,0.859,1.969,3.245,0,0.386916,205.814584,220.523922,0.724253,2038.180054,2.776565,0.01191,0.0020035,0.096311,-2.7045,-0.902778,-0.2363575,-0.008159,-0.020739,3.9666,3.90313
1,4.25,0.10232,404.1894985,-13.3681,-0.023339,-2.497,-2.8405,-2.5375,0.314124,0.724913,0.538389,0.3890435,100.5,77.535,-21.4099995,-22.0857495,0.1644385,-3.148,-0.824,-0.46,-0.142,1.135,2.674,-0.139,0.094,0.389,0.858,1.968,3.245,0,0.3929905,208.624892,221.124031,0.754686,2036.859985,1.70673,0.003964,0.0037625,0.1036,-2.7055,-0.622044,-0.2720995,-0.0145365,-0.0187335,3.949,4.226585
1,4.75,0.1064995,404.423996,-11.5835,-0.0308335,-2.505,-2.819,-2.5375,0.2961165,0.679337,0.5435035,0.375043,100.484409,77.57,-21.49,-22.12465,0.155994,-3.139,-0.82,-0.46,-0.143,1.132,2.673,-0.139,0.093,0.389,0.857,1.965,3.244,0,0.418224,207.8760885,220.973945,0.737468,2038.619995,1.92468,0.0059125,0.0045595,0.1174915,-2.7055,-0.3631455,-0.193315,-0.0082825,-0.0169885,4.0304,4.14004
