DOY2,HR2,CO2,H2O,FC,LE,H,USTAR,WS,U_SIGMA,V_SIGMA,W_SIGMA,PA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,G_3_1_1,SW_OUT,LW_IN,LW_OUT,NETRAD,SW_IN
1,0.25,362.1984421,3.83368253,0.559562564,2.213462607,-5.8270201995,0.164930759,1.793375239,0.608922135,0.63448,0.26317,98.51328112,-4.4905741335,0.3272227,0.11335915,1.215113,-6.07676,-4.268764,-5.073548,0,273.2159,293.0181,-13.195,0
1,0.75,361.700404,3.805233607,0.54452311,1.923438536,-6.64070477,0.1663208745,1.90386,0.599503246,0.614221773,0.27136,98.54494071,-4.541108269,0.32501725,0.1130342,1.224498,-6.014146,-4.286018,-5.052026,0,272.5131725,292.0709443,-12.6082,0
1,1.25,361.51161075,3.836883299,0.478495805,1.695051704,-5.967969835,0.17570574,1.904178592,0.625076774,0.618082833,0.27024,98.52471793,-4.7483577625,0.32359195,0.11311665,1.234065,-6.054843,-4.398666,-5.1503195,0,273.4798,291.6297,-12.8997593,0
1,1.75,362.7835425,3.849581771,0.5483842675,1.9055983455,-6.1670062535,0.1716190295,1.95581,0.63790547,0.661035481,0.28128,98.49861229,-4.832139578,0.3230626,0.1120325,1.244721,-6.07451125,-4.435442,-5.1210755,0,275.3287,292.6421,-11.7319877,0
1,2.25,362.46494855,3.86503731,0.529976732,2.165024502,-6.732601234,0.179324162,1.83865381,0.6199132115,0.6072220065,0.2641905845,98.553348,-4.731534263,0.3197048,0.108722587,1.255516,-6.0850575,-4.432232,-5.149523,0,271.99625,291.42185,-10.7227265,0
1,2.75,362.11620835,3.898493799,0.457610493,2.239145359,-5.53927,0.1669187995,1.897850602,0.6257571975,0.64009,0.280638426,98.5522189,-4.843664884,0.3203739,0.1079641,1.265018,-6.107656,-4.408297,-5.323188,0,274.8516,291.069,-10.7090464,0
1,3.25,362.41454515,3.959448497,0.46436619,2.5144176225,-5.85328169,0.17118746,1.86136,0.632970494,0.64729,0.266602579,98.54964702,-5.128522935,0.3212634,0.108275,1.175709,-6.101636,-4.350639,-5.127372,0,274.3666628,290.2805,-10.8292,0
1,3.75,361.33096775,3.9270199915,0.5250051595,2.324190211,-6.2078002325,0.180935719,1.8169888,0.651380323,0.63444,0.27129,98.55153777,-5.326012898,0.3198561,0.1089645,1.177325,-6.104592,-4.434357,-5.1055725,0,272.7824974,289.3608856,-10.53019,0
1,4.25,361.80919635,3.917994915,0.497824638,1.73883712,-5.884081406,0.1765363945,1.846725298,0.6304928195,0.6104743485,0.268645,98.54589006,-5.179423597,0.3179936,0.108476,1.1794385,-6.0495935,-4.419393,-5.1192215,0,271.5817,289.1131,-10.9486,0
1,4.75,361.60406535,3.925954332,0.566763641,1.3054168515,-4.695159336,0.176141906,1.828415356,0.596590201,0.629841708,0.26042,98.55286321,-5.475871487,0.3165761,0.1072322,1.1805105,-6.07168125,-4.484612,-5.111969,0,272.8209706,289.417,-10.576,0
1,5.25,361.9053161,3.891974392,0.56254,1.640315411,-5.120115139,0.170654754,1.7723968845,0.593396238,0.610460464,0.264777028,98.541974065,-5.347649241,0.314808,0.1057828,1.180296,-5.9937635,-4.44385,-5.122375,0,275.2445,289.3294,-9.761,0
1,5.75,362.33032635,3.9162506245,0.46103,1.985599497,-5.200293948,0.1743541975,1.7942912705,0.591447611,0.64057,0.26333003,98.55433099,-5.5731077365,0.3128308,0.1043246,1.1794155,-5.9236465,-4.4514945,-5.17453,0,276.0089,289.338,-9.4445,0
1,6.25,361.8464644,3.961410622,0.53782362,1.758128621,-4.879753472,0.1634781725,1.80913,0.585205,0.5943460105,0.249286058,98.57869466,-5.6237604955,0.3116394,0.1030168,1.178281,-5.87196775,-4.468113,-5.246177,0,275.1942,288.9441,-8.4681,0
1,6.75,361.9347217,3.822325161,0.6037799325,1.679915159,-5.080510444,0.166822097,1.78851,0.579073332,0.612924,0.25129,98.55711932,-5.525842844,0.3059533,0.1018501,1.1761775,-5.994691,-4.457305,-5.288139,0,275.6676405,289.7489,-8.656624,0
1,7.25,362.4589421,3.858132762,0.5946176245,1.609308148,-5.051426043,0.184028586,1.88854014,0.582480061,0.61974,0.250151672,98.52191266,-5.461563483,0.30266205,0.1006154,1.264771,-5.920374,-4.495429,-5.234706,0,277.1188718,289.3665,-8.9463,0
1,7.75,362.5202227,3.79523184,0.531819093,1.399651754,-4.4021268455,0.18136,1.795056652,0.610093306,0.61303069,0.267425593,98.51214585,-5.3559,0.3065727,0.10910205,1.00493725,-5.786491,-4.492395,-5.0058235,0,275.0954841,292.02855835,-9.74171,-0.00918455
1,8.25,362.17857025,3.85521444,0.53651616,1.56002,-4.134566197,0.183333986,1.8245125475,0.6315327345,0.617883087,0.275626386,98.55020221,-5.424875903,0.30732265,0.1050532,1.024159,-5.6723795,-4.4623935,-5.016503,3.377101,276.1861825,291.5428,-5.75782588,5.072037
1,8.75,362.1185939,3.7396209885,0.45506,3.0628053235,-2.463358844,0.18457,1.834231519,0.626626956,0.65624,0.277450913,98.6205953,-5.433733904,0.3121158,0.10448865,0.9891108,-5.781455,-4.525366,-5.023701,13.51528,275.093,293.6661729,3.15328405,23.09832
1,9.25,363.24736785,3.798342972,0.43857,5.174867411,-1.281881468,0.2127481535,2.05496,0.721187009,0.693938926,0.313744449,98.611575215,-5.033456864,0.3172028,0.1019989,1.043544,-5.74985925,-4.5138605,-5.067191,29.56745,277.38145,295.6451,16.018214365,46.61612
1,9.75,362.56744705,3.876117868,0.335494084,6.709719417,2.2213456355,0.22103,2.115380346,0.75428,0.759262256,0.326875027,98.608702005,-4.836452008,0.3230895,0.10307605,1.079258,-5.887662,-4.505221,-5.029361,49.624034615,276.7493,297.1415759,31.0167075,86.22419
1,10.25,362.0337574,3.850586091,0.273646246,9.299196651,5.628824846,0.232947513,2.314573722,0.81404,0.796142272,0.33677,98.63185452,-4.389191595,0.3229695,0.1083871,1.1358195,-5.768035,-4.506199,-5.041033,70.423934195,274.3874,301.055881,46.8529025,101.4824
1,10.75,362.02997155,3.997572676,0.175514514,11.07604055,12.28164666,0.2398,2.344985833,0.876496273,0.89336,0.36587,98.62190544,-4.020536911,0.3326546,0.1145529,1.178078,-5.73578,-4.459662,-4.9587615,82.541523085,274.68564475,302.51905,65.25713,127.6106
1,11.25,361.8313064,4.095703797,0.176628571,12.906,13.690707365,0.2492079695,2.487637065,0.9198146475,0.9422439425,0.3667411245,98.60817801,-3.5044331245,0.331314,0.1179013,1.169769,-5.331917,-4.206883,-4.8600575,91.335217955,273.1794,304.755909,79.44735,163.6612
