DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
1,0.25,0.068,-8.59874997925,0.352,0.758,-19.6755,0.0145,3.966855985,420.668895075,-3.416333392,225.44166665,0.1629166675,78.7441660025,1.4,98.753125
1,0.75,0.059,-8.578437488,0.301,0.2645,-16.949,-0.5975,4.05783911575,427.647950425,-3.47649995825,226.5916708,0.189916661,80.92333467,1.4,98.76075
1,1.25,0.06625,-8.78,0.266,-0.091,-13.4475,-0.166,3.930787428,426.9954031,-3.26508335025,227.6416658,0.12041666075,78.12916683,1.4,98.7305
1,1.75,0.056,-9.0495,0.27025,0.635,-12.198,-0.31175,3.7273654945,425.964952225,-3.04949998325,226.40833415,0.1755,77.2258324975,1.4,98.7625
1,2.25,0.05675,-8.6839167,0.308,0.28425,-28.181,-0.545,3.935784372,426.907851675,-3.099000067,226.5333367,0.20299999,77.2750015,1.375,98.8085
1,2.75,0.053,-8.938999884,0.32,0.608,-13.7575,0.4235,4.5363405495,422.99377255,-2.995666667,225.03333,0.172333327,77.784998665,1.375,98.8365
1,3.25,0.079,-9.209000034,0.4205,0.013,-15.786,0.308,3.708121783,422.410224925,-2.95366660025,225.058332475,0.19599999,79.2616665,1.375,98.824
1,3.75,0.052,-9.180666684,0.332,0.9895,-13.545,2.915,3.9055453,421.65073225,-2.9031666415,232.849998325,0.19599999,81.175001335,1.35,98.884
1,4.25,0.058,-9.456666634,0.372,0.47625,-12.39,0.6835,3.8743520375,421.6818424,-2.82366663325,228.699995825,0.18783332425,81.0374999975,1.35,98.766
1,4.75,0.0625,-9.173916716,0.272,0.498,-8.1335,1.466,3.746822668,421.6161724,-2.93641664975,226.800001675,0.19599999,83.733335,1.22875,98.8065
1,5.25,0.07175,-8.315,0.3545,0.934,-9.6665,-0.259,4.125418471,423.2682413,-2.6155833835,228.01666835,0.19349999475,80.81583542,1.3,98.7825
1,5.75,0.059,-7.64133335,0.27,0.06675,-13.709,0.271,4.169037409,422.9938233,-3.07166665,222.73333585,0.19599999,77.664999835,1.25,98.809875
1,6.25,0.055,-7.7950834,0.253,0.4935,-10.614,0.3395,3.69767379725,421.618857525,-2.77891671675,225.608332525,0.19599999,78.201667835,1.25,98.831
1,6.75,0.072,-7.8535,0.38925,0.1435,-14.405,1.22925,4.3891102465,422.353204225,-2.8099999915,227.174999975,0.1937499925,73.96916667,1.2,98.8905
