DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_1_1_1,VPD_2_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,PPFD_DIF_1_1_1
1,0.25,1.87361325,431.5910775,17.4951529999999,8.38334559999999,7.24208875,6.228705,2.0146562,100,97.7,1.7372325,2.4055868,5.308645,-0.00458549715,0.95531,5.0899185,102.427,3.67235,5.2139,0.005625,0.267625,2.45255,328.0075,330.33,0.615,1.31185,2.3295,1.80625,0.472
1,0.75,1.4009745,431.21771,14.8650419999999,12.51771,7.2563768,6.10084125,2.0154648,100,97.68,1.664294,2.36107615,5.1425425,-0.0043742228,0.947491,4.877994,102.40925,3.69575,5.052875,0.004,0.3801,2.469,327.11,330.34,0.6099,1.3486,2.3335,1.8716,0.478775
1,1.25,1.9237216,430.6519475,16.1559175,22.17287775,7.155306,6.109187,2.375709625,100,97.78,2.255651,2.3782494,5.228325,-0.0037025872,0.9671523,5.171894,102.49175,3.47095,5.95375,0.004,0.391899999999996,2.392,327.75,331.71,0.6186,1.3394,2.3265,1.903,0.477775
1,1.75,2.13094555,430.3177,14.2685795,10.9447425000001,7.025101,6.12463125,2.7309263,100,98.14,2.3614445,2.41607185,5.75461999999999,-0.00320824175,0.9248225825,4.4446902,102.49175,3.532375,6.08975,0.004625,0.450999999999998,2.4561,328.02,332.21,0.6214,1.3271,2.3186,1.8578,0.48465
1,2.25,1.85243575,431.42641,31.0837384999999,10.774955,7.048852675,6.1535255,2.486645775,100,98.08,2.4138855,2.305195625,5.947845,-0.00366793010000001,0.92093005,4.89145369999999,102.4,3.70799999999999,6.262,0.004625,0.4771,2.3986,326.4125,332,0.627974999999999,1.320625,2.339125,1.899375,0.47355
1,2.75,1.892566275,432.1542125,24.4519504999999,17.3486075,7.22880405,6.16194125,2.77178705,100,98.12,2.21879425,2.45944735,5.52785,-0.00408725845,0.93111219,5.11718125,102.4,3.88889999999997,6.527875,0.004,0.397799999999999,2.4284,326.58,331.23,0.636624999999999,1.34025,2.355,1.947625,0.47
1,3.25,1.873437725,431.087,24.4029960000001,23.36765625,7.046127,6.115255,2.298884,100,98.36,2.0276625,2.444232,5.98556499999999,-0.0026015,0.9125833825,4.5070403,102.4,3.45669999999999,6.81425,0.004625,0.3897,2.4235,329.52,331.03,0.636424999999999,1.25175,2.330625,1.869375,0.4802
1,3.75,1.67907865,430.483485,30.4724909999999,13.888896,6.864014,5.97108425,2.01966685,100,98.4,1.9729765,2.10979665,6.45511499999999,-0.003191280175,0.94439457,4.6383805,102.4,3.43625,7.290125,0.005,0.4393,2.4656,327.1075,330.65,0.637025,1.25685,2.33555,1.89475,0.4803
1,4.25,1.956008,431.1639625,28.6809999999999,11.3887845,6.8869469,5.8802365,3.0484,100,98.48,2.127546,2.1411528,5.0158595,-0.00398064627500001,0.946532465,4.5467068,102.4,3.703175,7.345125,0.004,0.4255,2.4509,328.11,330.92,0.632025,1.363,2.34175,1.882625,0.471
1,4.75,1.6271008,431.84908,42.237776,7.07879762500001,7.0049128,6.004445,3.562750125,100,98.48,2.159065,2.0759495,4.6161654,-0.003042122,0.916644585,4.3165466,102.3925,3.90539999999999,6.769625,0.002,0.4341,2.4286,325.77,331.44,0.6235,1.3791,2.34265,1.838,0.468775
1,5.25,1.49545725,432.31966,24.04483725,7.31341752499999,6.879532,6.0661025,3.03682987499998,100,98.16,2.172775,2.06189605,4.78171,-0.00322203275,0.9153954625,4.68745475,102.37,3.85089999999998,8.275,0.002,0.629299999999997,2.3867,322.77,331.12,0.612825,1.33675,2.322875,1.7715,0.47155
1,5.75,1.6571325,431.7569,50.974126,9.435988,6.71896485,6.0606235,2.4310033,100,98.24,2.17408275,2.00630162499999,4.2413995,-0.00490059724999999,0.907628895,4.540419,102.3885,3.7499,10.5325,0.004625,0.624499999999999,2.4168,325.975,329.84,0.628825,1.357375,2.358125,1.838875,0.477
1,6.25,1.297548425,430.013635,41.89891175,15.553513,6.672812675,6.027714,1.735405125,100,98.28,2.30320475,1.948251375,4.83715,-0.003772047975,0.920766525,5.1359822,102.4,3.40472499999998,10.1575,0.006,0.565499999999999,2.4244,321.48,328.84,0.611,1.3328,2.32635,1.81535,0.481425
1,6.75,1.685933475,432.07385,47.0603092500001,8.7075779,6.883681,6.018568,2.146444625,100,98.16,2.309205,2.188493,5.49460999999996,-0.003168153275,0.91936457,4.8537498,102.4,3.16097499999996,11.88375,4.1625,1.1933,2.6106,323.41,326.88,0.61375,1.30635,2.3232,1.83675,0.701999999999998
