DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY,TS
1,0.25,0.215728,0.2622185,0.2341678465,0.02203525,-0.7878175,0.22330625,4.105486,0.07705025,397.134524,4.8576445,-4.0645795,-1.64009574975,-0.6736691,-0.805701075,-0.443940575,-0.175670325,-7.075365375,92.062,0.6089085,4.050875,0,0.108579671,276.21,290.27,0,99.0151,-5.676466635,-1.131965277
1,0.75,0.212066704,0.2779275,0.26338798225,0.01819247975,-1.17764625,0.2576755,4.1295,0.06792325,397.519304,4.721858,-4.08625,-1.8845481805,-0.685142025,-0.801851675,-0.440167225,-0.169933625,-7.36176665,92.3563825,0.5860222325,4.058875,0,0.11105,275.61,289.4089,0,98.97216,-5.65555,-1.125743333
1,1.25,0.213933,0.29251725,0.28288575,0.0244769835,-0.33362025,0.150132,3.7345525,0.06827125,397.40034,4.6718555,-4.120525,-1.9922525,-0.7207127,-0.81464535,-0.4355023,-0.163737625,-6.4718822,92.5235,0.56293434475,3.842,0,0.1181775,274.349925,289.48235,0,98.99465,-5.698,-1.159003333
1,1.75,0.2185765,0.2642305,0.27609847,0.0246120055,-0.396153,0.13893175,4.37428675,0.05635825,397.02717825,4.44895425,-4.402875,-1.708013503,-0.6618866,-0.8169419,-0.3712314,-0.15148575,-6.26861,92.531,0.56609312375,3.993641,0,0.1062,274.980525,289.2125,0,99.04418,-5.7205,-1.2
1,2.25,0.2218656855,0.280236,0.27423375,0.0228295,-0.274319,0.155702,4.451774,0.059593,397.050031,4.748744,-4.59285,-1.9375433885,-0.683632,-0.8218207335,-0.3271963,-0.1691285,-5.9794,92.3845,0.57233885975,3.994114,0,0.1310159,276.0175,289.915,0,99.06057,-5.5544,-1.208803333
1,2.75,0.2248765,0.25567675,0.264156,0.02051359675,-0.356216,0.1444795,4.52855,0.0433355,397.776733,4.76295,-4.36515,-1.8526997695,-0.7324952,-0.8474092165,-0.372768,-0.205030975,-6.5931,92.46625,0.597938393,4.082624,0,0.118590575,275.045,290.4375,0,99.0812925,-5.5303,-1.21352
1,3.25,0.226037,0.2890315,0.2839965,0.02766102575,-0.497621,0.130649,4.350634,0.0600515,397.765982,4.88083,-4.64225734,-1.84866100175,-0.7302449,-0.8665257,-0.3651021,-0.19808715,-6.870179745,92.731,0.57612040775,4.139304052,0,0.09240334825,275.18,290.17,0.002038902,99.0144,-5.5923,-1.217912303
1,3.75,0.22278,0.30112625,0.25307610675,0.025148663,-0.367417,0.154587,4.22324225,0.0399655,397.31566575,4.57602175,-4.70075,-1.87694930175,-0.767414,-0.8755099,-0.4313036,-0.2192621,-6.07699,92.50675,0.554170799,4.137100568,0,0.094982262,274.4761,289.4053,0,98.98427,-5.514389826,-1.222133333
1,4.25,0.23027225,0.27073,0.24886,0.0278456285,0.22958,0.118732,4.239765,0.0700025,397.555895,4.266621,-4.7191,-2.00992404425,-0.840564,-0.8791581,-0.4291258,-0.2431718,-6.0798,92.23837,0.557019577,4.194875,0,0.101695,274.53,289.4,0,99.015,-5.5289,-1.249081111
1,4.75,0.22944525,0.26362925,0.262481,0.0253760135,-0.0757015,0.129,4.351212,0.0329165,397.48405995,4.27195725,-4.847,-2.05290778625,-0.8365325,-0.8958463,-0.4459707,-0.2332592,-5.24708,92.1235,0.5320573595,3.942875,0,0.1095775,275.325,289.075,0,99.0411175,-5.6993451,-1.275933333
