DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS_1_1_1,NEE
1,0.25,1951.34005737305,428.832000732422,-0.261445999145508,0.161039648577571,0.765608012676239,-0.00376796507043764,-0.34688401222229,-12.7684001922607,-1.70177999138832,-1.04349520802498,-0.118222497403622,93.8116111755371,77.9842262268066,-20.4827556610107,0.216755498200655,184.10400390625,240.587993621826,-30.585551738739,-0.000782446004450321,-0.655938029289246,0.154155746102333,-0.14197725430131,0.493134915828705,0.148213997483253,0.397377133369446,0.222993817180395,1.37557563185692,-0.120141245424747
1,0.75,1955.51501464844,428.582000732422,-0.0755640268325806,-0.093659296631813,0.722096025943756,0.00391815509647131,-0.476756751537323,-17.7467246055603,-1.49085998535156,-1.61394000053406,-0.244666993618011,93.8366794586181,77.7995109558106,-20.5157451629638,0.218726009130478,189.202995300293,238.293502807617,-29.8568592071533,-0.000476145010907203,-1.13495999574661,0.173331007361412,-0.193232748657465,0.450544118881226,0.144993007183075,0.406787395477295,0.169667020440102,1.38005328178406,-0.0664686989039182
1,1.25,1957.35757446289,428.576995849609,-0.275508999824524,0.88930304348469,0.705676019191742,-0.000309923001623246,-0.375501006841659,-15.6960999965668,-1.32993996143341,-1.26886999607086,-0.167042002081871,93.8297157287598,77.3823623657227,-20.9760036468506,0.214142251759768,180.152496337891,238.360252380371,-31.0372920036316,-0.000779332520323806,-1.07014501094818,0.248429756611586,-0.204939998686313,0.489945106208324,0.154530003666878,0.336506776511669,0.18630101531744,1.3738879263401,-0.178610794246197
1,1.75,1957.7250366211,429.153015136719,-0.193138003349304,0.648390725255012,0.664699971675873,-0.0209312997758389,-0.326588004827499,-16.3327999114991,-1.20075500011444,-1.21719998121262,-0.17026250064373,93.8058032989502,77.5125484466553,-21.5414943695068,0.196277007460594,185.347503662109,235.448501586914,-28.257791519165,-0.000715414993464947,-0.844976991415024,0.187103003263474,-0.136942248791457,0.435736320912838,0.157242253422737,0.338064737617969,0.174720242619514,1.42114436626435,-0.187408164143562
1,2.25,1957.34997558594,430.398010253906,-0.112744003534317,-0.151659993454814,0.648027002811432,0.0199360996484756,-0.0887178014963865,-17.3400001525879,-1.37876999378204,-0.949657499790192,-0.0881851017475128,93.777400970459,77.7396831512451,-22.2077465057373,0.181347995996475,192.894752502442,239.265495300293,-36.9630527496338,-0.000614364733337424,-0.514890506863594,0.279562007635832,-0.180691003799438,0.447459489107132,0.141128495335579,0.324542760848999,0.182343080639839,1.52578368782997,-0.0635235011577606
1,2.75,1955.17004394531,429.473487854004,-0.0280602481216191,0.797721274197102,0.651133745908737,-0.00631042500026524,-0.281463742256164,-21.7824993133545,-1.75309246778488,-0.352019011974335,-0.0561373997479677,93.7722473144532,78.3181858062744,-22.7482509613037,0.17544300109148,190.020004272461,241.068504333496,-39.3434448242188,-0.000575306010432541,-0.532725989818573,0.133600499480963,-0.153462253510952,0.476700082421303,0.136181749403477,0.40308391302824,0.154417883604765,1.49048584699631,-0.00501397138577886
1,3.25,1954.7749633789,429.304260253906,-0.121907752007246,-0.070865496993065,0.600324019789696,-0.0120029500685632,-0.18257225304842,-15.085000038147,-1.39112997055054,-0.62585499882698,-0.0622940007597208,93.888484954834,78.8451328277588,-22.9197444915771,0.16873275116086,181.810245513916,244.437004089355,-31.5585041046143,-0.000597733756876551,0.0049067013897002,0.485679000616074,-0.187208995223045,0.432437270879745,0.135435998439789,0.380385339260101,0.166742920875549,1.23806503415107,-0.0656985007226467
1,3.75,1952.57495117188,428.876487731934,-0.216301750391722,-0.294312499463558,0.567407488822937,0.00744525762274861,-0.1055519990623,-15.6834750175476,-1.86037504673004,-0.599939018487931,-0.0484550753608346,93.8732776641846,79.0834770202637,-23.5475025177002,0.174878001213074,188.191497802734,248.504753112793,-20.2323818206787,-0.000541790504939855,-0.229450993239879,0.409030012786388,-0.173522252589464,0.494674921035766,0.138430505990982,0.333297669887543,0.209744967520237,1.19094637036323,0.0101930201053619
1,4.25,1953.16003417969,428.743011474609,-0.215739000588655,-1.91069000959396,0.562206000089645,-0.00569284986704588,-0.203446991741657,-19.5609254837036,-2.33763992786408,-0.882697522640228,-0.0998276509344576,93.8454303741455,78.70405960083,-23.329999923706,0.179801754653454,183.21900177002,248.862503051758,-22.0621471405029,-0.000476775487186388,-0.229955494403839,0.253248989582062,-0.136777997016907,0.449789054691792,0.146345749497414,0.374050840735435,0.200359035283327,1.6305547952652,-0.0620783297345042
1,4.75,1952.11999511719,428.87550354004,-0.121866246685385,-0.5183365046978,0.562171518802642,-0.00792927504517138,-0.204085748642683,-16.5043246746063,-3.37995004653931,-0.581566989421844,-0.126550994813443,93.8334617614746,78.3398227691651,-22.511999130249,0.176191002130508,181.331497192382,247.258499145508,-23.8235397338868,-0.000571292010135949,-0.174575999379158,0.208755001425743,-0.160478994250298,0.532221868634224,0.157504007220268,0.380281187593937,0.20543048158288,1.62125998735428,-0.102521952241659
