DOY2,HR2,CO2,FC,G,H,LE,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,FCH4
1,0.25,449.415,0.126148,-3.8962952165,-1.42239,0.381634,0.7798985,0.07830575,101.4845085,95.1550985,4.120379,-7.07,0,0.380408,316.055,328.42,3.66394,5.1267,4.993188,6.63061,7.78
1,0.75,453.374,0.2776625,-3.9125275,-3.03019,0.08915,0.656676,0.0835477,101.475735,95.136927,4.18888,-7.1276995,0,0.38678,315.13,328.753,3.537804781,5.078926,4.976623,6.62833,7.78
1,1.25,454.5,0.2103725,-3.8722455,-2.76403,0.0996213,0.905003,0.0779,101.476226,95.21,4.078475,-7.514788,0,0.3902285,313.634537,328.004,3.529,5.054913,4.998545,6.6216615,6.2681775
1,1.75,452.167,0.175233,-4.0847248335,-2.559965,-0.0651,0.7433065,0.09212255,101.471724,94.79,3.894696,-6.505484,0,0.378589,315.068344,327.0230405,3.571,5.054864,4.9560015,6.63333,4.756355
1,2.25,453.779,0.0293419,-4.1376703335,-1.75109,0.0787265,0.6186015,0.0798815,101.4649245,94.635,3.909041,-5.7163835,0,0.3414095,316.3555755,326.522467,3.23631,5.07842,5,6.615705,2.82386
1,2.75,453.844,0.158712,-4.1767888335,-2.66709,-0.0556,0.633961,0.0851,101.4731095,95.21,3.9506745,-5.48,0,0.371523,316.336018,327.035,3.444275,5.051992,5.027703,6.624725,0.891365
1,3.25,455.04,0.203252,-4.2991338335,-1.711205,0.2974,0.783255,0.0818501,101.4876415,95.350128,4.0410365,-5.462282,0,0.3891425,314.911227,326.865,3.335,5.081855,5.0350705,6.622494,0.2781825
1,3.75,453.402,0.161172,-4.6466665,-1.949965,0.353771,0.59795,0.06606525,101.4986355,95.228741,3.85564,-5.455,0,0.390984,317.84658,327.294944,3.351,5.105024,5.0301045,6.617725,-0.335
1,4.25,452.108,0.1248,-4.6159833335,-2.508395,0.1230965,0.707355,0.07752745,101.5378745,95.5441965,4.0354295,-4.7580855,0,0.37551,319.325696,328.130297,3.26989,5.1453385,5.052554,6.59448,1.7725
1,4.75,451.207,0.141768,-4.6541886665,-2.275535,0.0615,0.565602,0.0778978,101.5431575,95.4926335,4.0638,-4.455,0,0.381283,318.8283455,327.005,3.44052,5.13,5.054146,6.603246,3.88
1,5.25,450.5645,0.0914499,-4.6022748335,-1.61701,0.126913,0.487593,0.0688823,101.53,95.7736055,3.905,-4.550191,0,0.396769,318.4237545,327.93,3.49,5.126526,5.028816,6.5903,3.855
1,5.75,448.973,0.20544,-4.64023,-1.36449,-0.1724835,0.557741,0.0763,101.497836,95.306187,3.891819,-4.93739,0,0.389501,317.833902,327.713,3.5008559,5.13,5.006819,6.6061165,3.83
1,6.25,450.7495,0.1233755,-4.73,-1.66554,-0.07216345,0.524953,0.0691472,101.4865415,95.225106,3.92962,-4.1127,0,0.383872,317.504,328.3015,3.36227,5.12,5.012672,6.60011,3.296195
1,6.75,450.753,0.1727655,-4.5503466665,-2.26703,0.288651,0.759249,0.0786,101.4824565,95.105,4.0419505,-4.33586,0,0.3990485,317.9819745,328.1268165,3.43021,5.12,5.02634,6.6046595,2.76239
1,7.25,450.235,0.141658,-4.3749033335,-2.564035,0.064,0.6430075,0.0714487,101.50922,94.8631175,4.159172,-4.513385,0,0.396245,316.2236175,328.344,3.3391432,5.07,4.964371,6.58237,3.751195
1,7.75,454.036,0.1387185,-4.3904781665,-2.99924,0.296664,0.541083,0.07330185,101.514858,95.12101,3.991623,-4.4144825,0.262433,0.3931755,315.6344145,328.0975,3.4900931,5.0833265,4.9425005,6.60371,4.74
1,8.25,458.621,0.1802305,-4.5253323335,-2.552645,0.0313,0.676486,0.0776028,101.523007,95.25482,3.8203865,-2.108056,4.625,0.7587125,316.211212,328.340915,3.638145,5.072355,4.9186895,6.61,6.53159
1,8.75,460.9365,-0.0704,-4.5740803335,-0.870232,0.6650315,0.587515,0.08202755,101.5809975,94.8173095,4.3047215,4.89,17.271366,2.2424785,315.633455,329.846,3.96597,5.052866,4.961593,6.59069,3.595865
1,9.25,464.866,-0.01119225,-4.3510466665,-0.1149505,0.9701845,0.600073,0.0740689,101.6005755,93.9512455,4.555,14.975,37.86655,3.730832,317.8612115,332.1584645,4.296,5.017385,4.9006135,6.596225,6.9137
1,9.75,463.777,-0.1201325,-3.882752167,2.0005,2.485445,0.761343,0.0829877,101.638527,91.972521,4.91,34.31305,58.8192205,5.506765,319.217934,334.385834,4.61303,5.00113,4.905359,6.623715,3.92
1,10.25,458.832,-0.1073665,-3.4465295,2.7591,4.4496,0.882896,0.110484,101.65,91.400003,5.40904,48.773122,75,6.9788775,319.956361,336.275,5.018335,4.9895245,4.8976725,6.640115,7.85
1,10.75,457.675,-0.1803035,-2.6425421665,4.85119,7.99355,1.0585,0.111987,101.625,89.026084,5.825,61.7658,96.874372,8.46585,321.4615,339.1145,5.47875,4.980315,4.916029,6.636575,3.87071
1,11.25,449.7545,-0.0646,-1.3472596665,8.02514,9.66472,1.0512655,0.116856,101.6116825,86.48,6.145,75.779118,113.905552,9.1150715,321.8754365,341.953,6.063,4.995474,4.943603,6.64327,3.48736
1,11.75,445.8795,0.01138385,-0.5725,10.5507,15.3873,0.885574,0.123613,101.6202825,85.422819,6.285,83.199434,125.1195,10.782969,320.9890995,343.60434,6.3961542,4.98093,4.97032,6.63362,3.76988
1,12.25,440.2315,-0.185053,0.3071485,12.58165,16.583,0.809733,0.11242,101.583527,85.1765445,6.351238,79.876482,131.849142,11.361057,320.2718505,344.263123,6.5011,5.0546,5.010203,6.6447145,0.842
1,12.75,439.991,-0.181454,1.201505,12.61485,18.76955,0.960394,0.125165,101.575391,83.3018685,6.849204,88.5913,137.815,10.8426265,322.88,345.7495,6.8856287,5.035388,5.01328,6.641855,3.79447
1,13.25,435.907,-0.465364,2.4494393335,9.293075,22.357,1.18396,0.118465,101.5872495,83.745,6.896475,77.6057125,121.6161995,10.432786,323.625,346.0016075,7.15756015,5.020013,5.008031,6.63461,5.138795
1,13.75,434.357,-0.1455145,3.099303,6.4912,14.6506,1.03073,0.1187465,101.585,82.45469,7.1700675,65.546476,112.054209,10.06,322.198332,346.544414,7.19319295,5.049418,5.024503,6.620965,4.49
1,14.25,430.188,-0.334246,3.5716665,4.166515,15.114,1.37627,0.13017,101.57,82.6583535,7.200188,53.7669625,98.4621775,9.4,323.31,347.088593,7.4567652,5.11868,4.9851265,6.6254,2.090615
1,14.75,427.897,-0.010336,3.7908335,3.917025,10.22001,1.15386,0.130331,101.5599175,83.395725,7.305,36.0236,83.635,6.83853,322.4009345,346.081471,7.43083,5.125,4.9743865,6.640301,4.057055
1,15.25,426.399,-0.204526,3.9106223335,-0.7564,7.307405,1.2256,0.121816,101.558011,83.3288175,7.085,20.3663385,57.5553455,5.265,317.9714185,344.1922765,7.08009,5.145,4.997402,6.627945,3.855
1,15.75,427.669,-0.0358,3.810776,-1.0814,4.310185,1.20547,0.11341,101.5495495,85.221315,7.101905,7.95,34.075,3.598728,317.373,342.726094,7.07759,5.119385,4.989475,6.671065,6.42321
1,16.25,426.835,0.04426205,3.594325,-3.2725,2.58699,1.085485,0.109636,101.5178175,86.705,6.5656105,-6.854202,14.26565,2.105,317.7168425,340.53,6.74034,5.14643,5.004502,6.66421,5.25
1,16.75,426.262,0.0657877,3.0643166665,-2.751945,0.398465,0.937392,0.07975985,101.5086085,88.3662685,6.114221,-16.00655,1.855253,1.022205,316.5255,337.45549,6.3887533,5.18476,5.0253465,6.66404,3.83
1,17.25,426.627,-0.00112798,2.3409458335,-3.37506,0.1780255,0.7390495,0.07945,101.4838585,90.29,5.51,-20.5925,0,0.452734,315.175,335.9422545,5.86295,5.185,5.0317985,6.69125,4.15
1,17.75,431.605,0.0952767,1.2783335,-2.384785,0.621993,0.5854575,0.07945,101.5152185,91.279022,4.8790865,-18.2344,0,0.460713,314.9861015,334.540736,5.36009,5.199735,5.0295995,6.663587,2.18843
1,18.25,431.731,0.1237515,-0.065,-2.67981,0.331861,0.6196835,0.07425,101.4882505,92.428701,4.75,-17.7386,0,0.430379,315.445,332.208552,4.7976049,5.25397,5.068633,6.645,7.34
1,18.75,435.1095,0.201838,-0.5038755,-2.97556,0.695737,0.540932,0.0789,101.488191,93.1826795,4.665,-15.363053,0,0.5026295,314.18573,331.3085,4.8441802455,5.262177,5.0781495,6.661715,2.20869
1,19.25,437.1735,0.1771,-0.9375,-2.05984,0.262113,0.753127,0.0765,101.4784515,93.988342,4.5249565,-14.067091,0,0.448628,318.027,331.7655,4.41999,5.14,5.04963,6.663655,8.41
1,19.75,438.48,0.220563,-1.7337493335,-1.867115,0.224486,0.611002,0.0770548,101.4602935,94.2423335,4.435,-15.610049,0,0.3892465,315.520528,329.8935,4.4418,5.15325,5.100589,6.64228,3.73
1,20.25,439.575,0.132089,-2.1336675,-2.844205,0.137194,0.457153,0.0690652,101.464894,94.48435,4.12,-15.8718,0,0.4640035,314.2710585,330.355,4.4282247,5.216892,5.118593,6.65199,2.511885
1,20.75,441.6475,0.1190845,-2.3345,-2.99684,0.0123307,0.542521,0.0671857,101.4712065,94.8268435,4.085,-14.333391,0,0.386671,316.5491945,329.3158415,4.222364364,5.19,5.102951,6.6294545,2.605
