DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT
2,4.75,80.355,-22.2185,1.24015454545455,1.2996,222.3825,216.2,5.5306,0.1462055025,0.213094065
2,5.25,81.57,-22.265,1.26822045454545,1.61835,220.6025,216.19,5.5306,0.17366577,0.2097067325
2,5.75,80.235,-22.752,1.29628636363636,1.3846,220.3125,216.905,5.5306,0.149248205,0.2267893125
2,6.25,79.275,-23.31575,1.32435227272727,0.986225,217.4375,210.1575,5.5306,0.18451363,0.2020394025
2,6.75,80.3125,-23.86975,1.35241818181818,1.6512,215.865,211.7425,5.5306,0.1456698325,0.206649735
2,7.25,79.755,-23.20025,1.38048409090909,1.2225,218.3575,215.5825,5.5306,0.1841120175,0.25552608
2,7.75,79.755,-23.3065,1.40855,1.1185,218.6275,215.3475,5.5306,0.15629548,0.3280554
2,8.25,80.37,-22.8355,1.230675,1.550625,220.1025,215.2275,5.5306,0.369615185,0.7840122775
2,8.75,81.8125,-21.61175,1.5834,3.295775,220.8575,216.875,5.5306,4.870364625,7.243285375
2,9.25,81.83,-21.16925,13.44725,18.288,223.0275,220.2,5.12075,21.54461375,26.7328705
2,9.75,80.215,-22.22525,43.5635,49.2819999999999,221.1225,217.86,3.857,59.5916905,64.36992075
2,10.25,81.155,-22.65525,65.54475,62.61425,220.0875,214.995,5.09904999999999,111.52544325,118.391655
2,10.75,79.9875,-23.1655,78.59875,91.565,218.9,216.0275,15.2345,181.956295,175.1482775
2,11.25,81.4775,-21.46925,111.4125,124.3875,224.7275,221.02,4.29174999999999,253.2599625,227.574795
2,11.75,81.1425,-22.37,124.4075,161.5825,226.8525,222.875,5.33825,343.6891875,277.1237375
2,12.25,80.7925,-22.4645,127.665,163.9125,227.8725,224.2025,12.426,389.8004,317.67082
2,12.75,80.355,-23.72525,130.9275,176.5125,223.65,218.8575,18.965,406.1258075,360.1511125
2,13.25,83.3225,-21.012,135.795,189.0375,229.73,225.2775,19.285,424.633425,385.1234625
2,13.75,81.06,-22.31975,134.0125,184.9325,228.9925,223.65,18.23,438.71643,388.9671625
2,14.25,81.625,-21.967,131.75,196.2625,227.8825,221.8125,15.86975,396.61164,391.8123475
2,14.75,81.2825,-21.191,121.68,188.13,226.05,220.0025,32.13325,414.162445,376.6765725
2,15.25,79.7675,-23.392,108.1,168.9625,222.64,216.67,29.15775,380.65037,348.590495
2,15.75,81.1025,-21.6385,98.3975,157.8225,221.65,213.6825,21.757,332.18659,311.2206225
2,16.25,78.855,-24.39525,83.96,129.0425,219.47,212.505,9.46349999999997,259.2098375,257.57622
2,16.75,79.365,-23.64975,62.69875,96.1,218.255,211.63,4.17282499999999,211.880935,202.8882775
2,17.25,79.3375,-23.82175,45.717,68.58525,216.8925,210.8225,2.4436,121.8899675,132.69878
2,17.75,79.7125,-23.8545,25.8165,36.9375,215.055,209.575,6.3171,66.60020975,74.16398675
2,18.25,78.6375,-24.299,7.7067,12.174,214.3025,208.9375,7.87045,30.68222925,32.971277
2,18.75,79.16,-24.52325,1.661075,3.32795,213.8575,209.695,6.277925,8.574678475,9.2939435
2,19.25,79.89,-23.314,1.60958,0.99965,215.4875,210.985,6.277925,0.924698712499999,1.24274455
2,19.75,79.6575,-23.7515,1.558085,1.243425,214.8475,210.9225,6.277925,0.12659903825,0.22819249
2,20.25,78.9225,-24.25725,1.50659,0.7265,213.9575,210.075,6.277925,0.1327628575,0.207618765
2,20.75,78.6575,-24.5775,1.455095,1.10775,213.765,209.44,6.277925,0.116391455,0.205294715
2,21.25,79.895,-23.4275,1.4036,1.5222,217.2275,214.7875,6.277925,0.115146305,0.19977259
2,21.75,80.785,-22.46425,1.352105,1.42925,218.5375,215.9225,6.277925,0.1155022325,0.2026890025
2,22.25,81.2275,-22.44775,1.30061,1.3341,220.39,216.4275,6.277925,0.116805558,0.192789365
2,22.75,81.41,-22.26925,1.249115,0.84145,220.9975,217.0825,6.277925,0.10976635725,0.2161368475
2,23.25,81.68,-21.2615,1.19762,1.45995,224.545,219.36,6.277925,0.161994255,0.192183245
2,23.75,81.78,-21.32675,1.146125,1.88505,223.85,218.7625,6.277925,0.182683605,0.2187903375
