DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
6,13.25,318.938,0.8273915,13.5421,-2.192575,-3.186025,-0.0234,-0.41568875,380.10404165,1.57322677,7.349815,0.124048297,1.6466925,1.6620975,0.580227,2.4220609885,0.4269865,30.30388,1.0708925,31.58,7.158,85.1,34.352,47.3,45.8,30.47,41.32571,61.2481475,887.245,191.9639,547.5,1926.447,253.2458
6,13.75,310.1405,0.725918,13.815175,-2.44612,-3.14466,-0.0423,-0.46023075,380.3937283,1.567688745,7.257375,0.1105186225,1.675695,1.6388325,0.5764165,2.61007,0.4221695,30.68435,1.03834,31.88,6.769,85,35.242,48.01,46.43,31.38,21.4994425,60.975025,828.32645,184.525,507.7,1756.084,239.72445
6,14.25,288.207,0.357245,10.922451235,-2.784675,-3.0691425,-0.0353,-0.43893825,379.186673,1.522948795,7.34255,0.11156230125,1.653535,1.63297,0.57682,2.58685,0.4352345,30.9504,1.00925,32.24,6.495,85,36.129,47.95,46.06,32.23,13.7165,56.94075,753.54735,165.71835,454.1,1602.1255,217.6948
6,14.75,259.4633672,0.11984375,8.908265,-3.0138,-2.85631,-0.24903225,-0.4553185,379.445,1.45663049,7.095774871,0.116014929,1.64673,1.682255,0.56270325,2.6033,0.4626645,31.11789,0.94859025,32.2825,6.25375,85,36.65,47.72,45.58,33.02,14.473,51.6325,698.339175,154.4272,390.525,1532.0685,201.480425
6,15.25,237.00319685,-0.0166825,8.81684,-2.63565,-2.58808,-0.012275,-0.4284465,379.63031535,1.35354394,6.960645,0.106321374,1.6589125,1.5113325,0.55627275,2.6656959145,0.4271475,31.2226,0.8735825,32.3725,5.93525,85,37.39434084,47.305,44.58,33.215,21.142,41.2814575,577.5602,132.35085,306.3,1273.5115,173.05835
6,15.75,204.1089763,-0.3680235,8.008595,-1.788,-2.77463,-0.0204,-0.416135,379.449,1.3432544725,6.878885,0.08889797225,1.53197,1.50103,0.543604,2.8836075,0.4245325,31.2934,0.77181,32.5175,5.795,84.9,37.38175,46.215,42.8525,33.5325,22.088605,33.864515,484.89825,109.58015,235.525,1020.9165,138.9025
6,16.25,167.803,-0.402321,8.271386112,-1.336435,-2.23097,-0.0657,-0.41667075,380.2948092,1.0594931635,6.932143399,0.094403719,1.4875625,1.4626575,0.52601575,3.0000875,0.4057125,31.161475,0.67039625,32.2925,5.8295,84.9,37.341,44.95,40.775,33.84,17.439,26.996055,366.796725,86.3871075,149.625,790.432275,110.1481
6,16.75,129.25375,-0.515525,4.52719,-1.80536,-1.851185,-0.0247,-0.418425,380.43801145,0.8730873075,6.83879951225,0.094787575,1.4784275,1.3850175,0.50789675,3.1440632055,0.4275255,31.1534,0.54843325,32.02,6.00125,84.9,36.572,43.2975,38.9025,34,7.7136415,12.878,264.72525,62.439,84.175,608.72825,80.23579
6,17.25,90.4155,-0.7439465,3.29665,-1.57824,-1.5520075,-0.06125,-0.3799975,380.26,0.7172895,6.915866454,0.0777019615,1.357625,1.2716725,0.469792,3.3201125,0.395435,31.07965,0.4400285,31.725,5.9,84.9,36.378162535,41.2375,37.03,34.2025,-1.738168,5.07145,193.3355,45.465,19.425,430.10675,59.43349
6,17.75,52.0071,-1.15106,3.18870712675,-1.8800375,-1.107475,-0.040325,-0.37033575,380.0295394,0.481894655,6.85258,0.0801139785,1.2278575,1.1104825,0.4332305,3.225250684,0.37291275,30.78421,0.30805375,31.315,5.973,84.9,35.735636235,38.905,35.015,34.175,-8.14046925,-4.13815,114.2494,27.50228,-21.805,255.161175,32.987
