DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,10.75,-0.85805,-0.8873,-0.6012,-30.696625,0.0706,-0.674925,372.798525,0.19815,-30.4625,58.784725,3.95395,-15.364,55.251,0.30135,96.8,-4.87825,-3.84005,-3.26285,-2.1147,0.427,2.4365,-8.83,-3.62535,-4.144975,-1.622875,0.252875,2.48005,-10.484,-10.76625,0.1684975,0.29268
1,11.25,-1.001225,-1.176375,-0.794325,-26.44475,0.1086,-0.5656,371.92585,0.2192,-28.13,58.48745,4.4765,-14.521,53.9805,0.40995,96.9,-4.8888,-3.6916,-3.415625,-2.096325,0.25395,2.389875,-8.82,-3.5254,-4.3969,-1.6255,0.4507,2.53615,-9.869,-9.6855,0.19591,0.331525
1,11.75,-0.956875,-1.17845,-1.542925,-23.33925,0.132725,-0.3923,371.27985,0.2382,-28.91,77.215075,5.18475,-14.1955,52.449,0.49695,96.9,-4.62725,-3.7613,-3.39025,-2.2557,0.233,2.4038,-8.77975,-3.599925,-4.5082,-1.55145,0.40695,2.53715,-9.148,-8.8075,0.22505,0.4030875
1,12.25,-1.1279,-1.3564,-0.1824,-21.276875,0.143,-0.3721,370.7142,0.216375,-29.254,79.061825,5.36425,-13.869,51.1845,0.58715,96.9425,-4.404375,-3.751,-3.178475,-2.1945,0.290125,2.445125,-8.7565,-3.61165,-4.210175,-1.5578,0.40655,2.5456,-7.4266,-8.05875,0.23272,0.41038
1,12.75,-1.0856,-1.39005,-0.631,-27.312,0.128,-0.41055,371.3285,0.21885,-23.4575,82.6888,4.826,-13.294,49.8235,0.6316,97,-4.3606,-3.72,-3.3536,-2.2119,0.10725,2.39995,-8.75975,-3.4283,-4.3836,-1.84325,0.1453,2.4805,-6.8136,-7.61025,0.25548,0.45706
1,13.25,-1.15,-1.53435,-0.331225,-34.3995,0.12345,-0.24665,371.9034,0.20975,-26.77,80.9695,4.4555,-13.252,49.8625,0.6518,97.03145,-4.327625,-3.65335,-3.24905,-2.0688,0.2748,2.4068,-8.7635,-3.342,-4.5082,-1.734,0.45265,2.47455,-6.4209,-7.2285,0.2585875,0.440895
1,13.75,-1.038175,-1.470925,-1.2535,-32.292275,0.1354,-0.285325,372.0675,0.237,-20.8045,72.281,4.1814,-12.984,48.446,0.691,97.044525,-3.9496,-3.59875,-3.1032,-2.1682,0.22825,2.37325,-8.77,-3.2861,-4.11715,-1.771775,0.20825,2.47455,-6.32555,-6.708925,0.251875,0.438845
1,14.25,-1.1595,-1.1923,0.579,-50.2679,0.131625,-0.2772,371.58925,0.29945,-16.923,68.30925,3.3539,-12.69,48.12,0.6398,97,-4.1209,-3.52145,-3.1163,-2.0504,0.0475,2.39095,-8.7835,-3.33065,-4.001,-1.556775,0.32555,2.4795,-6.35535,-6.442125,0.22172,0.41006
1,14.75,-0.773,-1.17875,-1.3768,-45.175625,0.11615,-0.271925,371.76255,0.3219,-21.924,51.43875,2.8589,-12.85,47.71,0.572,96.97625,-3.88315,-3.43935,-3.000375,-2.0859,0.062125,2.39025,-8.7935,-3.10975,-4.1447,-1.5049,0.4009,2.6015,-6.52415,-6.301025,0.20723,0.405
1,15.25,-0.63465,-0.7416,-1.37775,-47.808625,0.128,-0.316925,371.72125,0.29625,-22.1425,38.780075,2.190925,-12.8745,48.10925,0.5575,96.9904,-3.8977,-3.38255,-2.94395,-2.062225,0.09425,2.382,-8.8265,-3.3656,-4.22395,-1.71475,0.409375,2.466375,-7.455875,-6.384225,0.192675,0.3952
