DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1
1,0.25,4.06535365485678,0.206196823364423,0.206632400322134,0.194845718619791,0.0199903416848532,0.181582365738139,0.906372079009343,0.00416453169996777,0.287452242477382,-13.7743915139913,-0.603773607921862,0.681252390877829,3.7,2.585,0.78,-0.8094,-0.8575,-0.8763,-1.2687,-2.78865,96.96502,68.225,1.448,-1.5,-0.69,-0.92,1.1,-2.63,2.6,-1.29,0.12,260.4,304.2,268.85,305.8,0.18,-0.02,0.06,-0.1,0.075,-0.03,-0.12,-0.1,0.444,0.703,2.283,3.1275,4.536,5.5625,7.601,8.931,10.4925,2.2735,0.994,2.306,2.1755,4.744,7.3355,8.463,12.358,0.524,0.829,2.006,2.7635,4.685,5.801,7.995,8.978,11.029,0.8935,1.5935,2.3005,3.1495,2.953,4.834,5.2545,5.669,8.1875,2.0135,2.623,3.2125,4.014,4.776,9.1805,8.1605,10.2535,-9.3435,-9.605,-4.8665,-58.09,4.16106557181688,4.15992710410282,4.43834595797766,4.20016609144089,4.11472745160377,4.19970577583095,4.69365438648395,4.19921569985836,4.6406451291174,418.010080521221,424.317785516646,420.483822803783,424.218993679782,420.396512557787,424.370543944426,421.111840412633,424.61738979599,421.505321913906,2038.78912714749,2032.55205976907,2034.83774528416,2032.13634955461
1,0.75,4.23001193241802,-0.318820495134161,0.190851067433381,0.198765064535892,0.0303159027754768,0.199976830860848,0.254014434024952,-0.0644225801578245,0.300868246610019,-13.0326037822784,-0.708951134981148,0.637396273192405,3.79,2.64,0.755,-1.0592,-1.1285,-1.0671,-1.3589,-2.7206,96.963855,70.03,1.218,-1.29,-0.445,-0.915,1,-2.67,2.6,-1.25,0.115,258.5,305,265.4,305.85,0.19,-0.02,0.03,-0.1,0.08,-0.03,-0.12,-0.1,0.4,0.687,2.2745,3.123,4.495,5.5635,7.599,8.944,10.505,2.2355,0.9895,2.282,2.18,4.745,7.338,8.462,12.357,0.5045,0.777,2.004,2.7555,4.676,5.801,7.984,8.977,11.027,0.873,1.584,2.2825,3.175,2.9505,4.838,5.2495,5.668,8.186,1.979,2.615,3.2025,4.0075,4.767,9.174,8.1585,10.2525,-9.442,-10.16,-5.043,-56.74,3.99079281535879,3.99590393635503,4.1416071801961,3.9165907363236,4.3994737815878,3.93804305540923,4.38034509545693,3.963719125726,4.38046522856441,418.005173087748,424.127523417958,420.905153290293,424.07628932246,420.822136621776,424.168668472046,421.571991469803,424.433528656755,421.558640763622,2031.81040119458,2031.29428920352,2031.18950973963,2031.67457181765
1,1.25,4.2167475326378,-0.515752924783328,0.198279978151121,0.208254673201356,0.0265295942348689,0.261962293148013,0.50074312636846,-0.0565382273962901,0.285387189008163,-14.8186962813585,-0.624577952785421,0.648299858063641,3.97,2.9,0.75,-0.9475,-1.152,-1.264,-1.45225,-2.7211,96.96118,71.23,1.1276,-1.39,-0.56,-0.89,1.1,-2.62,2.55,-1.28,0.14,255.9,305.55,266.6,305.45,0.18,-0.02,0.04,-0.09,0.075,-0.03,-0.13,-0.1,0.3735,0.692,2.253,3.119,4.488,5.564,7.601,8.943,10.504,2.1965,0.983,2.239,2.194,4.746,7.3355,8.4685,12.372,0.512,0.7645,2.001,2.7475,4.672,5.803,7.9905,8.976,11.025,0.8435,1.5965,2.272,3.18,2.998,4.836,5.244,5.6585,8.184,1.928,2.583,3.178,3.9935,4.757,9.174,8.1555,10.2515,-9.812,-10.234,-5.069,-56.38,3.95850470364284,3.89295220982569,4.48070211607606,3.88411347476015,4.595178837166,3.86435732839977,4.33249996633119,3.91602823203435,4.23233359112876,418.02922399943,424.068032476519,420.916246871199,424.390513640529,420.86082680482,424.242118262429,421.659458230016,424.178211359884,421.289284462538,2028.70321490203,2025.53848040716,2028.74633129496,2030.48560184968
1,1.75,4.31293155955914,-0.531295116990605,0.209592526095517,0.211898262253288,0.029259930291807,0.252340545980692,0.676418898168896,-0.0930058098850602,0.268573655106353,-19.038400320041,-0.793863396036234,0.642329277747857,3.72,2.65,0.69,-0.98985,-1.205,-1.06535,-1.3483,-3.10475,96.98119,71.705,1.1175,-1.325,-0.605,-0.92,1,-2.43,2.6,-1.26,0.15,257.1,304.5,269.6,305,0.18,-0.02,0.04,-0.1,0.07,-0.02,-0.12,-0.11,0.345,0.639,2.2475,3.1145,4.488,5.5645,7.599,8.941,10.488,2.161,0.981,2.2605,2.196,4.76,7.3255,8.475,12.371,0.512,0.728,1.983,2.744,4.6805,5.807,7.9815,8.974,11.015,0.796,1.5695,2.261,3.181,2.946,4.8435,5.246,5.6685,8.183,1.852,2.5185,3.161,3.987,4.748,9.1725,8.152,10.282,-9.902,-10.224,-5.0495,-54.56,3.98058640784009,3.87270036087606,4.30938799645915,3.92465721245629,4.34870373194467,3.9389956863976,4.13497900419799,3.91179628553695,4.54285732959458,418.012086629679,424.895332418398,421.012375429007,424.779808323105,421.012063285923,424.906217421348,421.69524376407,424.963980162993,422.12200608996,2025.60400899011,2025.77070514425,2025.60952298174,2024.90632373344
1,2.25,4.26222442453219,-0.689682065311956,0.19551231159356,0.19669084544573,0.0182136692411701,0.211300315920935,0.716244657490779,0.0446407964388921,0.250571398158558,-17.4392163685077,-0.708954884691704,0.612541235733885,3.6,2.73,0.67,-1.2914,-1.338,-1.4095,-1.72,-3.2046,96.99934,73.44,1.0185,-1.69,-0.79,-1.16,1.1,-2.355,2.6,-1.23,0.14,257.8,302.9,264,304.4,0.18,-0.02,0.035,-0.1,0.07,-0.03,-0.12,-0.11,0.295,0.6135,2.209,3.098,4.48,5.5655,7.567,8.94,10.487,2.148,0.949,2.244,2.192,4.761,7.339,8.473,12.388,0.481,0.732,1.981,2.745,4.675,5.811,7.992,8.973,11.021,0.753,1.54,2.24,3.172,2.9445,4.845,5.244,5.6675,8.183,1.789,2.454,3.131,3.9645,4.7405,9.178,8.131,10.28,-9.9225,-10.4965,-5.092,-49.71,4.11958193775712,3.84893156583145,4.51602770871195,3.85710294677651,4.27153846872256,3.8474424620079,4.61052643619551,3.87875671616726,4.59370385993579,418.082131160031,424.452716427865,421.211934472208,424.7050608029,421.228730165673,424.757703689954,421.403068813599,424.858194956808,421.996541839268,2028.19863644979,2028.2612731444,2027.62565900934,2027.65306565008
1,2.75,4.14648560335026,-1.17000171455925,0.192548076461389,0.24466791938369,0.00685947984768634,0.2775629096303,0.425014132193025,-0.0642911712670118,0.261340412773191,-18.8029477342017,-0.740746125112456,0.642804726170387,3.45,2.75,0.76,-1.5562,-1.699,-1.7209,-2.12175,-3.5666,96.993365,74.275,1.0329,-1.53,-0.8,-1.1,1.05,-2.32,2.6,-1.22,0.13,255.4,303.2,262.8,304.7,0.18,-0.02,0.03,-0.1,0.08,-0.03,-0.12,-0.11,0.276,0.603,2.203,3.096,4.473,5.565,7.565,8.9485,10.486,2.113,0.9415,2.259,2.185,4.77,7.327,8.464,12.387,0.505,0.759,1.9435,2.737,4.6655,5.814,7.989,8.97,11.019,0.74,1.533,2.215,3.168,2.9425,4.849,5.242,5.6665,8.182,1.7505,2.409,3.1185,3.9455,4.732,9.182,8.128,10.279,-10.145,-10.4765,-5.366,-51.87,4.04786136381317,3.87804571824195,4.24000010410843,3.84153956680376,4.71407918691762,3.84866484356126,4.3774999888319,3.86604420872713,4.63377373137221,417.730899663973,424.597626301612,421.233105483023,424.670707516031,421.218619911703,424.693800781718,421.285754387137,424.781576244812,421.736294845957,2026.35783603237,2028.9104115921,2028.72481359268,2028.58310523639
1,3.25,4.12020396629028,-1.46564254225924,0.201613350162427,0.266499161055442,-0.00624235448090135,0.298219368836005,0.266770674702178,0.0503655987065431,0.240725008460098,-17.1040111191235,-0.466994596020188,0.607823016722568,3.485,2.86,0.76,-1.8123,-1.71,-1.7804,-2.16615,-3.7533,96.96622,75.03,0.97175,-1.765,-1.19,-1.395,1,-2.515,2.6,-1.195,0.14,254.75,301.1,261.4,303.05,0.18,-0.02,0.03,-0.1,0.08,-0.03,-0.12,-0.11,0.255,0.6025,2.193,3.094,4.466,5.566,7.584,8.9475,10.5005,2.077,0.937,2.253,2.177,4.7715,7.3275,8.462,12.3855,0.447,0.75,1.935,2.73,4.7035,5.818,7.986,8.965,11.01,0.738,1.539,2.202,3.163,2.89,4.853,5.239,5.665,8.182,1.704,2.3555,3.108,3.943,4.724,9.172,8.126,10.289,-9.9355,-10.579,-5.389,-54.37,4.04340832241106,3.7473424170888,4.62326515839527,3.78021818376562,4.55561412215149,3.73839318425573,4.52588591604238,3.81260668605439,4.59444077110156,418.177436092187,424.544698335396,421.078187515309,424.617869522347,420.979289417584,424.715401965652,422.098546125172,425.065315916621,421.995441980792,2031.99535894071,2033.69813480587,2032.03793527962,2030.63429524405
1,3.75,4.19693566027643,-1.85220506764984,0.200921751825796,0.238731135954973,-0.00628260023050961,0.295448085952783,0.368093395839826,-0.0612028372335256,0.26388335899748,-16.3664624732165,-0.970935856268156,0.624982414390149,3.5,2.72,0.705,-1.8763,-2.015,-2.08215,-2.6138,-3.7049,96.94424,74.97,0.92845,-1.92,-1.46,-1.6,1,-2.61,2.6,-1.19,0.11,254.2,299.95,261.95,302.8,0.18,-0.02,0.035,-0.1,0.08,-0.03,-0.12,-0.1,0.2555,0.565,2.1845,3.091,4.466,5.5665,7.5625,8.935,10.4835,2.08,0.9555,2.2275,2.17,4.766,7.326,8.46,12.366,0.417,0.73,1.928,2.724,4.701,5.821,7.983,8.961,11.001,0.7165,1.548,2.192,3.157,2.888,4.856,5.237,5.663,8.181,1.6355,2.3205,3.0895,3.926,4.7135,9.164,8.121,10.2395,-9.8845,-10.806,-5.285,-51.58,4.17886161689058,3.72644940733871,4.27925932838242,3.70783524075848,4.47342119899167,3.69667420793151,4.3228033905082,3.7998806437557,4.63850003938513,418.456807757208,424.213423945351,421.190028475861,424.183976252715,421.13143682924,424.452518177524,422.3856320497,424.526643101382,422.268438651332,2038.08324360753,2034.37635279675,2033.48695508529,2035.96686240825
1,4.25,3.99329783371,-1.978175520744,0.203786529402049,0.277203507987231,-0.0306243507362813,0.273637018230259,-0.178544150903061,0.0047808396810467,0.261588845920464,-16.6900984561793,-0.745062341266845,0.595227716048502,3.62,2.74,0.7,-1.9786,-2.147,-2.0455,-2.4956,-4.2155,96.94146,74.86,0.9474,-2.22,-1.43,-1.91,0.95,-2.48,2.6,-1.17,0.13,253.7,300.1,262.9,301.3,0.18,-0.02,0.035,-0.1,0.07,-0.03,-0.12,-0.1,0.178,0.5355,2.175,3.088,4.479,5.57,7.5615,8.9205,10.4825,2.061,0.95,2.219,2.163,4.792,7.326,8.397,12.365,0.369,0.7285,1.944,2.717,4.665,5.825,7.9785,8.936,11,0.725,1.528,2.1795,3.151,2.886,4.859,5.236,5.659,8.18,1.569,2.29,3.0905,3.903,4.712,9.163,8.136,10.2385,-10.081,-11.1565,-5.536,-54.05,4.07893211222902,3.91068498731394,4.51597985174278,3.90138435465167,4.58759262462743,3.90404174997255,4.83611128952895,3.85756978917055,4.78474434560876,418.461290362848,424.446531376099,420.981721298965,424.486567879104,421.126734842368,424.310864200384,421.837570261023,424.299732020446,421.957703017834,2036.04123411905,2035.76038500127,2035.25797475345,2037.01666368176
1,4.75,4.12237479075401,-1.98591328117999,0.181674164143469,0.262336356714478,-0.0215741700760575,0.22494203800825,-0.0552512764652791,-0.208271927720511,0.26608375791527,-15.6015481846495,-0.782920251772571,0.627613526831977,3.33,2.39,0.72,-2.17575,-2.183,-2.0733,-2.47635,-4.19295,96.962675,75.19,0.95085,-1.78,-1.61,-1.755,1,-2.285,2.6,-1.16,0.12,256.8,300.05,262.8,303,0.18,-0.02,0.03,-0.1,0.075,-0.03,-0.12,-0.1,0.139,0.508,2.156,3.085,4.5035,5.571,7.5595,8.9185,10.481,2.059,0.9145,2.225,2.156,4.793,7.325,8.396,12.3815,0.368,0.7165,1.893,2.6935,4.662,5.828,7.9765,8.934,11.0055,0.731,1.486,2.1695,3.132,2.883,4.861,5.234,5.656,8.18,1.508,2.245,3.083,3.8745,4.707,9.233,8.138,10.27,-10.14,-11.373,-5.887,-51.785,4.08454944448673,3.82355869331081,4.17275724947183,3.80578804539172,4.49145471542624,3.75622716506815,4.70732149535108,3.81240878535806,4.69408181639149,418.040283411388,423.925183669131,420.934453785454,424.039825508812,420.828170829633,423.913375119301,421.396523558415,424.268078906031,421.886918785064,2033.92363726329,2036.02564700455,2037.95211841498,2034.97332117152
