DOY2,HR2,G,PPFD_IN,TS_1_2_1,TS_1_1_1
1,0.25,-5.31225,0,-0.56375,-1.44675
1,0.75,-5.20975,0,-0.56475,-1.4515
1,1.25,-5.10925,0,-0.568,-1.454
1,1.75,-4.92675,0,-0.56425,-1.45475
1,2.25,-4.769,0,-0.5725,-1.455
1,2.75,-4.769,0,-0.5925,-1.45375
1,3.25,-4.758,0,-0.61225,-1.4495
1,3.75,-4.812,0,-0.629,-1.44475
1,4.25,-4.78925,0,-0.645,-1.44125
1,4.75,-4.78125,0,-0.655,-1.43575
1,5.25,-5.2015,0,-0.66325,-1.42725
1,5.75,-5.29375,0,-0.67075,-1.41925
1,6.25,-5.406,0,-0.67625,-1.411
1,6.75,-5.415,0,-0.6815,-1.40325
1,7.25,-5.4225,0,-0.6865,-1.41575
1,7.75,-5.44525,8.693,-0.689,-1.4345
1,8.25,-5.304,50.125,-0.6865,-1.45725
1,8.75,-4.63425,121.4,-0.6815,-1.48125
1,9.25,-4.6875,201.077,-0.67675,-1.5015
1,9.75,-5.4025,303.063,-0.6705,-1.51625
1,10.25,-5.11625,432.865,-0.6635,-1.52475
1,10.75,-4.919,493.419,-0.67625,-1.52675
1,11.25,-4.7225,591.929,-0.6925,-1.53875
1,11.75,-4.579,679.719,-0.696,-1.544
1,12.25,-3.95875,691.308,-0.69375,-1.5465
1,12.75,-3.40525,714.777,-0.69025,-1.54125
1,13.25,-2.877,698.842,-0.67975,-1.528
1,13.75,-3.3985,608.154,-0.66875,-1.5115
1,14.25,-3.58075,492.55,-0.6545,-1.4905
1,14.75,-3.5725,410.845,-0.641,-1.46825
1,15.25,-3.64075,303.643,-0.628,-1.44675
1,15.75,-3.64875,187.169,-0.61525,-1.4215
1,16.25,-3.64775,84.893,-0.604,-1.4035
1,16.75,-3.65,21.441,-0.59425,-1.385
1,17.25,-3.67125,1.159,-0.583,-1.3675
1,17.75,-3.688,0,-0.57175,-1.35275
1,18.25,-3.7235,0,-0.563,-1.3435
1,18.75,-3.68525,0,-0.55425,-1.3515
