DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,LW_IN,LW_OUT,VPD
1,0.25,0.0687,-1.20937,-12.74461361,0,-29.94535,-0.77229875,67.1802,0.0418,98.409,0.091217475,-7.114905,0,-1.0368525,0.33184425,-9.59876,-9.16765,-15.9693,-9.59953,-7.27104125,-12.7608,412.699,204.55,214.09,0.16224
1,0.75,0.09135,-1.0397106185,-13.079,0,-30.14345,-0.780578,67.3316,0.044125,98.407475,0.06015515,-8.4876325,0,-1.02428,0.32817,-9.6551175,-9.9381575,-15.5882,-9.64001,-7.41994,-12.89749,413.310425,207.34,213.085,0.1614875
1,1.25,0.0982,-0.7435575,-14.2279952475,0,-29.76055,-0.7753415,67.11895,0.041925,98.3855,0.0984829,-7.3030025,0,-1.038775,0.336515,-9.707975,-10.0269675,-15.9088,-9.76986,-7.47776,-12.959115,412.4902,207.245,214.165,0.1661975
1,1.75,0.0713,-0.5339574265,-12.12074069,0,-29.82025,-0.7888435,66.73875,0.04,98.414,0.0876788,-6.73378,0,-1.05069,0.32618175,-9.802255,-10.00425,-15.9102,-9.90952,-7.517565,-12.96999328,415.581125,205.31,214.5225,0.1673425
1,2.25,0.107397,-0.85052,-11.10505,0,-29.6228,-0.7817665,66.7141,0.037675,98.44475,0.1074945,-6.575825,0,-1.042485,0.333305,-9.8926325,-10.13,-15.9604,-9.88695,-7.55424375,-13.22315,415.03535,205.075,212.7275,0.1649875
1,2.75,0.0589733,-1.4738785035,-10.2565,0,-29.5478,-0.790704,66.9528,0.04235,98.42325,0.1100645,-6.97137,0,-1.04698,0.323431,-9.976975,-10.10125,-16.0626,-9.8968,-7.58737375,-12.836985,413.94035,203.83,212.5775,0.15689
1,3.25,0.045075,-0.9912,-11.2766249575,0,-29.643025,-0.7962365,66.533425,0.03695,98.439,0.0995851,-6.630875,0,-1.087715,0.32667075,-10.05655,-10.308,-16.257425,-9.9315675,-7.6159225,-12.87311375,415.2941,205.1125,211.235,0.1618025
1,3.75,0.0822942,-0.8461705,-11.550563215,0,-29.531425,-0.79314975,66.300375,0.0388764,98.459275,0.072914175,-6.7004,0,-1.077395,0.30963925,-9.999175,-10.27975,-16.31335,-9.9837575,-7.64528,-12.988255,415.02755,203.5625,211.29,0.1620975
1,4.25,0.087375,-0.9755412645,-10.32025,0,-29.831,-0.77522,66.59925,0.04395,98.435,0.045501425,-6.76462,0,-1.064015,0.3275855,-9.973475,-10.261,-16.362375,-10.09085,-7.67304125,-12.9654675,414.910575,203.8675,215.4425,0.159115
1,4.75,0.0451,-0.7688475655,-13.2075,0,-29.779425,-0.77575925,66.271825,0.0451,98.4013,0.05623275,-6.12162,0,-1.029495,0.308873,-9.990425,-10.58,-16.4196,-10.0974,-7.69682125,-12.90935625,415.0793,203.02,215.13,0.16551
