DOY2,HR2,LE,USTAR,TA_1_1_1,WS,FC,H,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,-0.039,0.2315,-26.901,1.08,0.1105,-4.6435,70.828,379.996,0.195,-8.6335,0,-1.3725,-0.033,0.3895,0.647
1,0.75,0.0045,0.21,-26.8975,1.1005,0.1245,-3.089,70.615,380.0985,0.195,-7.4705,0,-1.092,-0.0285,0.336,0.633
1,1.25,-0.02,0.2005,-26.7415,1.1,0.1535,-4.1545,70.613,380.2715,0.205,-8.8235,0,-1.0685,-0.0355,0.414,0.599
1,1.75,-0.035,0.2075,-26.792,0.968,0.1385,-3.197,70.735,380.355,0.2,-6.9455,0,-1.061,-0.039,0.347,0.603
1,2.25,0.0415,0.193,-27.089,0.958,0.1595,-4.117,70.6465,380.4085,0.195,-8.083,0,-1.2715,0.001,0.41,0.604
1,2.75,0.0325,0.191,-27.1175,0.992,0.1425,-3.5565,70.3,380.5285,0.195,-7.119,0,-1.2565,0.006,0.334,0.613
1,3.25,0.0155,0.192,-27.296,0.937,0.099,-4.4225,70.1865,380.4995,0.2,-7.4525,-12.738,-1.2115,-5e-04,0.258,0.606
1,3.75,-0.0085,0.1725,-27.4875,0.93,0.0975,-2.5575,70.1825,380.497,0.19,-7.068,-12.9515,-1.1695,-0.0045,0.2585,0.6025
1,4.25,0,0.196,-27.436,0.975,0.12,-3.977,68.7175,379.476,0.16,-9.0625,-14.1955,-0.965,-0.0165,0.343,0.39
1,4.75,-0.002,0.1785,-27.446,0.9235,0.223,-1.4805,68.8145,379.509,0.16,-9.4775,-14.15,-1.1575,-0.043,0.3705,0.378
1,5.25,0.019,0.186,-27.526,0.97,0.129,-3.241,68.7795,379.524,0.16,-10.562,-13.6725,-1.16,-0.029,0.46,0.3655
1,5.75,-0.062,0.1525,-27.756,0.988,0.0125,-3.719,69.373,380.3125,0.15,-8.726,-13.4025,-1.3015,-0.0785,0.375,0.428
1,6.25,-0.014,0.165,-27.781,0.889,0.098,-3.3615,69.0415,379.794,0.15,-7.381,-13.929,-1.0995,0.029,0.23,0.462
1,6.75,-0.069,0.178,-27.9725,0.8935,0.098,-6.306,69.3495,380.4335,0.15,-8.6595,-14.033,-1.181,0.0205,0.296,0.443
1,7.25,-0.039,0.1735,-28.2405,0.9525,0.229,-7.105,69.2865,381.525,0.155,-8.7275,-14.309,-1.1005,-0.0775,0.313,0.443
1,7.75,-0.0405,0.173,-28.1355,0.928,0.0995,-3.982,69.3075,381.812,0.15,-7.4585,-13.261,-1.251,-0.0365,0.287,0.45
1,8.25,-0.011,0.183,-28.0315,0.8915,0.096,-4.958,69.0825,382,0.15,-7.575,-13.882,-1.1755,0.0515,0.429,0.464
1,8.75,-0.0045,0.166,-28.135,0.954,0.1365,-8.794,69.41,381.551,0.16,-8.1555,-10.061,0.1105,1.289,1.111,0.474
1,9.25,-0.1,0.162,-27.743,0.8765,0.092,-3.89,69.248,381.308,0.16,-5.4955,0.866,5.747,10.565,4.667,0.4985
1,9.75,-0.043,0.1735,-27.2875,0.954,0.1375,-1.837,69.116,381.2135,0.17,-0.2625,15.93,30.042,33.441,15.5545,0.469
1,10.25,0.025,0.231,-26.813,1.146,0.151,-1.435,68.915,380.863,0.19,7.3255,44.214,57.894,60.615,32.003,0.5185
1,10.75,0.049,0.28,-26.179,1.142,0.233,6.073,68.892,380.833,0.2,14.3885,66.9145,91.543,87.2555,48.2015,0.5685
1,11.25,0.367,0.2835,-25.365,1.269,0.252,16.738,68.1065,380.49,0.21,19.84,89.515,119.1,115.2485,59.4595,0.5765
1,11.75,0.316,0.312,-24.8065,1.31,0.264,23.1225,67.874,380.192,0.24,28.2735,108.2845,142.6905,136.431,68.04,0.624
1,12.25,0.5665,0.353,-24.3095,1.399,0.221,35.634,67.18,380.4075,0.26,35.9375,120.773,169.134,158.514,74.9145,0.644
1,12.75,0.471,0.368,-23.808,1.457,0.239,36.339,65.483,379.8875,0.29,40.3805,126.1245,171.855,161.106,73.254,0.642
1,13.25,0.5325,0.383,-23.3845,1.639,0.307,43.172,66.264,379.709,0.31,41.494,128.248,176.446,155.269,69.933,0.671
1,13.75,0.6865,0.37,-23.0385,1.509,0.2685,38.849,64.932,379.586,0.32,34.425,114.5565,151.5485,134.7555,60.5045,0.6715
1,14.25,0.114,0.377,-22.6675,1.521,0.21,31.614,65.457,379.595,0.33,29.1025,99.7005,143.1435,118.293,54.5145,0.73
1,14.75,0.243,0.381,-22.4405,1.612,0.23,24.525,66.068,379.572,0.32,18.4505,79.2305,113.343,93.33,43.605,0.695
1,15.25,0.159,0.352,-22.1705,1.461,0.199,13.761,65.519,379.515,0.32,6.4295,54.985,74.1795,67.1985,29.682,0.685
1,15.75,0.0765,0.338,-22.38,1.34,0.1885,4.331,66.532,379.6015,0.32,-1.6325,25.7775,42.142,39.5875,20.587,0.6775
1,16.25,0.05,0.269,-22.629,1.351,0.131,0.2725,67.979,379.5545,0.29,-9.5325,5.967,11.0235,17.5585,6.822,0.643
1,16.75,-0.007,0.237,-22.99,1.251,0.104,-7.628,69.444,379.71,0.27,-10.6435,-4.7595,0.743,3.738,1.36,0.621
1,17.25,-0.095,0.22,-23.594,1.106,0.165,-7.384,70.835,379.798,0.25,-14.8055,-10.91,-1.4805,0.397,0.55,0.559
1,17.75,-0.037,0.217,-24.0765,1.31,0.096,-7.212,71.859,379.929,0.24,-14.6585,-12.1395,-1.7965,0.008,0.4575,0.55
1,18.25,-0.061,0.252,-24.255,1.355,0.182,-7.661,71.67,379.901,0.23,-13.1465,-12.225,-1.669,-0.021,0.2305,0.5145
1,18.75,-0.062,0.251,-24.375,1.349,0.127,-6.315,71.733,379.909,0.23,-10.639,-11.816,-1.7495,-0.0165,0.4425,0.532
1,19.25,0.033,0.249,-24.939,1.238,0.1585,-7.783,71.283,379.944,0.21,-11.151,-12.071,-1.6535,-0.0535,0.347,0.5655
1,19.75,-0.0625,0.266,-25.1155,1.367,0.1375,-4.3225,71.148,379.995,0.21,-10.1085,-12.363,-1.701,-0.0245,0.396,0.542
1,20.25,0.007,0.258,-25.6645,1.368,0.1365,-7.107,70.617,380.02,0.21,-9.726,-12.4115,-1.639,-0.062,0.388,0.497
1,20.75,-0.0335,0.251,-25.872,1.261,0.151,-9.3265,70.661,380.138,0.21,-8.6625,-12.5,-1.5195,-0.0275,0.487,0.52
