DOY2,HR2,PA,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2
1,15.75,99.08,-15.657,76.735,75.99,67.2695,263.07675,307.0971,-27.01985,166.375,147.905,4.55275,0.22268,-1.72345,-1.379035,-15.9145,-6.35755,-8.26695,456.6557
1,16.25,99.085,-16.0495,77.876,42.923,36.0735,261.1929,305.03845,-45.1652,83.7015,72.6935,4.4587,0.22871,-1.7157,-1.39044,-18.988,-6.3288,-8.2404,458.4055
1,16.75,99.12,-15.964,78.871,9.5356,9.23895,259.94425,302.4316,-50.78295,23.883,19.699,4.3538,0.22146,-1.7207,-1.39806,-19.4905,-6.27605,-8.3947,457.98855
1,17.25,99.18,-16.0715,79.3935,0.314325,1.14095,257.7301,293.24735,-49.4075,2.07505,1.6916,4.3072,0.16313,-1.7594,-1.417365,-19.9385,-6.26095,-8.2543,457.8832
1,17.75,99.19,-16.263,80.0395,0,0.3985,255.85,291.7133,-43.02115,0.06187,0,4.7968,0.17499,-1.7636,-1.41077,-20.424,-6.26885,-8.4175,457.8365
1,18.25,99.17,-16.807,80.841,0,0.44888,254.8995,286.676,-45.9931,0.0119815,-0.0072211,3.6964,0.110757,-1.75345,-1.410445,-21.6655,-6.26795,-8.3215,459.70465
1,18.75,99.145,-17.209,80.798,0,0.49453,255.3021,283.55865,-28.81585,0.00749305,-0.008545,4.2115,0.045526,-1.7468,-1.407705,-14.327,-6.15895,-8.1927,459.9321
1,19.25,99.155,-16.8445,81.3175,0,0.35378,257.53245,278.37645,-22.141,0.00782665,-0.00985365,3.70185,0.048338,-1.7432,-1.39665,-13.905,-6.1158,-8.32505,459.8794
1,19.75,99.15,-17.5585,81.781,0,0.365495,258.8276,281.96035,-25.98975,0.0073236,-0.00936215,4.563,0.056345,-1.74035,-1.37942,-13.829,-6.06135,-8.53015,460.7594
1,20.25,99.175,-17.26,80.602,0,0.44009,259.7464,276.19015,-21.1826,0.00743995,-0.0064066,3.9063,0.024633,-1.72915,-1.378445,-14.577,-6.0354,-8.6137,461.9475
1,20.75,99.135,-17.057,80.672,0,0.47221,259.33645,279.77715,-23.49915,0.0041647,-0.00361125,4.6735,0.01,-1.73295,-1.384735,-16.586,-6.0342,-8.53705,460.9076
1,21.25,99.14,-17.2015,81.637,0,0.416125,257.22005,288.11075,-27.0996,0.00366025,-0.002627,4.9595,0.0308585,-1.72585,-1.387255,-15.9375,-6.0481,-8.6295,460.514
1,21.75,99.125,-17.231,81.4945,0,0.38894,254.97845,288.01805,-26.10925,0.0068188,-0.00197175,4.15375,0.022679,-1.7289,-1.37816,-15.9735,-6.0256,-8.7375,463.4824
1,22.25,99.135,-16.83,81.356,0,0.337335,254.89355,281.01185,-24.3455,0.00700725,-0.00330275,1.3791,0.01,-1.72565,-1.380015,-15.2675,-5.9676,-8.8638,463.4824
1,22.75,99.115,-16.3795,81.3515,0,0.309885,252.82545,275.3785,-20.58795,0.00366285,-0.0042738,4.2475,0.028905,-1.72795,-1.37367,-16.141,-5.91995,-8.88,463.4824
1,23.25,99.055,-16.715,81.3085,0,0.402575,252.0532,275.0676,-20.71925,0.0061608,-0.00690145,0.979845,0.01,-1.7212,-1.36499,-17.297,-5.9131,-8.9683,463.4824
1,23.75,99.04,-16.555,80.9815,0,0.33859,253.32885,272.53025,-15.33005,0.0063245,-0.0044347,0.552745,0.01,-1.7265,-1.370685,-17.297,-5.8994,-9.10275,463.4824
2,0.25,98.74,-17.195,80.1315,0,0.558605,238.8107,270.28425,-23.1942,-0.0061939,-0.006243,1.1233,0.12985,-4.065,-3.6506,-18.7715,-7.9385,-8.9543,449.2707
2,0.75,98.77,-17.283,80.5435,0,0.631545,238.40005,265.00115,-18.81225,-0.00669465,-0.0062369,0.87476,0.12985,-4.0594,-3.6528,-18.7715,-7.9989,-8.9131,449.2707
2,1.25,98.775,-17.707,80.3075,0,0.57762,237.95865,263.97605,-18.16045,-0.0058443,-0.0036144,1.3335,0.12985,-4.0718,-3.6567,-18.7715,-8.1193,-8.883,449.2707
2,1.75,98.755,-17.8475,79.906,0,0.56223,239.9285,268.14935,-18.11065,-0.0079924,-0.0036113,1.26031875,0.12985,-4.0464,-3.647,-18.7715,-8.2534,-8.9243,449.2707
2,2.25,98.74,-18.123,81.21,0,0.48997,241.1972,265.29405,-17.88795,-0.00038334,-0.0019701,1.1871375,0.12985,-4.0568,-3.6513,-18.7715,-8.4171,-8.9864,449.2707
2,2.75,98.74,-17.835,80.549,0,0.453985,241.63325,262.5459,-16.1764,-0.0018652,-0.0009857,1.11395625,0.12985,-4.0484,-3.6365,-18.7715,-8.5892,-9.072,449.2707
2,3.25,98.805,-17.989,81.2315,0,0.446215,242.2245,258.2169,-17.48705,-0.0028309,-0.0013134,1.040775,0.12985,-4.0457,-3.6316,-18.7715,-8.6236,-9.1719,449.2707
2,3.75,98.81,-17.915,81.83,0,0.587015,242.41325,258.345,-12.1516,-0.00396355,-0.0013141,1.16023541666667,0.12985,-4.061,-3.6339,-18.7715,-8.6545,-9.2805,449.2707
2,4.25,98.785,-18.188,81.627,0,0.44951,241.90975,264.1726,-15.61095,0.00114786,-0.0013132,1.27969583333333,0.12985,-4.0553,-3.6465,-18.7715,-8.8626,-9.3884,449.2707
2,4.75,98.78,-18.4645,82.1,0,0.54488,241.9153,268.0375,-14.99375,-0.0023125,-0.0016415,1.39915625,0.12985,-4.0626,-3.6601,-18.7715,-8.8399,-9.4457,449.2707
2,5.25,98.775,-18.5815,82.131,0,0.534995,241.5139,265.4062,-15.2058,-0.00093184,-0.0013132,1.51861666666667,0.12985,-4.0791,-3.6552,-18.7715,-8.7154,-9.4207,449.2707
2,5.75,98.755,-18.63,81.879,0,0.58967,240.52995,264.11575,-13.3349,-0.0034625,-0.0013134,1.63807708333333,0.12985,-4.0784,-3.6587,-18.7715,-8.6946,-9.3809,449.2707
2,6.25,98.745,-18.554,82.416,0,0.554495,241.35635,260.249,-16.9698,-0.000715625,-0.00098491,1.7575375,0.12985,-4.0649,-3.6591,-18.7715,-8.7571,-9.2846,449.2707
2,6.75,98.69,-18.973,82.0965,0,0.565175,240.00685,261.6302,-14.9089,0.00116565,-0.0006581,1.87699791666667,0.12985,-4.0756,-3.6617,-18.7715,-8.8282,-9.0071,449.2707
2,7.25,98.635,-18.8725,81.8055,0.055988,0.82724,239.37795,260.8248,-18.1628,0.357755,0.36151,1.99645833333333,0.12985,-4.0692,-3.6495,-18.7715,-8.9177,-9.3151,449.2707
2,7.75,98.555,-17.824,81.6165,7.9794,7.02445,239.00265,259.26685,-10.3234,17.1325,14.944,2.11591875,0.12985,-4.0646,-3.6611,-18.7715,-8.9898,-9.1601,449.2707
2,8.25,98.535,-16.963,81.1095,47.6895,36.2095,239.9808,266.5756,-4.81315,86.5695,70.477,2.23537916666667,0.12985,-4.0875,-3.6458,-18.7715,-9.0526,-9.3557,449.2707
2,8.75,98.58,-15.8725,80.044,89.1415,72.5085,246.5645,273.58215,1.1789,198.615,152.9,2.35483958333333,0.12985,-4.0724,-3.6277,-18.7715,-9.2491,-9.5118,449.2707
2,9.25,98.63,-14.588,79.4735,170.39,125.075,248.4208,277.4337,3.94725,345.835,267.85,2.4743,0.12985,-4.0784,-3.619,-18.7715,-9.4611,-9.6967,449.2707
2,9.75,98.64,-14.39,78.7745,223.62,167.86,250.29285,288.7906,11.2218,483.1,389.33,2.8038,0.12985,-4.0618,-3.6053,-18.7715,-9.5195,-9.8167,449.2707
2,10.25,98.605,-13.665,77.0495,282.55,221.01,255.638,307.61745,10.5159,630.295,534.89,3.17425,0.15394,-4.065,-3.6147,-17.4935,-9.6354,-9.9258,456.3152
2,10.75,98.65,-12.8925,76.537,356.925,273.045,258.598,311.8822,22.7988,748.975,674.49,2.8436,0.071491,-4.0635,-3.6067,-17.156,-9.7452,-9.8836,456.6412
2,11.25,98.645,-12.3615,75.1875,370.955,311.775,260.6753,311.56825,25.6179,882.66,744.615,2.9588,0.11611,-4.0575,-3.58375,-16.271,-9.9466,-9.5822,456.7585
2,11.75,98.605,-12.195,73.589,407.165,331.905,262.87305,326.5586,22.9026,943.615,800.68,3.0506,0.1355,-4.0562,-3.5872,-14.662,-9.9043,-9.6075,456.72155
2,12.25,98.58,-11.5355,72.084,446.725,360.24,266.6106,343.53715,26.1505,1010.25,856.02,3.5437,0.11862,-4.0441,-3.5941,-12.688,-9.9142,-9.6956,456.31575
2,12.75,98.615,-11.0655,72.179,467.115,368.44,269.20095,345.87685,23.8245,1025.65,836.72,3.0246,0.132875,-4.0408,-3.6162,-12.5315,-9.8031,-9.7473,456.19355
2,13.25,98.645,-10.4975,72.126,455.605,362.5,270.8775,344.8763,24.04125,1019.4,835,3.37,0.13669,-3.9981,-3.6077,-12.056,-9.6215,-9.6845,456.0733
2,13.75,98.63,-10.3465,71.949,446.86,344.195,270.3077,345.14575,23.2546,1002,829.03,3.25955,0.14168,-4.0219,-3.6076,-11.575,-9.4779,-9.7663,455.8591
2,14.25,98.655,-10.502,71.908,427.435,333.66,269.61245,354.6927,2.296,914.09,770.59,3.2813,0.124,-3.9664,-3.59865,-11.126,-9.39385,-9.692,455.8802
2,14.75,98.65,-10.3665,71.704,372.15,298.66,269.55325,352.4392,-8.633,815.065,693.665,3.6151,0.1247,-3.9483,-3.5936,-11.046,-9.24695,-9.6201,446.0937
2,15.25,98.69,-10.7885,71.4,317.305,255.8,268.0675,348.3493,-23.218,680.01,585.19,3.47185,0.14906,-3.9565,-3.5802,-10.159,-9.1054,-9.53625,445.84305
2,15.75,98.735,-10.9065,72.4205,247.505,202.38,263.8528,345.29,-33.6565,524.695,450.265,3.4626,0.143295,-3.96475,-3.6047,-10.561,-8.99,-9.5071,456.1973
2,16.25,98.755,-11.119,71.7835,175.83,148.24,264.8859,338.6423,-50.7425,385.41,315.755,2.9078,0.130325,-3.95505,-3.5819,-10.875,-8.8785,-9.4486,456.37605
2,16.75,98.76,-11.7135,72.863,100.2155,88.482,262.99365,328.81625,-64.916,216.185,185.775,2.8622,0.085927,-3.95815,-3.5552,-10.893,-8.69385,-9.48015,456.0028
2,17.25,98.69,-13.037,75.1945,41.936,40.1085,259.60985,320.36735,-67.918,96.138,78.2395,2.5295,0.0605965,-3.9706,-3.575,-11.653,-8.45445,-9.4266,458.01995
2,17.75,98.635,-13.839,77.586,6.7236,7.50615,258.5986,314.42045,-75.67215,16.1755,20.178,1.9642,0.03598,-3.9862,-3.60735,-12.942,-8.30845,-9.31495,458.2036
2,18.25,98.63,-14.25,78.6075,0,1.03745,255.8349,310.92335,-69.99715,0.24542,0.615495,2.01765,0.05063,-4.0015,-3.64585,-12.9255,-8.24975,-9.2051,459.70465
2,18.75,98.63,-14.569,79.126,0,0.52916,253.04505,309.646,-69.48695,-0.0004994,-0.00032833,1.6585,0.045526,-4.01555,-3.6669,-14.327,-8.23595,-9.13355,459.9321
2,19.25,98.63,-14.9525,79.1205,0,0.55663,253.37025,299.53785,-63.5204,0.00154714,-0.0069614,1.3799,0.048338,-4.02105,-3.6588,-13.905,-8.1948,-9.05425,459.8794
2,19.75,98.6,-14.7765,80.9715,0,0.57941,250.92945,297.4453,-62.79375,0.00886945,-0.0044319,1.5114,0.056345,-4.03005,-3.66435,-13.829,-8.16415,-8.9945,460.7594
2,20.25,98.59,-15.125,80.5055,0,0.558705,246.97155,293.79655,-57.57655,3.395e-05,-0.0042679,1.3676,0.024633,-4.03375,-3.66485,-14.577,-8.11705,-8.89305,461.9475
2,20.75,98.565,-16.58,80.4535,0,0.594755,248.228,289.8318,-54.56725,-0.00118139,-0.0023158,1.54225,0.01,-4.03965,-3.66265,-16.586,-8.05615,-8.83885,460.9076
2,21.25,98.555,-16.417,80.4315,0,0.57119,246.44245,287.14765,-44.82605,-0.0031454,-0.00180565,1.5627,0.0308585,-4.04745,-3.66465,-15.9375,-8.00065,-8.72375,460.514
2,21.75,98.555,-16.4865,80.743,0,0.544775,247.68295,285.45345,-39.5939,-0.0030302,-0.00213495,1.161,0.022679,-4.0488,-3.6756,-15.9735,-7.966,-8.59345,463.4824
2,22.25,98.63,-16.665,81.023,0,0.598135,242.41985,280.75365,-35.50915,-0.0112715,-0.0022986,1.3791,0.01,-4.06085,-3.67595,-15.2675,-7.9175,-8.50125,463.4824
2,22.75,98.675,-16.735,80.6855,0,0.624185,243.5583,280.32135,-33.65215,-0.0037782,-0.0027928,1.2026,0.028905,-4.0658,-3.6666,-16.141,-7.8871,-8.48715,463.4824
2,23.25,98.685,-17.0655,80.2055,0,0.620975,242.9182,278.7939,-28.3142,-0.0030455,-0.00262863,0.979845,0.01,-4.06435,-3.6591,-17.297,-7.8507,-8.46225,463.4824
2,23.75,98.695,-17.045,80.351,0,0.566655,241.19575,273.37745,-24.20275,-0.00520965,-0.00262755,0.552745,0.01,-4.06585,-3.6479,-17.297,-7.86725,-8.47195,463.4824
3,0.25,98.32,-6.67945,85.454,0,0.651495,303.0761,330.1327,-35.3101,0.0093073,-0.0162455,2.8304,0.22125,-1.0974,-0.990215,-1.7801,-0.245625,-2.68985,447.4038
3,0.75,98.295,-6.52845,85.4225,0,0.60962,303.8823,330.37225,-31.707,0.0086425,-0.0114655,3.1295,0.20362,-1.09805,-0.98528,-2.0888,-0.507815,-2.9136,447.9122
3,1.25,98.285,-6.2263,85.1875,0,0.7667,304.06185,321.65065,-26.03455,0.0096405,-0.0159265,3.3841,0.224345,-1.10065,-0.979185,-2.2381,-0.490125,-2.89115,448.4877
3,1.75,98.3,-6.18815,84.9865,0,0.634945,304.21595,321.33185,-15.1531,0.0083213,-0.013626,3.0848,0.210825,-1.1049,-0.9854,-2.2259,-0.474285,-2.9944,449.1888
3,2.25,98.275,-6.1801,84.892,0,0.52269,304.63425,321.11625,-14.24205,0.00798265,-0.0172295,3.2896,0.206395,-1.10065,-0.9782,-2.1736,-0.46364,-3.6427,449.4086
3,2.75,98.305,-5.809,85.248,0,0.638475,302.9875,321.16775,-23.49625,0.00781595,-0.026444,2.8877,0.220135,-1.10315,-0.973495,-1.99245,-0.455955,-3.8838,448.6204
3,3.25,98.33,-5.6667,86.0005,0,0.64772,301.6249,320.8922,-23.3535,0.00864995,-0.014604,3.0726,0.217175,-1.1127,-0.978,-2.373,-0.475095,-4.25015,448.62585
3,3.75,98.365,-5.29035,86.9955,0,0.73354,300.8351,318.5855,-15.97215,0.006636,-0.022671,2.9216,0.24235,-1.1272,-0.971665,-2.0484,-0.57242,-3.43925,447.7154
3,4.25,98.37,-5.13865,87.132,0,0.437745,300.507,320.99085,-7.8076,0.0098117,-0.0190285,3.2058,0.24298,-1.15335,-0.96542,-2.6239,-0.743665,-3.6919,447.9247
3,4.75,98.375,-5.0005,86.5175,0,0.473105,299.87935,320.9519,-9.46385,0.0071577,-0.019028,3.3171,0.24144,-1.16335,-0.95717,-3.4011,-0.823555,-4.5472,447.7049
3,5.25,98.335,-4.99945,86.688,0,0.57656,301.11895,322.1555,-19.5336,0.0083183,-0.0221555,3.3271,0.21308,-1.1684,-0.96157,-4.00885,-1.1417,-4.49305,447.5397
3,5.75,98.375,-5.15495,85.7325,0,0.64499,299.3115,323.4265,-28.5993,0.0132995,-0.011308,3.0873,0.18935,-1.1656,-0.95895,-4.1598,-1.6766,-4.61315,447.8849
3,6.25,98.4,-5.072,85.8375,0.00961615,0.75265,298.11685,322.2466,-25.7719,0.26373,0.18867,3.0369,0.20037,-1.1553,-0.96559,-3.9106,-1.7743,-5.128,447.7908
3,6.75,98.385,-4.8084,85.738,3.6919,3.32445,298.01625,321.55045,-21.43575,11.227,5.2748,3.2581,0.150137,-1.17035,-0.94418,-4.215,-1.9867,-4.81555,448.38915
3,7.25,98.4,-4.2267,85.0405,31.8795,18.0555,301.9672,326.36845,-6.84015,66.633,32.2705,3.43595,0.214975,-1.15785,-0.92372,-4.1068,-2.124,-3.1167,448.27085
3,7.75,98.42,-3.60385,84.369,89.2255,49.555,306.21695,327.5027,3.8045,172.08,89.2765,3.412,0.2633,-1.1278,-0.91299,-3.4723,-1.94625,-1.8196,448.26025
3,8.25,98.405,-3.22,82.9605,139.01,75.2755,312.4093,334.1862,32.7844,288.8,183.245,3.342,0.28108,-1.1171,-0.89546,-1.6225,-1.68415,-1.4348,447.4362
3,8.75,98.415,-3.16395,80.759,206.685,130.93,316.56065,342.3406,64.5658,472.83,332.955,4.468,0.31589,-1.11655,-0.87572,-1.257155,-1.45615,-1.3032,446.9331
3,9.25,98.375,-2.8016,79.468,277.765,155.945,317.5285,366.53555,69.3596,631.535,402.42,4.5458,0.308225,-1.10695,-0.886645,-0.946045,-1.12702,-1.28035,446.9041
3,9.75,98.335,-2.4285,76.1925,311.875,184.17,318.8328,377.2097,82.68105,768.82,481.39,4.40775,0.343535,-1.10585,-0.919845,-0.506105,-0.719035,-1.1827,446.5674
3,10.25,98.315,-2.02015,74.754,379.25,224.595,321.7275,377.2185,116.3064,912.97,611.565,4.6337,0.31057,-1.1058,-0.9608,0.917205,-0.729895,-1.003135,444.791
3,10.75,98.36,-1.8235,74.9235,473.525,254.965,324.14895,388.9958,116.22145,1092.55,692.5,3.48,0.36058,-1.1204,-0.99667,1.1404,-0.89753,-1.118,445.9829
3,11.25,98.375,-1.47565,73.6555,508.125,289.305,324.74205,386.90985,103.5501,1184.75,765.03,4.6107,0.34678,-1.1287,-1.0026,1.2377,-0.86037,-1.1033,446.472
3,11.75,98.365,-1.18605,73.449,553.635,309.28,325.06,389.8836,139.1461,1260.25,828.68,4.10515,0.297875,-1.1217,-0.99169,1.55995,0.01151,-1.0051,446.0336
3,12.25,98.4,-0.704275,72.066,576.17,310.51,325.63485,396.04115,105.9109,1332.7,847.01,3.67915,0.293735,-1.1004,-0.95786,2.27915,0.46493,-0.24125,446.45375
3,12.75,98.41,-0.543875,72.2245,597.71,342.48,327.51135,406.18005,169.2506,1373,900.62,3.74835,0.28715,-1.0755,-0.96107,2.6389,0.47003,-0.13117,446.0589
3,13.25,98.405,-0.00891999999999998,71.7785,593.085,289.165,324.1961,395.6788,141.43935,1341.05,773.38,3.4237,0.29762,-1.0659,-0.97334,2.7674,0.32934,0.042754,445.9469
3,13.75,98.405,0.346425,69.959,578.06,290.98,323.6578,398.208,129.8646,1289.45,735.43,3.828,0.28068,-1.0772,-0.9662,3.0075,0.32538,0.27655,446.14265
3,14.25,98.425,0.60165,70.2905,531.955,280.82,323.9742,402.2004,111.6876,1199.6,716.8,3.8198,0.30747,-1.0581,-0.96701,3.1058,0.3582,0.21149,446.34435
3,14.75,98.435,0.57829,68.972,495.24,253.265,324.1861,402.12485,154.3592,1103.75,674.6,4.3267,0.28705,-1.0573,-0.95358,3.2312,0.48939,0.21482,446.0937
3,15.25,98.46,0.474335,68.8975,420.97,221.76,323.9067,399.2795,140.16915,950.24,568.86,4.3421,0.30865,-1.0037,-0.89813,3.3998,0.53776,0.24741,445.84305
3,15.75,98.5,0.2047595,69.5845,349.825,187.02,323.21355,401.8066,112.87085,802.025,504.6,4.3351,0.28999,-0.95834,-0.92808,3.313,0.61726,0.35005,445.5924
3,16.25,98.49,0.019925,68.7005,295.09,144.275,320.5839,402.20045,74.02545,649.55,378.81,4.3547,0.26992,-0.94246,-0.91698,3.31145,0.66483,0.35152,445.7117
3,16.75,98.48,-0.424641,68.3055,208.77,100.947,320.0878,395.40905,48.60455,472.195,243.43,4.0957,0.32867,-0.97186,-0.88736,2.7288,0.69537,0.14956,446.0402
3,17.25,98.47,-0.5736,69.895,125.305,68.6125,319.75995,389.3726,7.66005,274.46,162.7,3.9622,0.27291,-0.9622,-0.92402,2.9496,0.66784,0.097833,446.29655
3,17.75,98.455,-1.4531,71.5675,62.3625,39.1115,318.7909,382.3043,-22.72655,138.99,82.597,3.0822,0.23788,-0.99513,-0.92854,2.4471,0.66824,0.076527,446.21805
3,18.25,98.495,-2.50625,74.078,19.39,14.1565,316.6528,370.34505,-57.937,47.909,20.913,3.0273,0.19044,-1.026,-0.9195,1.6098,0.13248,-1.5104,446.3053
3,18.75,98.5,-2.81885,77.015,1.3827,1.6309,311.28315,373.3259,-71.39375,6.4124,1.8783,2.8285,0.15397,-1.0604,-0.95592,0.68882,-0.82868,-2.6705,446.7864
3,19.25,98.49,-2.82415,78.391,0,0.644545,309.29935,361.8288,-72.54685,0.113365,-0.00032873,2.43805,0.11655,-1.1304,-1.0364,-0.198435,-0.30992,-2.4971,447.1211
3,19.75,98.47,-3.0402,79.763,0,0.634215,307.41275,363.06405,-72.68075,0.015631,-0.024636,2.44385,0.140465,-1.1093,-1.0107,-0.44139,-0.25818,-2.3905,447.4348
3,20.25,98.45,-3.18595,80.431,0,0.76338,306.1694,352.2119,-60.1677,0.0118265,-0.02496,2.7629,0.17186,-1.1067,-0.97533,-0.68772,-0.15667,-2.5872,447.9165
