DOY2,HR2,TA_1_1_1,RH_1_1_1,VPD_1_1_1,H2O_1_1_1,RH_1_1_2,WS_1_1_1,PA_1_1_1,PA_1_1_2,CO2_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,USTAR_1_1_1,TAU_1_1_1,H_1_1_1,FC_1_1_1,LE_1_1_1,WS_1_1_2,T_SONIC_1_1_1,G_1_1_1,G_1_2_1,G_1_3_1,G_2_1_1,G_2_2_1,G_2_3_1,G_3_1_1,G_3_2_1,G_3_3_1,T_CANOPY_1_1_1
1,0.25,-8.400103,79.815242,0.775424,3.357251,77.518927,2.988347,69.418055,69.949078,418.571695,-32.286811,-0.337158,-1.825986,0.805411,231.502483,262.030317,0.292793,-0.078185,-17.522674,0.477967,0.937066,3.024581,-6.575694,-1.441646,-1.802523,-2.914103,-2.212916,-2.158137,-2.611617,-2.634276,-2.729554,-2.584613,-16.376915
1,0.75,-8.0621915,79.015168,0.8727225,3.462238,76.025558,3.036802,69.333835,69.862087,419.512471,-47.285776,-0.337145,-2.133954,0.809147,232.316883,264.0285,0.325714,-0.095985,-17.9909,0.55897,1.735623,3.124669,-6.420928,-1.532742,-1.802769,-2.902007,-2.192546,-2.1507335,-2.6234255,-2.630312,-2.7298225,-2.5876635,-16.756298
1,1.25,-8.398029,79.9846785,0.831878,3.46347,72.371735,3.040123,69.321195,69.866173,419.446974,-30.989509,-0.337266,-1.593076,0.816099,237.888333,265.29725,0.3521285,-0.1125345,-19.1541935,0.550683,0.3471125,2.858843,-6.22869,-1.532604,-1.802809,-2.9007995,-2.1930075,-2.148793,-2.6195625,-2.6313495,-2.730016,-2.587106,-17.031103
1,1.75,-8.0763605,77.568812,0.807697,3.3797795,73.777893,2.7929995,69.3131,69.84175,419.1895585,-34.5238805,-0.253057,-1.5651885,0.8690455,238.202433,264.875108,0.274767,-0.069485,-16.745316,0.442925,0.327313,2.733103,-6.49503,-1.532182,-1.802824,-2.921388,-2.1925655,-2.157408,-2.635862,-2.644484,-2.7320415,-2.58809,-16.583327
1,2.25,-8.066277,78.344348,0.845359,3.339489,74.6103065,2.942695,69.3334675,69.868862,418.789357,-27.658218,-0.3372075,-1.295844,0.8527235,237.50075,264.640275,0.3080485,-0.087728,-13.79035,0.64314,1.234483,2.6523375,-6.4432555,-1.560941,-1.802978,-2.91791,-2.228862,-2.165068,-2.643258,-2.653189,-2.733413,-2.58778,-16.8976935
1,2.75,-7.780352,79.559502,0.744053,3.234336,72.5662825,2.7088015,69.3557875,69.893191,419.332661,-22.520236,-0.2951095,-1.0830545,0.7877085,243.662483,265.122058,0.306859,-0.0863125,-15.966996,0.5298905,0.8191635,2.804038,-6.4152785,-1.557861,-1.80299,-2.914364,-2.229174,-2.168261,-2.643302,-2.652578,-2.730809,-2.587686,-15.8187035
1,3.25,-7.387401,79.214955,0.740415,3.16593,71.9803785,2.6594475,69.375579,69.907001,419.742844,-20.914426,-0.337206,-1.0879525,0.621458,249.7935585,266.236358,0.270261,-0.064986,-11.944784,0.375902,3.149829,2.815668,-5.885619,-1.555292,-1.802991,-2.914129,-2.229246,-2.164654,-2.643318,-2.652431,-2.730983,-2.586884,-15.7659875
1,3.75,-7.135919,79.901107,0.762107,3.469465,73.2843115,2.600757,69.355612,69.8911,419.398615,-28.730447,-0.2951065,-1.396138,0.591385,246.098667,267.52475,0.2692565,-0.06609,-13.8415305,0.330087,1.151498,2.681376,-6.237109,-1.551164,-1.802979,-2.967585,-2.229285,-2.176919,-2.642978,-2.652753,-2.736991,-2.589854,-14.6051725
1,4.25,-7.450918,79.403072,0.757884,3.452043,76.4727015,2.610066,69.372862,69.914825,418.66852,-17.392176,-0.337194,-1.122515,0.762719,249.710433,268.041883,0.279696,-0.072312,-15.732738,0.4055535,2.0489905,2.689984,-6.28111,-1.543247,-1.802976,-2.96751,-2.22934,-2.17698,-2.643231,-2.652507,-2.733657,-2.588895,-14.921652
1,4.75,-7.2985545,79.868046,0.7430265,3.1601965,73.7225405,2.834595,69.345032,69.89987,418.170505,-24.298757,-0.3026265,-1.306798,0.554127,248.160267,268.192433,0.285827,-0.074486,-15.166919,0.385963,3.848629,2.7488795,-6.153859,-1.519144,-1.8028955,-2.9680025,-2.2320065,-2.177158,-2.657287,-2.665621,-2.7535305,-2.589244,-15.1746675
