DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1
1,0.25,0.809725,2.99515,3.305225,4.18655,31.689725
1,0.75,0.915475,3.301525,3.903975,6.71205000000001,30.8086
1,1.25,0.7668,3.0714,4.0148,0.657999999999997,18.721
1,1.75,0.8652,3.3792,2.9874,0.655799999999997,13.2602
1,2.25,0.91,3.42275,3.7215,1.302,17.99275
1,2.75,0.7472,2.8936,2.9792,0.941999999999999,14.6138
1,3.25,0.740925,2.575625,5.891575,4.41489999999999,17.63415
1,3.75,0.740974999999999,2.43125,4.542925,-0.360100000000001,11.025775
1,4.25,0.7298,2.53285,6.36175,5.15580000000001,11.48285
1,4.75,0.7017,2.5752,4.0173,0.248199999999999,15.7921
1,5.25,0.6713,2.400975,2.941775,0.738074999999999,15.5805
1,5.75,0.629125,2.396625,5.813125,17.760625,26.130875
1,6.25,0.6519,2.3883,4.4776,13.1901,18.8257
1,6.75,0.6419,2.29405,4.187375,-0.280075000000003,16.236125
1,7.25,0.762875,2.723125,5.86914999999999,4.5934,20.634525
1,7.75,0.7266,2.63585,6.13464999999999,-0.350350000000002,27.6481
1,8.25,0.7445,2.5679,5.1709,16.4137,22.6595
1,8.75,0.77525,2.957875,9.410625,69.80575,59.165625
1,9.25,0.953725,3.5277,11.77585,119.36695,83.29525
1,9.75,0.9055,3.44075,5.30025,148.481875,74.00325
1,10.25,0.953,3.343,6.49975,189.1025,122.1575
1,10.75,1.02115,3.663325,-0.553400000000002,220.772175,119.512425
1,11.25,1.0095,3.762,-1.620275,264.774725,168.9315
1,11.75,1.098,4.05575,-2.324475,268.056225,175.24125
1,12.25,1.2077,4.36475,-2.1735,286.256825,205.0631
1,12.75,1.14765,4.15675,-1.74,255.2526,163.50995
1,13.25,1.1103,4.3899,-0.598600000000002,264.5942,182.1961
1,13.75,1.1633,4.4104,-2.81,251.0497,183.0138
1,14.25,1.1718,4.1617,-2.102125,250.5972,204.9097
1,14.75,1.12075,3.84675,1.2965,209.5805,169.81125
1,15.25,1.1606,4.2131,0.399750000000004,208.970775,180.693225
1,15.75,1.11955,3.9439,1.20785,178.0769,205.5106
1,16.25,1.0099,3.5844,15.3943,149.6021,197.11735
1,16.75,0.95435,3.377525,2.098725,93.63825,164.08385
1,17.25,0.858975,2.888075,3.860275,70.4538,168.887875
1,17.75,0.944425,2.95075,3.0157,34.760375,126.490575
1,18.25,0.8713,3.2477,3.2088,2.0735,108.4363
1,18.75,0.899625,3.2537,3.462575,3.2984,64.718375
1,19.25,0.82435,3.075525,3.100975,3.23690000000001,44.049375
1,19.75,1.0239,3.499475,4.02025,1.858825,62.254675
1,20.25,0.857375,3.41095,5.827925,6.49327499999998,38.391625
1,20.75,0.88335,3.287725,2.640325,3.34455,25.805
1,21.25,0.9688,3.4723,3.168,2.074525,32.0394
1,21.75,1.01,3.5967,3.4825,2.09319999999999,24.0936
1,22.25,0.9813,3.8061,3.8331,4.61659999999999,22.7917
1,22.75,1.0385,3.7027,4.9637,-0.0441000000000027,41.8007999999999
1,23.25,0.96705,3.260675,5.69495,7.145025,34.2872
1,23.75,1.0854,3.823,4.8835,7.74899999999997,25.7917
2,0.25,0.928375,3.041125,4.268875,7.00475,28.776625
2,0.75,1.016375,3.17495,4.162175,0.355374999999999,23.634525
2,1.25,0.9845,3.2733,5.59645,0.487249999999999,31.5582
2,1.75,1.1066,3.225,4.8204,0.626600000000001,37.0124
2,2.25,0.9674,3.1475,7.4834,1.2334,44.11955
2,2.75,0.9398,3.307,6.649,10.1224,45.5392
2,3.25,0.9114,3.378,6.27975,11.5524,33.9775
2,3.75,0.908525,3.46365,5.49147499999999,7.72054999999999,29.3111
2,4.25,0.9227,3.65079999999999,6.198125,0.405399999999994,32.78475
2,4.75,0.89945,3.3485,3.793775,1.658125,28.284325
2,5.25,0.83125,2.8714,3.793175,4.81629999999998,29.159625
2,5.75,0.96685,2.943675,3.80935,8.811375,28.060875
2,6.25,0.8286,2.8556,5.9068,8.81159999999998,25.8776
2,6.75,0.96495,3.17305,5.499375,-0.4545,21.994625
2,7.25,0.87785,2.7967,5.18925,4.17352499999999,22.447275
2,7.75,0.8502,2.90215,7.5398,22.08045,29.4739
2,8.25,0.866,2.8873,3.5358,60.860275,42.7206
2,8.75,0.974,3.301,2.14975,120.5005,115.431
2,9.25,1.066825,3.793575,3.107125,159.21615,125.5115
2,9.75,1.06075,3.89925,-0.22225,194.28125,204.52
2,10.25,1.07225,3.8725,-0.721275000000001,263.63925,205.978425
2,10.75,1.0805,3.5093,-0.878849999999999,264.3758,220.603825
2,11.25,1.13505,4.06275,-0.806775000000005,318.462075,256.25075
2,11.75,1.1972,3.8282,-0.936200000000009,307.5132,253.99665
2,12.25,1.23225,4.601125,-4.8135,310.24275,265.734125
2,12.75,1.2695,4.351125,-5.3145,324.65425,328.094
2,13.25,1.3816,4.5452,-3.338,314.3844,262.6476
2,13.75,1.289425,4.8694,-2.597725,308.269,237.514375
