DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,0.25,0.153,-0.975,0.7175,-0.022,-29,-1,-38.25,70.375,100.7,0.135,-71.25,0,0,0,0,243,300.75
1,0.75,0.1495,-1.3,0.64,-0.0905,-27,0,-40,71.875,100.7,0.1,-75,0,0,0,0.5,240.75,300.5
1,1.25,0.147,-1.55,0.8025,0.04625,-30,-2,-41,71.65,100.801,0.0975,-74,0,0,0,0,242.5,298.75
1,1.75,0.144,-1.45,0.945,-0.329,-24.75,-2,-41,71.8,100.801,0.1075,-74,0,0,0,0,247,299.75
1,2.25,0.145,-1.425,0.9,0.091,-24,-1,-40,71.675,100.801,0.0975,-74.25,0,0,0,0,241.5,298.5
1,2.75,0.14,-1.625,1.0125,0.097,-21,-1.5,-40,73.275,100.801,0.1575,-77.25,0,0,0,0,236,297.75
1,3.25,0.1555,-1.625,1.0575,-0.03375,-22.25,-1,-40.25,74.05,100.801,0.19,-77.25,0,0,0,0,235.25,297.25
1,3.75,0.1415,-2.1,0.9775,-0.261,-20,-1,-41,75.125,100.801,0.1675,-77,0,0,0,0,237,296.75
1,4.25,0.1425,-2,0.9525,-0.045,-20.5,-2.5,-41,75.775,100.801,0.1275,-76.25,0,0,0,0,231.75,297.25
1,4.75,0.137,-2.025,0.955,-0.45425,-20.5,-1,-41,77.225,100.801,0.1375,-73,0,0,0,0,234,297
1,5.25,0.1515,-2.05,0.8675,0,-21,-2,-41,79.375,100.9,0.1,-74.25,0,0,0,0,233.25,297.75
1,5.75,0.14825,-2.15,1.025,-0.1245,-20,-4,-42,79.55,100.9,0.0575,-73.5,0,0,0,0,234,297.75
1,6.25,0.13225,-2.35,1.1525,0.14275,-18.75,-3.5,-42,79.075,100.87525,0.0575,-69.25,0,0,0,0,236.75,296.75
1,6.75,0.132,-2.45,1.02,-0.0565,-17,-5,-41.25,78.75,100.87525,0.0625,-65.5,0,0,0,0,226.75,295.75
1,7.25,0.116,-2.325,1.0175,-0.051,-17,-4,-41,77.625,100.9,0.05,-57,10,5,1,1,233.25,296.75
1,7.75,0.1495,-2.125,1.0875,0,-11,-1,-38.25,77.225,100.9,0.0675,-31,41.75,22.75,5,4,234.25,301
1,8.25,0.184,-1.025,1.6225,-1.16425,-3,8.25,-34.25,73.875,100.9,0.2175,9,79.5,39.75,9.75,8,229,309
1,8.75,0.222,0.275,1.9375,-1.8745,7,14,-28.25,68.425,100.9,0.515,39.75,130.5,71,16,13,216.75,318.75
