DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,SLE,G,TS,RH,PA,CO2,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA
1,0.25,0.06228988205,-13.7025,0.894768805875,-2.858065301425,-0.5528430108,-84.248071495,-10.756225594,-1.50972529785,-5.01615,-0.27635,23.6465,77.82691138775,361.2765100025,-85.50475,0,0,163.725,223.5325,2.59026882495,-0.458862412025,0.29904155605,0.274164236275,0.0863650062,-13.85246019575,0.09555046125
1,0.75,0.0468613394,-13.712,1.0673983548,-2.6099638575,-1.3468878835,-90.9264079595,-10.14829790575,-3.5845253328,-5.5468,-0.2798,22.579,77.818744326,361.61886951,-85.81225,0,0,163.3125,225.2175,2.48999598365,-0.4465727254,0.2289119822,0.29491575,0.071570434,-14.009316078,0.0964609064
1,1.25,0.03875562445,-13.9565,1.1402697579,-1.8509137322,-1.72219071995,-81.934594372,-16.1858714665,-1.79226482305,-4.9948,-0.2789,23.3935,77.72270437475,361.6842214775,-91.40425,0,0,163.12,223.325,2.7510862864,-0.510442151625,0.196976663625,0.22188883475,0.063003607625,-14.08489624375,0.0955021345
1,1.75,0.0745091478,-14.1455,1.172766792,-2.326286866,-3.523615759,-97.642241594,-16.28851671,-6.0784314851,-5.1575,-0.27835,24.801,77.753509772,361.71396442,-95.15,0,0,163.4925,226.5925,2.643445493375,-0.4769209457,0.2686036174,0.2752900847,0.060728041,-14.241626613,0.0998607138
1,2.25,0.0785976442,-14.8965,0.6835381349,-3.5773736494,-3.38069198735,-89.68621404,-18.2719700795,-4.182006987,-5.1507,-0.2794,22.38,77.801186793,361.77168034,-98.5525,0,0,163.65,225.6775,1.902180595375,-0.4309008735,0.3613367407,0.2532168664,0.1035056013,-14.772538469,0.0886658857
1,2.75,0.059484502,-15.4245,1.0098804878,-2.4927949743,-8.005204064,-94.13685708825,-22.206310883,-2.123340647975,-6.8052,-0.281,23.316,77.904459616,361.68084017,-96.89225,0,0,163.645,222.485,2.6413657151,-0.4734677198,0.2759411552,0.267747202,0.1006037434,-13.265170594,0.0878919876
1,3.25,0.0454391326,-15.721,1.097176586,-0.502889035325,-4.1523661382,-99.499066455,-18.04967338,-1.592409397325,-5.84185,-0.2838,24.0205,77.926524064,361.385398055,-94.58025,0,0,162.6725,224.7625,2.80003584365,-0.5584375628,0.2395072282,0.2140726778,0.0491818346,-13.158968588,0.0726500968
1,3.75,0.0556614572,-15.868,0.8868814604,-2.4067843625,-0.8427017804,-114.3610941315,-29.40739633825,-1.8497286044,-5.7212,-0.295125,24.3645,77.928510718,361.44930253,-95.62,0,0,161.5775,225.7575,2.4901122637,-0.6189695612,0.2776995394,0.2395422522,0.0563941688,-13.44753294,0.0904783302
1,4.25,0.08150299835,-15.942,0.814625628125,-0.92995242115,-0.07992556025,-105.8704041775,-20.28683113,-1.91440770465,-5.9652,-0.2907,21.0855,77.890822847,361.54899897,-95.24825,0,0,159.725,223.57,2.43375505985,-0.544521464575,0.34670441575,0.280420430775,0.093349454,-13.557238294,0.072971965075
1,4.75,0.049056752,-15.9065,0.767519771425,-2.190470757,-0.90145782555,-99.2755478045,-191.3547873,-1.396681603,-5.4197,-0.292,22.46,77.87862227725,361.58910163,-91.5635,0,0,160.4725,225.5375,2.267140351075,-0.4856832195,0.2696326719,0.2001838617,0.070661320925,-13.7699193975,0.085068727875
