DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_2,NEE,FC,SC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.0825,23.155,1.77,2.28,0.26,-2.94,-14.8875,-1.24,-4.845,24.78,24.785,74.864,98.51,395.62,5.17,-18.54,-3.43,-1.65,0.31,-0.19,402.075,438.755,25.155
1,0.75,0.1,23.09,1.855,1.03,0.45,-3.2,-16.12,-0.2375,-5.03,24.78,24.78,76.7455,98.48,397.6,4.1975,-17.7475,-3.5,-1.68,0.335,-0.15,400.43,438.3425,23.57
1,1.25,0.09,22.775,1.865,3.1825,0.8775,-3.1225,-19.98,-0.7625,-5.15,24.775,24.78,77.677,98.455,399.0225,4.08,-18.505,-3.2625,-1.5625,0.365,-0.14,400.745,437.92,23.31
1,1.75,0.12,22.67,1.67,2.1275,1.145,-3.385,-19.045,0.215,-5.385,24.76,24.78,78.4195,98.445,400.065,4.02,-18.6875,-3.15,-1.505,0.3925,-0.12,399.25,437.7125,23.36
1,2.25,0.11,22.64,1.59,-0.22,0.4275,-4.97,-17.24,-1.37,-5.41,24.75,24.775,79.37175,98.42,400.835,3.7075,-17.435,-3.065,-1.47,0.4125,-0.11,400.005,437.1075,23.6
1,2.75,0.12,22.4425,1.81,3.06,3.21,-2.1775,-20.15,0.08,-5.49,24.735,24.765,79.79875,98.4025,402.57,3.4425,-18.2825,-3.15,-1.51,0.4225,-0.085,400.41,436.355,23.49
1,3.25,0.13,22.25,1.79,0.35,3.1225,-4.825,-18.3225,-0.07,-5.44,24.725,24.76,80.1755,98.42,405.2675,3.45,-18.7625,-3.12,-1.4975,0.4575,-0.07,398.7225,435.9075,23.16
1,3.75,0.105,22.33,1.625,1.11,1.6,-4.4975,-16.0725,-0.35,-5.735,24.715,24.75,81.0215,98.415,405.73,3.355,-16.655,-3,-1.435,0.515,-0.0925,397.0075,435.6325,23.31
1,4.25,0.11,22.26,1.83,4.135,2.0575,-3.18,-14.84,0.01,-5.9125,24.7125,24.7425,81.2465,98.4275,406.155,3.17,-16.2945,-2.8475,-1.3675,0.545,-0.095,398.035,435.355,23.28
1,4.75,0.1025,22.25,1.78,3.08,2.48,-4.51,-19.62,-0.19,-5.76,24.7,24.74,81.8545,98.44,405.5,2.9675,-16.6395,-2.795,-1.3375,0.575,-0.07,396.855,434.71,23.2175
1,5.25,0.15,22.21,1.8325,3.1075,2.435,-3.3425,-20.445,-0.07,-5.705,24.68,24.73,82.1345,98.47,408.68,2.725,-17.315,-2.4675,-1.1875,0.58,-0.05,395.715,433.45,23.215
1,5.75,0.13,22.11,1.6575,4,2.68,-3.58,-16.52,-0.585,-5.84,24.66,24.7125,82.763,98.5075,412.59,2.51,-10.05,6.6975,3.2075,1.1025,0.5025,394.065,431.9475,23.0125
1,6.25,0.15,21.98,1.795,-0.99,2.8775,-10.04,-14.44,0.74,-5.84,24.6425,24.705,82.518,98.55,412.8525,2.47,6.55,50.515,24.21,2.625,3.355,394.6425,432.95,23.09
1,6.75,0.19,22.14,1.7325,-4.5325,4.06,-13.3775,-10.08,13.655,-5.52,24.63,24.6875,82.387,98.59,412.7725,2.7725,37.52,136.5725,65.46,4.505,8.94,397.07,436.3725,23.2
1,7.25,0.26,22.5,1.74,-14.53,0.525,-23.385,-2.42,35.4775,-5.355,24.6125,24.67,81.17325,98.64,412.5525,2.8375,64.99,211.9675,101.6025,6.69,14.57,402.985,439.0725,23.425
1,7.75,0.31,22.71,1.69,-17.67,-3.1025,-20.6525,1.07,60.3,-4.695,24.5925,24.6525,79.855,98.67,406.2775,3.17,110.005,352.825,169.12,9.49,22.195,408.295,442.0225,23.555
1,8.25,0.39,23.08,1.7,-23.35,-8.575,-18.68,13.23,97.17,-3.865,24.5725,24.635,77.03875,98.7,402.8075,3.71,145.13,452.1975,216.745,12.375,28.35,414.58,445.22,23.665
1,8.75,0.4,23.41,2.01,-22.5225,-12.12,-13.06,28.7825,127.46075,-2.9375,24.5525,24.615,73.9135,98.725,398.305,4.65,199.42,594.91,285.15,15.53,42.6025,417.18,448.25,23.8975
1,9.25,0.43,23.8575,1.815,-25.6075,-17.52,-12.035,41.93,176.755,-1.495,24.5075,24.5975,71.072,98.7325,393.77,5.91,271.12,789.4925,378.42,20.6975,46.39,422.6575,452.82,23.86
1,9.75,0.43,24.2775,1.8375,-24.6825,-17.56,-9.29,38.19,181.825,-0.1325,24.495,24.5625,68.9075,98.73,388.725,7.05,288.1175,817.6625,391.9175,19.5075,52,426.655,459.315,23.73
1,10.25,0.4525,24.67,1.91,-23.43,-19.0325,-8.295,42.3975,202.5125,1.275,24.495,24.5625,66.604,98.725,386.045,7.105,297.96,844.4,404.735,19.7575,52.7575,433.75,462.115,23.6675
1,10.75,0.415,24.84,1.9,-22.435,-18.2875,-6.7675,42.78,202.3,1.74,24.49,24.55,63.646,98.7,382.895,7.715,262.2,769.8375,368.995,18.7925,49.52,436.24,464.315,23.425
1,11.25,0.465,25.02,1.71,-23.75,-20.51,-5.5,56.65,257.9125,2.355,24.49,24.555,61.315,98.68,380.97,8.1175,277.13,821.25,393.64,20.885,50.02,438.09,465.99,23.44
1,11.75,0.41,25.065,1.7725,-22.26,-19.5675,-4.13,48.9375,264.145,2.6425,24.4925,24.5525,62.68575,98.64,378.39,11.865,303,901.96,432.32,21.305,52.725,439.79,466.15,24.31
1,12.25,0.385,25.51,1.72,-19.65,-19.3125,-3.29,44.4525,252.2025,3.13,24.4925,24.5525,61.90275,98.6,377.6025,13.15,258.56,848.27,406.59,22.4825,55.305,440.13,466.88,24.3975
1,12.75,0.42,25.4975,1.675,-18.7,-16.55,-2.44,59.94,233.285,3.2575,24.5025,24.5525,58.757,98.545,375.8,10.87,208.095,545.29,261.37,22.255,57.445,436.3175,467.815,23.44
1,13.25,0.405,25.925,1.6375,-16.76,-16.26,-1.8075,44.2025,227.8375,2.9675,24.5025,24.5625,57.689,98.49,375.105,10.7475,239.76,559.65,268.25,20.91,49.335,432.3725,467.07,23.65
1,13.75,0.36,25.74,1.605,-15.9275,-13.945,-1.9975,29.2,219.9225,3.055,24.5025,24.57,57.264,98.43,374.24,9.865,152.16,503.1275,241.1575,16.6605,39.1575,432.125,465.06,23.5075
1,14.25,0.35,25.6325,1.615,-12.84,-13.3975,-1.305,25.0525,171.3225,3.09,24.5125,24.57,58.4705,98.3775,374.545,9.425,161.655,517.32,247.9625,15.305,39.5925,434.795,465.22,23.29
1,14.75,0.3325,25.3475,1.42,-10.41,-11.07,-0.98,29.0975,150.395,2.6025,24.54,24.58,59.65875,98.34,373.88,8.045,138.23,493.8675,236.7225,13.93,36.4,432.92,466.32,23.465
1,15.25,0.25,25.4,1.335,-9.755,-9.26,-0.98,1.965,124.7025,2.4375,24.56,24.5825,57.3845,98.2975,373.82,8.72,105.015,423.5,202.99,12.265,30.1,428.4575,465.79,23.5275
1,15.75,0.2625,25.23,1.3,-5.83,-7.3475,0.0225,2.345,91.795,2.13,24.58,24.59,58.8225,98.28,373.76,8.2425,111.555,367.4,176.1025,10.885,23.66,422.3475,464.7325,23.7
1,16.25,0.22,25.52,1.21,-3.78,-5.2725,0.39,-1.335,55.855,2.105,24.6,24.6,58.247,98.26,373.13,8.8,71.8775,231.665,111.045,7.47,15.075,420.055,461.66,23.5075
1,16.75,0.18,25.3175,1.155,-0.8575,-2.72,1.38,-2.29,34.9425,1.69,24.62,24.61,59.89775,98.27,373.2825,7.94,37.76,147.6375,70.76,5.02,10.6,416.65,459.255,23.655
1,17.25,0.14,25.1075,1.0025,4.2925,-1.4025,4.035,-7.545,9.465,0.97,24.635,24.62,62.56475,98.29,374.22,6.9875,9.355,74.6125,35.76,2.8625,4.91,415.1275,456.3875,23.53
1,17.75,0.09,24.88,1.0675,7.215,-0.135,5.465,-7.685,1.44,0.11,24.655,24.63,64.09775,98.32,376.915,6.55,-17.415,16.6725,7.99,0.935,1.445,410.94,453.7775,23.6625
1,18.25,0.0725,24.715,1.24,5.585,0.005,4.6625,-6.765,-0.7925,-0.535,24.665,24.645,64.179,98.3475,378.12,6.0075,-29.485,-3.5075,-1.68,0.31,-0.07,407.4425,449.74,23.73
1,18.75,0.07,24.54,1.33,6.31,-0.025,4.4725,-8.5,0.53,-1.225,24.68,24.66,65.08525,98.37,380.02,6.0725,-28.495,-4.15,-1.99,0.28,-0.195,405.91,447.63,23.615
1,19.25,0.07,24.29,1.39,6.89,0.035,4.4425,-8.4975,0.9425,-1.93,24.69,24.675,65.7185,98.41,381.33,5.91,-25.71,-4.14,-1.99,0.26,-0.245,406.17,447.7,23.65
1,19.75,0.06,24.33,1.68,5.53,0.11,2.925,-9.885,-0.22,-2.315,24.71,24.685,66.326,98.4575,382.04,6.33,-24.595,-3.9925,-1.915,0.2775,-0.245,405.85,446.5025,23.61
1,20.25,0.07,24.08,1.67,5.16,0.41,2.47,-12.735,0.74,-2.85,24.725,24.7,66.98,98.49,384.0775,6.025,-23.97,-3.97,-1.9,0.26,-0.2175,404.66,445.93,23.745
1,20.75,0.08,23.9975,1.64,3.35,0.2625,0.64,-12.905,1.845,-3.34,24.74,24.71,68.814,98.54,385.03,5.48,-24.61,-4.01,-1.92,0.2775,-0.2,404.83,445.67,23.88
1,21.25,0.0725,23.8175,1.71,4.29,0.225,0.92,-12.4,-0.405,-3.655,24.75,24.715,69.75625,98.545,386.125,4.995,-24.78,-3.8975,-1.87,0.26,-0.19,403.655,443.825,23.67
1,21.75,0.06,23.78,1.625,2.4,0.2675,-2.0975,-11.455,-0.3375,-4.03,24.755,24.725,70.731,98.57,387.255,5.07,-24.33,-3.8,-1.82,0.26,-0.235,403.275,443.5325,23.585
1,22.25,0.07,23.6275,1.64,2.6,0.1,-1.14,-13.83,-0.23,-4.085,24.76,24.73,72.694,98.58,388.8125,4.8675,-25.14,-3.7925,-1.8125,0.27,-0.2925,403.235,443.095,23.68
1,22.75,0.07,23.585,1.7025,2.63,0.1825,0.73,-12.855,-0.2725,-4.29,24.765,24.735,73.00425,98.57,390.8125,3.95,-20.9,-3.68,-1.765,0.28,-0.26,401.93,442.4675,23.73
1,23.25,0.08,23.505,1.745,3.085,0.58,-0.085,-16.059,-0.6375,-4.545,24.775,24.745,74.1985,98.5425,393.07,3.96,-20.58,-3.6025,-1.73,0.29,-0.2,401.54,441.385,23.76
1,23.75,0.075,23.3825,1.7375,2.935,0.3025,-0.98,-13.175,0.0525,-4.72,24.775,24.75,74.024,98.535,393.9425,5.36,-20.45,-3.475,-1.665,0.31,-0.1775,400.64,439.455,25.02
2,0.25,0.12,22.665,1.9025,2.8575,1.74,-4.0925,-16.14,-0.2025,-5.01,24.575,24.68,85.22475,98.53,396.33,1.2225,-16.355,-2.655,-1.2775,0.325,-0.0525,411.6,434.445,25.73
2,0.75,0.11,22.505,1.87,4.88,2.32,-3.66,-13.22,0.15,-5.215,24.57,24.685,78.13925,98.515,397.91,4.1175,-16.1745,-2.5375,-1.215,0.35,-0.07,412.015,434.205,23.93
2,1.25,0.1175,22.4,1.775,4.3125,2.755,-4.085,-12.385,-0.2,-5.34,24.565,24.68,78.298,98.49,400.525,3.9,-15.09,-2.525,-1.2075,0.37,-0.06,406.89,433.565,23.8075
2,1.75,0.11,22.33,1.725,3.76,2.375,-4.22,-16.239,0.1525,-5.48,24.555,24.68,78.4715,98.46,399.985,3.46,-16.08,-2.545,-1.22,0.36,-0.06,404.7075,433.21,23.75
2,2.25,0.12,22.225,1.66,3.2675,2.9175,-3.55,-15.81,-0.2475,-5.735,24.545,24.675,79.7365,98.44,400.68,3.31,-14.72,-2.37,-1.135,0.4,-0.0725,405.19,432.8025,23.6925
2,2.75,0.1375,22.21,1.58,5.36,3.22,-3.19,-13.3325,0.7425,-5.885,24.52,24.67,79.98,98.44,401.39,2.87,-15.5225,-2.285,-1.0975,0.47,-0.06,408.3,432.43,23.6625
2,3.25,0.13,22.11,1.63,5.6325,3.39,-2.215,-14.76,0.65,-5.975,24.52,24.66,80.4845,98.435,404.51,2.59,-15.925,-2.205,-1.055,0.4975,-0.07,411.47,432.07,23.58
2,3.75,0.12,22.06,1.7025,4.45,2.825,-3.11,-13.92,1.235,-6.205,24.52,24.645,81.3095,98.4475,405.795,1.895,-14.445,-2.115,-1.015,0.5125,-0.06,409.85,431.75,23.605
2,4.25,0.13,22.005,1.625,4.255,3.16,-5.675,-15.0575,-0.63,-6.345,24.515,24.64,81.34775,98.4575,403.365,2.5275,-14.6025,-2.125,-1.0175,0.545,-0.06,410.81,431.78,23.5925
2,4.75,0.15,22.005,1.78,5.935,4.68,-2.8675,-15.165,0.195,-6.32,24.5,24.63,81.566,98.4825,406.08,2.39,-12.04,-1.93,-0.92,0.57,-0.05,412.665,431.485,23.44
2,5.25,0.13,22.0225,1.77,7.0475,4.5125,-1.77,-14.8475,0.38,-6.26,24.46,24.615,81.78875,98.5,407.66,1.71,-11.2875,-1.855,-0.89,0.655,-0.03,411.935,431.045,23.35
2,5.75,0.14,21.975,1.6575,3.97,3.52,-3.675,-13.85,0.315,-6.07,24.44,24.61,82.0625,98.53,408.87,2.05,-8.33,2.1,1.005,0.915,0.2425,412.21,430.89,23.355
2,6.25,0.15,21.9875,1.54,1.89,5.15,-5.665,-13.09,0.815,-6.04,24.415,24.6,82.123,98.56,410.885,2.1375,4.85,36.24,17.37,2.1,2.32,416.315,431.43,23.365
2,6.75,0.2,22.0825,1.51,-1.385,5.0025,-8.47,-10.47,9.13,-5.855,24.39,24.585,82.606,98.5925,411.01,1.73,29.99,109.495,52.4875,3.56,6.6325,416.26,432.655,23.545
