DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,G_2_1_1,TA_1_1_3,TA_1_1_2,TS_1_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,G,TA
1,0.25,349.2824358375,-3.5071097235,-14.1905,-52.42474314125,0.961336512275,-12.470594703,151.02,227.58,-92.3,96.736886994,-0.4646,-0.452,61.3893866153565,-1.21187341735,-3.217859664325,-1.5301274317,-3.0446,-0.3502,-0.8750574436,-19.21425,-2.933625,-1.43615,-0.4089,1.282075,4.06615,-4.933925,-3.233275,-1.7,0.903625,2.960175,-20.5265,-18.720250702,0.0397695351,0.0902054889829486,0,0.09244025635,0.457910523225,0.023014938125,-12.77075,-13.3995,-20.49037,3.416475,-1.99075,-0.55165,0.20005,0.85115,1.56415,2.3022,2.9501,3.95805,5.26295,-1.673075,-0.372475,0.48235,1.214675,2.1764,2.368,2.9425,3.6725,4.985,-21.4861942923578,-17.503
1,0.75,349.3885554975,-1.80483630965,-14.80675,-58.599979236,0.99554424825,-11.2059,151.115,225.99,-91.4875,96.522541862,-0.399825,-0.423,61.7183195557645,-1.3138238925,-2.97323298925,-1.860331404125,-3.01865,-0.305375,-0.825298044,-19.15225,-3.06375,-1.487675,-0.3924,1.267675,4.06615,-4.945825,-3.21815,-1.7,0.90335,2.965575,-20.928,-18.7384818669285,0.0579,0.123318874437668,0,0.103453570126287,0.4095948031,0.02428959875,-12.8685,-13.804,-20.74972825,3.40855,-1.915725,-0.5673,0.201,0.833575,1.567075,2.3056,2.95305,3.961025,5.245975,-1.676875,-0.35775,0.48425,1.216625,2.1842,2.375125,2.9435,3.666,4.985,-23.5956474866936,-17.664
1,1.25,349.62353218,-2.448787764675,-14.75925,-52.6726673225,0.95924421955,-8.81035287105,150.5375,224.825,-93.075,96.7872103945,-0.259325,-0.4395,60.9591642432016,-1.20516671675,-3.86240589875,-2.675497754525,-3.300325,-0.279275,-0.7291980563,-19.39025,-3.0884,-1.50495,-0.40085,1.2271,4.047775,-5.01245,-3.213475,-1.7,0.85255,2.971775,-20.7645,-18.7871722007762,0.068393896,0.10230326625,0,0.0960522819879885,0.5071079,0.03154604775,-12.98975,-13.80275,-21.1700975,3.41695,-2.01025,-0.605775,0.200525,0.833575,1.567075,2.3056,2.95255,3.961025,5.245975,-1.684,-0.364875,0.477125,1.216625,2.1842,2.375125,2.9435,3.666,4.9725,-24.3352123599556,-17.758
1,1.75,348.603850125,-3.3897325,-15.044,-58.06832159375,0.927465519509431,-9.359535298375,150.615,223.795,-92.7,96.409684593,-0.2448,-0.423,59.83,-0.4898615694,-3.7664137135,-1.95130469075,-3.030475,-0.21985,-0.875609878,-19.8505,-3.0884,-1.51375,-0.3915,1.254725,4.065325,-4.958625,-3.204675,-1.7,0.8671,2.923925,-20.8785,-19.1685450809672,0.057918209,0.143203725989575,0,0.0893037999,0.476434006375,0.0259057157,-13.12375,-13.657,-21.21371675,3.408075,-2.12185,-0.625725,0.182,0.833075,1.567075,2.287075,2.95305,3.941525,5.245975,-1.691125,-0.353,0.477125,1.216625,2.169,2.375125,2.936,3.666,4.9525,-24.445807778406,-17.806
1,2.25,347.54535697,-2.180704739,-15.52075,-53.753192004,0.9217700416,-10.094784,151.05,225.3,-92.095,96.40972384,-0.26025,-0.3748,58.9790803778646,-2.12931146825,-2.9764166225,-1.7974078379,-3.1222,-0.1691,-0.8100830314,-20.0215,-3.15,-1.5105,-0.383525,1.2472,4.04875,-4.94135,-3.226075,-1.71785,0.87575,2.936975,-20.9735,-19.7612295775,0.057593536975,0.11941963725,0,0.10588871825,0.4744835895,0.026364788625,-13.184,-13.3925,-21.43292475,3.415675,-2.04825,-0.6452,0.20005,0.833575,1.567075,2.287075,2.93305,3.941525,5.245975,-1.705375,-0.364875,0.477125,1.216625,2.1652,2.375125,2.936,3.666,4.96,-25.1218997227062,-17.723
1,2.75,348.096462175,-2.654779941625,-15.613,-54.871290404,0.919701733128162,-13.8946934975,152.77,224.18,-91.675,96.632562608,-0.18155,-0.433575,59.9580084699729,-1.1631,-3.19044272395,-1.3015,-3.128075,-0.257975,-0.79653963525,-20.64175,-3.1714,-1.5275,-0.4085,1.26125,4.016575,-4.825,-3.2214,-1.743575,0.89175,2.960175,-21.669,-20.1770677203688,0.047286879625,0.115408434942916,0,0.0804008806,0.49169026265,0.03283078245,-13.2385,-13.355,-22.04542575,3.408075,-1.9523,-0.664675,0.20005,0.833075,1.547575,2.287075,2.93355,3.941525,5.245975,-1.719625,-0.383875,0.47,1.216625,2.1804,2.375125,2.9435,3.661625,4.9725,-25.4707858323434,-17.7515
1,3.25,347.74997088,-3.367309122,-15.713,-53.88392438,0.9584507325,-8.797378,152.635,223.5,-92.74,96.41389,-0.1871,-0.4934,59.1324832216084,-0.996020009,-3.6038710275,-1.70332288675,-3.166125,-0.2251,-0.84589538475,-20.62275,-3.1884,-1.5275,-0.4,1.2728,4.0326,-4.599925,-3.24235,-1.7525,0.86315,2.94785,-22.0305,-20.465513302647,0.05386292585,0.113572544898325,0,0.10575658175,0.297771193125,0.05066861725,-13.3365,-13.393,-22.80407125,3.424075,-1.968475,-0.68415,0.18105,0.833075,1.547575,2.287075,2.93305,3.941525,5.245975,-1.70775,-0.396375,0.47,1.209125,2.1652,2.375125,2.936,3.666,4.965,-25.228162604721,-17.8525
1,3.75,347.13507519,-3.1630209918,-15.82,-53.66958332625,0.9654137329,-10.725834203,153.5575,223.18,-93.2,96.412595575,-0.1824,-0.5059,60.02725,-2.071336243,-3.6512514225,-2.300687174125,-3.1526,-0.288375,-0.7738731574,-20.5035,-3.2,-1.526775,-0.4,1.2752,4.000975,-4.530125,-3.2007,-1.74305,0.8467,2.9493,-22.4525,-20.9384769115,0.04742192845,0.116738239686605,0,0.114373830595195,0.40385142575,0.0399509446428886,-13.528,-13.78375,-23.3905785,3.415675,-1.86825,-0.723125,0.199575,0.81455,1.547575,2.287075,2.93305,3.941525,5.245975,-1.714875,-0.396375,0.47,1.209125,2.1652,2.375125,2.936,3.666,4.965,-25.3527157297224,-17.98475
1,4.25,341.63194608,-2.9640286135,-15.91775,-51.57657135,0.9606577391,-9.395655969,151.4225,222.74,-94.04,96.5083849105,-0.188075,-0.4841,60.41325,-2.1601024339,-3.7542695394,-1.2859598907,-3.203975,-0.29205,-0.737623289225,-20.2325,-3.17535,-1.503575,-0.4178,1.248075,4.047775,-4.63805,-3.1238,-1.700525,0.839225,2.960175,-22.825,-20.8761326465171,0.045835765625,0.150558428433949,0,0.109096239286407,0.3863676989,0.03517054385,-13.71675,-14.0855,-23.26655225,3.4406,-1.803075,-0.76635,0.19815,0.8131,1.5442,2.28415,2.9301,3.93905,5.24395,-1.722,-0.40825,0.47,1.209125,2.1652,2.375125,2.936,3.654125,4.9725,-25.4173558313616,-18.2295
1,4.75,348.42797732,-2.37834560835,-15.99625,-52.64123637,0.9511396322,-10.9451536739,151.67,225.46,-92.19,96.56442558,-0.1641,-0.441475,61.315,-3.0860819242,-3.47995512955,-1.52271935185,-3.160875,-0.2866,-0.728601381625,-20.412,-3.05995,-1.4972,-0.4094,1.219825,4.0326,-4.75855,-3.163375,-1.735175,0.8373,2.960175,-21.5545,-19.92155244,0.040686119,0.110636540076053,0,0.10832208916006,0.42176845215,0.028,-13.8925,-14.1985,-22.40814175,3.417,-1.73705,-0.80055,0.1972,0.8131,1.5271,2.26515,2.9301,3.93805,5.24295,-1.74575,-0.42725,0.46525,1.216625,2.1652,2.375125,2.936,3.666,4.965,-23.6693229869626,-18.386
