DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,LW_IN,LW_OUT,VPD,CO2
1,0.25,0.5096206835,0.644978036,-1.43783,0,-20.756,-0.82069,75.6617,0.0855,99.27305,0.453471,-5.86529,0.0094105,-0.692574,0.596428,-6.3673,-7.0624,-8.195975,-7.355875,-7.0505325,-7.802025,229.32,249.91,0.23616,428.7091
1,0.75,0.485916696,0.385708,-1.69063,0,-21.09605,-0.8346245,75.78925,0.0938,99.3078,0.3990705,-5.877135,0.0111857,-0.7152475,0.61913,-6.463485,-7.06177,-8.353295,-7.57777,-7.25329,-7.8866375,228.79,248.595,0.22349,427.8939
1,1.25,0.56715,0.201435,-2.483126577,0,-21.0452,-0.832984,75.6334,0.0907,99.345,0.418746,-5.32089,0.00871372,-0.710822,0.610072,-6.91142,-7.29505,-8.450625,-7.659525,-7.434215,-7.9492275,230.19,250.07,0.24146,428.8148
1,1.75,0.4718689205,0.311359,-1.9442612815,0,-21.03505,-0.84437,75.5996,0.0835,99.3654,0.420523,-5.46,0.009505075,-0.7228645,0.6062915,-6.942555,-7.3099,-8.484655,-7.67151,-7.56392,-7.97699,232.26,249.545,0.23899,427.967
1,2.25,0.570501047,0.292795437,-2.5004258815,0,-20.6107,-0.834215,75.8568,0.0923,99.3769,0.413962,-5.0789,0.008886775,-0.719748,0.6054275,-7.113945,-7.34344,-8.431005,-7.661925,-7.525665,-8.092365,232.1,249.22,0.21708,426.8654
1,2.75,0.337385403,0.105397756,-1.75354,0,-20.97875,-0.836841,75.6843,0.0783,99.36045,0.44101,-5.53728,0.00985244,-0.71801,0.570676,-7.023695,-7.319855,-8.39369,-7.672235,-7.5192525,-8.1222175,230.795,247.815,0.21728,429.22665
1,3.25,0.412595,0.206092,-1.9819326725,0,-20.80185,-0.833879,75.5831,0.0897,99.3374,0.375798,-5.17961,0.007770925,-0.724514,0.577985,-7.042735,-7.319215,-8.384565,-7.66938,-7.4870325,-8.1611925,231.13,247.2,0.21822,427.43175
1,3.75,0.451747669,0.00612,-2.395265,0,-21.2805,-0.826346,75.644,0.0852,99.37665,0.367248,-4.8243,0.00929853,-0.723012,0.607501,-7.06358,-7.339015,-8.361605,-7.67167,-7.487875,-8.10812,233.35,247.79,0.21791,426.769
1,4.25,0.534574332,0.346846815,-1.416650232,0,-21.26715,-0.8411,75.4586,0.09705,99.424,0.3043545,-4.20402,0.00735299,-0.7340045,0.60158,-7.091685,-7.39958,-8.36305,-7.685895,-7.4802,-8.1986725,234.5,248.14,0.21864,425.6471
1,4.75,0.5065775475,0.453033741,-2.0551819485,0,-21.0635,-0.849023,75.02555,0.0887,99.34925,0.340314,-4.1861,0.008576115,-0.73341,0.57108,-7.035625,-7.432115,-8.356305,-7.695905,-7.4833925,-8.2500325,234.31,247.835,0.21126,428.12165
1,5.25,0.5299248525,0.173372984,-2.9485792305,0,-20.90805,-0.84785,75.3685,0.0849,99.406,0.3914455,-3.693985,0.00833838,-0.719965,0.556352,-7.022855,-7.43605,-8.308465,-7.698695,-7.5142975,-8.29186,237.23,248.135,0.22821,425.6995
1,5.75,0.4812397045,0.281919441,-2.262734592,0,-20.8172,-0.8332625,75.555,0.0918,99.28915,0.385333,-4.48753,0.00892539,-0.727005,0.5929,-7.03375,-7.447755,-8.315855,-7.70772,-7.525345,-8.313995,234.17,245.245,0.22235,427.3365
1,6.25,0.472197019,0.33912725,-3.027613735,0,-21.21235,-0.847418,74.88475,0.08915,99.2956,0.4205795,-4.55448,0.009070805,-0.71847,0.60583,-7.04765,-7.443855,-8.31852,-7.72838,-7.562695,-8.3619475,236.38,243.49,0.23008,427.2673
1,6.75,0.6163702555,0.262425,-3.339303022,0,-21.244,-0.8345275,74.91585,0.098,99.3054,0.3579465,-4.04304,0.00879052,-0.721385,0.6379105,-7.0239,-7.458775,-8.292265,-7.703315,-7.5784125,-8.37524,235.76,241.175,0.21886,423.8785
1,7.25,0.480274896,0.26440631,-2.445,0,-21.59695,-0.830196,74.91235,0.09015,99.2851,0.2778885,-4.65856,0.00783334,-0.718612,0.6312,-7.058,-7.41075,-8.292495,-7.69572,-7.6026775,-8.41733,234.6,243.7,0.21633,424.9552
1,7.75,0.4669236075,0.262901022,-1.887996974,0,-21.49915,-0.83225,74.7785,0.08485,99.2313,0.3612875,-4.32115,0.00893469,-0.72863,0.565061,-7.0517,-7.392575,-8.358985,-7.69977,-7.64335,-8.4545325,237.385,244.59,0.21211,425.1043
1,8.25,0.392431785,0.388576,-2.2563,0,-21.6486,-0.8406325,74.4711,0.0948,99.253,0.450635,-4.7111,0.0116275,-0.7281225,0.58433,-7.04127,-7.375995,-8.39078,-7.693525,-7.6627175,-8.41815,234.12,245.34,0.22038,428.5313
1,8.75,0.488188004,-0.0521902905,-3.374797306,0,-21.50665,-0.847839,74.3574,0.0934,99.259,0.48264,-4.9545,0.04100215,-0.7295085,0.6248,-7.05642,-7.41045,-8.493635,-7.71276,-7.68822,-8.375505,226.915,243.82,0.21747,427.6184
1,9.25,0.598383,0.521117024,-4.864769454,0,-21.2473,-0.842337,74.71585,0.0931,99.2557,0.783095,-4.72356,0.32419,-0.71551,0.562,-7.04861,-7.42196,-8.574465,-7.73584,-7.68899,-8.39216,231.89,244.3,0.223685,425.1307
1,9.75,0.477130184,0.576868939,-2.547672867,0.474451,-21.4616,-0.856011,74.9057,0.09165,99.2827,1.8701,-4.58952,2.660935,-0.720055,0.58566,-7.019975,-7.4358,-8.57954,-7.756625,-7.7043075,-8.3358852365,236.89,243.82,0.212725,426.4207
1,10.25,0.390946123,0.0517,-3.206525,3.35794,-20.9856,-0.845377,74.90595,0.0891,99.312,4.98547,-4.12713,9.32931,-0.7254215,0.5832155,-6.968295,-7.424135,-8.559145,-7.76157,-7.72486,-8.2495025,237.78,244.815,0.219345,425.6884
1,10.75,0.5387679865,0.4386907875,-3.24289,9.6683,-20.83355,-0.856797,74.87,0.0964,99.3539,11.18075,-3.8834,19.3688,-0.7273425,0.6171455,-6.94863,-7.414065,-8.58211,-7.77349,-7.7332325,-8.3244775,234.89,245.96,0.232615,422.9364
1,11.25,0.5346129085,0.23115,-2.93559,19.116,-20.00425,-0.8532125,73.6444,0.0997,99.3616,20.0805,-3.3226,34.9698,-0.725625,0.571561,-6.937575,-7.393585,-8.5793,-7.77715,-7.7134925,-8.3442425,232.62,243.545,0.241825,423.9188
1,11.75,0.545143,0.588538839,-3.76117,26.2061,-19.34785,-0.874903,74.13285,0.0986,99.398,27.1542,-2.36883,47.4151,-0.747586,0.6183925,-6.963995,-7.35277,-8.5559,-7.778485,-7.732965,-8.32557,234.495,246.115,0.25669,422.4021
1,12.25,0.4592197375,0.920949266,-4.1847592395,33.167,-19.04455,-0.8776045,73.8752,0.0964,99.4169,32.77255,-1.66547,56.3495,-0.7410535,0.6470545,-6.9573,-7.351265,-8.541725,-7.81302,-7.75464,-8.2462375,233.855,247.46,0.319835,420.9706
1,12.75,0.3808815925,0.68741,-2.780110487,35.3349,-18.5135,-0.8725085,73.4015,0.0977,99.4283,34.93285,-1.1543,60.56325,-0.760135,0.7183595,-6.939445,-7.370175,-8.52771,-7.84961,-7.8003975,-8.15173,232.725,250.13,0.31555,421.812
1,13.25,0.4331117785,0.597632618,-2.328594492,35.0108,-17.3841,-0.8592935,73.2225,0.0925,99.44985,35.65175,-0.9384455,58.8235,-0.7563985,0.720378,-6.938045,-7.335935,-8.47952,-7.85393,-7.77677,-8.063945,234.845,250.86,0.471045,425.046
1,13.75,0.372005054,0.3364384735,-3.4107,30.9644,-17.3376,-0.852223,73.1745,0.0898,99.4787,30.18375,-1.91127,49.7356,-0.750943,0.7999485,-6.920395,-7.326375,-8.44067,-7.866675,-7.76399,-8.00237,236.975,252.275,0.38562,423.17165
1,14.25,0.413449841,0.18193,-3.105305126,22.6089,-17.4417,-0.826582,74.846,0.0993,99.4928,22.296,-2.80794,35.7226,-0.714352,0.835713,-6.92393,-7.31441,-8.31062,-7.87047,-7.754625,-7.91469,239.61,250.195,0.4021,421.5911
1,14.75,0.362636688,0.556871318,-3.949904525,10.3822,-17.66665,-0.815467,74.8567,0.09385,99.4846,13.1728,-3.23996,20.85175,-0.7099675,0.851362,-6.922355,-7.308905,-8.44946,-7.8769,-7.7637725,-7.982765,240.275,253.06,0.36946,421.68675
1,15.25,0.414999879,0.3263665,-4.07876,4.074385,-18.1392,-0.790288,75.55645,0.08785,99.5157,5.06421,-3.80409,8.874925,-0.67701,0.725559,-6.90052,-7.34145,-8.464235,-7.898045,-7.756385,-8.061615,241.26,252.81,0.3067,420.8119
