DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
4,17.25,420.93047465,28,225.09770755,32.40042,367.45283145,427.03337375,93.0375111075,23.21,66.979625,407.07542475,13.028539,4.7568055,0.776304,15.19379075,18.3771115,16.5126075,16.1064275,98.66836,1.64935375,0.5581325,43,7.0206305,49.010108,0.54990675,2.1124385
4,17.75,240.167225,18.00163951,129.888197,23.9671424475,365.79228475,422.99115675,19.93879325,22.715,67.88599,407.3362945,12.84423475,4.471505,0.732525,15.17175,16.687877,14.5,14,98.674595,1.971465,0.7076935,31.6039835,6.23869775,14.54776925,0.6252955,2.636985
4,18.25,88.45009625,7.17391827225,48.98952175,13,363,418.319459225,-11.26922556,21.935,69.072375,408.434337,12.7982445,4.1161165,0.64934,15.1008995,15,12.8312125,12.4749475,98.686625,2.055229,1.048121,21.7565125,5.91507,-1.833661,0.89290425,2.962428
4,18.75,14.489334365,1,7,3.3722081645,361.505425125,414,-23.94919125,21.298775,71.07327,409.3129585,12.88981425,3.9232225,0.600683,15.094276,13.5,11.5,11,98.69248125,2.207441,1.2066315,15.5280495,4.70504725,-5.218484,1.295103,3.11208
4,19.25,0.422596611,0.02705791325,0,2,359.172058075,409.5218412,-26.84224325,20.71,72.204325,409.6803905,12.741099,3.83354125,0.555625,14.9285,12,10.00942,9.51630525,98.70024375,2.234106,1.2459435,10.60025825,4.354412,-4.986717,1.6259855,3.478359
4,19.75,0.1698795,0.0077819945,0,2,357.495991725,406.0670265,-25.047446,20.115255,73.895825,411.4398885,12.571981,3.74392775,0.540198,14.7734875,10.9518125,9,8.62572125,98.70598375,2.294933,1.148647,8.3038265,4.09319975,-4.72222275,1.9352165,3.423312
4,20.25,0.1573365,0.00918008675,0,2,356,403.4809775,-26.5557381775,19.521405,75.69573,412.42309075,12.6515845,3.936428,0.535603,14.76424575,9.44687575,7.78972625,7.566655,98.7685825,2.334705,1.3161075,8.3438655,4.2571615,-5.797435,1.806685,4.0205565
4,20.75,0.10929663575,0.0109303305,0,2,355.483127825,401.72290425,-26.97478725,19.025,77.14439,412.509737,12.68519425,3.9258245,0.551497,14.673,8.9516105,7.0175255,6.94601425,98.78076625,2.51568375,1.084475,10.14652675,3.51039775,-5.522493,1.2177165,3.9777235
4,21.25,0.126191321,0.0140395245,0,2,355,398.71901535,-24.75,18.4233525,78.675535,414.2002015,12.7399055,3.976003,0.566106,14.6196165,7.87258075,6.15890825,6.00500425,98.78711875,2.97269525,1.051244,8.174605,3.52309425,-5.347139,0.58978725,4.481496
4,21.75,0.11969357725,0.00959907875,0,2,352.9518335,397,-23.94865847,18.2475,80.15,414.71260625,12.812656,3.900559,0.5548075,14.5829835,7,5.398102,5.659934,98.7857125,2.8329825,1.0147465,9,3.5854135,-6.547345,0.476022,4.293612
4,22.25,0.13810775,0.0155773345,0,2,352.0039565,395.0265169,-24.0673556175,17.83975,80.97232,415.5909,13.065823,3.817347,0.56272575,14.46463,6.05242575,5,4.49754225,98.79209,3.067485,1.0089155,8.529172,3.11586825,-6.999055,0.47397475,4.003699
4,22.75,0.11430954325,0.01367689225,0,2,352.385391825,394,-24.30156375,17.534175,80.65,416.305071,12.83075,3.862777,0.567729,14.398424,5.77806125,4.727745,4.181691,98.7924575,3.08322025,0.97640275,8.293263,3.5436275,-6.851088,0.5167655,4.584879
4,23.25,0.1552221265,0.013905009,0,2,351.43185295,392,-25.9253265,17.25191,81.423055,416.60129225,12.86927325,3.7878795,0.54389175,14.265,5.05869925,4.08266225,4.035071,98.7957825,2.710644,0.836694,7.65925,3.492324,-6.08319975,0.469793,3.9201235
4,23.75,0.15764884575,0.01291330575,0,2,351,390.82480375,-24.781591205,17.02333,82.072185,416.844123,12.6652275,3.76721475,0.541871,14.1816115,5,4,3.962397,98.7909125,3.064151,0.81440525,8.93203675,3.122817,-6.52036325,0.473639,3.458637
5,0.25,0.19313575,0.00656075,0,2,376,410.726014225,-26.442860885,20.20385,90.1,418.8859035,19.5106405,3.164891,0.356626,17.771473,7.52977575,7.009453,7.96767125,98.66287,4.142625,2.7810995,5.59154275,3.3528735,-3.184162,0.15274425,5.635503
5,0.75,0.19539825,0.0033435535,0,2,375.9651295,409.4357144,-24.9393994725,19.89,90.3,419.391665,19.549067,3.1339395,0.361837,17.69747475,6.81432575,6,7.25162525,98.65400125,3.9820495,1.9415705,5.84439725,3.294579,-3.025427,0.0975795,6.0485195
5,1.25,0.19325575,0.00323079025,0,2,376.0415525,408,-23.3817542825,19.6918,91.2,420.89184225,19.40438925,3.236946,0.365403,17.62689575,6.12576075,5.999487,6.68842125,98.63903,4.26546425,2.2699745,4.83348875,2.71197,-3.996768,0.155725,5.6913065
5,1.75,0.19409729325,0.0059651045,0,2,376,406.722638,-22.6595876,19.5,91.98057,422.5622845,19.206353,3.115617,0.348712,17.55709775,5.741509,5.411149,6.3392,98.64585125,4.1504585,2.666119,6.039496,3.43091225,-3.23842825,0.2899555,6.26100025
5,2.25,0.19435925,0.00312827075,0,1.991387,374.98570215,406,-23.104577,19.1356,92.4,424.13505325,19.33885275,3.1599255,0.352756,17.513093,5.285626,5.119086,6.04573375,98.64337375,4.0804615,1.775696,5.30173375,2.9964815,-3.9640125,0.351207,5.4639685
5,2.75,0.19255125,0.006009399,0,2,375,404.5710385,-21.02705775,19.0315175,92.9752725,425.4200395,19.0333145,3.1705205,0.374239,17.472547,5,5,5.58641,98.6537775,4.11895,2.513467,6,3.063073,-3.480807,0.5301435,5.7785
5,3.25,0.191393,0.0067176225,0,1.9584445,373.487728525,404,-21.405249,18.727845,93.65188,427.1354885,18.996911,3.11809575,0.358066,17.428,4.574818,5,5.1558685,98.65453375,4.369459,1.945203,5.22702325,2.587252,-2.91013,0.56266,5.575479
5,3.75,0.19397175,0.00895225,0,1.95849363025,376,402.97601965,-19.96114625,18.547865,94.125,429.745634,19.15541975,3.0963915,0.34733,17.370833,4.204988,5,5.241537,98.648965,4.4288795,2.2896795,5.50353025,2.661625,-3.004717,0.870201,6.2414135
5,4.25,0.2096429525,0.0076701545,0,2,376,402.488492875,-18.2733607725,18.3908025,94.73189,429.70744825,19.3205175,3.07997975,0.335141,17.31,4,4.4061155,5,98.65604,4.095692,2.3491265,5.15918625,1.986485,-3.6056745,0.8737315,5.8665665
5,4.75,4.448679,0.15344375,1.996719136,2.244659236,374,401.9627055,-15.6735603275,18.306665,95.1,429.9396405,19.078859,3.13180875,0.33602975,17.248173,3.95888975,4.0993665,4.884998,98.66203,4.53505175,1.737271,4.521257,3.3873155,-2.9208655,1.341133,5.0965315
5,5.25,46.616738355,3,23.700619765,8.5296786335,374,402.009512,-10.19704827,18.27804,95.3,431.65776825,19.05163625,3.122382,0.354274,17.26122,3.6743965,3.8232975,4.785743,98.68926375,4.27055075,1.1859655,6.7865285,5.63814225,-3.02294325,1.708003,4.52756375
5,5.75,164.1575,11.41360166,91,23,375,402.927705325,14.504179755,18.31,94.7,431.8997335,19.076437,3.0367215,0.36241,17.216293,3.4796315,3.64437875,4.67967025,98.700655,3.499205,0.196253,8.411072,9.903161,-3.0062165,1.6352065,2.225691
5,6.25,332.1986665,21.9039129475,176.5,36.80808628,374.1456685,405.158776875,73.29495687,18.52,93.50321,430.94019775,19.29896975,3.001731,0.41761475,17.1721205,3.5,3.6524045,4.7717635,98.71368,3.28471075,-0.35143475,23.3139675,14.8497125,-1.394506,1.59627425,0.38645
5,6.75,527.50052525,30.88892857,275.9590281,48.479165,373,408.254852525,153.10993725,18.89252,92.50969,428.5875775,19.40940875,3.03931325,0.457027,17.204,3.84150225,4,4.74372175,98.74628,3.1867755,-1.005661,49,16.67840325,12.506502,1.3405175,-0.98418
5,7.25,726.748,38.3798604875,385,59,375.438611,412,246,19.79559,90.88207,423.300688,19.729158,3.2746725,0.51782325,17.22,4.3442125,4.42101725,5.023086,98.76659,2.7145975,-1.168409,85.4709275,15.09746775,43.6969455,1.03068525,-2.071398
5,7.75,931.371605,46,488,69.405732,379,418.135544,339,20.42114,88.8099525,418.032014,20.049516,3.342037,0.555524,17.226,5,5.1286685,6,98.78304,0.3860725,-1.1861475,119.021357,14.4542415,74.64345,0.7602085,-5.20080375
5,8.25,1112.0528,51.372701,581.119021,77.18922988,379,424,420,21.24802,86.3226075,412.43137725,20.45956475,3.429856,0.5872955,17.296,6,6.75810325,7.41845,98.783,-2.6992895,-0.9066995,140.928657,10.740646,113.4130225,0.65519625,-7.203765
5,8.75,1301.4876,56.608415,671.7342007,87,381,430,500,22.2469175,82.3,408.703657,20.328522,3.599435,0.639889,17.402557,7.3926805,7.9788815,8.37306775,98.77357,-4.177995,-0.6894215,180.19197975,10.4585485,144.3855335,0.53817775,-8.37989
5,9.25,1467.348971,59.84183,752,94,383,434.9146711,569.684794,23.1160575,79.7,406.21734525,20.57995775,3.71127925,0.679485,17.4306275,8.921428,9.20219175,10,98.77977125,-4.92477975,-0.475149,210.3413065,9.096366,177.123175,0.48081225,-9.25603
5,9.75,1600.791358,63.78020089,820,101,387.5358489,440,629.261534,23.7,77.60381,404.00873,20.6059665,3.881381,0.712757,17.526,10.304185,10.167405,11,98.7836,-5.932608,-0.355787,226.239781,10.071445,207.800682,0.506675,-9.93726875
5,10.25,1724.62737625,66.7674219025,874.7879492,106.01460625,389.69749415,444.7186455,680.6413125,24.2267575,76.1,402.517933,21.14632,4.016785,0.728859,17.556,11.94966125,11.5,12,98.777685,-6.501567,-0.10738,249.491178,9.895668,238.57694575,0.32792275,-10.3385805
5,10.75,1810.882525,70.007265625,915.3060719,110.508280225,392,448,715,24.8781,73.19736,402.0090935,21.1926265,4.079714,0.7538925,17.654,13.0095325,13,14,98.77179,-6.762116,-0.01949925,258.73458275,9.54637075,253.510915,0.234003,-9.81548975
5,11.25,1872.3093495,71,944.8358117,113.33118125,396.4455895,452.13235275,741.6269045,25.52,71.60807,400.814252,20.839343,4.06775225,0.757034,17.840513,14.96962175,15,18,98.76369,-7.508284,0.0232345,275.397411,10.5155285,269.34722925,0.228112,-9.701724
5,11.75,1885.03044975,71.22609375,958.64126395,113.0730747,398,454,753.57426255,25.85062,69.05767,399.873201,20.4781815,4.1430605,0.7515355,17.94147075,16,15.58895,18,98.75488,-6.7951715,0.0457115,286,9.06427975,268.1423695,0.123318,-9.65204275
5,12.25,1909.142284,67.7331025,964.47026025,112.997785175,400,456,763,26.26074,67.785,399.38195,20.05354,4.0887925,0.755517,18.05225,17.05287725,17.86924,19,98.72268,-6.82750675,0.162885,279.261536,9.898435,265.50836975,0.1462295,-8.89129225
