DOY2,HR2,CO2,CO2_SIGMA,FC,SC,H2O,H2O_SIGMA,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_1_1_1,G_1_2_1,G_1_3_1,G_1_4_1,TS_1_1_1,TS_1_2_1,CH4,FCH4,SCH4
1,0.25,410.808,3.644497089,2.3346,-0.006765,13.19405,0.118783786,-8.83325,-0.51445,0.0332,-0.0363,101.602,92.7746,13.546,15.9825,0.248975,0.955785,0,-34.303,-0.6821758,0.829973,345.165,376.98385,-0.0151,0.109391,0.352267,0.308163,0.124498996,1.01874,-5.4703575,-10.79584,-8.70914,-7.613628,17.6615,17.086465,1880.75,-1.29837,-0.1138755
1,0.75,410.4765,3.4991202055,2.27343,0.00625,12.8307,0.12247018,-8.04688,-0.360314,-0.0788,-0.199909,101.583,93.5,13.26,15.45,0.251396102,0.9042005,0,-32.94084,-0.72255925,0.86034145,340.9055,373.95645,-0.0151,0.111148,0.306711,0.312234,0.109442,1.03969,-5.6942585,-10.887375,-9.3798075,-8.189031,17.521855,17.014,1874.53,-1.15894,-0.111795
1,1.25,407.3025,3.112349529,2.280575,-0.0167,12.9146,0.120528865,-9.01203,-0.226173,-0.403113,-0.01895,101.568,94.20132,12.809,15.327,0.246779254,0.733913,0,-29.739255,-0.6044309,0.84378025,344.3052,373.33805,-0.0199,0.128553,0.354383973,0.295117,0.116462,0.964976,-5.704906,-10.923515,-10.047078,-8.531269,17.380615,16.9965,1874.62,-1.96253,-0.0775
1,1.75,412.129,3.4788102295,2.240635,0.0641,12.48985,0.132696393,-7.98152,-0.3084755,-0.198622,-0.137883,101.555,94.05125,12.657,14.57395,0.2746816185,0.702006,0,-30.62845,-0.5082273,0.8086315,347.40305,371.944,-0.01785,0.119725,0.3282588115,0.302572294,0.111599,1.018354995,-6.19331,-11.1262,-10.208625,-9.292941,17.310105,16.97643,1869.135,-1.437095,-0.0949
1,2.25,406.562,3.471801242,2.33564,0.0139,12.9058,0.1284474595,-7.1802,-0.2052955,0.2176355,-0.121608,101.556,94.7336,12.709,14.995,0.2319466675,0.5804135,0,-29.31275,-0.4989155,0.7754405,346.788,371.31085,-0.01555,0.1128145,0.341903028,0.2970415315,0.1151035215,1.02253,-6.33983,-11.505175,-10.2485,-9.894449,17.241,16.91362,1872.32,-1.702895,-0.0654
1,2.75,409.673,3.658842379,2.37523,-0.001615,13.095,0.157387073,-7.13646,-0.1846885,0.384902,-0.22374,101.549,95.11455,12.369,14.408,0.251197134,0.485013,0,-27.823695,-0.730986,0.7989024,346.5085,371.5808,-0.0154,0.112664,0.338912968,0.306977,0.104403065,1.03761,-5.6081935,-11.7692,-10.23855,-10.20366,17.0685,16.856155,1870.625,-1.538835,-0.093
1,3.25,410.733,3.1895792185,2.2524,0.0257,12.9382,0.1592624415,-7.24616,-0.28872,0.00953,-0.222523,101.548,95.7717,12.171,14.368,0.218902,0.432058,0,-22.940305,-0.62833905,0.7936969,353.12665,370.8467,-0.0157,0.113267,0.335197,0.278548,0.1356466,1.09705,-6.026122,-11.8515,-10.25505,-10.37219,16.912,16.802365,1870.79,-2.19581,-0.07185
1,3.75,408.657,4.094359939,2.219385,-0.0334,12.5873,0.156601406,-8.42304,-0.1231515,-0.329231,-0.0515,101.566,95.5429,12.0465,14.36305,0.225702642,0.459473,0,-21.85675,-0.656345,0.88026275,353.798,372.068,-0.0253,0.141926,0.3589440675,0.3276915,0.153747746,1.14523216,-7.1129065,-12.13375,-10.29095,-10.42741,16.845,16.72682,1871.135,-0.8855715,-0.0259
1,4.25,411.571,3.553861331,2.20251,0.06375,12.8704,0.161418279,-9.09563,-0.162026,0.103742,-0.130192,101.578,95.6235,12.043,14.55365,0.235902308,0.421148,0,-19.754,-0.5543102,0.922202,352.8375,371.5187,-0.02135,0.132587,0.360313,0.2893825,0.132939283,1.13504,-8.0781455,-12.64275,-10.4016,-10.7749,16.73341,16.684175,1879.45,-1.87469,-0.05665
1,4.75,411.05,3.07522948,2.128125,-0.0303,12.6597,0.1407627835,-8.37259,-0.210825,0.0920375,-0.08505,101.5875,95.86885,11.804,13.96585,0.2148887935,0.414591,0,-19.9923,-0.34971295,0.909015,352.65545,370.79475,-0.0254,0.142339,0.398136854,0.3195638505,0.153102497,1.1435447145,-8.753392,-12.3123,-10.640195,-11.20289,16.65634,16.657,1869.98,-0.929903,0.0614
1,5.25,413.6065,3.078311011,2.14412,0.00369,12.63415,0.1151080225,-8.56589,-0.0852,-0.3207145,-0.1419945,101.588,95.81139,11.481,14.1575,0.229831,0.443454,0,-22.9772,-0.4921344,0.87708615,345.424,370.326,-0.0245,0.142269,0.368834651,0.32634491,0.147648231,1.151544221,-8.235675,-12.2923,-10.78505,-11.43093,16.587,16.6135,1876.23,-1.89357,-0.0369
1,5.75,410.2615,3.713971746,2.22185,0.0346,12.2995,0.161563257,-9.23449,-0.253752,-0.396866,-0.3283525,101.618,96.2166,11.4395,13.6159,0.240473,0.460401,0,-20.5089,-0.61908525,0.895779,346.83445,369.11955,-0.0259,0.142156,0.37421117,0.327440071,0.15132746,1.161799463,-8.1204745,-12.61455,-10.86739,-12.19035,16.516,16.559495,1871.455,-2.223255,-0.134655
1,6.25,410.417,3.369508648,2.30278,-0.00322,12.33085,0.171190706,-9.43983,-0.163047,0.516913,9.23e-05,101.6445,96.3178,11.501,13.5485,0.239382,0.398898,0,-22.13463,-0.6935308,1.00668,344.3835,368.6366,-0.02015,0.126226,0.3582488395,0.3128779625,0.1365442595,1.1408798745,-7.8841335,-12.90495,-11.145055,-11.63427,16.4561,16.44415,1870.23,-1.447485,-0.02955
1,6.75,407.7175,2.488109849,2.32328,0.00487,12.27975,0.1334258615,-11.4317,-0.158635,-0.4471555,-0.185365,101.6775,95.4975,11.376,13.49095,0.24975334,0.371358,0,-22.810375,-0.9782113,0.9835113,338.427,367.68695,-0.0236,0.1389315,0.3887087695,0.293803,0.15459591,1.16087,-8.509585,-13.26235,-11.6037,-11.1345,16.39149,16.387415,1867.195,-3.54686,0.01575
1,7.25,409.643,2.787736836,2.178175,0.0138,12.24335,0.164221597,-7.974465,-0.118108,-0.057,-0.131817,101.6885,96.0605,11.4045,13.5784,0.245251987,0.355161,7.8027,-19.20477,1.322597,1.45869,347.438,367.72515,-0.01825,0.12153,0.373047956,0.342116558,0.1273341105,1.07397,-8.580715,-13.11034,-11.9958,-11.31332,16.228445,16.31185,1861.635,-1.0619845,-0.022
1,7.75,411.1,2.6949494375,1.450675,0.003195,12.8949,0.228051131,-7.165475,0.4267535,6.16032,0.39428,101.733,96,11.7015,13.938,0.2530371015,0.392416,76.635055,-1.0803275,33.67445,6.606365,346.9925,369.1357,-0.02875,0.15079,0.4072861895,0.354565402,0.163722,1.06578,-7.979,-13.01575,-11.83752,-12.1451,16.141615,16.246065,1867.775,-2.277235,0.11219
1,8.25,407.143,2.251809497,0.783951,-0.289488,13.2406,0.3222112215,0.9163335,1.770395,24.1443,1.368295,101.762,94.0392,12.3305,14.7052,0.3759316515,0.594644,210.19502,35.16045,97.28545,19.08295,348.8725,377.3885,-0.05545,0.2132235,0.5466293685,0.418331914,0.239678753,1.47338,-7.433225,-13.29895,-11.5235,-11.87843,16.0955,16.1735,1872.62,1.46662,0.6349045
