DOY2,HR2,CO2,FC,H2O,SC,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TAU,USTAR,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,CO2_SIGMA,H2O_SIGMA
1,0.25,422.8065,1.1092225,4.7703,0.033875,0.7804725,6.367385,98.8422,97.22865,1.459,-3.01025,2.11325,295.28225,299.1095,2.7850075,-7.447615,-5.15692,-0.01295,0.313217,4.32716,0.2,0.2,0.23675,1.2330405775,0.06629381775
1,0.75,422.76075,1.049205,4.7268325,0.05175,1.73969,5.51537,98.8167,96.41285,1.193,-3.147,2.1757675,295.809,298.232,3.73918,-7.711815,-4.79871,-0.0148,0.29843,4.87267,0.2,0.225,0.242,1.1465122365,0.080368395
1,1.25,424.932,1.0036795,4.79326,0.0615,1.538315,5.560235,98.80375,96.094075,1.187,-3.11525,2.13725,299.951,298.172,3.74931,-7.661265,-5.00571,-0.014,0.290101,4.4141175,0.20175,0.225,0.21825,0.984726996,0.06886983375
1,1.75,424.176,1.0411775,4.70238,0.04015,1.98045,6.59606,98.775375,95.88995,1.12325,-3.273,2.1254575,298.895,296.647,3.60898,-7.56942,-4.72825,-0.01335,0.3133065,4.510195,0.20075,0.225,0.22175,1.1841706365,0.076590393
1,2.25,423.8725,1.0175075,4.4577175,0.039425,0.905262,5.357715,98.8247,96.402125,1.051,-3.297,2.09735,298.822,296.194,3.09619,-7.341765,-4.67802,-0.015625,0.311734,4.45821,0.2025,0.225,0.22425,0.9765053935,0.061999761
1,2.75,425.201,1.037695,4.6121625,0.0434,1.800565,5.64612,98.7811,96.7032,1.215,-3.293,2.04718,299.054,297.614,3.839,-7.18787,-4.71401,-0.01505,0.300315,4.56364,0.22075,0.21325,0.22425,1.0261788705,0.06427748275
1,3.25,427.003,1.018055,4.6256025,0.0465,2.37711,5.564555,98.7548,96.60775,1.43,-3.251,1.97759,300.733,298.355,3.11595,-7.352645,-4.81561,-0.016,0.321721,4.65795,0.23475,0.2,0.225,1.160278179,0.0611137645
1,3.75,426.082,1.1796825,4.6974975,0.04815,3.187455,5.5511125,98.7406,96.7988,1.196,-3.315,1.93141,300.554,297.802,3.24204,-7.40763,-4.68035,-0.017325,0.313826,4.71201,0.21175,0.2,0.225,1.028389701,0.068906086
1,4.25,427.633,1.1840175,4.7485225,0.064625,0.91875525,5.44956,98.7255,97.06985,1.067,-3.384,2.06428,300.806,299.51,4.18546,-7.250685,-5.02967,-0.013725,0.304281,4.46105,0.21825,0.2,0.225,1.173317961,0.0799703355
1,4.75,428.28475,1.14766,4.6518675,0.041125,1.128146,5.29713,98.6896,96.908825,0.996,-3.413,2.09672,299.953,298.997,3.09187,-7.1837,-5.15671,-0.013075,0.29553,4.20537,0.22175,0.2,0.225,1.25525281675,0.068614484
1,5.25,427.355,1.14913,4.80892,0.05165,1.323895,5.145775,98.6857,97.6188,0.655,-3.394,1.96678,299.494,299.389,3.86324,-7.32057,-4.98189,-0.0128,0.316765,4.43267,0.225,0.2,0.225,1.264915739,0.056210513
1,5.75,425.508,1.159025,4.86346,0.039625,1.6764575,4.76227,98.6747,97.41305,0.695,-3.461,2.040495,300.366,299.24,4.09442,-7.3013,-4.78405,-0.012575,0.311962,4.4938,0.225,0.2,0.225,1.014838104,0.0570619905
1,6.25,431.223,1.1666525,4.72458,0.0638,1.472685,6.22646,98.7061,98.231875,0.561,-3.608,1.95693,295.919,299.422,3.43318,-7.20303,-5.08085,-0.01575,0.311805,4.40503,0.225,0.2,0.225,0.9727896145,0.053713337
1,6.75,429.187,1.2218075,4.645455,0.075775,3.0442575,5.560765,98.736975,98.031475,0.40075,-3.677,1.97325,299.208,298.904,3.5215,-7.257635,-5.26854,-0.01845,0.320707,4.3737825,0.225,0.20075,0.225,1.13400947675,0.067075602
1,7.25,426.6975,1.175505,4.70484,0.056925,1.932435,4.988805,98.7806,99.2867,0.4035,-3.83775,1.83341,298.468,298.468,3.33356,-6.7559975,-4.54229,-0.01665,0.30015825,4.644405,0.225,0.20075,0.225,1.309823774,0.06174428675
1,7.75,428.705,1.5656625,4.72241,0.03875,2.458455,5.546445,98.7595,97.842775,0.495,-3.801,1.95633,297.881,298.503,5.67415,2.3263475,1.07363,-0.01615,0.324339,4.64562,0.22425,0.20675,0.225,0.8955476625,0.0687015665
1,8.25,427.86425,1.449445,4.8303175,0.0483,4.16386,6.8949025,98.7637,97.66255,0.463,-3.569,2.03977,298.49,297.794,14.5889,44.3684,24.9877,-0.019,0.31002,4.55269,0.20075,0.21075,0.225,1.111178816,0.066734676
1,8.75,424.689,1.67677,4.87807,0.02155,9.5937325,12.3356,98.7734,97.92985,0.468,-3.473,2.19917,299.172,298.689,33.5664,115.81275,55.046,-0.02205,0.325788,4.8117,0.2,0.21575,0.225,1.14665485325,0.078660426
1,9.25,424.78825,1.7467725,4.9212875,0.02465,14.0731,13.78425,98.832,97.609525,0.9855,-3.111,2.35318,298.29475,301.616,61.1542,193.963,96.7058,-0.0377,0.33005925,4.8470575,0.19475,0.22,0.225,1.175645981,0.08341741
1,9.75,423.982,1.51824,5.04172,0.0202,16.52565,16.90405,98.874275,96.630375,1.17075,-2.48525,2.57728,297.99575,304.9495,95.62495,266.63,135.1405,-0.0325,0.33843275,5.04576,0.125,0.21825,0.225,0.917367443,0.096943058
1,10.25,422.19475,1.52403,5.12962,0.0153,21.09365,19.55565,98.90565,95.8932,1.3415,-2.15125,2.55376,298.441,306.998,138.71625,352.4675,166.85175,-0.03695,0.36253325,5.3316375,0.125,0.2175,0.225,1.0074561685,0.096680905
1,10.75,421.246,1.42615,5.096815,0.0101,28.04435,23.865775,98.9233,94.034275,1.8085,-1.76925,2.6636075,300.40825,309.706,160.71925,415.1775,202.51575,-0.04375,0.37287875,5.347045,0.125,0.22075,0.225,1.006553514,0.10870621025
