DOY2,HR2,CO2_1_1_1,CO2_2_1_1,H2O_1_1_1,FC_1_1_1,SC_1,SC_2,G_1_1_1,G_1_1_2,H_1_1_1,LE_1_1_1,SH_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,NEE_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TAU_1_1_2,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,FCH4_1_1_1
1,0.25,405.941618,402.166667,6.0587225,1.1280695,0.035011,0.020495,-5.691,-5.497,-26.727069,3.691919,-1.832067,2.62351,0.3712935,-0.151679,0.7969185,0.6753045,0.4989295,101.43005235,72.285157,5.553,2.274112588,12.6309215,9.08,8.585,-48.482705,0,0.908273,-2.066,1.048,295.9,341.05,-0.227414,394.6,395.1,395.95,399.816667,28.5
1,0.75,405.625121,401.783333,5.950513,1.028361,0.0734835,0.025613,-5.779,-5.68,-27.741527,2.895699,-1.084706,2.649413,0.377861,-0.171164,0.796003,0.692464,0.50638,101.4201045,72.095,5.567,2.252148,12.4393675,9.09,8.58,-49.573925,0,1.102438,-1.702,1.181,299.45,342.25,-0.24542,394.666667,396.116667,396.166667,399.783333,28.5
1,1.25,405.980008,401.516667,5.835923,0.817912,0.074114,0.0130475,-5.8,-5.924,-25.7129455,3.5037225,-1.756955,2.721316,0.3826625,-0.1768095,0.80405,0.700091,0.513982,101.4031,73.2980345,5.515,2.186203456,12.530872,9.03,8.58,-48.250815,0,0.54892,-1.4595,1.145,298.4,342.05,-0.2174,394.65,395.966667,396.383333,399.816667,79.3
1,1.75,405.366468,402.0916665,5.846497,1.0316635,0.0761405,0.012832,-5.952,-6.133,-27.036892,2.701113,-0.8879285,2.780141,0.420037,-0.209287,0.863677,0.726293,0.526794,101.408865,74.14,5.443248,2.2364435935,12.404291,9,8.5599995,-43.95326,0,0.853763,-1.264,1.0545,296.55,341.55,-0.2350575,394.183333,395.3,395.983333,400.133333,10.823
1,2.25,405.505259,402.2,5.819015,0.893555,0.069442,0.004801,-6.02,-6.208,-29.40422,3.673285,-1.2122755,2.76088,0.4168195,-0.210907,0.8459305,0.730976,0.541263,101.42865175,74.54,5.434,2.129116,12.48444,8.98,8.5499995,-47.64324,0,1.323651,-1.437,1.1185,294.5,341.2,-0.230465,393.733333,395.45,396.316667,399.5,12.4185
1,2.75,405.236532,402.25,5.796911,0.848295,-0.0015,0.024134,-6.135,-6.31,-28.206223,3.446075,-1.371126,2.738806,0.396682,-0.185886,0.841342,0.6873795,0.528085,101.408515,75.75,5.129,2.0572645765,12.5757945,8.99,8.545,-46.38938,0,0.784688,-1.886,1.202,290.5,341.2,-0.224219,394.233333,395.3,396.383333,399.083333,14.014
1,3.25,405.656768,402.3,5.772987,0.8482945,0.01863,0.01448,-6.13,-6.405,-26.467928,2.876709,-1.703414,2.745203,0.395655,-0.17606,0.835565,0.684882,0.51053,101.3997,77.373251,4.97,2.0095003705,12.359283,8.99,8.535,-48.10714,0,0.81754,-1.57,1.196,290.3,340.3,-0.238139,394,394.65,395.666667,397.766667,1.79
1,3.75,405.701117,402.45,5.730963,0.793291,0.095542,0.0533245,-6.101,-6.687,-26.806849,1.760971,-1.979714,2.762755,0.3648155,-0.1586085,0.8036815,0.7102745,0.5105965,101.3797495,76.13,5.016,1.9850504825,12.484125,9.01,8.54,-48.03104,0,0.806805,-1.734,1.2,291,340.1,-0.248993,394.283333,394.816667,395.6,400.1,2.702
1,4.25,406.145067,402.0583335,5.789705,0.983755,0.0633,0.015998,-6.269,-6.84,-27.3350665,2.6072975,-2.004235,2.775243,0.38847,-0.179678,0.835588,0.707458,0.517574,101.363537,76.49,4.9150535,1.972199591,12.095689,9.01,8.525,-48.35587,0,0.95545,-1.448,1.173,293.9,339.4,-0.2587215,393.333333,394.416667,395.5,398.25,4.2295
1,4.75,406.0512985,402.275,5.740371,0.879845,0.086212,0.000485,-6.472,-6.792,-26.828034,1.9670645,-2.305882,2.720121,0.39087,-0.165099,0.814507,0.717992,0.512535,101.35962,75.694126,4.7570885,1.918930497,12.468251,9.02,8.505,-48.90371,0,0.7940195,-1.6235,1.115,292.8,338.6,-0.2978845,392.916667,393.683333,395.283333,399,10.34
1,5.25,406.443175,402.8166665,5.702381,0.692565,0.067431,0.043416,-6.725,-7.038,-23.024559,2.263796,-1.582086,2.711048,0.366703,-0.159117,0.819319,0.706628,0.497948,101.3597435,76.06,4.73856,1.932739776,12.3030295,9.03,8.505,-48.91954,0,0.859707,-1.554,1.106,293.2,337.5,-0.3324885,392.683333,394.4,395.483333,398.45,-15.862
1,5.75,406.575523,403.575,5.655008,0.856803,0.056569,0.038776,-6.892,-7.155,-25.114494,1.918418,-1.663478,2.738518,0.370555,-0.1458655,0.8169715,0.733312,0.4978445,101.3790677,76.22,4.5195,1.888335748,12.02518,9.02,8.485,-50.8816,0,1.009644,-1.438,1.159,285.3,335.4,-0.26013,392.95,393.933333,395,397.916667,-2.65133333333334
1,6.25,406.602541,403.008333,5.6293565,0.88016,0.089109,0.015352,-6.882,-7.247,-22.792562,1.9673755,-1.756147,2.715927,0.36347,-0.141016,0.789421,0.6980905,0.493185,101.4018858,76.24,4.481,1.7782827915,11.959308,9.02,8.45,-48.88478,0,0.672279,-2.226,1.1955,281,335,-0.2994625,392.833333,394.283333,395.966667,398.3,10.5593333333333
1,6.75,407.079381,402.933333,5.5987135,0.950556,0.0301245,0.0361715,-6.829,-7.37,-24.5019315,2.655611,-1.711597,2.743033,0.381777,-0.156619,0.8142015,0.7159615,0.490389,101.4223,76.465933,4.392,1.6845351655,11.9025435,9.02,8.4,-48.92376,0.1895,1.008533,-1.385,1.176,286,334.8,-0.2727955,393.8,395.3,396.083333,399.6,23.77
1,7.25,407.026979,403.2166665,5.742728,0.713235,0.036827,0.0176525,-7.004,-7.413,-24.125149,2.756377,-1.0016,2.769728,0.36158,-0.149274,0.781431,0.671099,0.496418,101.4572,77.35,4.4165,1.6531824425,11.7843425,9.03,8.24,-41.89244,13.93,0.5785685,4.347,2.173,286.2,334.8,-0.301013,393.566667,395.316667,396.766667,399.916667,22.10975
1,7.75,407.6479545,403.516667,5.8781885,0.596314,0.130608,-0.0779095,-7.021,-7.608,-21.3835775,5.472669,3.295211,2.600586,0.375966,-0.164045,0.770199,0.6923825,0.49576,101.4685,76.845,4.698,1.7461855,11.496463,9.01,8.205,-17.326225,84.85,0.384487,35.07,7.0555,278.95,335.25,-0.386915,393.616667,395.4,396.816667,399.233333,20.4495
1,8.25,406.708848,404.133333,5.842778,0.6427,-0.021307,-0.1359275,-7.088,-7.704,-10.097588,9.3342195,8.582452,2.710377,0.431323,-0.207402,0.892783,0.787658,0.592707,101.5027805,74.595,5.08,1.9868465,11.377245,8.99,8.19,16.344495,236.05,0.2496715,91.65,14.345,279.45,338.3,-0.343942,394.133333,394.616667,396.683333,398.816667,28.9665
