DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_3_1,RH_1_3_1,TA_1_2_1,RH_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_3_1,WS_1_2_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,T_CANOPY_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,NEE
1,0.25,-41.27,-19.3825,0.28315875,0.568297,0.1682255,0.133925,407.3725,6.7439575,5.988525,88.58145,1.348615,69.5728,3.58884,84.2314,5.55625,78.280575,0.86338,0.441309,1.24417,0,2.54825,267.375,317.075,6.934,7.5595,5.471,7.38,7.6725,8.055,8.46,8.9036425,0.575576
1,0.75,-39.4805,-18.549125,0.49508225,1.33907,0.2297245,0.13859975,407.5755,6.57799,5.54812,88.585375,0.99477075,71.37485,3.0445,86.9,5.20975,80.399325,0.678211,0.4513515,1.2037175,0,2.52075,265.75,316.9,6.528,7.942,5.204,7.28,7.67,8.045,8.453855,8.90268,0.554658
1,1.25,-38.0025,-18.817225,0.44926125,0.501993,0.20560375,0.139465,406.606,6.48987,5.03193,88.5804,0.4,72.2,2.618,87.7042,4.7495,82.384325,0.725704,0.4585105,1.2761,0,2.63625,255.675,314.875,6.33925,7.44875,5.08,7.17,7.6275,8.06,8.4565725,8.9046075,0.551702
1,1.75,-37.48,-18.482575,0.306133,0.28873675,0.1740735,0.13849825,407.1815,6.4876,4.9862525,88.594475,0.50405875,73.31125,2.36,89.7362,4.65275,83.645925,0.7098365,0.432385,1.3256175,0,2.63675,257.65,315.3,6.422,6.95525,4.92325,7.0225,7.5975,8.0675,8.458245,8.90654,0.530723
1,2.25,-35.8925,-18.814275,0.275297,0.875909,0.205345,0.155103,406.8605,6.476125,4.293,88.5978,-0.302516,74.575,2.029,90.7,4.20725,84.717725,0.68648025,0.4364955,1.33363,0,2.59225,258.8,317.2,6.8745,6.536,4.77075,6.855,7.55,8.0775,8.4620025,8.9078875,0.51921675
1,2.75,-35.7425,-18.410175,0.1458625,0.417561,0.246523,0.155457,407.9575,6.49853,4.073655,88.600425,-0.18175,76.1875,2.011,91.55,3.7805,85.710325,0.87505875,0.458846,1.3263925,0,2.22175,258.55,315.325,6.6145,6.589,4.5255,6.7385,7.5125,8.0925,8.46472,8.91,0.5111
1,3.25,-34.685,-18.9982,0.377977,0.657535,0.223539,0.1533025,406.908,6.44164,3.786815,88.598425,-0.62716575,76.55,1.66536,92.0197,3.623,87.06825,0.751184,0.437837,1.34728,0,2.069,261.425,311.775,6.9225,6.65525,4.39175,6.6275,7.4625,8.1,8.4674375,8.91,0.5085675
1,3.75,-35.195,-18.1949,0.230527,-0.648817,0.22005625,0.15542525,406.093,6.39553,3.6877625,88.5981,-0.58186425,77.875,1.643875,93.0449,3.41525,87.366725,0.84186825,0.446405,1.400915,0,2.32575,264.65,312.05,6.258,6.7215,4.15575,6.493,7.4125,8.055,8.47081,8.9097225,0.49797525
1,4.25,-33.4425,-18.345125,0.314935,-0.0771958,0.228536,0.155024,407.298,6.35566,3.5183,88.593275,-0.97125,78.85,1.655,93.12505,3.21975,87.7128,0.7448135,0.4617075,1.3032,0,2.38225,260.25,311.225,5.718,6.9385,4.00675,6.4055,7.36,8.065,8.48,8.9100075,0.48920625
1,4.75,-33.2225,-17.878025,0.2500945,0.3445095,0.202793,0.15301225,407.2675,6.3051,3.02633,88.5887,-1.3152175,79.7717,1.20575,94.07525,2.76375,88.77515,0.8127015,0.460969,1.40248,0,2.3735,258.25,308.425,5.1645,6.26125,3.80975,6.28675,7.3325,8.05,8.48,8.91259,0.47506575
