DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,CH4,FCH4,SC_1_1_1,SC_2_1_1,NEE,SH_1_1_1,SH_2_1_1,SLE_1_1_1,SLE_2_1_1,PPFD_IN,PPFD_OUT,WS_1_1_1,WS_2_1_1
1,0.25,0.080437,381.621002,-12.5018,-0.031528,-5.9165,-3.899,-2.185,-2.5425,0.320325,0.70022,0.566875,0.402264,100.400002,75.779999,-20.7700005,-20.0753,0.165475,-0.799,-1.5385,-0.88,-0.4075,0.8735,2.9205,-0.3675,0.886,2.9725,4.5945,0,0.39,209.8967235,223.6177235,0.7673895,2092.800049,4.16287,-0.002545,0.001891,0.0790395,-0.394251,-0.341984,-0.021032,-0.023309,0,0,3.514,2.93526
1,0.75,0.100239,381.444,-10.7504,0.012045,-5.873,-3.911,-2.185,-2.542,0.3327285,0.723255,0.576357,0.389211,100.343151,76.244999,-21.025,-20.34885,0.1473865,-0.804,-1.5365,-0.8855,-0.4065,0.8735,2.9195,-0.3695,0.8905,2.968,4.5925,0,0.37,207.2476875,224.405804,0.760449,2092.964966,-0.219162,0.005802,0.0008765,0.102738,-0.60574,-0.2635965,-0.027101,-0.015858,0,0,3.462,2.94445
1,1.25,0.086657,381.8430025,-12.2836,-0.028124,-5.875,-3.925,-2.1845,-2.5415,0.3439685,0.72611,0.5734985,0.4126395,100.343151,76.149998,-21.1099995,-20.3314495,0.149554,-0.809,-1.54,-0.8895,-0.4055,0.8715,2.9165,-0.3685,0.8935,2.967,4.588,0,0.375,208.263536,223.726279,0.753752,2085,3.901845,0.0071475,0.002524,0.093238,-0.5129215,-0.282349,-0.031104,-0.030484,0,0,3.3979,2.913975
1,1.75,0.092832,381.468994,-13.06205,-0.065453,-5.9155,-3.938,-2.184,-2.544,0.326913,0.716882,0.568693,0.404265,100.343151,76.0249975,-21.1449995,-20.363701,0.1493255,-0.8115,-1.556,-0.888,-0.405,0.87,2.9135,-0.37,0.886,2.968,4.586,0,0.362,206.040205,222.118214,0.765174,2090.820068,2.93507,0.003336,0.005701,0.11644,-0.475767,-0.316293,-0.029207,-0.026861,0,0,3.3715,2.96177
1,2.25,0.096331,381.7435,-12.7507,-0.035886,-5.8935,-3.958,-2.185,-2.544,0.3274185,0.710741,0.571803,0.41258,100.400002,75.739998,-21.335,-19.7551995,0.158366,-0.813,-1.558,-0.8885,-0.4065,0.869,2.9125,-0.368,0.8805,2.969,4.5845,0,0.407,206.569307,222.0073955,0.757353,2089.655029,1.897485,0.012934,0.008329,0.102636,-0.480381,-0.3417275,-0.030028,-0.029509,0,0,3.3979,2.975485
1,2.75,0.111076,381.484009,-13.5185,-0.0329435,-5.883,-3.958,-2.185,-2.543,0.316844,0.720058,0.547513,0.400596,100.400002,75.8050005,-21.3900005,-19.745001,0.1518195,-0.8135,-1.561,-0.8855,-0.4085,0.8665,2.9125,-0.375,0.886,2.9675,4.5845,0,0.379,207.1349975,221.4950205,0.749268,2078.959961,3.025295,0.008993,0.007142,0.10373,-0.75614,-0.232832,-0.025364,-0.022803,0,0,3.5277,2.94805
1,3.25,0.1356725,382.085495,-16.493401,-0.019952,-5.911,-3.978,-2.184,-2.543,0.3223415,0.711746,0.5477575,0.4032655,100.400002,75.8449975,-21.5050005,-20.12535,0.1537595,-0.8125,-1.556,-0.8875,-0.408,0.866,2.9115,-0.369,0.888,2.9685,4.5825,0,0.41,208.691756,221.5753825,0.75421,2072.375,3.82171,0.005196,0.004437,0.139567,-0.454771,-0.227334,-0.031835,-0.021937,0,0,3.5057,2.935545
1,3.75,0.094459,381.718994,-14.2712,-0.053255,-5.988,-3.9915,-2.184,-2.541,0.3340625,0.741362,0.560015,0.422096,100.400002,75.900002,-21.705,-20.055201,0.1547645,-0.815,-1.554,-0.8915,-0.4075,0.865,2.9105,-0.371,0.877,2.9685,4.5825,0,0.405,208.734345,222.548786,0.774727,2073.899902,2.960755,-0.004651,0.001063,0.1149535,-0.178279,-0.1172175,-0.006859,-0.0080745,0,0,3.45135,2.96153
1,4.25,0.1213885,382.264008,-14.40315,0.020897,-5.986,-3.9785,-2.1835,-2.5435,0.338225,0.7121,0.603484,0.418268,100.400002,75.9800035,-21.5300005,-20.154301,0.1515425,-0.8145,-1.556,-0.893,-0.4095,0.864,2.909,-0.3685,0.8715,2.9685,4.5785,0,0.4345,210.6705275,223.377705,0.759093,2077.280029,3.5969,-0.001999,0.004298,0.1269585,-0.413231,-0.1332645,-0.030168,-0.00814,0,0,3.3781,2.72855
1,4.75,0.10053,382.209991,-14.08115,0.002127,-5.95,-3.9955,-2.183,-2.541,0.3196565,0.720177,0.570624,0.401108,100.400002,75.790001,-21.535,-20.4354,0.154828,-0.817,-1.562,-0.8955,-0.4125,0.8635,2.909,-0.3685,0.868,2.9685,4.5785,0,0.4195,209.5296945,223.3116795,0.779124,2078.73999,3.87134,0.000863,0.0013435,0.110472,-0.431816,-0.1581205,-0.030032,-0.0238665,0,0,3.341,2.91497
1,5.25,0.103075,382.144012,-15.37725,-0.108989,-5.964,-4.014,-2.183,-2.5395,0.347,0.750329,0.604593,0.431863,100.400002,75.3599965,-21.559999,-20.384399,0.1721955,-0.8235,-1.5645,-0.898,-0.414,0.8635,2.912,-0.376,0.873,2.9675,4.5775,0,0.41,209.748376,222.411426,0.789604,2092.97998,2.64027,-0.00223,-0.000326,0.108463,-0.110483,-0.279281,-0.033159,-0.0216195,0,0,3.48105,3.11834
1,5.75,0.119861,382.044998,-14.39125,-0.054973,-5.931,-4.045,-2.1825,-2.5395,0.351491,0.7287445,0.5926675,0.4215315,100.400002,75.4500005,-21.58,-20.71455,0.1751595,-0.8295,-1.5655,-0.8975,-0.414,0.8635,2.911,-0.3695,0.878,2.9705,4.577,0,0.4355,209.826342,222.7687675,0.7563145,2082.944946,1.22025,0.010499,0.003802,0.133671,-0.3543515,-0.1606295,-0.031196,-0.017166,0,0,3.443,2.97766
1,6.25,0.06877,381.447998,-13.3493,-0.0242225,-5.9705,-4.078,-2.183,-2.541,0.341538,0.7551295,0.5655675,0.415111,100.400002,75.3450015,-21.8050005,-20.801101,0.1739375,-0.834,-1.5725,-0.9,-0.4165,0.8615,2.912,-0.3805,0.874,2.9715,4.575,0,0.3995,210.9855685,223.455592,0.739971,2082.3649905,1.058404,0.0005195,0.001025,0.0794035,-0.377674,-0.247446,-0.041576,-0.027331,0,0,3.3781,3.049055
1,6.75,0.094823,382.774994,-13.7523,-0.0686485,-6.039,-4.103,-2.183,-2.541,0.3467195,0.80759,0.61089,0.431711,100.407038,75.365002,-21.7550005,-20.6938,0.176489,-0.8425,-1.5885,-0.908,-0.419,0.8575,2.912,-0.377,0.8735,2.972,4.5745,0,0.4175,208.860378,223.289259,0.719911,2098.0550535,4.640355,0.0131305,0.007328,0.1132845,-0.297046,-0.2489765,-0.0329135,-0.0231815,0,0,3.376,2.91652
1,7.25,0.1325275,382.240997,-17.3876,0.05303,-6.1065,-4.123,-2.183,-2.538,0.368102,0.762608,0.618741,0.428636,100.400002,75.3099975,-21.59,-20.840799,0.182268,-0.8435,-1.587,-0.9195,-0.4205,0.857,2.909,-0.383,0.8825,2.968,4.574,0,0.406,206.822881,222.687965,0.722632,2089.600098,0.990567,0.010429,0.002894,0.119227,-0.605083,-0.226881,-0.0183005,-0.0149435,0,0,3.38525,2.94331
1,7.75,0.101012,380.923996,-15.4894,-0.065569,-6.089,-4.12,-2.1825,-2.539,0.34844,0.7783245,0.609794,0.4396625,100.401417,75.215,-21.7699995,-20.3767,0.159718,-0.845,-1.59,-0.9155,-0.4215,0.857,2.907,-0.381,0.882,2.966,4.572,0,0.4285,207.536922,221.190191,0.727132,2082.899902,3.0517,0.0123615,0.00376,0.0826075,-0.3628385,-0.1743875,-0.0280125,-0.02191,0,0,3.386,3.011735
1,8.25,0.133781,380.666504,-16.807501,0.1006445,-6.0965,-4.122,-2.182,-2.5375,0.355519,0.7559885,0.604323,0.4318125,100.435746,75.0999985,-21.715,-20.0285505,0.17837,-0.851,-1.5865,-0.9085,-0.4245,0.8555,2.907,-0.389,0.887,2.9665,4.572,0,0.929,209.182203,221.225573,0.7126725,2080.130005,2.27547,0.0023745,0.001635,0.145495,-0.215258,-0.1906635,0.001131,-0.0116775,0.598836,0.6099,3.26955,2.92142
1,8.75,0.111135,381.1304935,-15.73715,0.126938,-6.093,-4.1155,-2.1835,-2.5395,0.3429805,0.789566,0.599338,0.4482325,100.4196325,75.0950015,-21.695001,-20.4977505,0.196262,-0.86,-1.5785,-0.914,-0.4255,0.853,2.9045,-0.3885,0.88,2.97,4.5705,5.711,5.4175,209.58261,221.878612,0.706,2091.540039,3.77454,-0.000228,-0.00196,0.101427,0.185538,0.1178095,0.031812,0.0095935,10.779053,9.3518,3.3869,2.938285
1,9.25,0.114084,381.7799985,-10.4144,0.1455565,-6.1005,-4.12,-2.1895,-2.542,0.3738945,0.806368,0.655135,0.4742485,100.435746,75.375,-21.545,-20.56285,0.182722,-0.8605,-1.581,-0.9185,-0.425,0.8495,2.9,-0.403,0.8525,2.9575,4.5635,30.255,19.8299995,210.177005,224.148259,0.6912395,2093.0200195,6.285545,-0.012541,-0.010672,0.0979125,0.96471,0.690117,0.10143,0.0663685,43.914661,35.9841,3.5035,3.11468
1,9.75,0.115571,381.480011,-7.43611,0.0987415,-6.097,-4.097,-2.186,-2.544,0.3903765,0.853213,0.707554,0.484686,100.481388,75.8050005,-21.275,-19.8957,0.2583825,-0.8565,-1.58,-0.919,-0.4245,0.8495,2.897,-0.423,0.8425,2.961,4.5635,62.4799995,39.9599995,209.900185,226.570799,0.71949,2088.820068,6.06492,-0.0250165,-0.0215205,0.104021,1.958585,1.544584,0.2075975,0.152597,98.8079795,76.0342025,3.6295,3.30041
1,10.25,0.061465,381.588989,2.882325,0.451758,-6.0985,-4.087,-2.1845,-2.5425,0.38282,0.89268,0.733078,0.495456,100.5,75.584999,-20.9300005,-19.5993,0.229601,-0.86,-1.577,-0.922,-0.422,0.851,2.9005,-0.424,0.832,2.9625,4.562,104.800003,65.154999,208.474444,227.445408,0.735009,2084.139893,-3.976195,-0.0280035,-0.0200665,0.0542575,2.78707,1.939701,0.192884,0.193985,165.179001,124.6229015,3.89015,3.35133
1,10.75,0.018974,380.5349885,9.59711,0.546303,-6.1175,-4.085,-2.184,-2.5445,0.412891,0.930434,0.780443,0.5070545,100.481536,75.075001,-20.535,-19.494849,0.1918695,-0.8635,-1.584,-0.9275,-0.421,0.852,2.896,-0.432,0.8185,2.96,4.5635,133.9000015,87.199997,209.51853,229.044866,0.75858,2089.810059,3.95053,-0.021646,-0.018147,0.031585,3.1408,2.046365,0.171185,0.180642,222.66729,171.788513,4.09035,3.49676
1,11.25,0.0464915,380.007996,15.7244,0.743614,-6.1215,-4.046,-2.184,-2.55,0.43438,1.03617,0.827093,0.539239,100.435746,74.204998,-20.209999,-19.1745,0.2171125,-0.8595,-1.5845,-0.925,-0.4185,0.85,2.8935,-0.4315,0.8155,2.9585,4.5695,168.4000015,108.7999995,212.179403,230.256025,0.7868765,2083.5,5.386905,-0.0287075,-0.0181135,0.038965,2.725865,1.996902,0.1794895,0.16239,275.265076,212.245201,4.3272,3.75417
1,11.75,-0.008286,379.457001,24.2005,0.648023,-6.1665,-4.053,-2.185,-2.551,0.43472,0.978914,0.835726,0.535159,100.435746,73.2350005,-19.4200005,-18.540199,0.2092,-0.8555,-1.563,-0.9245,-0.4135,0.8525,2.8935,-0.433,0.819,2.961,4.5725,204,126.400002,209.968401,232.565538,0.8249295,2086.98999,-3.070335,-0.027326,-0.01904,-0.019994,2.61956,2.047838,0.125483,0.151401,319.878372,247.517746,4.4255,3.8697
1,12.25,-0.0151275,378.931,26.640699,0.828832,-6.1685,-4.07,-2.185,-2.55,0.429467,1.00248,0.861496,0.532895,100.400002,72.34,-19,-18.246099,0.224818,-0.849,-1.538,-0.923,-0.41,0.8545,2.8945,-0.4225,0.835,2.9615,4.5745,220.9000015,139.0999985,211.0063705,234.3431755,0.8582805,2087.600098,4.16741,-0.023178,-0.015031,-0.0304755,2.71161,1.836798,0.128403,0.1417485,348.622513,275.268188,4.38625,3.82916
1,12.75,0.0497635,378.735992,24.457899,0.913765,-6.1335,-4.083,-2.1855,-2.5465,0.4441885,1.02631,0.894492,0.545009,100.400002,71.3050005,-18.545,-17.970699,0.211671,-0.838,-1.526,-0.9195,-0.4065,0.861,2.903,-0.409,0.835,2.965,4.5775,225.100006,142.5,210.0388425,236.1415665,0.8771485,2083.820068,-1.89795,-0.027772,-0.014526,0.0199295,2.35906,1.527762,0.113449,0.11022,350.1195985,283.806793,4.46115,3.83699
1,13.25,0.002789,378.721008,28.1660005,1.088235,-6.2165,-4.0635,-2.186,-2.55,0.456108,1.00694,0.924762,0.5629835,100.398226,70.4350015,-18.245,-17.5236,0.227302,-0.831,-1.512,-0.9065,-0.4,0.8655,2.914,-0.4005,0.8465,2.9725,4.5785,230.1500015,142.2000045,208.7074605,237.1842055,0.855698,2070.310059,5.464075,-0.024059,-0.015525,-0.002687,1.69477,1.1937165,0.046326,0.09516,357.505249,281.16391,4.5585,3.94731
1,13.75,-0.020987,378.22551,25.3847,1.073465,-6.221,-4.0635,-2.185,-2.5485,0.4596715,1.01754,0.881158,0.5552225,100.384606,69.6549985,-17.865001,-17.3536005,0.1955975,-0.822,-1.5,-0.8965,-0.3955,0.871,2.921,-0.3765,0.858,2.975,4.581,201.350006,127.2999995,201.63405,237.465709,0.83427,2080.875,-2.825865,-0.0033745,-0.005287,-0.005794,1.480895,0.851972,0.0356925,0.05976,311.993713,253.210159,4.6072,3.891885
