DOY2,HR2,WS_1_3_1,T_SONIC,H2O_1_2_2,CO2_1_2_2,W_SIGMA,CO2_SIGMA,USTAR,H,LE,FC,SC,NEE,CO2_2_1_1,CO2_1_7_1,CO2_1_6_1,CO2_1_4_1,CO2_1_3_1,CO2_1_2_1,H2O_2_1_1,H2O_1_7_1,H2O_1_6_1,H2O_1_4_1,H2O_1_3_1,H2O_1_2_1,TA_1_5_2,TA_1_2_1,RH_1_1_1,PA,SW_IN_1_1_1,NETRAD_1_2_1,PPFD_IN_1_2_1,PPFD_IN_2_1_1,WS_1_1_1,TS_1_1_1,TS_1_1_2,TS_2_1_1,TS_2_1_2,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_1_5_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_2_1_1,G_2_1_2,T_BOLE_1_3_1,T_BOLE_1_2_1,T_BOLE_1_1_1,T_BOLE_2_3_1,T_BOLE_2_2_1,T_BOLE_2_1_1,TA_2_2_1,TA_2_1_1,TA_1_13_1,TA_1_12_1,TA_1_11_1,TA_1_10_1,TA_1_9_1,TA_1_8_1,TA_1_7_1,TA_1_6_1,TA_1_4_1,TA_1_1_1,RH_1_3_1,CO2_1_5_1,H2O_1_5_1,CO2_1_1_1,H2O_1_1_1,RH_1_2_1,PPFD_OUT,SW_IN_1_2_1,SW_IN_1_3_1,SW_OUT,LW_IN,LW_OUT,NETRAD_1_1_1,WS_1_2_1,TA_1_5_1,TA_1_3_1,TS_2_5_1
1,5.25,1.58267,-12.1116,2.39542,378,0.28345,0.14,0.22109075,-30.9441,-2.24939,0.13404325,-0.27590875,0.1871695,391.635,389.98,379.41,377.42,389.395,387.83,0.95933,0.9645375,2.97935,2.435475,0.9796725,0.92694,-11.366,-11.43225,77.06035,98.3465,-2.6937,-29.07,-0.1554925,-0.31741,2.01065,0.2780725,0.1101975,0.06258,-0.3554875,0.321665,1.15805,1.913125,3.248375,0.5546475,0.9312825,1.981975,-3.084775,-2.86215,-2.8054,-9.718525,-11.16325,-10.979,-10.402,-10.621,-10.284,-12.55375,-12.61,-12.2845,-12.24325,-12.26875,-12.2965,-12.17,-12.14125,-12.03375,-11.964,-12.361,-12.136,75.569425,395.295,0.64689,399.745,0.48497,77.926375,-0.3449625,-10.80775,-1.49155,0.172625,229.05925,254.17725,-38.352,1.962225,-11.75,-11.63,4.285
1,5.75,1.59127,-12.0657,2.43158,378.229,0.278444,0.14795,0.2225775,-31.1484,-2.30759,0.11038,-0.261945,0.08274645,392.74,391.23,379.6805,377.56,390.0875,389.415,0.746085,0.7511,2.91,2.395975,0.728915,0.696125,-11.5575,-11.54,77.60125,98.3535,-2.6777,-29.9405,-0.172015,-0.32889,2.0959,0.277165,0.102455,0.07042,-0.35013,0.32862,1.15955,1.9172,3.245075,0.5471475,0.9287725,1.974325,-3.0901,-2.862,-2.82783,-10.03175,-11.256,-10.863,-10.557,-10.9195,-10.24325,-12.717025,-12.695,-12.3355,-12.2725,-12.24225,-12.223,-12.227,-12.136,-12.075,-12.0925,-12.309,-12.287,75.718175,395.84,0.4973175,399.415,0.41515,78.4861,-0.30945,-10.21775,-1.55535,0.154955,227.17,254.865,-40.5957,1.979275,-11.9,-11.8,4.2883
1,6.25,1.6434,-12.1544,2.4154175,378.6035,0.2861,0.1414385,0.236367,-30.795425,-1.9320175,0.107272,-0.27327,0.0809375,392.7625,391.4575,379.91775,377.6205,389.925,389.5075,0.748905,0.753875,2.83495,2.3637,0.752305,0.7147775,-11.544,-11.432,78.70335,98.37,-2.58825,-24.1005,-0.225213,-0.24279,2.134825,0.287095,0.0974,0.07649,-0.34673,0.33415,1.156,1.9118,3.239065,0.543965,0.930085,1.99265,-3.080515,-2.86335,-2.827965,-10.28125,-11.26,-10.9905,-10.70925,-11.1205,-10.55375,-12.55975,-12.57245,-12.33575,-12.35975,-12.34225,-12.36,-12.23975,-12.13,-12.155,-12.14625,-12.289,-12.32,76.1538,395.72,0.4914775,399.13,0.4068575,78.2571,-0.2951475,-10.224,-1.5077425,0.1643125,226.83,254.915,-35.3,2.036775,-11.9,-11.85,4.27417
1,6.75,1.60646,-12.3201,2.4149375,378.9955,0.29805,0.1467,0.2328755,-30.1713,-2.14686,0.080187725,-0.1949725,0.09209135,392.8025,391.11525,380.1765,377.9055,390.205,389.469,0.72671,0.76329,2.81665,2.34535,0.742595,0.70906,-11.45875,-11.53125,78.45095,98.3705,-2.62155,-24.924,-0.1727,-0.35707,2.1285,0.27699,0.097565,0.071725,-0.355455,0.320164,1.1575,1.92115,3.231975,0.54805,0.93081,1.9937,-3.08534,-2.8633,-2.81933,-10.28775,-11.391,-11.224,-11.133,-11.256,-10.67475,-12.67575,-12.70525,-12.46475,-12.4045,-12.388,-12.355,-12.225,-12.138,-12.1325,-12.13,-12.338,-12.22,76.485875,396.22,0.4870825,399.2225,0.3998375,78.17205,-0.263185,-11.008,-1.386225,0.16135,226.305,254.925,-37.32,2.020125,-11.9095,-11.8256,4.2755
1,7.25,1.6673,-12.3034,2.44216,379,0.293675,0.1495885,0.22261975,-31.28745,-1.70156,0.063727575,-0.239273,0.19772,393.33,391.6875,380.5935,378.221,390.27625,389.84,0.7507825,0.758305,2.8424,2.442975,0.75582,0.71018,-11.621,-11.64325,78.4024,98.3585,-2.6191,-27.9435,-0.1197325,-0.25798,2.2106,0.27664,0.089645,0.07932,-0.354785,0.32752,1.1603,1.9139,3.222825,0.539435,0.9239675,1.979075,-3.0857925,-2.873875,-2.832525,-10.531,-11.436,-11.256,-11.256,-11.256,-10.748,-12.7765,-12.755,-12.595,-12.465,-12.37975,-12.395,-12.3415,-12.24575,-12.2645,-12.2325,-12.65,-12.435,76.239625,396.36,0.50031,399.2925,0.39553,78.34,-0.32332,-10.85725,-1.3905,0.182505,225.565,255.22275,-33.048,2.028075,-12.14,-11.96,4.2818
1,7.75,1.68235,-12.256775,2.432375,379.0095,0.2801,0.1451815,0.223056,-29.73125,-1.90824,0.08585725,-0.2189225,0.14567425,393.2775,392.0225,380.755,378.06,390.3325,389.701,0.7344325,0.74365,2.8212,2.3429,0.7474075,0.706,-11.861,-11.817,78.67975,98.372,-1.130475,-22.91425,2.238,0.3915,2.286,0.285455,0.09281,0.068625,-0.358095,0.3188185,1.15385,1.9182,3.24375,0.54508,0.92492,1.98325,-3.081105,-2.87795,-2.8261,-10.72725,-11.371,-11.256,-11.252,-11.256,-11.03,-12.7125,-12.65675,-12.52025,-12.4415,-12.38075,-12.375,-12.50575,-12.3575,-12.34025,-12.33625,-12.682,-12.727,76.60375,396.25,0.49883,399.3725,0.40194,78.608575,0.237835,-4.1287,0.65439,0.493355,228.1455,254.5325,-32.3747,2.060425,-12.262,-12.11,4.275
1,8.25,1.67232,-12.578675,2.444155,379.373,0.295725,0.148475,0.239323,-23.4644,-2.12017,0.129115,-0.275992,0.160128,392.5345,390.2745,380.32625,378.09,389.525,388.9015,0.92267,0.9069075,2.9091,2.35065,0.9052125,0.8427775,-11.80875,-11.87025,79.130625,98.37,4.74025,-12.7925,16.025,4.52685,2.2465,0.27844,0.10218,0.07248,-0.372645,0.31712,1.1577,1.91195,3.238975,0.5320575,0.90932,1.97495,-3.08416,-2.878825,-2.8223,-10.9395,-11.435,-11.256,-11.256,-11.256,-11.08575,-12.649,-12.5828,-12.3295,-12.257,-12.14,-12.245,-12.1945,-12.1665,-12.154,-12.176,-12.511,-12.563,76.526125,396.26,0.70006,400.145,0.495055,78.102,2.48,8.447275,7.6779,1.8189,229.234,254.58,-14.982075,2.028,-12.0875,-11.86,4.279
1,8.75,1.6585225,-12.21235,2.4026525,379.33375,0.310416,0.1468,0.2538675,-15.6479,-1.1364525,0.165792,-0.398365,0.060476,393.25025,390.9575,380.6295,377.85,390.18,389.625,0.764685,0.767625,2.88,2.347625,0.77225,0.6960325,-11.673,-11.6755,78.93115,98.377,16.61675,3.7763,42.77,11.7255,2.2945,0.2734,0.1002475,0.079685,-0.3520575,0.32170675,1.162,1.912725,3.2467,0.55872,0.91688,1.975,-3.08914,-2.8789,-2.83,-10.915,-11.396,-11.256,-11.256,-11.256,-11.247,-12.2855,-12.1025,-12.0245,-11.96,-11.89,-11.8735,-11.8235,-11.756,-11.83,-11.835,-12.336,-12.39,76.46405,396.615,0.535705,399.63,0.381025,78.1021,6.935,26.72775,23.789,4.7964,228.03,255.72,4.343405,1.9608,-11.6,-11.52,4.275325
1,9.25,1.5987475,-12.04455,2.4135525,379.14775,0.37235,0.14227025,0.316218,-8.73768,-0.5051875,0.251675,-0.60415275,-0.0398049,392.68,390.87,380.525,378.359,390.0475,389.34,0.78389,0.75833,2.918975,2.57505,0.76,0.6948125,-11.244,-11.308,77.88845,98.39625,31.55775,17.77,80.2145,21.7495,2.063575,0.28877,0.08919,0.06246,-0.34706,0.33773,1.1569,1.92115,3.246825,0.549905,0.9270575,1.975925,-3.0939725,-2.8912,-2.83015,-10.91,-11.52775,-11.01375,-11.256,-11.256,-11.12375,-11.6153,-11.72,-11.43,-11.44,-11.35,-11.36,-11.259,-11.246,-11.345,-11.4,-11.936,-12.082,75.65,396.57,0.5552275,399.485,0.43175,77.45085,13.00075,49.958,43.146725,8.362325,227.59,258.5225,23.03405,1.86565,-11.27045,-11.245,4.282
1,9.75,1.6793175,-11.43365,2.503695,379.22875,0.4115955,0.146625,0.346148,0.130443,0.934908,0.2922795,-0.861109,-0.0711682,391.276,390.49,380.23,378.3685,389.851,389.19,0.801285,0.781205,2.9363,2.5644,0.78811,0.7521475,-10.814,-10.808,76.0572,98.40725,49.05425,31.7185,120.42,32.594,2.1083,0.2986675,0.0928925,0.075155,-0.3677875,0.3383825,1.157125,1.92095,3.2411,0.52537,0.91953,1.9804,-3.089485,-2.89165,-2.8281,-10.87525,-11.3785,-10.562,-11.256,-11.256,-10.999,-11.02,-10.98,-10.87,-10.894,-10.78,-10.79,-10.8,-10.8,-10.91,-10.99,-11.695,-11.922,74.0544,396.3575,0.56492,399.7,0.47478,75.469525,18.98125,62.821,62.42625,12.24925,229.375,261.56,37.9725,1.8874,-10.76575,-10.8375,4.27435
