DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
1,0.25,0.244,0.257,0.4,-15.745,0.649,-0.0285,405.948,380,3.374,-19.1375,0,0,0,-1.1375,0.4755,278.7855,302.6385,-2.176,77.72,3.613,101.4,0.16,0.645,1.006,1.466,2.659,4.584,0.125,0.325,0.779,1.467,2.757,4.345,-4.536,-3.864,-3.99,-5.166,0.80585,1.2313
1,0.75,0.457,0.368,0.157,-16.852,0.609,0.0235,405.406,380.4,3.396,-19.6015,0,0,0,-1.0705,0.462,277.5785,302.702,-2.024,78.41,3.3265,101.4,0.151,0.65,1.004,1.48,2.668,4.611,0.128,0.346,0.784,1.525,2.8,4.354,-4.578,-3.864,-4.074,-5.25,0.7942,1.1765
1,1.25,0.567,0.52,0.182,-14.566,0.611,0.032,405.112,380,3.415,-20.4635,0,0,0,-1.082,0.4905,273.3775,302.7115,-2.028,78.4,3.6035,101.4,0.153,0.648,0.999,1.469,2.664,4.593,0.131,0.339,0.789,1.508,2.793,4.349,-4.578,-3.906,-4.116,-5.25,0.8088,1.1996
1,1.75,0.47,0.3875,0.069,-17.449,0.597,-0.006,404.562,380.25,3.4585,-20.5585,0,0,0,-1.115,0.459,276.286,302.071,-2.096,78.26,3.4305,101.4,0.147,0.64,0.999,1.4715,2.659,4.5915,0.1165,0.3285,0.783,1.478,2.7885,4.3295,-4.578,-3.864,-4.2,-5.208,0.7995,1.1639
1,2.25,0.568,0.489,0.148,-14.319,0.577,0.008,405.393,381.2,3.424,-18.876,0,0,0,-1.0155,0.435,276.2,302.3615,-2.366,77.23,3.471,101.4,0.144,0.655,1.008,1.462,2.663,4.583,0.128,0.327,0.784,1.52,2.793,4.325,-4.578,-3.906,-4.242,-5.25,0.78315,1.1039
1,2.75,0.525,0.429,0.127,-16.985,0.582,0.0245,405.597,380.1,3.51,-19.598,0,0,0,-0.994,0.492,278.594,300.27,-2.678,78.445,3.5985,101.4,0.155,0.632,1.006,1.469,2.663,4.589,0.143,0.329,0.79,1.523,2.789,4.346,-4.662,-3.885,-4.137,-5.25,0.7499,1.1525
1,3.25,0.563,0.491,0.218,-17.96,0.573,0.099,405.854,381,3.44,-20.1345,0,0,0,-1.16,0.503,275.873,299.556,-2.5795,78.17,3.453,101.4,0.151,0.659,1.017,1.469,2.655,4.598,0.139,0.324,0.79,1.521,2.807,4.335,-4.662,-3.885,-4.137,-5.25,0.7668,1.1479
1,3.75,0.49,0.39,0.2,-18.346,0.603,0.056,406.472,380.2,3.408,-18.3165,0,0,0,-1.125,0.548,272.96,299.192,-2.6165,77.47,3.493,101.4,0.15,0.645,1.006,1.47,2.666,4.59,0.135,0.327,0.784,1.526,2.802,4.334,-4.662,-3.927,-4.158,-5.229,0.7707,1.2239
1,4.25,0.541,0.5,0.198,-16.166,0.6255,0.074,406.113,380.5,3.379,-17.733,0,0,0,-1.182,0.537,272.361,298.493,-2.8275,77.29,3.468,101.4,0.159,0.656,1.013,1.467,2.638,4.586,0.14,0.331,0.785,1.519,2.804,4.34,-4.662,-3.906,-4.2,-5.271,0.8192,1.1937
1,4.75,0.5595,0.514,0.299,-17.1265,0.62,0.025,405.822,380.65,3.3425,-19.2665,0,0,0,-1.177,0.547,270.216,297.956,-3.058,78.175,3.493,101.4,0.145,0.657,1.002,1.47,2.662,4.569,0.133,0.325,0.779,1.516,2.821,4.331,-4.662,-3.927,-4.2,-5.271,0.7868,1.184
1,5.25,0.576,0.468,0.109,-16.401,0.581,-0.02,405.504,380.7,3.3185,-19.025,0,0,0,-1.023,0.5375,267.263,297.065,-3.2275,78.4,3.4525,101.4,0.163,0.659,1.001,1.461,2.65,4.577,0.135,0.319,0.787,1.515,2.808,4.334,-4.662,-3.927,-4.221,-5.292,0.7657,1.194
1,5.75,0.555,0.452,0.316,-17.19,0.587,-0.033,405.849,380.75,3.274,-17.178,0,0,0,-1.011,0.561,272.505,297.036,-3.258,78.535,3.336,101.4,0.159,0.656,1.016,1.467,2.634,4.577,0.139,0.322,0.785,1.533,2.799,4.331,-4.62,-3.906,-4.2,-5.292,0.7658,1.1392
1,6.25,0.579,0.4355,0.099,-14.759,0.601,0.061,405.707,380.65,3.2655,-16.7675,0,0,0,-1.045,0.54,275.519,297.451,-3.4455,77.555,3.4285,101.4,0.151,0.67,1.014,1.473,2.633,4.578,0.116,0.325,0.79,1.536,2.798,4.314,-4.704,-3.969,-4.263,-5.313,0.77135,1.1906
1,6.75,0.559,0.405,0.204,-14.339,0.61,0.098,405.873,380.85,3.2385,-15.89,0,0,0,-0.9025,0.5465,273.806,296.616,-3.54,77.37,3.452,101.45,0.1535,0.638,1.0065,1.469,2.6255,4.56,0.1085,0.3235,0.788,1.487,2.783,4.308,-4.662,-3.948,-4.326,-5.292,0.75765,1.13115
1,7.25,0.5595,0.425,0.2245,-13.075,0.601,0.022,406.117,381.05,3.223,-14.636,0,0,0,-0.85,0.54,270.068,296.856,-3.348,77.665,3.489,101.5,0.157,0.647,1,1.475,2.628,4.577,0.109,0.315,0.792,1.512,2.805,4.324,-4.641,-3.969,-4.326,-5.292,0.7636,1.1972
1,7.75,0.456,0.3495,0.1315,-12.935,0.5885,-0.001,406.003,381.1,3.225,-14.3075,3.946,0.098,1.1945,1.074,1.019,274.228,296.876,-3.2855,78.79,3.281,101.5,0.145,0.642,1.01,1.475,2.613,4.57,0.105,0.323,0.785,1.51,2.784,4.306,-4.62,-3.969,-4.368,-5.313,0.7498,1.1413
