DOY2,HR2,FC,LE,H,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,T_BOLE_1_1_1,T_BOLE_2_1_1,T_BOLE_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,PA,PPFD_IN_1_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_2,PPFD_IN_1_2_1,PPFD_OUT,WS,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
7,3.25,10.187,22.498568947,6.148,0.6545,434.1,434.2175,441.5075,449.2925,21.32075,21.22525,21.1495,8.3815,8.727,11.93325,100.444,1.323,1.9,0,0,409.01675,410.278,7.459,2.563,1.9305,2.2445,3.58925,19.8905,22.81875,20.70625,20.65525,20.54225,20.684,20.37275,97.605,97.8525,99.6525,99.905,100,19.762,18.814,18.255,16.258,12.695,11.995
7,3.75,9.86949999999999,11.562516112,37.0454999999998,0.6555,438.665,437.315,440.6725,446.88,21.14225,21.01975,21.0045,8.21025,8.4985,11.76475,100.437,1.043,1.6135,0,0,409.10725,410.081,8.231,2.5505,2.002,2.16075,3.562125,19.37675,22.5535,20.385,20.344,20.2905,20.4775,20.2415,97.7,97.8525,99.6525,99.9525,100,19.705,18.685,18.036,16.333,12.684,12.034
7,4.25,8.373,12.905348059,87.1859999999998,0.7255,429.7075,429.8725,438.42,445.7,20.94725,20.82475,20.826,8.06175,8.367,11.62375,100.437,1.048,1.7745,0,0,410.76625,410.04425,8.72275,3.613,2.18875,2.2765,3.99105,19.38225,22.12125,19.6785,19.574,19.52275,19.777,19.75025,97.7,97.9,99.6,100,100,19.617,18.633,18.24,16.252,12.681,11.9
7,4.75,11.4495,17.3319270745,89.4549999999996,0.736,424.6875,425.4875,441.0275,452.8325,20.78225,20.62675,20.658,7.92525,8.21925,11.45,100.457,12.055,10.6005,0,0,408.28275,409.75775,8.5655,21.06025,2.38675,2.792,3.698025,19.36025,21.99925,19.25025,19.1315,19.00525,19.26625,19.2315,97.7525,97.9,99.7,100,100,19.466,18.45,18.117,16.219,12.642,11.974
7,5.25,8.435,52.9871633154999,94.0464999999996,0.6955,432.4175,435.185,442.82,449.71,20.699,20.495,20.53,7.77725,8.0675,11.1385,100.471,59.1485,54.909,36.57575,6.49675,409.72875,409.4925,9.82475,85.89275,4.0875,5.1365,3.9515,19.24875,22.018,19.12975,19.03625,18.86425,19.09675,19.04125,97.805,97.9,99.7525,100,100,19.421,18.709,18.087,16.285,12.588,12.0334
7,5.75,11.545,84.1939862259999,26.3475,0.6285,433.445,432.56,438.95,445.8425,20.6525,20.44875,20.45875,7.623,7.93525,10.787,100.478,118.9575,87.9935,82.96625,13.9275,411.48875,409.79675,26.387,192.25,6.0025,8.34,3.573975,19.10825,21.762,19.08975,19.0005,18.88225,19.08575,19.00075,97.8525,97.9,99.7525,100,100,19.346,18.453,18.006,16.123,12.711,12.052
7,6.25,7.1495,48.1333300494999,78.3854999999999,0.7665,430.005,429.22,432.635,439.295,20.618,20.4255,20.479,7.43775,7.781,10.4985,100.478,245.6755,143.407,155.4575,19.5,411.7195,411.43825,68.17925,352.46525,10.846,12.424,3.414875,19.04975,21.686,18.9925,18.958,18.865,19.09225,18.99875,97.9,97.9525,99.8,100,100,19.337,18.409,18.09,16.064,12.6486,11.945
7,6.75,5.348,78.0337905144999,70.9185,0.6995,422.27,422.87,422.275,427.355,20.662,20.4625,20.536,7.23675,7.70525,10.22475,100.484,387.0945,204.3445,242.16575,22.299,410.1845,413.764,133.44275,491.49975,9.088,16.434,3.995275,19.189,21.59625,19.49075,19.4505,18.824,19.057,18.98925,97.8525,98,99.7525,100,100,19.316,18.604,17.877,15.977,12.681,11.9819
7,7.25,6.9525,96.138187777,153.095,0.751,420.91,420.845,421.35,422.5,20.737,20.561,20.6615,7.0735,7.64425,10.055,100.508,554.569,272.6415,331.7705,27.74075,410.328,414.67125,220.79925,671.55125,12.937,22.044,4.038825,19.796275,21.713,19.65775,19.8265,18.816,19.049,18.99025,97.805,98,99.8,100,100,19.316,18.516,17.841,16.132,12.77,11.9063
7,7.75,5.379,161.312242975,223.8815,0.721,413.765,413.805,413.73,417.955,20.863,20.7005,20.8245,6.945,7.597,9.9825,100.511,690.5805,350.8475,416.66525,34.48,408.5165,418.28825,286.74275,830.08475,16.354,26.394,4.10285,20.247525,22.14625,20.36675,20.5385,19.445,19.4205,19.1265,97.8525,98,99.8,100,100,19.358,18.369,17.757,16.094,12.666,11.954
