DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1
1,0.25,0.286,-0.7445,1.7215,0.923,0.5465,0.0705,-17.263,0.299,-6.361,3.45,71.5,101.4,405.0055,1.455,-38.17,0,0,1.5,262.2,302.4
1,0.75,0.3035,-0.844,1.643,0.846,0.631,0.037,-19.46,0.5655,-6.35,3.445,71.9,101.4,404.642,1.435,-39.04,0,0,1.5,259.601,301.7
1,1.25,0.305,-0.8345,1.709,0.823,0.585,0.0405,-19.599,0.38,-6.365,3.4285,72.5,101.4,404.473,1.365,-40.165,0,0,1.445,258.45,300.3
1,1.75,0.3105,-0.8825,1.6955,0.8535,0.575,0.114,-19.6225,0.2495,-6.4055,3.4145,72.55,101.4,404.52,1.37,-39.755,0,0,1.475,258.7005,300.1
1,2.25,0.3,-1.1315,1.7345,0.983,0.545,0.062,-18.59,0.146,-6.433,3.4,73.8,101.4,404.59,1.305,-37.585,0,0,1.5,258.35,299.8
1,2.75,0.297,-1.0855,1.6315,0.888,0.602,0.099,-19.579,0.189,-6.481,3.405,73.95,101.4,404.5515,1.275,-36.3,0,0,1.489,259.7005,299.35
1,3.25,0.327,-1.179,1.6895,1.073,0.621,0.095,-17.716,0.375,-6.5885,3.401,74.35,101.45,404.476,1.23,-34.615,0,0,1.5,261.2505,299.3
1,3.75,0.327,-1.475,1.7095,0.887,0.624,0.1015,-20.104,0.1905,-6.64,3.37,74.2,101.4,404.7795,1.255,-36.225,0,0,1.385,262.8,299.45
1,4.25,0.3095,-1.608,1.72,0.881,0.595,0.1095,-18.297,0.2685,-6.691,3.34,74.1,101.4,405.188,1.21,-35.42,0,0,1.4,264.25,300.35
1,4.75,0.3285,-1.6915,1.704,0.907,0.625,0.048,-18.215,0.258,-6.735,3.33,76,101.4,405.1,1.15,-36.435,0,0,1.4,262.0005,300.15
1,5.25,0.3015,-1.8205,1.763,0.892,0.6595,0.093,-16.585,0.187,-6.798,3.323,75.95,101.4,405.03,1.135,-34.615,0,0,1.4045,263.0505,299.75
1,5.75,0.283,-1.702,1.7145,0.9445,0.582,0.079,-15.841,0.248,-6.7935,3.305,76.5,101.4,405.36,1.14,-38.06,0,0,1.39,259.2005,300.3
1,6.25,0.2805,-1.6645,1.679,1.014,0.66,0.124,-16.986,0.243,-6.8205,3.315,76.95,101.4,405.379,1.115,-33.71,0,0,1.372,264.05,299.5
1,6.75,0.28,-1.817,1.6385,1.182,0.725,0.208,-14.793,0.179,-6.8775,3.331,77.3,101.4,405.413,1.1,-36.09,0.1,0,1.5,262.8,298.7
1,7.25,0.296,-1.8335,1.703,1.035,0.732,0.1835,-13.001,0.418,-6.9475,3.33,77.15,101.5,405.549,1.045,-34.49,8.75,4.1,2.5,262.4,298.15
1,7.75,0.32,-1.7195,1.7645,1.15,0.92155,-0.004,-6.435,0.871,-6.985,3.3495,77.1,101.5,406.4335,1.07,-14.31,55.35,27.79,8.405,264.9,298.45
1,8.25,0.3865,-1.355,1.779,0.8725,1.2,-0.255,4.0555,3.719,-7.0615,3.363,75.35,101.5,406.5275,1.14,11.97,144.25,72.45,18.65,266.65,300.85
1,8.75,0.4865,-0.5305,2.02,0.723,1.257,-0.5715,28.4695,7.9685,-7.063,3.375,72.05,101.5,406.098,1.43,48.535,257.3,128.1005,26.27,262.3,305.4
1,9.25,0.556,0.166,2.366,0.355,1.053,-0.627,62.484,12.987,-7.013,3.403,66.1,101.5,405.299,1.69,81.8,350.35,185.3,32.48,262.55,310
1,9.75,0.606,0.799,2.41,0.5225,1.166,-0.763,87.97,19.502,-6.852,3.457,62.04,101.5,404.46,1.965,119.2,460.6,230.85,39.8,268.1,314.1
1,10.25,0.644,1.378,2.6105,0.551,1.034,-0.642,114.716,21.177,-6.6375,3.5055,59.92,101.5,403.29,2.195,153,583.35,294.05,44.935,267.7,318.45
1,10.75,0.687,1.908,2.727,0.295,0.83,-0.58,126.4135,24.1755,-6.3905,3.6345,56.66,101.5,402.598,2.435,179.05,650.3,323.45,49.9,270.6,320.9
1,11.25,0.675,2.3415,2.867,0.412,0.7685,-0.429,142.0925,27.486,-5.868,3.7005,53.585,101.5,402.001,2.625,182.65,633.3,325.85,52.21,272.15,323.85
1,11.75,0.696,2.687,2.845,0.182,0.678,-0.434,146.317,30.516,-5.5205,3.822,51.18,101.4,401.63,2.85,202.1,691.95,348.55,51.87,271.9,325.25
1,12.25,0.7,2.925,2.9205,0.457,0.829,-0.3165,145.513,27.423,-4.952,3.9065,49.195,101.4,401.5125,3.005,190.85,674.6,338.1,50.75,275.4,326.4
1,12.75,0.714,3.185,2.8635,0.63,0.78,-0.189,143.518,28.7745,-4.761,4.0055,49.4,101.301,401.39,3.05,178.4,628.3,313.45,48.5,274.45,329.2
1,13.25,0.719,3.4485,2.862,0.559,0.8265,-0.1865,136.9855,24.955,-4.677,4.06,47.97,101.3,401.03,3.255,172.4,618.35,310.05,46.45,278.55,329.05
1,13.75,0.725,3.596,2.846,0.55,0.639,-0.142,121.052,24.439,-4.3645,4.0835,47.14,101.3,400.768,3.495,160.05,603.4,302.8,44.35,275.9,328.25
1,14.25,0.676,3.645,2.7895,0.667,0.727,-0.031,91.3915,18.932,-4.155,4.1085,45.835,101.3,400.819,3.5,130.85,511.2,255.25,41.3,269.75,329.6
1,14.75,0.6815,3.547,2.7975,0.881,0.796,-0.027,64.538,16.902,-3.995,4.1305,45.925,101.3,400.4525,3.615,88.15,396.6,195.95,34.52,270.15,328
1,15.25,0.619,3.3105,2.7215,0.884,0.806,0.085,37.493,12.33,-3.9245,4.1105,45.9,101.3,400.3105,3.6,53.74,316,160.95,26.32,266.85,326.15
1,15.75,0.573,3.2275,2.5285,0.993,0.7435,0.204,12.448,8.111,-3.915,4.0965,46.555,101.3,400.394,3.475,15.045,197.75,104.1,19.55,268.65,323.3
1,16.25,0.485,2.786,2.2365,1.052,0.633,0.3085,-5.294,4.939,-4.074,4.032,48.135,101.301,400.5175,3.35,-13.285,83.75,44.8,8.645,265.6,320.15
1,16.75,0.382,2.3055,1.9645,1.316,0.529,0.456,-14.19,1.737,-4.266,3.978,50.415,101.301,400.8895,3.1,-44.065,18.05,8.3,2.679,263.5,316.9
1,17.25,0.336,1.7175,1.752,1.4565,0.591,0.5405,-17.7595,0.891,-4.4035,3.898,53.25,101.4,401.3165,2.81,-56.835,0.8,0.4,1.685,261.4505,312.8
1,17.75,0.303,1.256,1.625,1.289,0.431,0.456,-17.016,0.626,-4.7045,3.8585,55.04,101.4,401.871,2.635,-53.83,0,0,1.6,265,311.25
1,18.25,0.285,0.9675,1.611,1.177,0.457,0.457,-17.8135,0.5125,-4.859,3.7785,56.55,101.4,402.2325,2.46,-51.53,0,0,1.55,260.5,309.6
1,18.75,0.291,0.4945,1.685,1.2265,0.499,0.435,-19.248,0.231,-4.979,3.651,58.22,101.4,403.133,2.325,-51.75,0,0,1.595,260.45,306.9
1,19.25,0.288,0.347,1.6505,1.086,0.539,0.3475,-19.498,0.338,-5.206,3.64,60.275,101.4,403.4555,2.22,-49.76,0,0,1.6,262.75,306.65
1,19.75,0.3175,0.085,1.6355,1.1735,0.6135,0.294,-18.5205,0.322,-5.3295,3.65,62.01,101.4,403.564,2.12,-47.915,0,0,1.6,266.4,305.35
