DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_3_1,RH_1_3_1,TA_1_2_1,RH_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_3_1,WS_1_2_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,T_CANOPY_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,NEE
1,0.25,-57.3325,-30.0708,-1.741425,-12.4203,-0.18967325,0.067994,381.3955,3.4705525,0.04553715,88.064425,-4.4963425,45.6238,-3.52225,48.934025,-0.2075,41.762525,0.4811955,0.294126,0.48147175,0,1.51875,245.975,300.6,-2.508,-3.942,1.73,4.3975,5.19525,6.11075,6.902945,7.421365,0.23913
1,0.75,-56.78275,-29.877575,-1.64794,-13.3806,-0.19014,0.06509525,381.42725,3.44546,-0.3851455,88.059175,-5.150395,47.43665,-3.962,49.7611,-0.6765,44.19485,0.3708985,0.294126,0.44684175,0,1.60225,244.025,300.8,-2.652,-4.0085,1.4965,4.26075,5.16425,6.12775,6.90539,7.422145,0.22629675
1,1.25,-56.17425,-29.22815,-1.9259275,-15.192,-0.2041595,0.0728171,381.2035,3.4229625,-0.842503,88.052,-5.6975,50.4725,-4.392,51.8699,-1.16225,45.968275,0.403641,0.294126,0.491146,0,1.47575,244.225,301.1,-2.69725,-3.98475,1.28225,4.1065,5.124,6.14475,6.90719,7.424245,0.20771425
1,1.75,-55.83,-29.198525,-1.680985,-12.522375,-0.23449875,0.070796825,381.334,3.4177125,-1.13221,88.06045,-5.681585,49.16295,-4.458,53.0161,-1.4455,46.45555,0.4120225,0.294126,0.5280895,0,1.98075,243.35,299.35,-3.258,-4.05125,1.1185,3.94675,5.101,6.15725,6.9093725,7.4263825,0.2043965
1,2.25,-54.9125,-28.828875,-1.98622,-14.7637,-0.209115,0.0713421,381.432,3.42602,-1.5134,88.067325,-5.941025,49.18405,-4.6595,54.9797,-1.74875,47.44055,0.5035455,0.294126,0.500858,0,1.66675,243.375,297.775,-3.6465,-4.8425,0.91125,3.79225,5.0515,6.16025,6.91342,7.42852,0.18805325
1,2.75,-55.025,-28.732,-2.1808,-15.5887,-0.216991,0.07358755,381.291,3.47662,-1.8695825,88.069,-6.09925,49.14875,-4.737,56.2566,-2.12675,49.411775,0.41409,0.294126,0.54394375,0,1.45225,242.725,296.225,-3.991,-4.71,0.70825,3.65075,5.02875,6.16575,6.91744,7.430665,0.18597025
1,3.25,-54.84,-28.8704,-2.098455,-16.065,-0.235276,0.0747299,381.477,3.38523,-2.27672,88.0725,-6.401625,51.043475,-5.1545,55.92,-2.43275,50.7257,0.427779,0.294126,0.4932955,0,1.45275,242.125,294.725,-4.1345,-5.01125,0.5395,3.52075,4.9785,6.16775,6.922835,7.4328025,0.17469725
1,3.75,-55.1175,-28.6908,-2.18962,-16.526,-0.21055425,0.0729079,381.267,3.41672,-2.3969325,88.0652,-6.3075975,53.10125,-5.47525,57.65095,-2.59425,51.676125,0.4262145,0.294126,0.5378705,0,1.6475,240.275,294.4,-4.65825,-5.255,0.37525,3.38575,4.929,6.17325,6.922715,7.43494,0.1695865
1,4.25,-54.3475,-28.517575,-2.0970525,-13.9637,-0.2192045,0.0719752,381.3965,3.42979,-2.78837,88.05005,-6.6625,52.54,-5.723875,58.95945,-3.046,53.041975,0.465886,0.294126,0.551141,0,1.4665,237.775,292.575,-5.002,-5.76425,0.1925,3.2445,4.91,6.172,6.9244775,7.437085,0.164517
1,4.75,-54.115,-28.427525,-2.3573225,-15.36915,-0.216189,0.0714516,381.5305,3.387505,-2.97607,88.0445,-7.2278075,54.989375,-6.05075,60.411125,-3.236,53.8348,0.42722025,0.294126,0.508348,0,1.39975,236.95,291.3,-5.107,-5.94525,0.0825,3.10025,4.84775,6.175,6.9279975,7.4392225,0.1618535
