DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1
1,0.25,400.14041665,2.7182169865,2045.1488925,0.43554745,3.96,-11.43155228,4.623090895,3.8387473395,0.246637579,-0.101575895,0.95150312070217,0.60818366881165,0.302794972731012,101.00649795,80.85,-15.44,1.5652212875,-3.10659469999999,0.216572424335459,-22.6985,-0.095,-0.09,-1.212,0.632,227.8,242.5,-0.7535,-1.2215,-0.7465,-1.059,-30.269485
1,0.75,400.1122533,2.7182169865,2047.7037805,0.4536288098,6.54,-11.924206225,4.623090895,4.7805455515,0.2444637045,-0.0833,0.842895215218983,0.56212438691963,0.287394574438173,100.9691833,81.145,-15.135,1.5652212875,-3.65222374999996,0.258065103241278,-35.552,-0.0915,-0.0865,-0.8465,1.517,229.5,243.45,-0.7515,-1.2125,-0.743,-1.1805,-30.421015
1,1.25,400.07678645,2.7182169865,2023.798482,0.4717101696,0.945,-12.486327695,4.623090895,4.2417571335,0.2317965145,-0.0725,0.785801123551735,0.589289527249427,0.243515545036786,100.95997895,82.3,-15.095,1.5652212875,-4.13543749999997,0.252275327583307,-29.1165,-0.0865,-0.0805,-1.1805,0.4615,222.6,243.5,-0.7555,-1.222,-0.7515,-1.1995,-30.576325
1,1.75,400.1589641,2.7182169865,2042.921616,0.4897915294,1.0875,-9.4612185385,4.623090895,4.353213261,0.23054351,-0.0705,0.863877166036931,0.599451895484533,0.250798724079689,101.0247879,83.2,-15.285,1.5652212875,-4.08328419999998,0.211896201004171,-34.055,-0.0935,-0.0875,-0.724,0.582,228.9,242.95,-0.7585,-1.2185,-0.7455,-1.179,-30.73066
1,2.25,400.4743092,2.7182169865,2044.182586,0.5078728892,1.23,-11.53955753,4.623090895,3.5180858075,0.22282558,-0.0895,0.855720419670367,0.577785873987463,0.215265552430184,101.07769625,81.25,-14.79,1.5652212875,-4.95628794999996,0.223160829978881,-32.9735,-0.0945,-0.0835,-1.5135,0.7675,236.45,242.75,-0.7635,-1.215,-0.7495,-1.123,-30.91772
1,2.75,399.71763555,2.7182169865,2041.735522,0.525954249,4.24,-7.056459143,4.623090895,4.045178279,0.197010079,-0.05875,0.751006966678739,0.614658506814963,0.235584379787795,101.0509065,80.6,-14.805,1.5652212875,-5.0506896,0.272029410174709,-26.489,-0.0945,-0.0895,-0.846,1.123,235.8,243.2,-0.7665,-1.214,-0.7555,-1.131,-31.100885
1,3.25,399.8553983,2.8542563345,2020.337228,0.570121937333333,4.815,-11.57150545,4.623090895,3.930420672,0.251860805,-0.0846,0.836419455177843,0.61389225113207,0.26,101.0416423,80.37,-14.925,1.483753864,-4.828709,0.248193472919817,-23.397,-0.098,-0.091,-1.433,0.7495,226.25,241.7,-0.7675,-1.2235,-0.749,-1.17,-31.29849
1,3.75,400.51403835,2.982735219,2018.8718845,0.614289625666667,4.01,-6.7424028805,4.623090895,3.575328788,0.257068889,-0.0892,0.81550448435309,0.60155869206587,0.255929677841395,101.0222224,81.35,-15.1,1.510897514,-4.42710599999998,0.286879765755621,-29.443,-0.099,-0.0895,-1.506,0.847,224.25,240.2,-0.768,-1.2195,-0.7545,-1.2195,-31.49693
1,4.25,400.2129382,3.0369308195,2015.999894,0.658457314,3.045,-10.0685239165,5.362508498,3.4675800045,0.22856614,-0.07185,0.855741039670569,0.55247069778554,0.241581139893037,100.97441675,81.55,-15.025,1.517773643,-4.18585584999999,0.280133939215808,-32.326,-0.1005,-0.092,-1.206,1.229,219.05,240.8,-0.7675,-1.2215,-0.754,-1.178,-31.72188
1,4.75,400.5206986,3.0959772225,1994.2272785,0.3637384045,3.40833333333333,-4.749967323,5.596128059,3.741495782,0.198023291,-0.0597,0.865751601868877,0.584672471833906,0.289901013686588,100.9430634,81.055,-14.97,1.704458952,-3.82228579999997,0.233023208795417,-37.916,-0.102,-0.093,-0.867,1.005,224.7,239.6,-0.7615,-1.2265,-0.755,-1.122,-31.666105
1,5.25,400.4652755,2.9802176955,1994.9411715,0.214497976,3.77166666666667,-8.112623673,3.806907053,3.575839642,0.1672637415,-0.04865,0.760986595044498,0.568754156175583,0.245542200082913,100.9141999,80.5,-15.575,1.751017319,-4.40527929999999,0.204373034571759,-34.339,-0.0905,-0.082,-1.2235,0.634,224.15,238.35,-0.7585,-1.2365,-0.7505,-1.1255,-31.605365
1,5.75,399.9708362,3.019130355,1993.8459185,0.420932728,4.135,-8.779692695,3.1935823985,3.5308222045,0.207349296,-0.0525,0.687040540443969,0.593993020765813,0.210810840086293,100.8849942,81.2,-16.07,1.633754594,-3.81791934999998,0.218030651978438,-27.743,-0.0975,-0.0905,-1.1415,0.866,228.8,240.4,-0.7565,-1.238,-0.747,-1.1155,-31.544065
1,6.25,399.909973,3.029981761,1993.061271,0.4164769975,-1.78,-11.99190696,1.89598259,4.2112841045,0.211121031,-0.0735,0.823865849075216,0.604473661816424,0.242662729640632,100.84843795,81.6,-15.935,1.6419072895,-3.60876209999998,0.160938299710437,-13.809,-0.098,-0.0905,-0.883,0.627,229.8,243.2,-0.7525,-1.2465,-0.736,-1.101,-31.479505
