DOY2,HR2,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS,G
1,0.25,103.61635,90.1925,-12.12225,11.701575,14.24625,20.19775,-4.82095,-3.9644,250.84,248.555,-11.87075,3.0901
1,0.75,103.610295,90.1,-12.1115,13.28905,14.015,20.1985,-4.6866,-3.927825,247.05,248.17,-11.87375,3.0643
1,1.25,103.6008875,90.0925,-12.111,13.573875,13.85775,20.19925,-4.525175,-3.692575,247.385,247.635,-11.90275,2.9895125
1,1.75,103.594475,90.0925,-12.11875,14.361175,13.83,20.2055,-4.486,-3.454075,244.0825,247.6475,-11.92975,2.90801875
1,2.25,103.5696,90.1925,-12.11075,16.182075,13.83925,20.2055,-4.561475,-3.437475,247.1175,248.2175,-11.883,2.797225
1,2.75,103.56495,90.1925,-12.07525,12.332475,13.867,20.2085,-4.531225,-3.451575,249.6525,248.6575,-11.849,2.74044375
1,3.25,103.562895,90.1775,-12.098,20.521675,13.9595,20.2085,-4.431875,-3.571575,246.94,247.81,-11.935,2.67749375
1,3.75,103.545365,90.1775,-12.2505,20.504125,13.83,20.21925,-4.677825,-3.450625,246.555,246.01,-12.18275,2.524425
1,4.25,103.5263375,89.885,-12.59675,18.6896,13.83925,20.21,-4.85145,-3.3834,246.9375,245.625,-12.41425,2.3797375
1,4.75,103.5151775,89.855,-12.478,17.9673,13.82,20.21,-4.473525,-2.923375,247.0275,246.805,-12.21575,2.2111375
1,5.25,103.515025,89.94,-12.4405,15.312725,13.83,20.21,-4.6712,-2.8944,252.3925,243.3925,-12.58525,2.03035625
1,5.75,103.50962,89.8475,-12.79275,11.73395,13.82925,20.21,-4.740775,-3.144875,246.43,242.8775,-12.81875,1.831975
1,6.25,103.5113425,89.74,-12.6915,11.66385,13.82925,20.21,-4.565425,-2.95285,247.76,242.8625,-12.7125,1.63918125
1,6.75,103.50035,89.8775,-12.6235,15.227325,13.82,20.21,-4.8528,-2.952725,255.9225,245.065,-12.5805,1.34925
1,7.25,103.489105,90,-12.277,13.3407,13.82,20.21,-4.8999,-3.4653,247.8375,245.2175,-12.23775,0.9431375
1,7.75,103.4746825,89.8925,-11.5745,13.397825,13.82,20.21,-4.76875,-3.340525,249.7625,246.5275,-11.59225,0.855631249999998
1,8.25,103.4629225,89.5475,-10.3695,13.1603,13.82925,20.21,-4.791375,-3.5616,243.4975,253.27,-10.0045,0.730506249999997
1,8.75,103.4463175,89.4475,-10.3955,10.68645,13.82925,20.21,-4.873075,-3.53575,246.8675,255.38,-10.10675,0.588831249999998
1,9.25,103.4307875,89.3625,-10.41875,12.186525,13.83,20.21,-4.971075,-3.6699,246.3275,255.225,-10.13625,0.496837499999998
1,9.75,103.425365,89.5925,-10.37075,13.141725,13.83,20.21,-4.867625,-3.5222,242.8125,254.045,-10.22775,0.438199999999999
1,10.25,103.41452,90.725,-10.465,7.207775,13.83,20.2085,-4.8625,-3.182275,244.4775,252.305,-10.44175,0.461512499999999
1,10.75,103.4143675,91.265,-10.685,6.650425,13.82925,20.21,-4.70425,-3.038325,244.45,250.5925,-10.74925,0.4158625
1,11.25,103.4007375,91.0725,-10.88925,7.005,13.82925,20.21,-3.858375,-3.046025,244.5175,249.235,-11.02225,0.5498875
1,11.75,103.41644,90.965,-11.206,7.73247499999999,13.82925,20.21925,-2.701375,-1.2826,244.905,247.655,-11.343,0.6565
1,12.25,103.4397575,90.9725,-11.15825,8.4341,15.9305,20.3125,0.744099999999998,4.710975,244.38,249.99,-11.0655,0.773275
1,12.75,103.4506025,90.88,-11.3115,6.2183,20.7035,23.7975,4.82827499999999,12.177,248.2725,250.52,-11.09875,0.88118125
1,13.25,103.4548675,90.88,-11.2445,8.87357499999999,26.12725,26.94,7.0895,6.46735,251.1475,251.3825,-10.93775,0.9536625
1,13.75,103.46351,90.88,-11.20125,7.24035,27.3675,28.615,7.85409999999999,8.30015,252.79,251.6825,-10.8815,1.14561875
1,14.25,103.46587,90.695,-11.32825,7.69802499999999,26.243,30.15025,6.21565,6.685,245.1575,249.78,-11.1395,1.27259375
1,14.75,103.40792,90.7,-11.381,5.99349999999999,20.203,22.464,3.8598,3.96919999999999,245.2,247.5,-11.435,1.50942499999999
1,15.25,103.47132,89.585,-12.86675,8.305675,13.93925,20.22,-0.0694000000000004,0.793524999999998,239.06,243.7175,-12.63475,1.06639999999999
1,15.75,103.47564,89.77,-12.648,7.824975,13.82,20.21,-2.790925,-1.5324,241.84,244.685,-12.38525,1.04929374999999
1,16.25,103.5149925,89.5,-12.803,11.049475,13.82,20.21925,-4.505625,-3.474,242.9475,244.3675,-12.736,1.09518124999999
1,16.75,103.5611,89.455,-13.184,11.23105,13.82,20.21925,-4.90575,-3.816225,246.5775,244.28,-12.84525,1.15614999999999
1,17.25,103.61361,89.4175,-12.8525,6.95615,13.82,20.21775,-4.817025,-3.527225,246.9525,244.29,-12.78025,1.18646874999999
1,17.75,103.65722,89.425,-12.562,10.342475,13.82,20.108,-4.849275,-3.6156,248.5925,245.08,-12.67225,1.01247499999999
1,18.25,103.72026,89.465,-12.546,12.9398,13.83,20.137,-4.4712,-3.55215,248.095,245.355,-12.545,0.984812500000005
1,18.75,103.769365,89.69,-12.4245,10.9728,13.83,20.1755,-4.6789,-3.5371,248.58,245.775,-12.16,0.975187500000004
1,19.25,103.79872,89.885,-12.1965,11.32865,13.83,20.204,-4.8337,-3.92045,250.805,246,-11.804,0.967350000000004
1,19.75,103.82667,90.085,-11.809,12.54185,13.83,20.21,-4.4405,-3.69835,249.85,246.59,-11.5535,1.05501250000001
1,20.25,103.870065,90.37,-11.7785,10.4497,13.83,20.2005,-4.42465,-3.87975,249.965,248.325,-11.5225,1.2520625
1,20.75,103.914805,90.185,-11.859,10.9263,13.83,20.0825,-4.21005,-3.64475,250.79,248.67,-11.6065,1.60735
1,21.25,103.870045,90.285,-11.859,8.6367,13.83,20.1985,-4.0039,-3.6012,256.945,249.37,-11.5735,1.87405
1,21.75,103.81853,90.38,-11.83,9.8411,13.83,20.203,-4.32815,-3.6393,252.385,249.435,-11.554,1.9822875
1,22.25,103.76688,90.385,-11.851,11.5096,13.83,20.205,-4.7103,-3.4269,251.375,248.985,-11.6145,2.0796625
1,22.75,103.72358,90.29,-11.883,15.04505,13.83,20.218,-4.5646,-3.6341,249.975,248.775,-11.6775,2.164675
1,23.25,103.67782,90.095,-12.019,13.9073,13.83,20.2165,-4.96565,-3.65445,253.03,248.92,-11.76,2.15215
1,23.75,103.647555,90.1,-12.0875,11.8727,13.8495,20.198,-4.997,-3.65295,252.43,248.88,-11.8045,2.671175
