DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,0.25,0.07,0.393209,-10.19797188,0,-16.34,-5.056,69.135,0.196511,89.7,0.3075,-18.34,0,0.542251,-4.702,2.085,-5.054,-8.295,-7.4585,-4.8365,-6.6935,-6.1455,408.4
1,0.75,0.083,0.479384,-13.176,0,-16.01,-5.12,69.01,0.195702,89.7,0.304,-18.5,0,0.31227,-4.636,2.06,-4.975,-8.25,-7.373,-4.825,-6.5845,-6.064,408.3
1,1.25,0.0517,0.222869143,-8.676881926,0,-15.92,-5.101,68.97,0.192387915,89.7,0.301,-16.11,0,0.32452,-4.699,2.077,-5.192,-8.32,-7.51,-4.95,-6.8005,-6.209,407.1
1,1.75,0.08,0.642789,-9.751977037,0,-16.11,-5.093,69.04,0.199448,89.7,0.375,-16.53,0,0.326933,-4.648,2.159,-5.24,-8.39,-7.613,-4.953,-6.8515,-6.251,407.05
1,2.25,0.0517,0.496839,-6.928573252,0,-16.12,-5.116,68.91,0.1829655,89.7,0.313,-15.945,0,0.337543,-4.634,2.225,-5.259,-8.38,-7.659,-4.952,-6.833,-6.31,406.5
1,2.75,0.0305,0.50011,-7.659382486,0,-16.23,-5.129,69.12,0.191525324,89.7,0.366,-18.765,0,0.322381,-4.612,1.977,-5.283,-8.47,-7.692,-4.966,-6.8795,-6.2565,406.7
1,3.25,0.07695,0.3680645,-12.1239457,0,-16.38,-5.141,69.23,0.1839008545,89.7,0.323,-18.67,0,0.340263,-4.634,2.175,-5.288,-8.46,-7.705,-4.992,-6.9275,-6.232,407.4
1,3.75,0.07085,0.675877,-9.79631671,0,-16.34,-5.145,69.18,0.18548,89.7,0.351,-17.8,0,0.315983,-4.617,2.222,-5.307,-8.46,-7.709,-4.99,-6.961,-6.222,407.8
1,4.25,0.0173,0.5637991125,-8.962695061,0,-16.54,-5.141,68.69,0.19213069,89.7,0.331,-17.98,0,0.339675,-4.601,2.183,-5.275,-8.46,-7.653,-4.976,-6.997,-6.281,408
1,4.75,0.0641,0.6697,-7.69148,0,-16.84,-5.162,68.79,0.190146164,89.7,0.299,-16.78,0,0.317301,-4.636,2.177,-5.296,-8.46,-7.64,-4.978,-6.9985,-6.2735,407.4
1,5.25,0.05725,1.016629,-8.508475,0,-16.75,-5.166,68.72,0.196561929,89.7,0.306,-15.5,0,0.323893,-4.597,1.986,-5.329,-8.49,-7.682,-4.964,-6.979,-6.2635,408.3
1,5.75,0.0705,0.4993507985,-9.4088,0,-16.57,-5.198,68.67,0.182234789,89.7,0.294,-15.8,0,0.321977,-4.649,1.975,-5.319,-8.46,-7.674,-4.93,-6.9975,-6.2425,408
1,6.25,0.0408,0.4778902995,-7.01335,0,-16.22,-5.192,68.82,0.19051428,89.7,0.311,-15.185,0,0.332065,-4.677,2.073,-5.305,-8.45,-7.658,-4.94,-7.0015,-6.2605,408.3
1,6.75,0.04995,0.552188,-8.27538,0,-16.08,-5.213,68.83,0.172608,89.7,0.291,-14.55,0,0.327105,-4.664,2.017,-5.287,-8.45,-7.654,-4.929,-6.977,-6.235,408.3
1,7.25,0.01945,0.647563298,-5.084219923,0,-16.15,-5.151,68.92,0.170835,89.7,0.313,-14.27,0,0.317915,-4.693,2.116,-5.275,-8.42,-7.688,-4.915,-6.966,-6.2425,408.25
1,7.75,0.0495,0.780652994,-8.614484298,0,-16.29,-5.144,68.54,0.184735,89.6,0.308,-14.03,0,0.312283,-4.67,1.919,-5.299,-8.41,-7.66,-4.974,-6.948,-6.2215,407.6
1,8.25,0.049,0.259109,-10.83892025,0,-16.18,-5.12,68.61,0.18989,89.6,0.329,-14.745,0,0.491861,-4.668,1.952,-5.339,-8.47,-7.649,-4.987,-6.953,-6.213,407.9
1,8.75,0.0356,0.510136,-11.24356342,0,-16.12,-5.107,68.75,0.1773293415,89.7,0.364,-16.96,0,0.45182,-4.618,1.998,-5.313,-8.43,-7.726,-5.002,-6.931,-6.2175,407.9
1,9.25,0.03695,0.421947,-7.487190566,0,-16.16,-5.071,68.34,0.165571,89.65,0.324,-17.27,0,0.523357,-4.585,1.929,-5.324,-8.42,-7.743,-4.98,-6.9635,-6.2475,408.1
1,9.75,0.03725,0.501627,-5.723929316,0,-16.32,-5.109,68.4,0.16690072,89.65,0.472,-17.135,0,0.610122,-4.58,1.933,-5.254,-8.42,-7.754,-4.956,-6.9205,-6.26,407.9
1,10.25,0.0584862475,0.696306,-8.2153029945,0,-16.27,-5.074,68.25,0.19572233,89.7,0.696,-16.07,0.0911143,1.20909,-4.539,2.009,-5.263,-8.44,-7.747,-4.943,-6.9645,-6.272,408.2
1,10.75,0.0281,0.510905808,-7.80020745,0,-16.34,-5.068,68.3,0.186320269,89.6,1.364,-16.02,0.590748,2.68355,-4.502,1.935,-5.278,-8.41,-7.722,-4.972,-6.9665,-6.2625,407.95
1,11.25,0.0379,0.342911,-5.52759,1.213,-16.35,-5.046,68.14,0.185001,89.65,2.702,-17.13,3.26694,5.94612,-4.536,1.799,-5.291,-8.35,-7.705,-4.968,-6.9865,-6.265,407.1
1,11.75,0.03465,0.1888985,-7.78555,3.167,-16.27,-5.037,67.9,0.199203133,89.6,4.336,-17.12,7.46502,10.6995,-4.564,1.846,-5.323,-8.31,-7.703,-4.977,-7.0075,-6.2305,406.2
1,12.25,0.0030795,0.425588,-11.71655,4.663,-16.2,-4.987,67.97,0.195558,89.6,6.039,-16.14,11.2805,15.5679,-4.566,1.858,-5.338,-8.33,-7.715,-4.988,-7.0035,-6.221,407.6
1,12.75,0.0596,0.588096607,-13.154751235,5.87,-16.4,-5.001,68.78,0.1656874385,89.6,7.413,-19.08,14.43106818,18.7484,-4.523,1.872,-5.339,-8.3,-7.718,-4.999,-7.0045,-6.25,407.55
1,13.25,0.039,0.497995,-10.85639928,6.4335,-16.25,-5.027,68.625,0.176495237,89.6,7.617,-18.97,15.0155971,19.1742,-4.5255,1.8705,-5.351,-8.265,-7.685,-5.0185,-7.00325,-6.236,407.65
1,13.75,0.0379,0.779528,-11.8485,5.285,-16.175,-4.998,68.585,0.200822,89.6,6.664,-21.63,13.0217,17.04755,-4.4895,1.799,-5.3365,-8.325,-7.6555,-4.9865,-7.0065,-6.216,408.4
1,14.25,0.05935,0.40893,-16.22016694,3.428,-16.285,-5.002,67.965,0.1867380115,89.6,5.229,-20.53,8.82766,12.29275,-4.515,1.9795,-5.301,-8.33,-7.6465,-5.03,-6.96425,-6.20325,408.2
1,14.75,0.0611,0.2127635,-14.8989,1.76,-16.075,-5.028,68.335,0.2068578775,89.6,3.276,-20.865,4.683868288,7.67356,-4.5465,2.0855,-5.319,-8.3,-7.606,-5.034,-6.96475,-6.17375,407.8
1,15.25,0.0461,0.49953,-10.9867,0.172,-16.2,-5.057,68.28,0.1971731445,89.6,1.772,-20.31,1.38342,3.35129,-4.62,2.121,-5.33,-8.35,-7.63,-5.015,-6.927,-6.163,407.8
1,15.75,0.04875,0.4674431135,-14.7097,0,-16.52,-5.055,68.6,0.193276,89.6,1.002,-20.93,0.159347,1.29771,-4.673,2.001,-5.298,-8.36,-7.57,-4.998,-6.8705,-6.171,409
1,16.25,0.0281,0.3311115,-8.738315261,0,-16.77,-5.048,68.4,0.186681046,89.6,0.566,-17.07,0,0.719954,-4.663,1.939,-5.337,-8.38,-7.623,-4.983,-6.8815,-6.167,408.7
1,16.75,0.0463,0.798523,-9.331280723,0,-16.56,-5.084,68.36,0.198187,89.6,0.426,-14.89,0,0.394672,-4.717,2.17,-5.348,-8.41,-7.618,-4.985,-6.9225,-6.163,408.7
1,17.25,0.02575,0.8227575315,-10.2839,0,-16.37,-5.101,68.84,0.182271416,89.6,0.372,-17.775,0,0.345844,-4.672,2.018,-5.345,-8.4,-7.675,-4.934,-6.9135,-6.174,408.55
1,17.75,0.0261,0.54464,-9.119273448,0,-16.64,-5.17,68.48,0.18171,89.6,0.342,-19.505,0,0.314057,-4.693,2.048,-5.378,-8.46,-7.665,-4.93,-6.927,-6.1625,408.3
1,18.25,0.00682,0.667172694,-9.658576166,0,-16.53,-5.162,68.56,0.189990459,89.6,0.409,-20.16,0,0.328081,-4.732,2.148,-5.346,-8.49,-7.648,-4.933,-6.9125,-6.191,407.4
1,18.75,0.04905,0.522704,-12.047298845,0,-16.26,-5.17,67.68,0.193039787,89.7,0.339,-21.985,0,0.315239,-4.739,2.265,-5.334,-8.5,-7.642,-4.967,-6.9165,-6.223,408.05
1,19.25,0.0264,0.575832,-8.5341805575,0,-16.49,-5.161,68.16,0.19392,89.65,0.31,-21.14,0,0.326052,-4.789,2.254,-5.334,-8.5,-7.632,-5.006,-6.962,-6.2275,408.6
1,19.75,0.0647,0.685076,-10.9925,0,-16.67,-5.087,68.43,0.186652,89.7,0.237,-21.465,0,0.326271,-4.798,2.077,-5.35,-8.48,-7.617,-5.026,-6.9455,-6.24,407.6
1,20.25,0.0704,0.3780243435,-12.2634275,0,-16.71,-5.09,68.53,0.201654776,89.7,0.352,-19.885,0,0.329181,-4.757,2.3755,-5.367,-8.46,-7.619,-5.006,-6.9635,-6.273,408.4
1,20.75,0.03235,0.435501123,-11.213004385,0,-16.67,-5.107,68.33,0.2155985575,89.7,0.363,-19.715,0,0.319219,-4.787,2.196,-5.354,-8.42,-7.615,-4.991,-6.957,-6.308,408.35
1,21.25,0.0378,0.579775307,-10.23631689,0,-16.63,-5.136,68.47,0.198962,89.7,0.34,-17.83,0,0.322768,-4.759,1.984,-5.37,-8.44,-7.6,-4.991,-6.9095,-6.3115,408.5
