DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,T_SONIC,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A,T_SONIC_SIGMA
1,0.25,6.2344,0.6272,0.1578,0.0287,-23.07933,0,102.1269,-17.8062,526.96975,0.05545,-0.0636,-0.0636,0,-0.0495,0.3142,0.4307,198.285,218.328,0,0,-9.1501,-9.3622,-5.9879,-8.2006,-10.0296,-10.1964,-10.3418,-10.2532,-12.2676,-9.4992,-13.9727,-11.2706,-9.9784,-11.0495,-11.2903,-11.479,-8.8582,-12.4873,-10.5218,-9.3411,-10.8261,-9.9764,0.0071
1,0.75,5.7423,0.5696,0.1136,0.01035,-22.89233,0,102.14085,-17.7192,525.4356,0.0541,-0.2836,-0.2836,0,-0.2287,0.3163,0.533,199.508,217.905,0,0,-9.1228,-9.3575,-5.982,-8.1383,-10.0475,-10.1874,-10.3512,-10.2381,-12.2828,-9.4924,-13.9876,-11.2801,-9.974,-11.0433,-11.2792,-11.4888,-8.8647,-12.4936,-10.5183,-9.348,-10.8209,-9.9768,0.01
1,1.25,5.6142,0.6349,0.1521,0.0314,-22.937,0,102.14735,-17.5483,527.29645,0.0535,-0.2836,-0.2836,0,0.014,0.3142,0.4993,197.601,217.303,0,0,-9.2199,-9.5474,-5.9616,-8.1589,-10.0682,-10.1854,-10.3606,-10.2165,-12.3027,-9.4937,-14.0099,-11.2933,-9.9763,-11.0389,-11.2928,-11.4878,-8.8651,-12.5014,-10.5116,-9.3481,-10.8218,-9.981,0.0156
1,1.75,5.8305,0.57965,0.155,0.0406,-23.07333,0,102.15695,-17.7659,527.1958,0.0539,-0.2804,-0.2804,0,-0.0283,0.28985,0.3287,196.208,218.612,0,0,-9.2218,-9.5062,-5.9612,-8.072,-10.0789,-10.1817,-10.3577,-10.2259,-12.2937,-9.5023,-14.0237,-11.3025,-9.9825,-11.0379,-11.2833,-11.4977,-8.8725,-12.4965,-10.5202,-9.349,-10.8287,-9.9797,0.01
1,2.25,6.29355,0.53255,0.1803,0.0567,-22.988665,3.9952,102.1868,-17.8955,526.5111,0.0538,-0.3332,-0.3332,-0.06885,-0.05435,0.3074,0.3672,198.592,219.122,0,0,-9.3091,-9.4198,-5.9246,-8.1713,-10.0935,-10.175,-10.3506,-10.2115,-12.2988,-9.5017,-14.04,-11.3142,-9.9913,-11.0383,-11.2812,-11.5022,-8.875,-12.5044,-10.518,-9.3522,-10.8279,-9.9891,0.0091
1,2.75,5.9907,0.46755,0.16105,0.0462,-23.022165,0,102.18175,-18.2194,527.2511,0.0547,-0.3364,-0.3364,0,-0.0249,0.2543,0.3572,199.443,218.617,0,0,-9.3344,-9.3555,-6.0227,-8.1433,-10.0963,-10.1678,-10.3466,-10.1916,-12.2998,-9.5019,-14.0634,-11.33,-9.9967,-11.0374,-11.2759,-11.5096,-8.8768,-12.5144,-10.5105,-9.3467,-10.8248,-9.9937,0.0078
1,3.25,6.3354,0.5838,0.1646,0.04885,-22.94501,0,102.1849,-18.3133,527.0099,0.0538,-0.34725,-0.34725,0,-0.3431,0.2923,0.4349,196.917,218.843,0,0,-9.32,-9.4141,-5.9968,-8.1687,-10.0814,-10.1636,-10.3457,-10.1742,-12.2846,-9.5069,-14.0601,-11.3414,-10.0027,-11.0312,-11.2689,-11.5275,-8.8756,-12.5169,-10.5158,-9.352,-10.8193,-9.9928,0.0111
1,3.75,6.5912,0.5576,0.1331,0.04975,-22.85367,0,102.199,-18.1203,525.8449,0.0541,-0.2922,-0.2922,0,-0.0665,0.3288,0.3737,197.582,218.144,0,0,-9.2858,-9.3489,-5.9223,-8.1289,-10.0622,-10.1625,-10.3498,-10.1664,-12.274,-9.5115,-14.0345,-11.3533,-10.0111,-11.0267,-11.2646,-11.5187,-8.8767,-12.5075,-10.5274,-9.3474,-10.8187,-9.9912,0.0078
1,4.25,6.1844,0.5257,0.13335,0.02995,-22.68067,0,102.1516,-18.0128,524.9818,0.0543,-0.1155,-0.1155,0,-0.0516,0.2979,0.3717,194.0708,217.332,0,0,-9.1986,-9.4196,-5.8835,-8.0431,-10.0545,-10.1687,-10.3568,-10.1867,-12.2672,-9.5069,-14.0242,-11.3686,-10.0107,-11.0254,-11.2577,-11.5129,-8.8864,-12.5152,-10.527,-9.3504,-10.8183,-9.9824,0.0081
1,4.75,5.7079,0.5452,0.13675,0.0425,-22.771,0,102.1172,-18.0667,525.9028,0.0544,-0.6165,-0.6165,0,-0.10505,0.2767,0.4381,197.1114,216.722,0,0,-9.1695,-9.3431,-5.9214,-8.1174,-10.0644,-10.1907,-10.3597,-10.1981,-12.2535,-9.5069,-14.0299,-11.3792,-10.0212,-11.016,-11.2528,-11.5267,-8.8834,-12.5233,-10.5289,-9.3542,-10.8113,-9.9742,0.01375
1,5.25,6.1583,0.5649,0.161,0.0479,-23.08033,0,102.1124,-18.3956,524.8493,0.05485,-0.3038,-0.3038,0,-0.0685,0.2999,0.4445,195.207,217.639,0,0,-9.1215,-9.3749,-5.9408,-8.1574,-10.0632,-10.2093,-10.3515,-10.2102,-12.253,-9.504,-14.056,-11.3729,-10.0343,-11.0285,-11.2496,-11.5229,-8.8924,-12.5056,-10.5323,-9.349,-10.8029,-9.9797,0.0066
1,5.75,6.49465,0.58325,0.15365,0.0542,-22.854495,0,102.109,-18.3118,524.6401,0.0548,-0.47745,-0.47745,0,-3e-04,0.3051,0.4863,195.616,217.274,0,0,-9.0542,-9.2607,-5.8806,-8.1577,-10.0764,-10.2063,-10.3756,-10.202,-12.2509,-9.4986,-14.0504,-11.3826,-10.0395,-11.0447,-11.2443,-11.5253,-8.8936,-12.5321,-10.5331,-9.3478,-10.7919,-9.9824,0.0121
1,6.25,6.2614,0.6241,0.17795,0.0501,-22.903,0,102.1035,-18.635,523.9736,0.05455,-0.3693,-0.3693,-0.2691,-0.0108,0.30495,0.40925,193.602,216.501,0,0,-9.1243,-9.325,-5.8247,-8.0649,-10.0759,-10.2007,-10.3933,-10.1972,-12.2388,-9.5062,-14.043,-11.3648,-10.0455,-11.0403,-11.2403,-11.5213,-8.8957,-12.5253,-10.5374,-9.3493,-10.7854,-9.9806,0.0187
