DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS,RH,CO2,VPD,NETRAD,H2O
1,0.25,0.52025,21.4245,3.8895,6.271,6.356,0.48475,-30.172,0.50125,34.45525,0.7185,-4.1845,22.3025,73.21925,361.16925,10.37,-37.45925,17.27075
1,0.75,0.51575,21.36775,4.074,6.51475,6.5055,0.377,-29.34175,0.2585,26.2245,1.042,-4.1905,22.26975,73.951,357.92625,10.345,-38.744,17.207
1,1.25,0.56125,21.394,4.03625,6.63425,6.724,0.348,-31.421,0.73025,33.75075,0.98,-4.594,22.2165,73.98,357.5985,10.395,-40.651,17.15775
1,1.75,0.52175,21.41275,4.171,6.672,6.642,0.3575,-22.792,0.1965,32.345,1.224,-4.834,22.18775,75.44275,358.561,10.5175,-40.875,16.78475
1,2.25,0.507,21.258,3.68875,7.481,7.3065,0.4775,-25.0145,0.15025,30.159,1.25375,-5.28925,22.165,73.39025,355.5325,10.3725,-41.813,16.658
1,2.75,0.4985,21.27475,3.642,6.464,6.285,0.392,-26.623,0.25975,30.522,1.6625,-5.686,22.11025,73.821,364.655,10.4825,-40.47825,16.734
1,3.25,0.51025,21.14825,3.81825,6.136,6.0965,0.111,-28.753,0.21325,33.1665,0.698,-5.8985,22.11525,74.453,362.7665,10.22,-41.468,17.0415
1,3.75,0.44725,21.10325,3.81625,6.75375,7.21925,0.4385,-25.68075,0.2285,27.585,0.7355,-5.82825,22.1185,73.89425,360.1625,9.9775,-42.2865,16.664
1,4.25,0.49875,21.118,3.74525,7.087,7.1925,0.174,-28.92075,0.50875,24.003,0.8185,-5.86325,22.151,73.93175,358.9755,10.1125,-39.85275,16.986
1,4.75,0.47075,20.99875,3.69325,6.697,6.768,0.408,-22.569,0.80725,25.4665,1.762,-5.704,22.147,74.396,359.8085,9.66,-38.72,16.751
1,5.25,0.46425,20.88925,3.6275,6.3315,6.2855,0.5245,-24.529,0.62825,33.37025,2.142,-5.8205,22.12225,74.671,363.248,9.6075,-39.699,16.3855
1,5.75,0.43025,20.8305,3.515,6.315,6.349,0.274,-27.747,0.78025,24.5255,1.1525,-6.23075,22.07325,75.9005,360.127,9.6025,-39.58475,16.535
1,6.25,0.4645,20.83875,3.4975,6.743,6.5945,0.44975,-24.844,0.71875,30.22975,1.278,-5.194,22.02425,75.39375,356.36375,9.735,-39.311,16.57175
1,6.75,0.504,21.11075,3.956,6.5065,6.7255,0.57325,-25.6855,0.371,28.14675,2.23975,-5.217,21.971,72.823,359.48075,9.5625,-39.7775,16.09
1,7.25,0.45975,20.866,3.63175,6.755,6.535,0.49025,-29.677,0.70225,27.844,1.5275,-5.1825,21.90325,73.52575,361.07325,10.01,-38.7145,16.18075
1,7.75,0.484,20.993,3.783,5.67875,5.722,0.25,-33.226,0.91625,35.331,2.1845,-5.1855,21.853,73.91925,361.496,9.745,-32.1125,16.3435
1,8.25,0.54225,21.47675,4.009,1.95375,1.972,0.00575,-20.13,3.79725,53.4595,6.7915,-4.979,21.78525,74.067,357.18875,10.0225,-5.598,17.131
1,8.75,0.56075,22.26475,4.341,-6.23,-5.684,-0.1325,3.27,8.10625,76.241,10.098,-4.612,21.71425,71.3115,343.02375,10.625,23.3135,17.80875
1,9.25,0.56925,23.0885,4.16225,-12.125,-11.706,-0.08,26.605,7.61025,103.213,5.97575,-2.8725,21.62175,68.054,334.4315,11.475,97.209,18.507
1,9.75,0.64275,24.0825,4.5575,-17.4655,-17.25825,-0.016,50.8015,4.716,127.5965,3.169,0.2225,21.6115,63.98475,330.59875,12.8925,194.658,18.39975
1,10.25,0.66225,24.85,4.62875,-21.75725,-21.604,0.07275,81.17625,3.0425,166.5285,2.77,6.8505,21.6855,62.80325,329.70975,14.1125,276.9085,18.3815
1,10.75,0.6655,25.199,4.77225,-24.282,-24.098,0.025,110.2945,2.41925,200.9255,2.6695,10.403,21.72025,62.2105,329.667,14.9525,347.9015,18.5935
1,11.25,0.67675,25.66875,5.0795,-24.854,-24.937,0.0725,133.368,2.04,217.8035,1.792,13.082,21.829,62.44425,329.57975,15.42,413.4505,18.87675
1,11.75,0.7015,25.90475,4.78675,-28.0375,-27.92,0.078,154.4115,1.80925,232.728,2.60225,15.454,21.849,61.95575,329.62525,15.8975,463.418,18.95675
1,12.25,0.732,26.15375,5.13125,-27.345,-27.332,0.0555,167.9475,1.566,247.355,1.841,17.626,21.88525,60.802,328.7965,16.0775,491.1475,18.84675
1,12.75,0.74075,26.20375,5.017,-28.636,-28.731,0.027,178.054,1.42575,250.551,2.24075,19.458,21.9185,59.789,328.552,16.5675,494.3505,19.05425
1,13.25,0.756,26.15575,5.20175,-26.163,-26.152,0.065,166.055,0.93625,264.243,1.69,21.306,21.9415,60.428,328.6775,16.28,506.016,19.119
1,13.75,0.7505,26.39475,5.1555,-26.866,-26.834,0.054,183.453,1.15475,255.641,1.9295,21.471,22.02075,59.78,328.166,16.6875,477.0565,19.166
1,14.25,0.78225,26.531,5.1935,-26.198,-26.28675,0.1275,164.254,0.3255,263.7865,2.1985,20.581,22.20225,61.072,328.31775,16.645,474.543,19.29175
1,14.75,0.77375,26.01525,5.13625,-24.108,-23.4175,0.10425,163.925,0.075,248.675,1.554,18.256,22.2925,61.62625,328.70825,15.79,415.927,19.78175
1,15.25,0.73225,25.802,5.201,-22.154,-22.34925,0.1305,145.535,-0.023,211.62225,1.5375,15.3835,22.45225,62.296,329.188,15.455,377.26875,19.37175
1,15.75,0.7845,25.414,5.1745,-17.2955,-17.2895,0.121,123.06,-0.289,201.2375,1.81325,12.8305,22.52825,63.091,329.25475,14.9975,287.5675,19.48575
1,16.25,0.7385,25.272,4.98925,-14.5475,-14.3755,0.14625,87.864,-0.31475,173.289,1.26475,10.79425,22.56525,64.4145,329.29575,14.27,215.41325,19.3995
1,16.75,0.71475,24.96075,4.992,-8.892,-9.09175,0.16075,55.0595,-0.80325,140.8915,0.54825,8.1605,22.63225,64.5615,329.8985,13.8125,170.313,19.2285
1,17.25,0.72725,24.49025,5.0055,-5.28,-5.411,0.1845,24.24675,-0.75075,104.13875,1.1105,5.75725,22.68675,65.392,330.6135,12.945,71.46075,19.2555
1,17.75,0.68275,24.10775,4.614,-0.1655,-0.364,0.27125,-8.19125,-1.262,74.71475,0.12275,3.781,22.71375,67.11275,332.076,12.5675,18.52075,19.29575
1,18.25,0.679,23.44075,4.53675,4.628,4.257,0.26525,-20.5355,-1.1545,52.766,-0.29075,1.45325,22.7625,66.7175,333.1325,11.7925,-25.05425,18.857
1,18.75,0.6795,22.849,4.5965,6.659,6.5155,0.2445,-22.963,-1.00725,40.58475,0.38625,-0.178,22.769,70.43225,336.7715,11.6225,-41.9655,18.70825
1,19.25,0.61475,22.6675,4.36175,7.05625,6.9305,0.27625,-25.30725,-0.52725,33.128,0.084,-1.261,22.72625,70.3925,339.3025,11.105,-41.58,18.76425
1,19.75,0.5595,22.4325,4.10275,6.85,6.866,0.3375,-25.132,-0.26825,34.5785,0.423,-1.858,22.6725,69.94125,344.06675,11.0625,-39.05475,18.366
1,20.25,0.594,22.342,4.17075,6.9345,6.71425,0.49,-21.442,-0.28125,34.174,0.64475,-2.10425,22.59825,70.668,349.555,10.81,-37.0285,17.97125
1,20.75,0.54175,22.0855,3.97125,6.6325,6.579,0.2535,-25.639,0.0495,30.7385,0.79475,-2.53275,22.56375,72.83,352.9775,10.425,-28.8915,18.03
1,21.25,0.54425,22.00025,3.86625,6.437,6.445,0.19,-25.152,0.27925,31.004,0.39,-3.162,22.51075,72.79425,353.6185,10.4725,-33.232,17.916
1,21.75,0.5645,21.888,3.9605,6.597,6.635,0.183,-21.35,0.05675,31.96625,0.2175,-3.405,22.50925,73.38225,351.221,10.34,-36.216,17.8005
1,22.25,0.5135,21.905,4.07225,6.179,6.29375,0.0555,-28.831,0.1115,26.7095,0.7675,-3.697,22.50125,74.406,347.3395,10.33,-35.27825,17.804
1,22.75,0.50525,21.75075,3.8865,6.95925,6.847,0.194,-26.552,0.3555,27.909,0.67175,-4.134,22.4515,72.8145,346.3035,10.43,-34.06375,17.446
1,23.25,0.49575,21.60025,3.9055,6.341,6.38,0.28675,-31.776,0.23325,27.61525,1.5785,-3.983,22.4405,73.83725,357.373,10.2725,-38.504,17.6005
1,23.75,0.533,21.4785,3.92075,6.38,6.502,0.187,-31.2855,0.11475,32.675,1.156,-3.8785,22.4345,75.517,358.66575,10.19,-39.1355,17.4725
2,0.25,0.74775,21.11825,4.8645,7.064,7.129,0.06325,-43.761,0.45925,33.1305,0.821,-5.14125,22.05525,69.33425,333.6735,10.7325,-44.48625,16.5535
2,0.75,0.679,21.052,4.62225,7.674,7.3915,0.2235,-48.88425,0.09175,34.038,-0.01675,-5.11825,21.99925,68.99475,335.16875,10.57,-43.758,16.134
2,1.25,0.692,21.0645,4.551,7.175,7.199,0.1865,-51.79875,0.599,34.9135,0.6225,-5.31175,21.93775,70.4575,334.843,10.46,-45.312,15.946
2,1.75,0.63625,20.938,4.406,7.29325,7.58725,0.141,-53.1515,0.33775,30.4705,0.851,-5.6975,21.90225,69.83975,335.7075,10.6125,-41.93725,15.88575
2,2.25,0.67925,20.8075,4.40425,6.9165,6.8835,0.2055,-47.4665,0.446,32.40475,0.50425,-5.84425,21.90525,70.8455,339.3785,10.475,-43.62625,16.05525
2,2.75,0.6585,20.74075,4.44225,6.933,7.037,0.1085,-48.83875,0.46325,30.367,1.416,-5.95725,21.8845,68.53425,339.55825,10.6025,-45.37025,15.7475
2,3.25,0.65925,20.8665,4.6755,7.49125,7.453,0.042,-53.374,0.634,31.40075,0.86375,-6.063,21.89325,68.33475,337.3965,10.6775,-42.37,15.3955
2,3.75,0.685,20.751,4.676,7.086,7.031,0.17375,-50.81375,0.441,33.634,0.5745,-6.29375,21.8105,67.9645,338.137,10.7775,-46.6195,15.47525
2,4.25,0.636,20.80775,4.35925,7.3705,7.33925,0.2795,-44.103,0.3245,34.633,0.438,-6.7245,21.81225,67.54275,337.832,10.425,-46.26925,15.2605
2,4.75,0.68025,20.56625,4.43325,7.48675,7.54625,0.142,-51.306,0.4035,34.604,1.08275,-6.787,21.787,68.406,335.4475,10.7075,-49.969,14.991
2,5.25,0.6585,20.6915,4.53025,7.18275,7.273,0.1175,-51.6355,0.6295,31.962,1.697,-6.618,21.755,67.38475,334.31175,10.7825,-46.1965,15.3595
2,5.75,0.659,20.55825,4.49,7.041,7.071,0.29575,-56.7385,0.65325,34.733,0.762,-6.9,21.7045,68.556,337.16625,10.5175,-46.519,15.17575
2,6.25,0.6455,20.5725,4.44825,6.92,6.9425,0.10925,-45.0785,1.2945,30.373,1.21925,-6.6185,21.64925,68.61775,333.9185,10.605,-46.96375,15.1985
2,6.75,0.65525,20.4665,4.481,7.8725,7.488,0.40675,-52.579,1.03675,34.795,1.1355,-6.582,21.6595,66.28,336.246,10.53,-46.226,15.06925
2,7.25,0.6325,20.6715,4.36125,7.041,6.911,0.228,-52.19075,0.85175,32.54825,1.5695,-6.791,21.59925,67.9545,335.698,10.315,-45.911,15.1965
2,7.75,0.67325,20.7875,4.587,4.23825,4.37225,0.01475,-51.754,1.974,41.498,2.25675,-6.61,21.593,67.26975,333.772,10.67,-32.1275,15.54125
2,8.25,0.722,21.4775,4.80525,-2.9855,-3.0015,0.049,-20.404,4.24,70.58075,5.229,-5.69825,21.532,65.5635,332.452,11.18,4.28225,15.95825
2,8.75,0.7635,22.038,5.12375,-10.96175,-10.46375,-0.049,17.714,4.321,92.348,4.555,-4.3825,21.44275,65.24125,329.467,12.035,61.035,16.498
2,9.25,0.8125,22.9675,5.37875,-16.7575,-17.13225,0.0095,58.126,3.3735,124.219,3.0445,-1.63725,21.34225,62.29475,327.125,12.93,128.4,16.9405
2,9.75,0.81825,23.67275,5.33725,-24.51225,-24.3485,-0.0325,103.264,2.7125,166.261,2.593,1.428,21.362,59.966,326.21125,13.8725,189.013,17.07275
2,10.25,0.83775,24.18575,5.68625,-26.686,-26.568,0.0305,141.75125,2.55775,189.199,2.35925,6.6585,21.42825,58.317,324.684,14.4775,296.803,17.3725
2,10.75,0.90525,24.756,5.76175,-29.5645,-29.518,0.0545,180.7765,2.43275,223.021,2.383,11.54,21.50875,59.02225,324.0285,15.25,363.251,17.5955
2,11.25,0.91725,24.998,6.00375,-30.88,-31.339,0.0835,216.186,2.149,252.60975,2.094,15.638,21.60125,59.21075,324.31275,16.1775,432.9195,17.513
2,11.75,0.9525,25.27375,6.1745,-30.576,-32.696,0.08775,222.74,2.002,271.1315,2.0755,17.384,21.60225,57.608,324.30325,16.0475,499.6595,17.58425
2,12.25,0.94175,25.5555,6.112,-34.32925,-34.94,0.08525,258.1805,1.7155,269.682,2.57775,19.47675,21.695,56.244,324.439,16.545,567.15275,17.653
2,12.75,0.94,25.8275,5.92075,-33.7665,-33.80175,0.071,276.68775,1.505,285.45425,1.40125,22.51925,21.6925,54.67225,324.5125,16.6575,565.04775,17.786
2,13.25,0.9465,25.8545,6.00525,-33.49225,-33.57075,0.04375,295.8785,1.071,289.107,1.562,24.13825,21.781,55.306,324.17575,17.0325,574.421,18.01375
2,13.75,0.9535,26.05575,6.13125,-35.35825,-35.4875,0.053,296.274,1.037,284.8825,1.299,23.92925,21.912,55.38475,324.2195,17.04,550.41,18.1875
2,14.25,0.955,26.21925,6.1555,-33.355,-33.7975,0.093,288.618,1.1725,296.65225,1.897,22.8735,21.97525,55.1065,324.36275,16.755,541.512,18.03475
2,14.75,0.91375,26.164,5.9995,-32.854,-32.699,0.103,256.185,0.5925,273.538,1.632,20.00875,22.04225,55.6615,324.303,16.925,499.29775,18.199
2,15.25,0.91025,26.20975,5.998,-31.532,-31.567,0.096,232.364,0.7765,257.71,1.523,17.35275,22.15025,55.54125,324.283,16.7425,437.8175,17.764
2,15.75,0.88325,26.0035,5.82825,-26.524,-26.408,0.1145,195.63,-0.2405,246.885,1.378,15.2155,22.24675,55.86075,324.8015,16.11,381.7675,18.0755
2,16.25,0.8845,25.354,5.83275,-24.986,-24.924,0.1585,166.511,-0.078,199.948,2.0255,11.875,22.353,57.666,324.878,15.29,305.2385,18.3895
2,16.75,0.86425,24.783,5.7045,-15.203,-15.794,0.182,113.177,-0.651,180.48,1.4885,8.57025,22.45575,60.3005,325.691,14.5275,219.84,18.264
2,17.25,0.8585,24.28,5.69875,-12.082,-12.2785,0.2125,63.3005,-1.214,139.707,0.8475,5.4895,22.495,61.38575,326.48925,13.7525,130.5365,18.03875
2,17.75,0.82425,23.86,5.543,-5.3565,-5.402,0.27525,21.43025,-1.03225,95.5355,1.11925,2.806,22.50875,62.1355,327.5535,13.1825,54.193,17.7135
2,18.25,0.77975,23.0035,5.369,2.206,2.158,0.3405,-17.283,-1.7205,65.955,0.428,0.504,22.49225,63.65,329.4375,12.32,-5.19275,17.4685
2,18.75,0.75775,22.4375,5.11675,5.919,5.837,0.269,-36.238,-1.4215,49.006,-1.014,-0.77175,22.476,63.7255,331.4965,11.7225,-36.1075,17.1985
2,19.25,0.739,22.05425,4.957,7.549,7.487,0.1615,-39.632,-0.7435,39.657,-0.0645,-2.43625,22.43625,64.50725,332.2615,11.6125,-46.87125,16.96025
2,19.75,0.72925,21.95725,5.02725,7.447,7.5835,0.0995,-44.1375,-0.226,40.821,0.542,-3.231,22.38075,65.08325,331.51,11.2725,-38.72975,16.727
2,20.25,0.718,21.8205,4.94375,7.44425,7.4375,0.136,-44.881,-0.016,36.84375,0.6345,-4.0195,22.34775,66.9155,331.336,11.16,-45.3525,16.86725
2,20.75,0.71225,21.717,4.8405,7.512,7.3835,0.12725,-49.221,0.20675,45.827,0.73575,-4.1375,22.32575,67.547,332.24075,11.0175,-44.17525,16.844
2,21.25,0.70325,21.5395,4.68625,7.074,7.06,0.15875,-51.77625,-0.00875,32.73875,1.071,-4.522,22.29275,66.8205,332.45975,11.0175,-46.5195,16.9415
2,21.75,0.672,21.35625,4.72225,7.5,7.4575,0.09825,-53.1,0.17975,35.556,0.65475,-4.884,22.2335,66.742,332.47925,10.885,-46.241,16.5515
2,22.25,0.70975,21.39625,4.778,7.387,7.448,0.089,-54.4785,0.4185,34.4745,0.82775,-4.98325,22.18225,66.39525,332.4945,11.145,-47.09775,16.214
2,22.75,0.73525,21.28275,4.79625,7.37375,7.467,0.08175,-57.095,0.2335,36.8905,1.0595,-5.12875,22.12575,67.43,332.27225,11.0525,-46.42475,16.368
2,23.25,0.70325,21.2515,4.82575,7.438,7.603,0.1165,-50.48025,0.05575,34.1755,0.25725,-5.19075,22.10875,68.64075,332.6685,10.9825,-46.4475,16.39975
2,23.75,0.70125,21.11125,4.83375,6.99125,7.0845,0.07,-46.4195,0.2985,31.48875,0.65125,-5.012,22.113,69.16725,333.18825,10.995,-41.04,16.35725
3,0.25,0.5865,21.0035,4.169,7.58125,7.55975,0.329,-33.10475,0.3675,31.75625,1.4995,-4.8675,21.832,70.62175,347.072,10.135,-34.4145,16.847
3,0.75,0.639,21.003,4.4415,6.88,7.179,0.416,-29.4105,0.5245,31.8875,0.962,-4.5185,21.8,70.83775,345.8815,10.33,-36.035,16.8585
3,1.25,0.595,20.982,4.2115,7.234,7.3,0.2575,-30.828,0.514,34.309,0.6195,-4.366,21.7835,70.52625,350.421,10.04,-39.639,16.9205
3,1.75,0.603,20.836,4.22,7.0665,6.991,0.2465,-32.123,0.2595,30.351,0.4115,-4.781,21.78575,70.09775,352.756,9.875,-32.973,16.9015
3,2.25,0.596,20.86475,4.1175,7.009,7.08825,0.2975,-33.4605,0.4545,32.969,0.3905,-5.527,21.753,68.77075,350.8045,9.665,-31.339,16.40125
3,2.75,0.585,20.7875,4.057,7.0315,7.0655,0.18975,-31.16375,0.14675,32.04575,0.391,-5.735,21.722,69.52225,355.85675,9.9375,-34.376,16.3745
3,3.25,0.572,20.73625,3.8925,6.71075,6.91775,0.10525,-26.71225,0.514,25.3805,0.8835,-5.754,21.7075,69.8565,353.802,10.12,-30.431,16.3775
3,3.75,0.5625,20.80925,3.974,7.33425,7.137,0.238,-29.23025,0.19875,28.6365,0.28925,-5.889,21.67975,69.95525,348.61925,10.0225,-39.39,16.3655
3,4.25,0.573,20.65875,3.85,6.67,6.63,0.20825,-25.927,0.26675,31.0185,0.871,-5.75625,21.66,70.92375,349.63575,9.825,-37.757,16.2415
3,4.75,0.55,20.534,3.9465,6.946,6.927,0.25775,-27.7625,0.36975,29.57675,0.5515,-5.686,21.6195,70.5205,352.58025,9.7675,-31.932,16.1955
3,5.25,0.575,20.51475,3.797,7.15,6.8395,0.36525,-30.0955,0.3305,30.556,1.1155,-5.96525,21.58925,70.164,353.091,9.385,-33.7655,16.128
3,5.75,0.578,20.42375,3.8485,7.609,7.6355,0.448,-25.117,0.4195,30.72475,1.134,-5.52,21.58575,69.988,353.1455,9.5875,-28.15,16.068
3,6.25,0.5345,20.39175,3.7725,7.21,7.191,0.47,-27.164,0.33775,26.67,0.83825,-5.556,21.54825,70.265,354.46425,9.515,-28.8,16.132
3,6.75,0.565,20.4285,3.93725,7.5025,7.5445,0.38075,-27.2325,0.95525,27.0135,1.133,-5.702,21.53625,70.57025,361.071,9.885,-28.551,16.1835
3,7.25,0.565,20.5005,3.93325,5.765,5.683,0.198,-23.82,1.38775,35.8625,2.2945,-6.015,21.514,71.72475,362.949,9.79,-22.067,16.22925
3,7.75,0.61825,21.032,4.10725,1.93675,2.3145,0.018,-21.62275,3.0015,52.8855,4.64075,-6.07025,21.47675,71.52625,351.754,10.0775,6.30425,16.67575
3,8.25,0.659,21.90475,4.193,-5.235,-4.9815,-0.046,8.186,5.8055,79.2985,4.883,-4.9835,21.335,69.48025,346.338,11.3375,57.44775,17.3735
3,8.75,0.69625,22.63425,4.57075,-11.218,-10.049,-0.087,39.27875,4.80425,115.497,3.93225,-3.211,21.28075,66.45725,338.65875,12.475,134.679,17.60075
3,9.25,0.72525,23.20075,4.8365,-17.13175,-17.09625,-0.08625,81.9575,3.3375,140.38225,2.901,-0.388,21.327,66.6995,334.1795,13.23,210.1065,17.99225
3,9.75,0.75225,24.09125,5.0115,-20.93925,-20.1215,-0.02325,126.176,3.3925,191.835,1.70675,4.02025,21.32125,63.30575,331.01725,14.2625,287.724,17.91125
3,10.25,0.795,24.59125,4.98775,-24.1365,-24.3205,0.007,163.2775,2.416,217.626,1.74475,8.255,21.41575,60.59975,330.112,15.1275,341.1,17.9925
3,10.75,0.79075,25.00525,5.136,-26.781,-26.7565,0.0415,172.2985,2.339,231.80775,1.6435,10.452,21.5045,59.7425,329.70675,15.8425,408.501,18.136
3,11.25,0.8005,25.34725,5.0335,-28.2915,-28.17875,0.03025,212.02125,2.02075,279.58625,2.514,13.0035,21.50275,60.118,329.24225,16.2775,455.195,18.3215
3,11.75,0.8475,25.83975,5.34525,-30.9555,-31.3925,0.107,231.869,1.924,311.757,1.4855,14.976,21.5255,59.80025,329.6805,16.6525,551.192,18.224
3,12.25,0.83725,25.97675,5.58275,-30.187,-30.56125,0.091,267.82875,1.72725,311.9055,1.5245,16.229,21.50325,59.38525,330.49075,17.24,601.90775,18.3785
3,12.75,0.822,26.0525,5.27325,-27.0535,-27.153,0.037,254.3175,1.15125,320.3225,1.598,18.74325,21.56425,59.00875,329.915,16.865,630.6125,18.3615
3,13.25,0.8085,26.102,5.18175,-27.7495,-27.7505,0.076,283.82325,0.73375,336.07675,1.79475,24.32375,21.6315,58.90075,329.99975,17.4125,675.26075,18.09575
3,13.75,0.81175,25.99775,5.28025,-29.4695,-29.4655,0.06775,259.827,0.8905,320.861,1.371,26.17,21.73425,58.81375,329.0885,17.2525,609.515,18.0575
3,14.25,0.85925,25.89825,5.2975,-32.326,-32.3,0.08175,257.28325,0.8785,347.39,1.89275,28.90775,21.99125,58.827,329.475,16.735,583.60275,18.31725
3,14.75,0.81375,25.78725,5.50725,-29.4605,-28.8485,0.10825,246.6295,0.2455,321.05825,2.7025,26.233,22.0365,59.622,330.0085,16.2275,500.161,18.2975
3,15.25,0.80775,25.4115,5.36675,-23.1625,-23.1345,0.106,213.4625,-0.20575,282.072,0.988,19.01,22.14575,60.18025,329.564,16.0525,494.561,18.3545
3,15.75,0.82875,25.24575,5.5975,-23.022,-22.62,0.1515,182.88125,-0.00575,257.593,1.42925,14.9305,22.22525,61.15775,330.66125,15.7675,415.661,18.39575
3,16.25,0.8065,24.8215,5.112,-19.827,-19.824,0.1415,149.828,-0.20925,225.9395,1.9135,11.15675,22.301,62.333,330.7895,14.9875,320.653,18.79925
3,16.75,0.77425,24.408,5.07775,-15.415,-15.504,0.2375,105.316,-0.26975,191.25325,0.875,8.00375,22.33675,61.8295,331.104,14.125,225.88575,18.3785
3,17.25,0.756,24.014,5.24175,-8.6205,-8.773,0.258,66.8445,-0.52375,159.99575,0.4335,5.426,22.34175,62.2525,332.0795,13.49,159.062,18.14475
3,17.75,0.745,23.5745,5.00225,-3.34875,-3.85975,0.2755,21.12125,-1.10125,109.944,0.5925,2.5475,22.295,62.9505,332.82275,12.7825,74.4285,18.0205
3,18.25,0.70825,23.0945,4.904,0.7085,0.566,0.33875,-8.63025,-1.20725,75.4985,-0.34075,1.0105,22.275,64.087,334.77125,12.335,3.4645,17.6265
3,18.75,0.68725,22.67475,4.66575,4.7505,4.6175,0.26,-24.782,-0.9895,56.1585,-0.33025,-0.049,22.24825,64.43375,336.447,11.9275,-20.83,17.4065
3,19.25,0.67875,22.224,4.79925,7.004,6.96375,0.25725,-30.505,-0.76075,42.6425,0.435,-0.608,22.2175,65.566,337.66275,11.4025,-25.99,17.29225
3,19.75,0.65675,21.9245,4.57725,7.58575,7.403,0.20325,-31.772,-0.4235,40.238,1.0225,-1.357,22.16625,67.45625,338.96525,11.2125,-37.284,17.2015
3,20.25,0.6215,21.69,4.4335,7.41525,7.15575,0.2195,-36.27,-0.136,40.48675,0.385,-2.17325,22.10975,67.998,340.7665,10.86,-39.30075,17.064
3,20.75,0.638,21.6435,4.5205,7.43275,7.83425,0.2725,-35.2075,-0.0065,36.6335,0.242,-2.89,22.074,69.05075,341.8345,10.77,-42.693,16.9215
3,21.25,0.628,21.514,4.311,7.2015,7.47825,0.176,-41.87275,0.0425,39.60825,0.6615,-3.07075,22.03725,69.6605,340.258,10.495,-38.75175,16.786
3,21.75,0.6445,21.437,4.522,7.3975,7.30275,0.203,-42.709,0.3525,34.0265,0.97,-3.59175,21.999,68.1375,339.5245,10.545,-40.72775,16.879
3,22.25,0.6345,21.3955,4.213,7.955,7.912,0.116,-35.72975,0.2415,35.4525,1.057,-3.9105,21.9395,68.5205,339.4125,10.275,-37.6325,16.8795
3,22.75,0.627,21.3095,4.4155,7.756,7.705,0.168,-39.43275,0.24,38.847,0.742,-4.295,21.912,69.05575,345.004,10.205,-39.645,16.981
3,23.25,0.624,21.2885,4.3405,7.63125,7.47425,0.172,-37.828,0.2385,31.976,0.724,-4.6695,21.87775,69.66775,348.903,10.17,-36.9515,16.9015
3,23.75,0.5905,21.0885,4.0925,7.3315,7.2545,0.1535,-36.13,0.1645,32.802,0.5985,-4.77675,21.85125,70.151,346.5945,9.64,-39.5005,16.686
4,0.25,0.624,21.669,4.365,6.967,7.194,0.125,-33.21875,0.399,26.4975,1.031,-5.21575,22.555,62.622,336.618,11.49,-38.14175,15.535
