DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,0.544,0.5075,1.04,-13.328,0.318,0.003,413.917,3.422,-19.235,0,0,-2.7765,85.65,1.841,99.1,-0.431,-0.066,0.128,0.519,2.183,3.9345,-0.3735,0.341,0.104,0.913,2.409,4.262,-2.357,-2.974,0.4232,0.72585
1,0.75,0.697,0.6145,1.452,-14.993,0.322,0.006,413.052,3.2895,-20.12,0,0,-2.8625,85.9,1.858,99.1,-0.453,-0.067,0.133,0.5335,2.1835,3.917,-0.389,0.314,0.1075,0.912,2.421,4.246,-2.408,-2.994,0.43115,0.75295
1,1.25,0.5665,0.556,1.2415,-13.839,0.3275,0.005,413.203,3.1765,-18.235,0,0,-2.944,85.7,1.7965,99.1,-0.437,-0.066,0.116,0.5425,2.195,3.9295,-0.386,0.318,0.109,0.8785,2.4175,4.2355,-2.43,-3.007,0.43715,0.77225
1,1.75,0.606,0.5775,1.274,-13.631,0.3125,0.008,413.174,3.222,-18.725,0,0,-2.958,86,1.8155,99.1,-0.452,-0.0715,0.118,0.536,2.182,3.9155,-0.397,0.317,0.107,0.887,2.401,4.255,-2.5315,-2.993,0.4294,0.7378
1,2.25,0.542,0.518,1.226,-13.486,0.307,0.008,413.309,3.2185,-18.52,0,0,-2.9915,86.672,1.797,99.1,-0.44,-0.072,0.113,0.511,2.207,3.905,-0.3865,0.33,0.126,0.8705,2.441,4.206,-2.532,-3.008,0.41565,0.7649
1,2.75,0.598,0.568,1.2785,-11.729,0.317,0.004,413.466,3.208,-18.52,0,0,-3.135,86.4,1.785,99.1,-0.444,-0.0725,0.121,0.526,2.208,3.902,-0.4,0.323,0.091,0.877,2.393,4.275,-2.5355,-3.014,0.428,0.7606
1,3.25,0.598,0.557,1.181,-13.326,0.317,0.009,413.335,3.2085,-20.29,0,0,-3.1325,86.5,1.799,99.1,-0.433,-0.08,0.103,0.566,2.216,3.929,-0.391,0.298,0.092,0.9055,2.382,4.248,-2.623,-3.014,0.4276,0.7594
1,3.75,0.555,0.565,1.174,-13.039,0.317,0.0075,413.7595,3.228,-20.09,0,0,-3.141,86.45,1.838,99.1,-0.433,-0.101,0.11,0.561,2.184,3.9045,-0.369,0.292,0.1065,0.878,2.431,4.24,-2.6975,-3.044,0.43085,0.7102
1,4.25,0.582,0.567,1.3085,-13.1385,0.327,0.0105,414.1665,3.2425,-20.155,0,0,-3.1545,86.8,1.8375,99.1,-0.433,-0.086,0.117,0.525,2.183,3.899,-0.392,0.289,0.095,0.919,2.376,4.2605,-2.716,-3.065,0.432,0.746
1,4.75,0.554,0.539,1.0815,-14.076,0.3045,0.008,414.111,3.231,-19.96,0,0,-3.23,86.9,1.7745,99.1,-0.445,-0.084,0.115,0.5225,2.1955,3.892,-0.3905,0.305,0.104,0.8615,2.3835,4.277,-2.7145,-3.119,0.40925,0.71075
