DOY2,HR2,FC_1_1_1,CO2_1_1_1,CO2_SIGMA_1_1_1,SC_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,H_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,TA_1_1_1,VPD_1_1_1,RH_1_1_1,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD_1_1_1,SW_IN_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_DIF_1_1_1,FC_1_2_1,CO2_1_2_1,CO2_SIGMA_1_2_1,LE_1_2_1,H2O_1_2_1,H2O_SIGMA_1_2_1,H_1_2_1,T_SONIC_1_2_1,T_SONIC_SIGMA_1_2_1,WS_1_2_1,USTAR_1_2_1,W_SIGMA_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,TA_1_2_1,VPD_1_2_1,RH_1_2_1
1,0.25,-0.053,386.6470425,0.7395795,-1.1069655,-1.2005,7.870226,0.0352585,-27.75925,10.778,0.20855625,1.581,0.1145,0.158114,0.414729,0.3339155,5.405,0.65,70.6155,99.238,8.417,8.715,9.185,9.71,10.555,-17.501,-56.187,0,0,0,0,0,261.2,325.923,0,-0.3595925,410.808964,2.682865,-0.56581,7.779447,0.058346,-2.2446,7.6492,0.177592,0.2304125,0.02797475,0.0358575,0.1451385,0.14391325,2.874,0.5105475,85.9
1,0.75,0.011,384.706671,0.740439,-0.9544165,-1.488,7.653322,0.0328545,-28.0985,10.58075,0.2043255,1.7055,0.1235,0.162781,0.403733,0.334664,5.3505,0.625,70.175,99.3,8.39825,8.67975,9.16325,9.7065,10.548,-17.653,-56.259,0,0,0,0,0,260.5365,324.8095,0,-0.18467,412.788722,2.7911785,-0.77704,7.956845,0.057196,-2.312675,7.62245,0.1727875,0.228935,0.027848,0.03616775,0.1443685,0.1386245,2.77525,0.4938875,86.1
1,1.25,0.2,384.75681025,0.737009,-1.09930875,-1.14025,7.363024,0.0340585,-28.382,10.5215,0.197484,1.576,0.124,0.167332,0.4049675,0.3354095,5.182,0.6125,70.6175,99.3,8.34,8.62,9.125,9.685,10.545,-17.738,-56.223,0,0,0,0,0,263.555,324.8115,0,-0.170605,410.314779,2.53217075,-0.588805,7.897401,0.05450175,-2.78435,7.6072,0.1774255,0.21896,0.02852525,0.03663875,0.143076,0.14370775,2.695,0.48866,86.5
1,1.75,-0.05,385.993609,0.73708125,-0.8654375,-1.6755,7.484625,0.037077,-28.393,10.455,0.2,1.569,0.118,0.164317,0.407431,0.337639,5.17675,0.6225,70.6,99.3,8.281,8.5775,9.0865,9.661,10.5415,-17.915,-55.467,0,0,0,0,0,262.45375,323.78325,0,-0.1161625,407.764431,2.657271,-0.6709,7.8468145,0.05873575,-2.5382,7.494875,0.1695005,0.2388175,0.0286735,0.0381425,0.1482355,0.139121,2.518,0.4650075,86.475
1,2.25,0.138,384.3797155,0.73887875,-0.563708,-1.664,7.2723335,0.033144,-28.0915,10.38975,0.202485,1.688,0.12,0.164317,0.401248,0.337639,4.98325,0.5925,69.89,99.275,8.2225,8.535,9.061,9.649,10.544,-18.171,-54.82,0,0,0,0,0,262.18525,323.046,0,-0.349965,408.4496655,2.628846,-0.45094,7.9181175,0.058522,-2.279875,7.5154,0.168994,0.23976,0.028965,0.036602,0.145131,0.139252,2.377,0.455875,86.675
1,2.75,0.18325,386.37007825,0.740049,-0.87610425,-1.516,7.198884,0.03888075,-29.08475,10.25025,0.204939,1.68325,0.12,0.161245,0.4080425,0.33128425,4.85,0.5675,69.775,99.3,8.1985,8.499,9.02,9.6275,10.54,-18.281,-55.269,0,0,0,0,0,262.667,322.0755,0,-0.345435,412.335285,2.643895,-0.68907,7.8151125,0.0573095,-2.594625,7.454425,0.1771695,0.2340525,0.02930075,0.0383255,0.14487425,0.13951275,2.421,0.4468025,86.9
1,3.25,0.085,387.83344,0.741665,-1.1199165,-1.39,7.081027,0.039088,-28.071,10.0655,0.2043255,1.675,0.127,0.173205,0.412311,0.339116,4.844,0.52,69.5225,99.291,8.154,8.47825,8.96725,9.6055,10.5335,-18.266,-54.892,0,0,0,0,0,261.956,321.402,0,-0.271,411.655074,2.6250335,-0.462435,7.712449,0.0554375,-2.45455,7.36205,0.1769435,0.23593,0.0293555,0.03910975,0.14907975,0.13921025,2.378,0.42659,86.8
1,3.75,0.129,387.150833,0.735032,-2.0328335,-1.145,7.184877,0.0386475,-29.65875,10.103,0.204939,1.68525,0.1245,0.161245,0.398119,0.339116,4.7065,0.5,69.1825,99.2845,8.107,8.43575,8.93575,9.578,10.52625,-18.1935,-55.413,0,0,0,0,0,260.2085,321.22925,0,-0.265775,412.76664225,2.4697435,-0.7783925,7.62374625,0.0555185,-2.678875,7.31525,0.181643,0.243705,0.0306015,0.0391985,0.1496745,0.1393465,2.3045,0.42758,86.5
1,4.25,0.137,385.841438,0.7361635,-0.914104,-1.908,7.147547,0.03792425,-28.9475,10.0345,0.202485,1.70475,0.117,0.16046225,0.397177,0.33279075,4.5565,0.475,68.94,99.295,8.102,8.42,8.91225,9.555,10.52,-18.346,-55.251,0,0,0,0,0,261.293,321.0665,0,-0.18121,412.9125,2.47752675,-0.50528,7.616517,0.058694,-2.46215,7.1925,0.18571975,0.24576,0.028594,0.039315,0.144527,0.139241,2.252,0.420195,86.525
1,4.75,0.084,386.476563,0.727749,-1.172215,-1.313,7.160461,0.034551,-30.222,10.07675,0.185064,1.701,0.122,0.161245,0.390511,0.327109,4.45075,0.47,68.81,99.2625,8.06575,8.37425,8.876,9.5365,10.516,-18.455,-54.856,0,0,0,0,0,261.11225,319.62775,0,-0.24859,412.780029,2.4703145,-0.51312,7.771171,0.0564215,-2.55535,7.1235,0.169871,0.232765,0.02959375,0.0389215,0.14650425,0.14148775,2.0935,0.41194,86.7
