DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_2_1_1,NETRAD
1,0.25,0.573239709143966,1.64327628274186,0.341589924089971,-13.7839409007829,-3.47452712643078,0.668772451238797,421.662933635678,4.69411664887771,422.551796569017,4.32425999977572,425.120578084746,422.746293065862,4.34949426473269,423.0104493375,422.723983365648,4.35395520034446,426.434970334236,418.700136900988,4.27989784691048,427.613816936508,423.018156061912,4.39305249210553,424.853167550199,424.7237437778,4.4591092173429,425.291705025641,3.67524248460894,0.114205585120004,0.144059233330405,2.785,2.25,0.97,0.68,0.26,-0.6416,-0.976,-0.3376,-0.2969,-0.7338,-0.6822,-0.9613,98.12089,74.215,1.1948,-0.205,-0.21,-0.06,0.02,0.295,1.4,-2.52,2.9,0.01,270,312.15,296.15,310.7,0.18,0.155,0.23,-0.065,0.17,0.14,0.24,0.08,-0.225,-0.06,1.3545,2.21,3.6555,4.4475,4.8485,4.936,6.443,7.319,7.9585,2.051,1.9195,3.9925,4.9545,5.7285,5.9615,7.154,9.084,2.2235,3.004,3.947,4.6145,5.09,5.6955,6.065,6.5385,1.465,2.0605,2.762,4.251,4.2455,5.888,6.406,8.252,10.3,1.3165,2.108,3.268,3.88,4.209,5.616,7.0125,7.995,9.603,-8.8755,-45.315
1,0.75,0.471817420422847,2.82311509745738,0.353768438050546,-12.0584035196295,-2.91429357880878,0.696691795503985,422.060096329528,4.76158794961105,422.90104816579,4.39420464920303,425.772304,422.746180275882,4.37618415668127,425.097802628456,422.581780388207,4.36546478392276,427.032751263829,420.057044118959,4.29424069322394,427.108776224138,423.51958016958,4.37947676777206,425.151715610401,423.95745210373,4.34861913874188,426.115492617363,3.83512606838552,-0.153917577105688,0.148181657499385,2.91,2.33,0.955,0.67,0.26,-0.68845,-1.191,-0.4479,-0.4288,-1.02585,-0.777,-1.323,98.13147,74.025,1.1435,-0.01,-0.145,-0.09,0.19,0.25,1.4,-2.45,2.9,0,268.1,310.25,296.65,310,0.18,0.11,0.23,-0.065,0.06,0.15,0.24,0.08,-0.23,-0.055,1.3185,2.146,3.6475,4.453,4.852,4.9315,6.443,7.313,7.9575,1.9505,1.866,3.9885,4.943,5.722,5.9595,7.151,9.104,2.1725,2.9955,3.9435,4.6065,5.0885,5.6965,6.065,6.5375,1.456,2.053,2.7505,4.242,4.2385,5.8855,6.405,8.251,10.299,1.236,2.082,3.2485,3.877,4.2085,5.6075,7.013,7.994,9.6015,-8.9415,-41.8
1,1.25,0.514505877846459,2.03377014341018,0.340179774734863,-19.245123520324,-2.15192397989129,0.664127581857042,421.860827595301,4.58843946097165,423.148279693332,4.38616408187996,425.650201737643,423.393592389698,4.39338867121529,425.161429710896,423.685817398636,4.44063044724176,426.814078593708,421.096657291271,4.30575712417159,427.128675902344,423.751882472777,4.38917213180522,425.468186070796,424.140214617237,4.39960818370106,425.979208554487,3.70211498544585,0.0050536593665525,0.162507464505318,2.79,2.2,0.925,0.64,0.25,-0.83425,-1.239,-0.4584,-0.52375,-0.7886,-0.7802,-1.4026,98.127525,75.73,1.0327,0.12,-0.15,-0.165,0.19,0.205,1.4,-2.46,2.9,0.02,265.75,309.1,298.8,309.65,0.18,0.09,0.23,-0.07,0.065,0.14,0.24,0.08,-0.23,-0.05,1.2745,2.1045,3.622,4.453,4.855,4.9275,6.443,7.2995,7.9565,1.9095,1.7955,3.9845,4.931,5.725,5.9575,7.15,9.102,2.1405,2.98,3.937,4.5975,5.0875,5.698,6.0655,6.5365,1.4415,2.0055,2.7485,4.2335,4.2315,5.8825,6.4035,8.251,10.297,1.228,2.0725,3.2295,3.87,4.208,5.603,7.022,7.9935,9.6,-8.7865,-27.885
1,1.75,0.433710852256561,1.88782730272882,0.358326901526454,-13.7304210341764,-2.10233872384304,0.68479987020166,422.283696946619,4.25758061391291,423.207878981838,4.40798983228077,425.124584149351,423.440728814904,4.41666113184916,424.759136863492,422.559034502794,4.4258634384847,427.130654541913,420.612126913962,4.30708109513511,427.12420631746,423.711840864618,4.44726554389611,424.664327673575,424.300399831795,4.47547263898679,425.193623905647,3.68289263304649,0.232742487695134,0.152791796452753,2.8,2.305,0.96,0.66,0.24,-0.64435,-1.159,-0.3839,-0.48955,-0.8725,-0.6748,-1.5042,98.10703,77.4,1.0878,-0.2,-0.345,-0.28,-0.15,-0.06,1.45,-2.425,2.9,0.025,268.4,308.85,298.3,309.35,0.18,0.1,0.23,-0.075,0.07,0.15,0.24,0.08,-0.23,-0.095,1.2645,2.0545,3.5975,4.446,4.8585,4.923,6.443,7.2955,7.956,1.9105,1.7485,3.969,4.9195,5.722,5.956,7.15,9.1005,2.138,2.9445,3.935,4.5985,5.086,5.699,6.0655,6.536,1.409,1.9745,2.75,4.225,4.2335,5.88,6.4015,8.2515,10.305,1.2055,2.047,3.2105,3.861,4.2075,5.598,7.022,7.993,9.5985,-8.8245,-28.045
1,2.25,0.431377619778532,1.83034830727905,0.367102981005214,-13.3693336873548,-1.34465301293127,0.681253609779832,422.014094295929,4.77428944253452,423.517078112421,4.35791845195681,425.113897719814,423.336194403065,4.34226387074769,425.410040012569,423.266687376375,4.3369278473725,426.71771638232,421.437643643061,4.28166984810893,427.154809913043,423.905243496282,4.34663462337728,424.827755454112,424.831099025507,4.40320243028848,426.307022253589,3.65993717685309,-0.047975909071539,0.15633491225663,2.775,2.31,0.945,0.635,0.25,-0.9122,-1.345,-0.5259,-0.6956,-1.09905,-0.944,-1.6105,98.121685,78.49,1.1236,-0.21,-0.345,-0.13,-0.14,-0.13,1.4,-2.5,2.9,0.08,267.65,309.9,299,309,0.18,0.105,0.22,-0.14,0.12,0.14,0.24,0.08,-0.235,-0.075,1.173,2.0475,3.575,4.433,4.8615,4.9185,6.435,7.292,7.954,1.901,1.7405,3.953,4.909,5.72,5.937,7.148,9.0585,2.152,2.894,3.9445,4.598,5.0845,5.692,6.0655,6.535,1.37,1.931,2.74,4.218,4.233,5.878,6.3995,8.2515,10.336,1.1875,2.025,3.174,3.846,4.206,5.593,7.0355,7.9925,9.597,-8.924,-46.29
1,2.75,0.467107870481447,1.48626265847053,0.34426777880301,-15.2140933119932,-2.7786872458278,0.699149415795824,421.348234809218,4.94618731035782,423.160771171075,4.38145210440209,424.942239451327,423.63693498593,4.35811238810808,424.553168653465,423.646304790179,4.34256201777029,426.372216381145,419.34414930725,4.20013356322635,427.076834253968,423.488091452159,4.37990690780064,424.849363536066,423.966864666567,4.42609842968948,425.31516145,3.61418891347647,-0.167959963127117,0.16085517489062,2.73,2.29,0.94,0.67,0.24,-0.9239,-1.4375,-0.6922,-0.72315,-1.3691,-1.5585,-1.7463,98.13196,79.185,1.0356,-0.2,-0.23,-0.33,-0.115,-0.02,1.5,-2.465,2.9,0.05,270.2,310,297.1,309.4,0.18,0.26,0.22,-0.13,0.17,0.135,0.24,0.08,-0.22,-0.1,1.139,2.015,3.54,4.4205,4.859,4.9145,6.426,7.288,7.952,1.889,1.767,3.9475,4.9055,5.699,5.9525,7.145,9.0965,2.165,2.861,3.952,4.582,5.079,5.696,6.05,6.518,1.3115,1.8875,2.739,4.211,4.2365,5.8775,6.44,8.2585,10.3175,1.189,1.95,3.2,3.8495,4.205,5.588,7.016,7.998,9.591,-9.18,-35.425
1,3.25,0.522442341572607,1.26420641754005,0.323044350398843,-11.2777894741387,-3.77913447283191,0.657234393081448,422.114596568134,5.02606500394094,423.770566253816,4.42520872803365,425.397238067943,424.217445173947,4.40855211251501,425.604843805825,424.269902724502,4.40758965561568,427.662547954511,421.174679060476,4.34016260921153,427.221004939227,424.251145222381,4.39277213755391,426.163650204545,425.751551003209,4.4254972998731,427.102484722222,3.74190691435374,-0.705226807252643,0.155646943931914,2.71,2.25,0.955,0.66,0.25,-1.0556,-1.661,-0.9971,-1.0067,-1.3263,-1.2945,-1.88935,98.14159,79.9,0.9477,-0.375,-0.545,-0.425,-0.26,-0.205,1.4,-2.55,2.9,0.075,269.35,309.15,298.1,308.1,0.18,0.265,0.22,-0.07,0.165,0.15,0.24,0.08,-0.22,-0.05,1.1805,2.0045,3.5565,4.415,4.8645,4.9105,6.4335,7.2845,7.9495,1.855,1.739,3.9365,4.904,5.6985,5.9505,7.144,9.123,2.142,2.841,3.967,4.589,5.081,5.687,6.0675,6.551,1.265,1.854,2.7225,4.2055,4.2315,5.8755,6.439,8.2585,10.3165,1.171,1.9465,3.2145,3.8505,4.2035,5.5835,7.023,7.996,9.599,-9.3915,-40.52
1,3.75,0.417498952757932,1.34395240331841,0.354576311521546,-11.8612488369062,-2.15588896420562,0.674460877533712,422.369826018196,4.91055906428879,423.824635061786,4.37459884746464,425.441985282504,424.16754096862,4.4159487994068,425.418489535714,423.969916216344,4.40280169055787,426.665510842026,420.653296660038,4.09820268760333,427.641417927273,424.320473195245,4.26179333840039,425.393996928105,425.527037282829,4.22226818949076,426.885391967282,3.78408652511096,-0.661317634709405,0.152735787167299,2.89,2.18,0.95,0.67,0.25,-1.1835,-1.752,-1.03885,-1.0706,-1.37605,-1.57645,-2.1536,98.12828,80.42,0.889,-0.535,-0.725,-0.62,-0.5,-0.39,1.4,-2.28,2.9,0.04,270.3,308.8,296.55,306.8,0.18,0.26,0.23,-0.06,0.165,0.14,0.24,0.08,-0.22,-0.05,1.1805,1.9905,3.5535,4.413,4.8645,4.914,6.468,7.3055,7.9515,1.8005,1.722,3.919,4.904,5.712,5.9915,7.1445,9.1355,2.103,2.8425,3.957,4.6265,5.0895,5.701,6.069,6.551,1.24,1.849,2.7235,4.3495,4.243,5.896,6.391,8.2515,10.296,1.114,1.931,3.246,3.849,4.208,5.612,7.0355,7.994,9.5245,-9.411,-40.46
1,4.25,0.589929739963458,2.56775963509516,0.368757959542042,-16.0122308186201,-2.63120284072579,0.729421724302302,422.660060410079,4.90463530177728,424.018750478709,4.31722125099366,425.646023943089,424.278465990888,4.28249041549074,425.265881691083,424.465475973725,4.3191622921985,426.726309076144,420.859051078183,4.08145552099599,426.816909206009,424.965702110749,4.25780839844203,426.215360607934,425.421531051714,4.20354839480438,426.487612428143,3.73536696089031,-0.837744799487325,0.159260091984158,2.935,2.2,0.94,0.645,0.26,-1.3665,-1.833,-1.1718,-1.3432,-1.6979,-1.6811,-2.3438,98.14437,80.64,0.9271,-0.77,-0.95,-0.81,-0.8,-0.79,1.4,-2.49,2.9,0.04,260,307.8,291.9,305.8,0.18,0.27,0.23,-0.01,0.17,0.14,0.24,0.08,-0.22,-0.01,1.152,1.975,3.572,4.409,4.8695,4.911,6.442,7.281,7.947,1.739,1.6915,3.902,4.894,5.71,5.97,7.141,9.124,2.087,2.823,3.925,4.613,5.079,5.701,6.09,6.5565,1.2,1.82,2.72,4.335,4.227,5.878,6.2985,8.249,10.294,1.039,1.889,3.2445,3.8525,4.206,5.581,7.023,7.991,9.546,-9.3015,-39.05
1,4.75,0.602031564624109,1.24474860907674,0.383438567384428,-12.6200603282629,-4.06798797635636,0.689547096377379,422.374307878718,4.87845020138799,423.94584367096,4.43398819447216,426.211559696553,423.862126219448,4.40454967094823,426.350112735968,423.795038153963,4.45864022223846,427.217656298248,420.069278408095,4.19596734744922,426.893533655172,424.743490748701,4.37889636811707,425.762747378641,425.127932798055,4.31053274423456,426.859213489283,3.73110606265657,-1.01971844113353,0.151139257921008,2.935,2.365,0.99,0.68,0.25,-1.80595,-2.017,-1.466,-1.5518,-2.2384,-1.74715,-2.483,98.13017,80.02,0.9028,-1,-1.25,-0.7,-0.985,-0.85,1.4,-2.365,2.9,0.01,268.9,307,294.2,306.3,0.18,0.27,0.23,-0.01,0.17,0.14,0.24,0.09,-0.22,-0.01,1.117,1.956,3.567,4.41,4.867,4.907,6.4665,7.279,7.946,1.684,1.6625,3.862,4.884,5.707,5.97,7.136,9.122,2.025,2.783,3.92,4.614,5.077,5.7,6.087,6.552,1.16,1.812,2.717,4.333,4.221,5.879,6.297,8.249,10.293,1.024,1.867,3.233,3.84,4.206,5.579,7.023,7.988,9.545,-9.209,-31.805
