DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,-0.0785,-0.1235,-0.1655,-41.6195,0.2455,-0.1095,412.692,362.6545,2.466,-54.215,0,0,-8.57,75.7825,1.303,98.4,-0.6295,-0.262,0.281,0.435,1.6,3.62475,-0.7215,-0.754,-0.283,-0.03075,1.395,3.04475,-4.41025,-4.815,0.2738,0.47145
1,0.75,0.153,0.135,-0.2755,-42.19275,0.242,-0.1335,413.11025,363.4,2.52825,-53.455,0,0,-8.62,76.6,1.28,98.4,-0.625,-0.274,0.2705,0.4255,1.602,3.61175,-0.725,-0.7605,-0.297,-0.007,1.375,3.031,-4.40325,-4.751,0.2713,0.4746
1,1.25,0.1805,0.10575,-0.287,-44.08,0.2455,-0.152,413.068,363.2,2.5275,-53.5075,0,0,-8.73,76.595,1.32,98.4,-0.574,-0.2545,0.2835,0.452,1.6125,3.61275,-0.73975,-0.75275,-0.3105,-0.027,1.382,3.0475,-4.416,-4.8225,0.27615,0.4962
1,1.75,0.1535,0.096,-0.1925,-46.36025,0.25,-0.144,413.1045,362.775,2.4905,-54.975,0,0,-8.78,76.525,1.297,98.4,-0.5955,-0.2495,0.262,0.428,1.6075,3.605,-0.7515,-0.7475,-0.3,-0.022,1.3785,3.042,-4.423,-4.84525,0.28205,0.4893
1,2.25,0.152,0.103,-0.318,-44.3775,0.2625,-0.12725,413.05975,362.875,2.56275,-56.235,0,0,-8.89,76.6475,1.315,98.4035,-0.6155,-0.27375,0.264,0.436,1.6005,3.605,-0.7615,-0.739,-0.294,-0.01425,1.366,3.03375,-4.524,-4.84575,0.294475,0.5204
1,2.75,0.16475,0.1055,-0.28525,-41.81175,0.26225,-0.1505,413.447,363.275,2.546,-55.345,0,0,-8.93,77.33,1.285,98.4,-0.597,-0.27175,0.27325,0.446,1.638,3.62275,-0.7415,-0.7285,-0.296,-0.0215,1.37375,3.05375,-4.594,-4.9035,0.2859,0.4923
1,3.25,0.1735,0.142,-0.2655,-41.34425,0.2565,-0.148,413.295,363.5975,2.50025,-58.05,0,0,-9.02,77.525,1.263,98.4125,-0.6155,-0.259,0.28725,0.433,1.60875,3.6065,-0.76775,-0.77475,-0.29625,-0.01075,1.3845,3.0445,-4.594,-4.98475,0.2941,0.5227
1,3.75,0.124,0.13,-0.159,-42.7825,0.2635,-0.13825,413.268,363.15,2.505,-57.3725,0,0,-9.2,77.9425,1.24675,98.4,-0.6055,-0.282,0.28,0.44775,1.614,3.60575,-0.7705,-0.77325,-0.31025,-0.02175,1.3725,3.051,-4.605,-4.99975,0.2965,0.521
1,4.25,0.175,0.089,-0.238,-40.2435,0.258,-0.137,413.748,362.45,2.485,-57.4875,0,0,-9.2,77.775,1.29925,98.4,-0.604,-0.272,0.265,0.447,1.619,3.6085,-0.77,-0.75375,-0.3095,-0.0425,1.401,3.0595,-4.716,-5.04125,0.293775,0.50585
1,4.75,0.14825,0.0935,-0.26225,-42.64775,0.275,-0.136,413.84,362.45,2.44925,-55.4825,0,0,-9.24,77.705,1.34475,98.4,-0.606,-0.27875,0.2725,0.4435,1.6065,3.60775,-0.7815,-0.7545,-0.30525,-0.017,1.365,3.06725,-4.755,-5.076,0.3016,0.518825
