DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,SLE,G,TS,RH,PA,CO2,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA
1,8.75,0.41845677775,-0.6615,7.999113848,0.391151535,0.026182854,-5.7806447615,19.5016254225,0.2247143265,-2.472,0.47575,94.455,79.64115507,375.549370725,0.82325,39.885,38.0725,278.225,293.1,6.395835766,-0.029709056,1.4363014565,1.3913038935,0.70721654525,0.52126662125,0.33235838375
1,9.25,0.469495666,-0.2215,8.20337997625,0.47689795575,0.0291370355,-5.812209631,16.45231347,0.519095807,-2.756,0.473,94.83,79.631679045,376.23761195,8.0875,110.4656745,85.1,279,293.5,6.3662098505,-0.03255667325,1.5829494655,1.44638511275,0.72665338775,0.457376964,0.37301907325
1,9.75,0.5045600395,0.0445,8.770440792,0.5735438535,0.01474084875,0.749064024,17.83667948,0.99682592,-2.384,0.468625,95.5475,79.622235155,375.77583515,26.8,183.7,134.625,281.175,295.275,6.462321866,-0.03056305,1.6324826735,1.461535997,0.736847919,0.82838877,0.33842008
1,10.25,0.519482023,0.093,8.69375002325,0.5274289885,0.0200271095,-0.624884987,25.6093312825,0.59399451275,-2.215,0.473625,95.4025,79.6158377275,375.8675376,49.75,247.78780825,187.4,279.45,296.725,6.598659278,-0.0359216495,1.54752508,1.5521915525,0.72201452325,1.307988705,0.339495432
1,10.75,0.48309108175,0.26425,8.555285025,0.3175489125,0.026020148,2.33351290625,20.76819636,0.522043916,-2.3395,0.470625,95.105,79.608560175,376.25055345,59.9075,334.45533155,238.825,281.7,296.675,7.1869477825,-0.0287889325,1.56531789275,1.619479703,0.76061846425,1.47559310875,0.338065425
1,11.25,0.516878449,0.25975,9.119065885,0.42692802775,0.01699862125,7.6538119795,27.522414335,0.535468762,-2.01175,0.470125,94.955,79.62193217,376.2457664,73.25,380.05,280.925,276.725,296.6,7.06886815175,-0.04228447,1.490563615,1.423404099,0.732337767,1.28818165,0.275150567
1,11.75,0.5224586585,0.25075,7.5724154705,0.557792392,0.015225275,12.418757805,27.39697901,0.55734531525,-1.8095,0.473375,95.14,79.59162105,376.5455269,73.7,418.7621558,317.1,277.85,298.325,6.575840992,-0.030479463,1.5147739815,1.474244589,0.7539960835,0.832400779,0.2622681685
1,12.25,0.4717469755,0.20725,8.32008793,0.4888770785,0.01166900425,12.29318673425,37.784994365,0.560165282,-2.04625,0.47425,95.045,79.55232623,375.7129825,69.975,457.75,345.725,278.325,301.5,6.7107092205,-0.031540076,1.607093748,1.596237271,0.799776264,0.970350409,0.2481790155
1,12.75,0.5150408655,0.123,8.0479684765,0.563002004,0.003454651,10.22807263825,40.16431641,0.91775909425,-1.959,0.476,95.195,79.52354005,375.5888299,71.15,474.05,359.4,278.225,302.85,6.465136886,-0.0312488345,1.497843074,1.582408028,0.7726207425,0.857746506,0.2554497805
1,13.25,0.486038117,-0.219,8.022414315,0.53955239775,0.024336324,9.04998083225,33.994929895,0.71767354,-2.0785,0.479,95.86,79.506829185,374.68377185,58.35,466.5963455,362.075,278.3,305.025,6.53382162625,-0.027172513,1.6359899735,1.51464812,0.7983699375,0.723888572,0.247041336
1,13.75,0.46906611475,-0.155,7.4827193895,0.6629418895,0.013529362,9.31470837975,24.3318885425,0.4873018615,-2.1525,0.48175,95.705,79.4890674425,374.77073105,50.275,460.70253395,356.95,275.925,306.15,6.4707209365,-0.04232702025,1.61496427525,1.50354558225,0.76674104525,0.47462574625,0.2647094225
1,14.25,0.488093347,-0.2125,7.351704214,0.507152604,0.0092433685,8.4593713655,30.479697705,0.6342496655,-2.1435,0.4855,96.05,79.48148962,374.702095225,34.575,425.45,336.85,272.25,305.725,6.39042129,-0.045858922,1.525336572,1.534077362,0.718093152,0.016178279,0.241177014
1,14.75,0.48168642575,-0.1615,7.71033932225,0.57046374125,0.008539499,6.0535069095,29.3353448625,0.433152479,-2.1165,0.4875,95.905,79.4762444475,374.267467125,19.25,381.51159975,299.225,277.675,301.525,6.3950095775,-0.0261888925,1.66043039775,1.624328465,0.75076032875,0.01737629775,0.22317389425
1,15.25,0.495856345,-0.4285,7.73904394525,0.434430388,0.02124390275,5.396974197,26.11698419,0.5853328565,-2.1005,0.493,95.865,79.4871770825,374.38312015,7.815,324.2895385,257.7,275.95,300.975,6.334497835,-0.033606659,1.62929549075,1.47445930125,0.74134958,-0.490515951,0.2174843145
1,15.75,0.472201187,-0.303,7.630835922,0.439994362,0.01570409375,-0.8139978055,23.73854564,0.394675727,-2.178,0.49125,95.415,79.50767248,374.9266277,-3.292,268.94922605,218.55,272.5,298.3,6.44421993,-0.03546344,1.48298315,1.41273885,0.733110243,-0.116233744,0.236540343
1,16.25,0.4322818715,-0.0365,6.83098248825,0.7492164135,0.0267456025,-1.00703069125,19.09444151,0.336060411,-2.233,0.49275,95.13,79.530576935,375.051990175,-6.4325,193.23285625,169,275,295.125,6.16069317825,-0.03287642825,1.4896766035,1.3875034615,0.7073694925,0.10582188575,0.23827111
1,16.75,0.418855153,-0.2605,6.872715505,0.386988841,0.02634541675,-4.7763969155,17.339769375,0.633225093,-2.2245,0.49575,95.545,79.54880179,375.023199675,-8.385,118.14044745,115.725,279.45,295.825,6.081375966,-0.033532406,1.4193890445,1.2993899325,0.703877747,-0.188563992,0.2552653795
1,17.25,0.4243478885,-0.6255,7.0471500055,0.45024394525,0.034544531,-3.3222071955,17.00498581,0.37116322825,-1.952,0.49625,95.62,79.551931025,375.8597888,-15.19,61.31900769,50.8,275.7,295.95,6.243847414,-0.0234399825,1.4102830425,1.2369771105,0.6775338125,-0.0857590485,0.270953941
