DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1
1,0.25,0.39869,-6.80825,3.67865,-12.5925,-0.103035,80.519,98.6,407.67,3.0282,0.41311,0.54347,-16.366,-0.50982,0.364685,264.49,283.99,0.391405,0.096106,0.5172,0.632835,0.637665,0.945835,1.2417,2.104,2.7,4.6667,6.2,-2.69915,90.633
1,0.75,0.38689,-6.93075,3.7045,-11.511,-0.097029,80.864,98.6,407.72,3.0308,0.38629,0.53609,-15.5795,-0.52805,0.35386,265.23,283.76,0.36174,0.015032,0.47072,0.626335,0.654165,0.95,1.25,2.117,2.7,4.66685,6.2,-2.668,89.633
1,1.25,0.386295,-7.1703,3.7158,-11.693,-0.012613,81.509,98.6,407.86,3.0541,0.4138,0.564145,-15.055,-0.503085,0.35767,264.885,283.25,0.42133,0.031073,0.52494,0.62667,0.65833,0.95,1.25,2.125,2.7,4.667,6.217,-2.59965,89.033
1,1.75,0.41586,-7.1945,3.6673,-12.244,-0.129315,82.061,98.6,407.88,3.0459,0.40042,0.546285,-14.0145,-0.493215,0.33845,266.175,282.815,0.38289,0.058152,0.49972,0.6235,0.65833,0.95,1.25,2.117,2.7,4.675,6.2,-2.7105,89.8
1,2.25,0.41584,-7.18285,3.6602,-12.116,-0.14052,81.847,98.6,407.83,3.0296,0.41191,0.54378,-14.458,-0.47452,0.34706,266.97,281.8,0.40531,0.058081,0.52465,0.622665,0.658,0.95,1.242,2.117,2.7,4.6667,6.217,-2.74785,89.867
1,2.75,0.406445,-7.1841,3.64805,-12.0935,-0.019794,82.157,98.6,407.9,3.0318,0.40485,0.54428,-14.459,-0.470445,0.350875,265.48,282.145,0.408445,0.063726,0.509675,0.62633,0.65833,0.95,1.25,2.125,2.7,4.667,6.217,-2.74,90.1335
1,3.25,0.38708,-7.1249,3.603,-11.555,-0.0894195,82.6755,98.63,407.75,3.0405,0.464485,0.56591,-13.883,-0.481265,0.348375,266.14,282.01,0.420815,0.0833525,0.55528,0.624665,0.667,0.95,1.25,2.117,2.7,4.667,6.217,-2.7588,89.6665
1,3.75,0.394415,-7.3163,3.58615,-12.401,-0.13061,82.7515,98.6,407.66,3.0667,0.38961,0.52763,-13.8445,-0.525725,0.34036,263.16,282.02,0.40391,0.0289085,0.488345,0.624,0.658,0.958,1.25,2.125,2.7,4.6667,6.2,-2.7457,89.533
1,4.25,0.39267,-7.5056,3.5969,-10.7215,-0.10376,82.324,98.6,407.8,3.0179,0.406735,0.52494,-14.164,-0.52135,0.324325,263.26,280.825,0.374685,0.050528,0.50459,0.62133,0.658,0.95,1.242,2.117,2.7,4.65,6.2,-2.63315,89.717
1,4.75,0.3938,-7.58845,3.5653,-11.564,-0.091139,82.774,98.588,407.88,2.9852,0.39674,0.52813,-13.569,-0.50135,0.314265,264.16,281.51,0.424365,0.072649,0.53563,0.61983,0.65,0.95,1.242,2.117,2.7,4.65,6.2,-2.5145,89.9
1,5.25,0.361085,-7.52295,3.49955,-11.174,-0.16207,83.772,98.597,407.82,2.9974,0.408475,0.5881,-12.316,-0.475485,0.30956,264.555,281.31,0.395,0.0441655,0.47436,0.620835,0.654,0.95,1.24185,2.121,2.7,4.66685,6.2,-2.4568,90.033
1,5.75,0.36931,-7.5086,3.4897,-11.214,-0.146995,84.04,98.6,407.87,2.9658,0.36813,0.46933,-12.8905,-0.49796,0.319985,263.305,281.025,0.36171,0.100086,0.45673,0.620335,0.65,0.95,1.242,2.117,2.7,4.65,6.2,-2.44285,90.2
1,6.25,0.37192,-7.5755,3.4855,-10.653,-0.091539,83.8255,98.6,407.85,2.9135,0.38139,0.514705,-13.407,-0.50287,0.332805,264.41,281.05,0.38259,0.040178,0.46984,0.613165,0.65,0.942,1.2417,2.108,2.7,4.65,6.2,-2.63515,90.767
1,6.75,0.35285,-7.4534,3.4618,-10.8915,-0.12571,83.818,98.6,408.08,2.9369,0.36083,0.50114,-12.705,-0.47318,0.33578,266.9,281.35,0.397265,0.061812,0.49953,0.616,0.654,0.946,1.24185,2.117,2.7,4.66685,6.2,-2.9013,91.067
1,7.25,0.362225,-7.4228,3.418,-10.813,-0.15424,83.973,98.6,408.03,3.0342,0.361285,0.492675,-12.671,-0.50146,0.33929,266.155,281.545,0.39356,0.0717515,0.535615,0.613335,0.65,0.95,1.2417,2.117,2.7,4.65,6.2,-2.986,91.233
1,7.75,0.36876,-7.50905,3.4446,-10.856,-0.0977065,84.589,98.6,407.9,3.021,0.52706,0.58374,-12.571,-0.331535,0.346525,265.23,281.35,0.37163,0.0703105,0.51078,0.6165,0.642,0.95,1.2417,2.108,2.7,4.65,6.2,-3.04,90.8
1,8.25,0.342165,-7.7314,3.3671,-9.15335,-0.13674,84.4125,98.6,408.03,3.0499,7.1986,6.60085,-10.1055,3.1098,1.1617,265.39,281.995,0.39958,0.032669,0.48884,0.616835,0.645835,0.942,1.2333,2.117,2.7,4.65,6.2,-2.9275,90.8
1,8.75,0.36845,-7.5262,3.4297,-8.7481,-0.010956,83.57,98.6,408.16,3.0028,37.801,36.8385,0.856165,19.277,4.3657,266.82,281.485,0.440645,0.043658,0.5478,0.612335,0.65,0.95,1.2333,2.1125,2.7,4.65,6.2,-2.79385,90.267
1,9.25,0.41713,-7.3114,3.4582,-5.7216,-0.0049065,83.172,98.6,408.14,3.0508,85.989,82.3,18.371,46.573,9.4201,266.38,282.61,0.56467,-0.097989,0.56701,0.6145,0.65,0.95,1.24585,2.11685,2.7,4.65,6.2,-2.6227,89.967
1,9.75,0.45107,-7.0994,3.372,-0.0788995,0.586235,82.392,98.6,407.83,3.0227,154.725,135.85,44.853,81.841,16.063,266.39,284.555,0.6798,-0.17973,0.63274,0.62783,0.637665,0.95,1.24185,2.11265,2.7,4.65,6.2,-2.4783,89.367
1,10.25,0.50577,-6.9299,3.4668,13.8445,1.9844,81.806,98.6,408.015,3.0789,211.77,179.8,69.968,110.68,21.801,267.56,285.75,0.80266,-0.21754,0.72305,0.6435,0.6335,0.95,1.2417,2.117,2.7,4.65,6.1833,-2.3515,89.467
1,10.75,0.53941,-6.7001,3.5277,26.279,2.8554,80.681,98.6,407.865,3.09895,276.765,228.03,96.4785,141.835,27.129,268.04,287.275,0.76868,-0.27149,0.60963,0.661665,0.634,0.942,1.2333,2.108,2.7,4.65,6.2,-2.02085,87.467
1,11.25,0.572545,-6.2117,3.518,40.3775,4.3747,79.642,98.6,407.695,3.1851,329.345,266.015,113.735,169.54,32.303,267.945,289.16,0.76384,-0.27731,0.644,0.67283,0.621,0.9375,1.225,2.108,2.7,4.63315,6.183,-1.8705,87.633
1,11.75,0.589665,-6.0047,3.72455,55.446,4.9065,76.888,98.6,407.42,3.1619,383.095,293.39,134.73,193.08,37.157,267.87,290.26,0.72606,-0.26965,0.57796,0.67467,0.633,0.94167,1.2333,2.1083,2.7,4.65,6.2,-1.83615,87.5
1,12.25,0.60929,-5.83,3.7797,60.231,5.51515,75.5055,98.6,407.25,3.0649,390.515,294.81,134.795,199.27,38.505,267.5,292.19,0.631735,-0.27144,0.45709,0.68633,0.633,0.93333,1.233,2.1,2.7,4.65,6.2,-1.74235,88.833
1,12.75,0.628095,-5.7383,3.89845,65.4065,5.692,74.248,98.6,407.03,3.0505,393.44,302.65,139.95,201.04,38.4565,267.14,292.82,0.68714,-0.225205,0.549355,0.697335,0.617,0.93333,1.225,2.108,2.7,4.633,6.183,-1.628,90.033
1,13.25,0.62868,-5.51345,3.7821,66.155,6.0979,73.356,98.53,407.17,3.05365,382.03,287.35,136.645,199.305,36.4475,267.525,293.525,0.687335,-0.21046,0.593135,0.71333,0.63333,0.942,1.2333,2.1083,2.7,4.6333,6.2,-1.4942,86.2
1,13.75,0.6325,-5.3308,3.8714,62.185,6.094,72.405,98.5,407.01,3.0335,355.92,273.895,124.39,182.54,34.662,268.4,293.91,0.6804,-0.181955,0.5829,0.7105,0.634,0.94167,1.2417,2.108,2.7,4.6333,6.1833,-1.4545,84.467
1,14.25,0.62728,-5.2472,3.9621,54.2145,5.77365,72.39,98.5,407.08,2.98225,310.04,252.6,111.105,163.9,29.716,267.75,293.87,0.65645,-0.10515,0.6218,0.703,0.625,0.93333,1.2333,2.108,2.7,4.617,6.183,-1.351,85.933
1,14.75,0.62613,-5.3059,3.95905,45.677,4.50625,71.568,98.507,407.11,2.9624,272.965,217.975,88.367,142.46,25.396,268.26,293.76,0.59578,-0.0780795,0.59202,0.698165,0.625,0.933,1.225,2.1,2.7,4.617,6.2,-1.405,84.267
1,15.25,0.63057,-5.3211,3.9332,34.409,3.6777,72.47,98.503,407.29,3.034,215.62,176.525,64.793,111.6,20.581,268.52,293.37,0.59488,-0.03873,0.60002,0.682,0.633165,0.933,1.2333,2.108,2.7,4.64165,6.2,-1.3147,85.467
1,15.75,0.59039,-5.3562,3.7847,22.854,3.1039,72.907,98.537,407.03,3.0131,152.445,137.29,40.361,79.121,15.168,267.44,292.44,0.53407,0.049529,0.55633,0.67567,0.629,0.93333,1.2333,2.1125,2.7,4.633,6.183,-1.3875,87.4
1,16.25,0.55008,-5.3418,3.7203,10.406,1.9751,73.3795,98.533,406.72,3.0301,99.0225,91.3925,16.3645,52.139,10.332,264.44,291.295,0.47748,0.095502,0.54039,0.67033,0.63333,0.93333,1.2333,2.1,2.7,4.617,6.175,-1.72035,89.233
1,16.75,0.51605,-5.4907,3.5348,0.49772,1.08035,73.566,98.543,406.89,3.0585,45.5445,42.574,-1.9832,22.94,4.9694,264.295,290.17,0.411,0.140875,0.529995,0.666,0.617,0.925,1.233,2.1,2.7,4.617,6.167,-1.8843,89.767
1,17.25,0.47185,-5.6163,3.4969,-5.3189,0.27078,74.469,98.577,406.92,3.03975,10.538,9.77965,-13.62,4.5453,1.572,263.51,289.34,0.396285,0.1707,0.555385,0.651,0.617,0.93333,1.233,2.1,2.7,4.617,6.183,-1.9888,89.633
1,17.75,0.4402,-5.7757,3.4614,-8.017,0.041907,75.5435,98.6,406.805,3.0606,1.5615,1.7179,-18.338,-0.25241,0.52058,263.34,288.1,0.39096,0.18502,0.5676,0.64833,0.63333,0.933,1.233,2.108,2.7,4.633,6.2,-1.99515,89.533
1,18.25,0.4321,-5.9022,3.3597,-8.9347,-0.035909,76.424,98.6,407.1,3.0596,0.3524,0.45076,-18.874,-0.61456,0.4316,264.49,287.78,0.38683,0.16117,0.53984,0.64933,0.621,0.937835,1.22915,2.104,2.7,4.63315,6.183,-2.1665,90.117
1,18.75,0.412835,-6.1128,3.41765,-9.4918,-0.096922,76.503,98.6,407.1,3.0783,0.407855,0.52012,-19.477,-0.62297,0.427,264.64,287.09,0.33292,0.098249,0.51604,0.63833,0.633,0.942,1.2333,2.108,2.7,4.633,6.183,-2.245,90.4335
1,19.25,0.42014,-6.2722,3.4932,-10.424,-0.0702995,76.433,98.6,407.085,3.0691,0.426485,0.57393,-18.294,-0.5648,0.41777,265.46,286.45,0.345875,0.11606,0.50289,0.63833,0.629165,0.94167,1.22915,2.108,2.7,4.62515,6.16685,-2.2553,90.8165
1,19.75,0.412805,-6.4389,3.6496,-10.181,0.04907,77.517,98.6,407.09,3.0509,0.37644,0.50527,-17.965,-0.55852,0.39449,265.81,285.48,0.40714,0.11556,0.5308,0.63767,0.633,0.933,1.217,2.092,2.7,4.6167,6.1667,-2.186,90.4335
1,20.25,0.42564,-6.3938,3.646,-10.278,-0.0431215,77.6165,98.6,407.025,3.0238,0.42,0.551785,-17.769,-0.58294,0.40427,264.22,285.31,0.418985,0.100483,0.55556,0.63667,0.625,0.933,1.225,2.1,2.7,4.617,6.183,-2.29385,89.8335
1,20.75,0.421625,-6.5353,3.6005,-9.73305,-0.118385,78.741,98.6,407.04,3.0365,0.431355,0.52441,-17.0975,-0.54166,0.40272,264.48,284.87,0.37366,0.075172,0.46732,0.62767,0.642,0.94167,1.225,2.1,2.7,4.6167,6.1667,-2.33235,87.7165
1,21.25,0.41803,-6.5865,3.6566,-10.094,-0.020876,78.924,98.6,406.98,3.0273,0.41485,0.51673,-16.7415,-0.5347,0.38109,266.41,284.85,0.40049,0.075603,0.52355,0.62633,0.633,0.93333,1.217,2.092,2.7,4.6,6.167,-2.37065,88.417
1,21.75,0.42401,-6.6256,3.66535,-11.0295,-0.063761,79.5275,98.606,407.075,3.0111,0.416155,0.533585,-16.78,-0.5319,0.39935,262.99,284.85,0.42095,0.062494,0.52001,0.628,0.65,0.937665,1.229,2.1,2.7,4.63315,6.167,-2.425,88.017
1,22.25,0.408095,-6.7596,3.71265,-11.2435,-0.053234,79.962,98.618,407.285,2.986,0.374485,0.499285,-17.443,-0.57933,0.41393,262.85,284.235,0.40291,0.063765,0.531375,0.628,0.65,0.94167,1.2417,2.1,2.7,4.617,6.167,-2.32815,88.383
1,22.75,0.41806,-6.7728,3.6833,-12.568,0.0094394,79.698,98.617,407.255,3.0031,0.39386,0.52538,-16.535,-0.56441,0.40716,262.35,284.18,0.4218,0.062559,0.53924,0.622,0.63333,0.95,1.225,2.092,2.7,4.6167,6.167,-2.45265,88.9835
1,23.25,0.41035,-6.7959,3.7331,-12.595,-0.10328,79.855,98.617,406.83,3.0109,0.398615,0.522285,-18.122,-0.57721,0.39173,264.11,283.88,0.38108,0.0220215,0.48105,0.62367,0.641835,0.95,1.225,2.1,2.7,4.617,6.167,-2.68965,88.4835
1,23.75,0.405195,-6.9633,3.68175,-12.3855,-0.14783,79.966,98.6,407.24,2.9873,0.4191,0.51776,-16.3765,-0.55709,0.37145,264.44,283.62,0.41893,0.024849,0.52855,0.62133,0.65,0.942,1.225,2.1,2.7,4.6167,6.167,-2.90765,87.5
2,0.25,0.39908,-7.4779,3.6885,-11.226,-0.0460675,76.632,98.676,408.06,2.7606,0.36704,0.43678,-27.294,-0.8623,0.55914,251.715,279.88,0.32161,0.11049,0.42416,0.24233,0.3,0.525,0.808,1.517,2,3.7,5.1,-5.47965,83.45
2,0.75,0.40382,-7.5229,3.7254,-12.307,-0.073428,77.0225,98.6985,408.02,2.7878,0.35426,0.45445,-25.1625,-0.87917,0.61856,251.4,278.93,0.29603,0.091536,0.46479,0.249,0.3125,0.5375,0.817,1.517,2,3.7,5.1,-5.4198,82.967
2,1.25,0.37605,-7.59575,3.72035,-11.281,-0.14614,77.9255,98.6985,408.03,2.7359,0.37435,0.46778,-27.8305,-0.905485,0.60325,250.61,278.615,0.31959,0.092759,0.39735,0.24833,0.308,0.533,0.821,1.51685,2,3.7,5.1,-5.3367,81.4335
2,1.75,0.368185,-7.7227,3.70725,-11.353,-0.083306,78.383,98.682,408.02,2.7078,0.35772,0.446285,-26.643,-0.86504,0.572015,250.205,278.31,0.32861,0.091095,0.458005,0.24667,0.317,0.5415,0.8,1.517,2,3.7,5.1,-5.3978,81.45
2,2.25,0.36177,-7.7301,3.7015,-11.023,-0.0913215,78.0765,98.6995,408.16,2.6844,0.36904,0.466105,-26.992,-0.8598,0.53412,250.34,278.475,0.27114,0.053052,0.3916,0.25567,0.317,0.533,0.825,1.517,2,3.7,5.1,-5.41215,82
2,2.75,0.35408,-7.6901,3.692,-10.977,-0.0968305,77.927,98.7,408.14,2.7083,0.36655,0.47301,-25.364,-0.89557,0.581135,250.025,277.56,0.251375,0.048999,0.40594,0.24867,0.308,0.542,0.81667,1.517,2,3.7,5.1,-5.30285,82.033
2,3.25,0.360745,-7.7169,3.7204,-11.505,-0.11873,78.713,98.698,408.05,2.7478,0.36503,0.45339,-24.412,-0.836145,0.563825,250.3,277.64,0.32869,0.05169,0.46681,0.253,0.308,0.533,0.817,1.5167,2,3.7,5.0833,-5.45665,82.4335
2,3.75,0.3504,-7.88985,3.7351,-11.204,-0.13147,79.603,98.647,408.32,2.7495,0.36815,0.48358,-21.5745,-0.84726,0.53327,251.08,277.895,0.305905,0.060731,0.42285,0.25667,0.317,0.533,0.821,1.517,2,3.7,5.08315,-5.50315,83.15
2,4.25,0.338615,-7.86155,3.7251,-11.415,-0.13579,80.322,98.652,408.44,2.7677,0.351905,0.43759,-22.718,-0.77035,0.524745,251.27,277.485,0.31839,0.104285,0.52596,0.253,0.308,0.533,0.81667,1.5167,2,3.7,5.0833,-5.1425,83.85
2,4.75,0.33459,-7.9372,3.6449,-11.057,-0.18969,81.2845,98.6375,408.36,2.7509,0.36539,0.46812,-20.7735,-0.78134,0.518785,252.12,275.965,0.3065,0.094876,0.436505,0.25167,0.317,0.542,0.825,1.5167,2,3.7,5.1,-4.89065,84.1
2,5.25,0.34272,-8.08905,3.7149,-10.547,-0.11879,81.4825,98.636,408.49,2.746,0.3602,0.45636,-18.999,-0.72015,0.47639,252,275.99,0.306225,0.053629,0.4418,0.24867,0.308,0.542,0.81667,1.508,2,3.7,5.1,-4.7742,84.233
2,5.75,0.32917,-8.283,3.6644,-10.26,-0.17101,81.783,98.667,408.58,2.7126,0.35996,0.47136,-19.032,-0.7242,0.484105,250.58,276.07,0.300335,0.064769,0.42804,0.24367,0.3,0.533,0.80833,1.5083,2,3.7,5.083,-4.973,84.167
2,6.25,0.337,-8.2647,3.665,-10.4655,-0.131015,81.3105,98.643,408.59,2.6933,0.355685,0.46408,-18.702,-0.718275,0.4669,252.145,275.915,0.32075,0.062976,0.44007,0.24567,0.317,0.542,0.81667,1.5167,2,3.7,5.1,-5.4737,85.35
2,6.75,0.35088,-8.153,3.6954,-9.91665,-0.10643,82.052,98.693,408.85,2.6968,0.32084,0.39881,-18.51,-0.75609,0.47722,251.28,276.25,0.28766,0.066014,0.420325,0.24367,0.317,0.542,0.817,1.517,2,3.7,5.1,-5.8825,85.25
2,7.25,0.3272,-8.1713,3.626,-10.1165,-0.103175,81.9865,98.69,409.09,2.6777,1.20015,1.30985,-18.4635,-0.35359,0.597055,252.985,277.085,0.35598,0.076257,0.49687,0.244,0.308,0.533,0.816665,1.517,2,3.7,5.083,-6.3105,83.4665
2,7.75,0.325915,-8.1816,3.72065,-11.265,-0.19034,81.847,98.7,409.17,2.6797,9.5628,9.6666,-13.1445,4.05815,1.6809,251.48,276.57,0.33837,0.083673,0.46444,0.242,0.308,0.55,0.81667,1.517,2,3.7,5.0833,-5.874,83
2,8.25,0.35933,-8.3021,3.6373,-9.23825,-0.0589105,82.06,98.7,409.19,2.6793,53.442,49.5725,2.5069,30.334,6.74365,255.225,277.46,0.40292,-0.00790405,0.46546,0.23,0.3125,0.5375,0.812665,1.517,2,3.7,5.08365,-5.1678,84.35
2,8.75,0.40451,-8.2676,3.5524,-3.8442,0.253695,81.111,98.71,409.27,2.7323,123.14,111.695,27.523,67.36,13.725,257.55,279.91,0.51832,-0.088492,0.51379,0.23667,0.317,0.542,0.817,1.51685,2,3.7,5.0915,-4.2375,82.3815
