DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
1,0.25,2.5546,0.634,0.5148,0.2858,0.026,-1.9755,82.95,97.8937,2.6128,0.3509,397.2326,6.9687,0.44975,0.44975,-22.21935,3.2515,0.27615,4.392,0.7285,264.55,300.75,1.291,0,0,-44.592,-17.24,-11.21,-14.72,-16.745,-15.2,3.812,4.359,4.051,5.1835,5.4175,5.27125
1,0.75,3.14955,0.71715,0.5255,0.34505,-0.1935,-2.0875,82.75,97.87145,2.0488,0.38155,396.3218,6.9412,0.5532,0.5532,-20.1947,5.4332,0.3033,4.392,0.98,266.5,299.25,1.167,0,0,-42.525,-15.93,-11.255,-14.675,-16.69,-15.10875,3.772,4.317,4.03975,5.174,5.4215,5.26475
1,1.25,2.7462,0.6431,0.5572,0.3258,-0.3255,-2.184,82.6,97.8757,1.457,0.3923,397.2252,7.032,0.327,0.327,-16.4579,4.98515,0.2797,4.392,0.823,267.3,298.8,0.994,0,0,-35.7495,-15.81,-11.71,-14.57,-16.375,-15.48375,3.7425,4.291,4.029,5.1665,5.4175,5.25725
1,1.75,2.479,0.5845,0.4505,0.2844,-0.76,-2.227,83.2,97.8724,1.0369,0.33625,397.166,6.8469,0.4592,0.4592,-19.0764,4.4855,0.246,4.392,0.7835,269.35,298.65,1.122,0,0,-37.9025,-16.125,-11.995,-15.01,-16.45,-15.6775,3.7425,4.2955,4.02375,5.1545,5.406,5.24625
1,2.25,2.4573,0.5489,0.4898,0.2651,-0.829,-2.5015,84.1,97.87415,1.9219,0.4266,396.1254,6.784,0.3436,0.3436,-19.36135,5.1898,0.24485,4.392,0.804,264.95,297.25,0.9985,0,0,-38.0715,-16.525,-12.355,-15.705,-16.66,-15.855,3.75,4.2955,4.01675,5.1425,5.394,5.236
1,2.75,2.7877,0.584,0.5081,0.2784,-1.03,-2.8915,84.45,97.8707,1.55865,0.35575,396.9612,6.799,0.4199,0.4199,-17.64905,3.0534,0.27805,4.392,0.8685,265.3,295.65,0.9265,0,0,-40.8695,-16.875,-13.295,-15.875,-17.18,-15.88625,3.7725,4.287,4.0235,5.1315,5.3835,5.22525
1,3.25,2.4833,0.5861,0.4903,0.2942,-1.1745,-2.8505,85.6,97.8531,1.3592,0.351,395.5982,6.7764,0.415,0.415,-17.0471,2.3869,0.26325,4.392,1.0935,261.25,295.35,0.962,0,0,-41.359,-17.405,-13.595,-16.38,-18.055,-16.16625,3.759,4.2865,4.01575,5.1225,5.3745,5.21825
1,3.75,2.4052,0.575,0.5213,0.2447,-1.286,-2.817,85.7,97.8616,0.7624,0.3787,395.6011,6.7584,0.35995,0.35995,-13.8148,2.4696,0.2905,4.392,0.8135,258.8,295.35,0.929,0,0,-43.43,-18.02,-13.945,-16.55,-18.25,-16.755,3.722,4.262,3.9905,5.1125,5.3645,5.20825
1,4.25,2.6379,0.6027,0.5134,0.266,-1.2685,-2.8865,86,97.83745,1.1886,0.3792,395.4297,6.8418,0.3111,0.3111,-14.2312,3.453,0.25145,4.392,1.0215,259.4,295.05,0.8365,0,0,-45.405,-17.61,-14.205,-16.69,-18.405,-16.6375,3.673,4.2465,3.94,5.1105,5.355,5.1985
1,4.75,2.5597,0.5342,0.57245,0.2517,-1.372,-2.454,86.5,97.81365,0.68095,0.38335,395.74105,6.7032,0.3957,0.3957,-18.36865,2.78335,0.2366,4.392,1.0035,259.9,298.55,0.8915,0,0,-42.8065,-17.19,-14.475,-17.395,-18.485,-16.45375,3.633,4.2195,3.9005,5.1105,5.343,5.18925
