DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
1,0.25,0.27525,0.22875,2.445,-0.25375,0.3285,0.0525,432.4545,6.9815,-5.55875,0,-0.35425,0.12425,309.358,319.08775,0.3645,97.175,3.78,99.7525,1.346,2.62375,2.01375,3.714,-3.37475,0.9614,0.5282,1.049025
1,0.75,0.5985,0.6685,14.33075,-1.7065,0.349,0.036,432.3455,7.08,-6.04275,0,-0.342,0.198,309.497,319.13625,0.2965,96.975,3.69075,99.71675,1.353,2.621,2.0005,3.71175,-3.561,1.0007,0.5151,1.0848
1,1.25,0.631,0.561,16.351,-1.691,0.348,0.061,432.58975,7.071,-5.301,0,-0.42375,0.15525,312.85275,319.05475,0.27075,97.375,3.813,99.706,1.3695,2.60525,1.99075,3.7085,-3.568,1.0161,0.51775,0.990775
1,1.75,0.543,0.54525,13.94175,-2.1445,0.3465,0.053,432.542,7.0755,-4.29175,0,-0.38125,0.17525,310.67975,318.946,0.1795,97.575,3.584,99.72575,1.394,2.57725,1.98225,3.7055,-3.592,1.015025,0.52,1.0144
1,2.25,0.5845,0.6645,15.3145,-2.43575,0.36325,0.0535,432.652,7.21,-6.37275,0,-0.388,0.1725,310.37875,319.523,0.2585,96.975,3.598,99.7415,1.34,2.54925,1.97175,3.703,-3.54525,1.0038,0.5146,1.0166
1,2.75,0.569,0.5975,15.792,-1.386,0.361,0.0515,432.026,7.24875,-5.296,0,-0.37925,0.1415,311.32775,320.592,0.30125,96.75,3.8855,99.792,1.32525,2.526,1.95975,3.69975,-3.57725,0.9942,0.5342,0.987325
1,3.25,0.585,0.61175,11.5465,-1.992,0.345,0.05375,432.262,7.2555,-5.90325,0,-0.358,0.179,310.05875,320.49725,0.43375,96.65,3.5735,99.7875,1.31175,2.50275,1.948,3.69975,-3.58075,0.9935,0.503925,0.95595
1,3.75,0.54625,0.66,14.13725,-1.092,0.336,0.0245,432.0525,7.311,-4.73,0,-0.39125,0.17425,309.17575,320.67275,0.5725,96.45,3.5585,99.7945,1.287,2.4935,1.937,3.7,-3.589,0.992925,0.503225,0.95885
1,4.25,0.552,0.553,11.3255,-0.84725,0.3555,0.0485,432.126,7.126,-2.78,0,-0.25475,0.116,308.8405,319.205,0.61,95.9,3.6795,99.79775,1.254,2.4815,1.94175,3.6965,-3.5815,1.02365,0.5115,1.007325
1,4.75,0.57425,0.55,11.732,-0.856,0.349,0.0605,431.984,7.08125,-1.433,0,-0.26675,0.1745,309.16275,319.57225,0.652,96.225,3.722,99.791,1.221,2.45675,1.9515,3.69325,-3.741,1.0112,0.5235,1.0435
1,5.25,0.54125,0.57825,12.91325,-1.12875,0.35625,0.035,432.526,7.116,-0.99425,0,-0.308,0.14675,312.64425,319.9055,0.68525,96.825,3.7295,99.72725,1.183,2.39925,1.96075,3.68975,-3.6775,0.985925,0.519,1.0813
1,5.75,0.5105,0.517,13.1935,-1.533,0.365,0.05575,432.8995,7.021,-0.9765,0,-0.24375,0.208,311.932,320.6425,0.665,96.575,3.629,99.703,1.1505,2.39125,1.96575,3.68725,-3.56225,1.0006,0.5178,0.9988
1,6.25,0.6005,0.57275,11.98,-0.37925,0.366,0.051,432.51,6.959,-2.114,0,-0.24375,0.1185,311.35325,320.6455,0.561,96.8,3.357,99.718,1.1085,2.386,1.964,3.684,-3.516,0.9619,0.5105,1.0412
1,6.75,0.57525,0.5285,14.5545,-0.503,0.345,0.0475,432.3295,6.755,-2.38925,0,-0.276,0.104,311.12375,320.565,0.64,96.85,3.8835,99.854,1.075,2.35275,1.96275,3.6805,-3.5905,1.00075,0.53375,1.01195
