DOY2,HR2,CO2,FC,G,H,LE,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,FCH4
1,0.25,426.46675,-0.0782828,-6.85275650025,-8.11292,-0.548767,0.29362025,0.044161525,100.7885265,89.2200875,0.27127125,-22.370005,0,0.0082965,297.566496,314.036538,-0.007348375,3.19,3.14,6.0531425,1.5
1,0.75,424.42,0.00935,-6.8042318335,-9.657385,-0.52011175,0.2485845,0.04106405,100.7849465,89.465529,0.19369075,-23.35,0,0.0044088525,295.4560075,313.706,-0.306,3.155,3.112641,6.04679,1.5
1,1.25,424.34,-0.143460825,-6.98485266675,-7.0058175,-0.471196,0.33820025,0.0467598,100.77142425,88.81546475,0.14,-20.6875,0,0.01125075,294.88103925,313.405,-0.0582715,3.185,3.1376875,6.0475,-1.69625
1,1.75,424.045,-0.183119,-6.97876875,-10.469275,-0.99912375,0.2863145,0.046075,100.7958965,88.9975,0.06029775,-20.6382,0,0.01,296.59915925,313.27102625,-0.2795,3.186775,3.1390125,6.0575,-4.8925
1,2.25,423.587,-0.207875,-7.00236625,-7.879305,-0.427654,0.2529525,0.048614025,100.7905175,88.7774105,0.0825,-19.195782,0,0.0166028,297.6120755,313.45,-0.125,3.18114,3.13,6.06,-3.28875
1,2.75,423.28125,-0.057909,-7.19673875,-5.92671,-0.8656465,0.3300985,0.04812865,100.83891475,87.9544565,-0.0475,-19.9488815,0,0.059442,296.262,313.09398,-0.2525645,3.19,3.14454,6.04851,-1.685
1,3.25,424.7805,-0.0770935,-7.28665625,-5.2198875,-0.33741575,0.346321,0.055949,100.84625,87.8475,-0.0283625,-16.8375,0,0.057115525,296.33225,313.15,-0.1751705,3.177345,3.13519,6.0436875,-11.3925
1,3.75,425.3875,-0.3599585,-7.23583325,-8.9050325,-0.372172,0.31256775,0.0397591,100.8,89.3475,-0.0736616,-16.04454675,0,0.073484175,299.1125,313.24475,-0.07025885,3.165505,3.1175225,6.0475,-21.1
1,4.25,427.451,-0.16436375,-7.54083325,-9.0414725,-0.8180135,0.32125275,0.044870175,100.77348025,88.38597775,-0.045,-13.221441,0,0.042792475,300.483552,313.145,-0.0466276,3.1803775,3.1257,6.041635,-13.69
1,4.75,423.9635,-0.007727,-7.47577616675,-6.37236,-0.30436,0.276903,0.046026225,100.77584175,88.71297575,0.01886735,-13.930425,0,0.03880635,297.924342,313.08645275,-0.3666565,3.19,3.13,6.04588,-6.28
1,5.25,424.36225,-0.138484,-7.218735,-6.41192,-0.3242725,0.282171,0.0457,100.78502275,89.14638125,-0.0925,-15.21857925,0,0.02390555,294.3,312.395,-0.2145335,3.19,3.134013,6.05434,-3.335
1,5.75,424.175,-0.11435675,-7.2593075,-12.7178,-0.638175,0.310118,0.0429649,100.78688875,88.8591035,-0.275,-17.1411,0,0.040168,293.97925,312.8175,-0.1704369,3.15,3.14,6.04,-0.39
1,6.25,425.77975,-0.075825,-7.711190167,-11.59805,-0.52532675,0.259413,0.0463,100.80140125,88.7945205,-0.4075,-13.9562,0,0.05621775,294.6348175,313.48375,-0.35639225,3.145,3.1297895,6.0575,-0.33
1,6.75,426.914,-0.0768144,-7.66466325,-8.64723,-0.2974675,0.260108,0.04944525,100.8322,89.6575,-0.16,-16.4925,0,0.066853,296.9840685,313.87,-0.3356365,3.1125,3.1261375,6.05,-0.27
1,7.25,427.87,-0.031036675,-7.74062749975,-10.5593775,-0.5862375,0.28712525,0.04775,100.84,89.26934225,-0.1225,-17.5992,0,0.03004135,295.9837675,314.15,-0.223955975,3.14273,3.13,6.045,0.2585
1,7.75,427.424,-0.18614375,-7.4754136665,-8.95159,-0.0914,0.30015225,0.0488742,100.839849,89.2375,-0.15,-17.2451175,0.02,0.061077,295.61980825,313.6625,-0.0088156,3.07506875,3.1388275,6.03509,0.787
1,8.25,428.17625,-0.092975,-7.20253833325,-8.0706475,-0.99333,0.2682845,0.0515062,100.86375,89.123474,-0.0725,-13.2967605,1.49567075,0.2534115,298.261173,313.8175,0.170928725,3.08631,3.1275,6.02,3.83143
1,8.75,426.05725,-0.431618,-7.23447333325,-6.62302,-0.426774,0.29473225,0.043626575,100.889038,88.290575,0.1384665,-1.94,7.504136,0.55886675,299.369398,314.94593725,0.008070525,3.04,3.11945,6.0218075,-2.53975
1,9.25,424.621,-0.34288675,-7.11372675,-4.7693175,-0.10309925,0.381173,0.048675,100.8902635,86.8225175,0.76665725,6.698625,18.1687005,1.355,298.10325275,316.4455,0.5738844,3.0425,3.131845,6.037605,2.91399
1,9.75,425.008,-0.55923975,-6.82449050025,-5.77098,1.06865,0.345633,0.0578542,100.905,85.7263285,1.85049975,18.01303475,33.805,2.37561175,301.626,319.86992475,1.52751,3.02,3.14,6.01,-1.102
1,10.25,425.994,-0.6030435,-6.30500025,-5.938565,1.20159,0.4185835,0.05896715,100.9201815,84.01930625,2.7387795,27.35602925,41.62536,2.7478125,302.27476375,323.424396,2.350141275,3.0220025,3.1341425,6.0425,2.49
1,10.75,427.3175,-0.81162025,-5.64825333325,-2.04559,1.4763,0.3698445,0.0632009,100.9237355,82.45447475,3.21851975,33.1875,51.54635,3.5182325,293.42110475,326.73858675,2.93107665,3.0937325,3.121135,6.0767825,-1.3
1,11.25,424.91,-1.12686,-4.71875,-0.4079295,4.817165,0.44066975,0.0644,100.90375,79.743147,3.723115,38.92,51.030925,3.94121,285.88725225,330.1520025,3.47393,3.101462,3.124545,6.0484575,-4.578
