DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,0.25,394.38,394.735,394.93,395.35,394.995,395.72,397.03,399.64,0.289,0.0085,-0.925,-51.38,-62.375,12.58,-1.55,-0.486,-0.056,0,0,-1.92,1.06,203.085,280.005,-61.5,0,-0.03,69.85,-6.13,59.7,1.37,-7.47,61.28,1.16,-7.755,67.92,0.959,6.24,1.01,-6.25,-5.495,-5.295,-1.42,-0.3085
1,0.75,396.98,397.39,397.99,398.395,398.05,399.25,400.78,401.425,0.314,0,-0.885,-49.6,-61.62,12.395,-1.55,-0.4735,-0.096,0,0,-1.97,1.04,203.09,280.54,-63.07,0,-0.029,69.83,-6.22,60.38,1.34,-7.31,62.29,1.12,-7.905,68.12,0.929,6.36,0.9925,-6.45,-5.51,-5.335,-1.425,-0.3075
1,1.25,394.19,394.56,394.875,395.03,394.72,395.28,396.76,399.355,0.291,0,-0.955,-49.39,-61.335,12.33,-1.55,-0.2245,-0.036,0,0,-1.93,1.03,201.57,280.555,-62.33,0,-0.027,69.82,-6.28,60.76,1.31,-7.24,62.765,1.14,-7.75,69.145,0.9115,6.35,1.04,-6.61,-5.545,-5.295,-1.425,-0.305
1,1.75,396.985,397.365,397.84,398.11,397.91,399.215,400.76,401.34,0.2995,0,-0.942,-52.52,-63.93,11.835,-1.55,-0.1655,-0.077,0,0,-1.9,1.03,203.955,280.865,-62.43,0,-0.028,69.815,-6.28,60.24,1.33,-7.33,63.28,1.14,-7.7,69.27,0.921,6.54,1.03,-6.67,-5.66,-5.325,-1.425,-0.3045
1,2.25,394.115,394.55,394.83,395.03,394.79,395.275,396.8,398.79,0.3215,0.0015,-0.898,-50.15,-66.77,13.02,-1.55,-0.3925,-0.086,0,0,-1.95,1.03,204.005,280.765,-64.145,0,-0.027,69.82,-6.32,59.5,1.33,-7.32,63.68,1.115,-7.685,69.01,0.911,6.48,0.998,-6.7,-5.71,-5.415,-1.41,-0.306
1,2.75,396.95,397.46,397.67,397.9,397.66,398.905,400.68,401.3,0.283,0,-0.909,-49.595,-65,11.39,-1.545,-0.227,0,0,0,-1.96,1.06,204.45,280.325,-63.6,0,-0.026,69.8,-6.31,59.45,1.3,-7.45,63.03,1.13,-7.715,68.98,0.937,6.73,1,-6.66,-5.65,-5.49,-1.41,-0.3075
1,3.25,394.02,394.605,394.66,394.92,394.715,395.53,396.82,398.805,0.265,0,-0.9745,-48.63,-66.365,10.66,-1.55,-0.1625,-0.058,0,0,-2,1.07,205.71,280.2,-62.44,0,-0.029,69.8,-6.4,60.59,1.32,-7.55,63.66,1.105,-7.78,69.16,0.911,6.47,1.05,-6.71,-5.765,-5.565,-1.41,-0.3095
1,3.75,396.86,397.27,397.75,397.91,397.75,399.14,400.8,401.32,0.314,-0.026,-0.972,-49.26,-66.51,12.94,-1.55,-0.1065,-0.075,0,0.0045,-1.97,1.02,205.075,279.98,-62.135,0,-0.027,69.78,-6.37,60.04,1.36,-7.62,62.665,1.14,-7.84,68.36,0.9235,6.41,1.03,-6.77,-5.82,-5.55,-1.41,-0.3085
1,4.25,394.135,394.6,394.66,394.73,394.73,395.465,396.81,399.11,0.299,0,-1.04,-49.515,-66.49,11.15,-1.55,-0.167,-0.038,0,0,-1.91,1.01,206.2,280.375,-61.18,0,-0.019,69.78,-6.42,59.145,1.39,-7.46,62.555,1.13,-7.87,67.94,0.9425,6.445,1.06,-6.9,-5.86,-5.62,-1.405,-0.31
1,4.75,396.815,397.35,397.97,398.2,397.745,399.02,400.53,401.29,0.278,0.012,-1.07,-50.235,-68.62,10.19,-1.55,-0.3475,-0.015,0,0,-1.94,1.03,205.585,280.09,-62.79,0,-0.02,69.77,-6.62,59.73,1.39,-7.545,62.745,1.14,-7.74,68.29,0.943,6.96,1.1,-6.99,-5.955,-5.685,-1.41,-0.311
