DOY2,HR2,TA_1_3_1,RH,TA_1_6_1,TA_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_1_1_1,T_BOLE_1_1_2,T_BOLE_1_1_3,CO2_1_1_1,H2O,CO2_1_2_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_2,TA_1_4_1,TA_1_3_3,TA_1_2_1,TA_1_1_1,WS_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,T_SONIC,WS_1_1_2,LW_IN,LW_OUT,CO2,SG,WS,U_SIGMA,V_SIGMA,W_SIGMA,VPD,T_SONIC_SIGMA,NETRAD,PPFD_IN,SW_IN,SW_OUT,G_1_2_1,G_1_2_2,TA
1,0.25,4.381,99.710875,3.84625,3.9645,4.1558,4.2194,4.635,4.255,-0.3339,-1.1868,-2.330425,-1.055475,-2.0344,-1.4685,3.974,4.242,4.292,394.625,8.344135,421.875,0.2474845,2.635,-1.1505275,1.79275,0.156404,-1.389,0.719175,0.86,1.732355,4.2435,4.275,5.471,6.1455,5.66025,1.93575,-2.669,-0.03595,0,2.34,0.06087,0.0824,1.612,0,0.61595,21.2875,0,4.6902,4.7992,5.081,5.7549,6.4055,100.75925,7.1385,2.05,331.3415,333.5455,412.078,-1.98707,1.7391775,0.67472925,0.649384,0.31964175,0.3765277075,0.42109375,-0.43144,0.0203694,0.09093,1.7093,-2.9301625,-0.8790655,2.3564575
1,0.75,4.49675,99.71205,3.80375,4.048,4.1696,4.1955,4.58,4.2484,-0.37801,-1.2992,-2.37525,-1.1482,-1.99825,-1.63835,3.985,4.18,4.226,394.725,8.3078575,421.85,0.23215,2.06018,-1.7558775,1.6532,0.18550725,-1.26,0.7162,0.77562125,1.66875,4.2635,4.27625,5.211,6.0445,5.69425,1.85675,-2.937,-0.1563,0,2.34,0.09402,0.16055,1.59625,0,0.6214,21.2875,0,4.6998,4.788,5.0806,5.754,6.411,100.74025,7.01025,2.0925,330.272,334.09325,411.2695,-1.8965775,1.74438,0.634224,0.6552825,0.31223725,0.354879945,0.41877675,-0.4244325,0,0.066085,1.5332,-2.885,-0.71238775,2.27569
1,1.25,4.3715,99.593825,3.6255,3.9555,4.178,4.1896,4.577,4.218,-0.3732,-1.30185,-2.39825,-1.258,-2.021,-1.58665,3.957,4.126,4.121,394.5,8.31775,421.925,0.2526,2.565775,-1.8736975,1.59454,0.158217,-1.499,0.7664855,0.7298285,1.65113,4.2265,4.21975,5.181,6.0885,5.458,1.92,-3.54975,-0.10708,0,2.34,0.09258,0.1061,1.51,0,0.6245,21.2875,0,4.6902,4.8015,5.083,5.7522,6.4019,100.7125,6.9326,2.10775,330.7,333.3055,411.073,-1.7668875,1.70524,0.6613815,0.6734585,0.3186795,0.321502141,0.408531,-0.42826275,0,0.11395,1.4732,-2.768715,-0.8785925,2.2032525
1,1.75,4.3579,99.8176,3.6025,3.9545,4.1491,4.1953,4.57,4.1993,-0.366095,-1.379125,-2.3964,-1.258,-2.096,-1.5822,3.852,4.081,4.083,395.375,8.3145,422.125,0.2570205,2.495,-2.20066,1.715815,0.132711,-1.375,0.8321,0.683985,1.72877,4.304,4.16525,5.3505,6.163,5.67,1.86675,-4.93225,-0.1277,0,2.34,0.0616175,0.11765,1.50475,0,0.6202,21.2875,0,4.6808,4.78,5.0773,5.7588,6.4025,100.724,6.89845,2.098,330.65,333.386,411.1795,-1.75691,1.71252,0.647176,0.6737745,0.339718,0.312607,0.413241,-0.369291,0,0.0555225,1.3889,-3.0210825,-0.878579,2.12654
1,2.25,4.44075,99.48,3.677,3.932,4.1485,4.1916,4.566,4.1903,-0.3878,-1.3396,-2.3824,-1.337325,-2.100675,-1.5385,3.883,4.079,4.115,394.7,8.344085,422.25,0.2515,1.89654,-1.537985,1.82334,0.18951,-1.372,0.697567,0.7036,1.74708,4.176,4.17,5.2685,6.17,5.562,1.87575,-3.4145,-0.2368,0,2.34,0.0344,0.141225,1.529,0,0.6162,21.2875,0,4.6819,4.7927,5.0697,5.7513,6.4079,100.725,6.867745,2.06175,331.025,333.3945,411.338,-1.66278,1.7356,0.6328085,0.6565725,0.328194,0.325165,0.4185955,-0.4690725,0,0.072645,1.41675,-3.0418,-0.593824,2.321185
1,2.75,4.482825,99.5562,3.7225,4.022,4.1648,4.2011,4.568,4.1839,-0.4409,-1.2742,-2.3875,-1.311375,-2.10075,-1.590125,3.866,4.075,4.131,394.65,8.335,421.775,0.2462955,2.287,-1.601105,1.627,0.17463325,-1.577,1.020672,0.817674,1.69547,4.30025,4.277,5.35,6.1365,5.52,1.82025,-3.21575,-0.02581,0,2.34,0.03268,0.13355,1.621,0,0.621,21.2875,0,4.6831,4.7802,5.0698,5.7565,6.4108,100.72,6.9145,2.07725,331.1,333.7335,411.634,-1.96274,1.668185,0.63814575,0.650425,0.32393,0.3206905,0.4148615,-0.37576,0,0.05572,1.39775,-2.976435,-0.6886925,2.3194925
1,3.25,4.4765,99.587249755,3.63125,4.1,4.132,4.1893,4.563,4.186,-0.498575,-1.228,-2.431,-1.341775,-2.1215,-1.549,3.846,4.043,4.106,388.9,7.98,422.425,0.24149225,1.98619,-1.767,1.38743,0.19867475,-1.25,0.587425,0.6955,1.6437,4.086,4.298,5.189,6.0055,5.46375,1.849,-3.655,0.014565,0,2.34,0.039815,0.1531,1.4215,0,0.61605,21.2875,0,4.669,4.7691,5.0712,5.7562,6.4099,100.735,6.7959625,2.086,330.881,333.544,409.831,-2.02452,1.7050375,0.6279875,0.667977,0.33789,0.3593605,0.4279285,-0.36066925,0,0.046035,1.461145,-2.953585,-0.7838205,2.175945
1,3.75,4.454075,99.534,3.588,4.143,4.106,4.181,4.57,4.186,-0.52355,-1.249,-2.509725,-1.3494,-2.136,-1.70465,3.825,4.029,4.061,395.4,8.31425,422.45,0.231075,1.532,-1.58805,1.72512,0.184738,-1.287,0.9259,0.641625,1.758045,4.063,4.288,5.1815,5.936,5.52,1.91425,-3.82425,-0.018245,0,2.34,0.0489,0.14475,1.533,0,0.62085,21.2875,0,4.6802,4.755,5.0648,5.7542,6.414,100.727,6.89482,2.109,330.6605,333.08725,412.519,-2.13253,1.652285,0.635583,0.653407,0.330234,0.328648,0.4199235,-0.25037,0,0.040605,1.55903,-3.161005,-0.878644,2.19096
1,4.25,4.49675,99.8267,3.633,4.1215,4.104,4.1778,4.57,4.1784,-0.4865775,-1.245,-2.5579,-1.37805,-2.13865,-1.64775,3.805,3.981,4.045,394.9,8.334,422.15,0.2479145,2.1281825,-1.62775,1.6441425,0.17065825,-1.213,0.64758975,0.70204075,1.7264725,4.12875,4.256,5.1345,5.9755,5.66075,1.89425,-3.0845,0.13015,0,2.34,0.0807625,0.195,1.531,0,0.6233,21.2875,0,4.6835,4.7388,5.0693,5.7456,6.4158,100.7085,6.859,2.1125,331.4195,333.13425,412.2555,-2.0328025,1.6943225,0.6375105,0.6541755,0.3314665,0.3552975,0.4265785,-0.214417,0,0.068515,1.49425,-3.091605,-0.95005725,2.175395
1,4.75,4.495,99.8244,3.84375,4.20675,4.094,4.1846,4.574,4.1757,-0.447,-1.286875,-2.60975,-1.33125,-2.19155,-1.582,3.843,3.957,4.021,395.35,8.28125,422.375,0.2507,2.10561,-1.56102,1.596,0.179914,-1.373,0.5966105,0.6221225,1.7047625,4.16425,4.318,5.2655,6.0585,5.515,1.984,-3.86675,0.0165,0,2.34,0.041845,0.1167,1.5725,0,0.62135,21.2875,0,4.684,4.7389,5.063,5.7527,6.418,100.7,6.7945,2.1455,330.674,333.231,411.3405,-2.0186,1.6833225,0.693571,0.6997495,0.3340385,0.3244800035,0.426543,-0.34011,0,0.0341875,1.55444,-2.97638,-0.85490725,2.05118
