DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.067,-6.8285,1.8575,0.0765,0.0815,-0.00775,-52.75,-0.92,-0.89175,-0.15975,-6.367,-0.35575,0.35725,43.4325,76.6375,382.925,0.95,-90.275,0,-1.9435,0,0.40525,176.35,252.55,2.32975,0
1,0.75,0.084,-7.141,1.83475,0.08725,0.06675,-0.007,-64.351,-0.998,-1.04425,-0.32225,-6.2265,-0.375,0.35825,43.215,76.6525,383.01775,0.8375,-89.55,0,-1.904,0,0.386,176.35,251,2.38975,0
1,1.25,0.0865,-7.243,1.844,0.0425,0.0345,-0.0065,-56.437,-0.6435,-1.072,-0.3665,-6.3075,-0.3895,0.36175,44.8975,76.63775,383.1115,0.8825,-89.75,0,-1.751,0,0.33525,175.575,250.1,2.3425,0
1,1.75,0.083,-6.8715,1.907,0.0645,0.047,-0.0055,-57.115,-0.709,-1.1655,-0.3585,-6.39825,-0.3985,0.36425,44.4175,76.63775,383.0915,0.74,-88.575,0,-1.83075,0,0.411,175.05,249.075,2.3235,0
1,2.25,0.089,-7.2065,1.813,0.0285,0.075,-0.00875,-54.60825,-0.963,-0.8265,-0.275,-6.53425,-0.40225,0.3655,43.575,76.67,383.10325,0.77,-89.4,0,-1.998,0,0.293,175.225,247.65,2.347,0
1,2.75,0.0905,-7.2185,1.95,0.0615,0.056,-0.01175,-56.671,-0.92325,-1.358,-0.207,-6.57725,-0.41125,0.36525,43.8925,76.66025,383.0805,0.77,-88.55,0,-1.87625,0,0.37425,175.625,248.125,2.3285,0
1,3.25,0.071,-7.1005,1.885,0.058,0.047,-0.014,-52.921,-1.048,-0.872,-0.232,-6.57475,-0.42,0.36325,44.33,76.6225,383.1075,0.84,-88.275,0,-2.016,0,0.35525,174.025,247.9,2.3065,0
1,3.75,0.081,-7.18925,1.96,0.0615,0.0535,-0.0095,-57.5965,-1.057,-1.041,-0.2135,-6.526,-0.41025,0.36225,44.97,76.6225,383.31,0.78,-89.75,0,-1.94,0,0.356,175.525,246.8,2.267,0
1,4.25,0.0675,-7.396,1.863,0.07,0.06325,-0.001,-56.77725,-1.05825,-1.546,-0.2245,-6.46575,-0.41,0.305,45.4675,76.6225,383.4,0.7425,-90.1,0,-1.9275,0,0.3375,174.65,245.575,2.24225,0
1,4.75,0.0705,-7.696,1.835,0.057,0.057,-0.015,-51.672,-1.009,-1.429,-0.224,-6.48075,-0.40975,0.3285,44.7775,76.62,383.50025,0.65,-86.825,0,-2.001,0,0.40925,174.45,246.025,2.28725,0
1,5.25,0.07225,-7.8495,1.878,0.0885,0.08375,-0.01675,-58.9225,-0.7555,-1.2715,-0.2755,-6.47175,-0.40875,0.33,44.94,76.6325,383.595,0.64,-85.775,0,-2.05925,0,0.455,174.575,246.625,2.27425,0
1,5.75,0.075,-7.64025,2.003,0.122,0.12275,-0.02,-53.272,-0.694,-1.583,-0.28075,-6.46675,-0.40825,0.25175,45.4175,76.625,383.65125,0.655,-86.2,0,-1.8195,0,0.4125,177.2,245.6,2.29125,0
1,6.25,0.075,-7.27225,1.783,0.031,0.01725,-0.0135,-45.563,-0.546,-1.02825,-0.2515,-6.55,-0.4215,0.20875,44.68,76.6375,383.592,0.695,-83.425,0,-1.953,0,0.329,176.4,245.225,2.22475,0
1,6.75,0.059,-7.94525,1.793,0.0925,0.091,-0.0165,-53.104,-0.763,-1.60825,-0.24725,-6.39075,-0.427,0.25975,45.965,76.635,383.64425,0.78,-82.85,0,-1.81825,0,0.4,176.55,245.425,2.12725,0
1,7.25,0.06225,-8.4675,1.84325,0.054,0.0625,-0.0165,-46.385,-0.78525,-1.8025,-0.18575,-6.466,-0.42825,0.22325,46.6625,76.6325,383.68075,0.7225,-79.2675,0,-1.03325,0,0.758,176.425,245.4,2.15175,0
1,7.75,0.064,-8.2225,1.736,0.0165,0.03875,-0.015,-42.712,-0.425,-0.9995,-0.192,-6.501,-0.42975,0.20675,46.5975,76.6425,383.78,0.7375,-74.4,19.48675,9.0775,0,7.3355,177.125,245.775,2.11675,18.30975
1,8.25,0.07775,-7.213,1.634,0.052,0.04,-0.02625,-36.4025,-0.3425,-0.736,-0.0425,-6.5145,-0.42925,0.20725,43.5075,76.645,383.4025,0.7375,-48.8975,94.98925,53.23,23.9475,27.6875,175.825,250.175,2.20975,68.12675
1,8.75,0.066,-5.138,1.663,0.02375,0.052,-0.03,-23.3955,0.0895,-0.258,-0.07025,-6.51525,-0.43125,0.20725,40.2575,76.675,383.06525,0.7925,-23.5675,225.4645,132.525,101.75,53.9475,176.825,257.4,2.42875,95.89675
1,9.25,0.067,-3.882,1.46625,0.027,0.07,-0.052,-20.9215,0.476,0.147,-0.0125,-6.252,-0.43075,0.196,37.06,76.72,383.0875,1.085,-0.43125,384.30625,204.075,171.6,84.925,178.75,266.275,2.6315,114.96775
1,9.75,0.06725,-3.172,1.437,-0.047,0.0335,-0.079,-19.55925,0.627,0.8105,-0.1305,-6.1005,-0.43125,0.208,33.36,76.75,382.7195,1.24,18.2,557.31475,309.775,241.9,118.225,180.275,275.275,2.65375,128.072
1,10.25,0.07425,-2.69,1.66325,-0.074,0.001,-0.0705,-15.4765,0.595,1.34725,-0.3255,-5.986,-0.40225,0.20825,29.9,76.77,382.338,1.585,37.6125,771.00975,388.7,317.25,140.6,182.65,284.525,2.565,142.9105
1,10.75,0.09,-2.075,1.85075,-0.0665,-0.0075,-0.05925,-14.114,0.3945,2.593,-0.2285,-5.72475,-0.35675,0.20925,28.88,76.77,381.843,1.545,56.5675,947.56,467.575,359.8,183.625,185.075,292.15,2.582,155.90475
1,11.25,0.1325,-1.803,2.34475,-0.04425,0.0025,-0.0525,-16.918,0.142,4.48225,-0.348,-5.62175,-0.257,0.23275,28.36,76.76,381.377,1.625,66.4675,955.84525,477.775,394.05,189.6,186.45,296.225,2.648,168.56125
1,11.75,0.123,-1.535,2.37625,-0.05275,-0.021,-0.041,-13.1005,-0.021,5.505,-0.17125,-5.5735,-0.19475,0.292,28.47,76.74,381.0655,1.615,76.3025,974.79625,517.625,440.8,207.35,189,299.475,2.59575,175.809
1,12.25,0.126,-1.083,2.31925,-0.074,-0.028,-0.044,-12.9495,0.026,7.6685,-0.19,-5.5935,-0.16225,0.276,28.7,76.7,380.59425,1.68,76.7425,1037.76275,536.95,348,196.225,190.225,300.5,2.6325,179.413
1,12.75,0.14275,-0.892,2.62575,-0.0545,-0.026,-0.03625,-13.9105,-0.11,9.493,-0.2035,-5.469,-0.127,0.34,29.17,76.661,380.083,1.7775,72.0125,987.2165,491.725,343.125,173.85,190.2,301.425,2.601,195.239
