DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,W_SIGMA,WS
1,9.75,395.26698935,1.619534555,8.275254132,0.016517959,-1.15461,0.461984079,-10.82,67.57089881,45.58447377,99.3,62.45007681,12.92434305,0.364314099,8.58257335,3.83539395,11.535,11.96,-0.367990483,1.092615566,0.548687274,0.6418041775,2.359
1,10.25,393.4659248,1.94227468,8.345141035,0.013564476,-2.455592845,0.707406122,-8.39,99.32634219,51.519425645,99.3,59.3,13.80360968,0.394510729,9.627987928,4.396425735,11.845,12.005,-0.4308231495,1.1581310585,0.593094991,0.698045262,2.488
1,10.75,392.8641045,2.064647719,8.010916029,0.014412384,-3.66149041,0.565920217,-6.385,145.2650657,58.36242941,99.4,56.37149759,14.7755414,0.432895328,10.41460261,4.94887271,12.07,12.245,-0.4420496255,1.165896732,0.599126525,0.720082292,2.495
1,11.25,390.9979854,2.02023981,8.375649218,0.01570448,-4.355584459,0.43112915,-4.74,171.3477819,66.29267179,99.3,54.184477665,15.76815767,0.418625392,11.19345296,5.251962775,12.505,12.505,-0.4797224245,1.2154559985,0.6253174555,0.750633154,2.544
1,11.75,390.4140973,2.227506982,8.322720078,0.015991439,-4.6819816685,0.42952038,-2.2705,184.3991118,78.308682575,99.3,51.61801447,16.295882875,0.457106602,11.79662334,6.10278014,13.68,13.55,-0.447089221,1.197822471,0.606802977,0.750074548,2.5295
1,12.25,390.13967285,2.165533642,8.27363791,0.019213441,-4.7754972025,0.307297678,8.88,204.62144015,83.002501565,99.3,49.135072,17.0979174,0.473188463,12.483075675,6.77682848,14.33,13.63,-0.4993056075,1.21916,0.636295057,0.765587888,2.499
1,12.75,389.5874466,2.004160664,8.3064454225,0.018655716,-4.911391649,0.296515454,17.105,197.94437265,80.997156795,99.2,47.2785461,17.655811165,0.452466538,13.02783134,7.29983096,14.86,13.65,-0.4861896925,1.226337768,0.6315240005,0.7835264405,2.5785
1,13.25,388.9279021,1.959571255,7.804519913,0.020065043,-4.818001554,0.221810504,21.92,204.9707539,92.71735557,99.2,45.18342937,18.1277981,0.4538924585,13.32377771,7.78104511,14.85,13.66,-0.5447201035,1.2593341665,0.665310167,0.790701946,2.6535
1,13.75,388.8636746,1.763116332,7.587877232,0.0184482065,-5.2307682225,0.2145763085,25.27,174.57778515,81.95698268,99.15,43.4,18.560916185,0.416706942,13.85280704,8.192960685,15.02,13.59,-0.4858024995,1.295203775,0.63386,0.765046278,2.7615
1,14.25,388.87211925,1.50759624,7.795898443,0.018793506,-4.4497565565,0.196549276,25.135,159.89240205,79.69334981,99.1,42.430259575,18.96760396,0.395796517,14.169471445,8.533525675,15.17,13.77,-0.5160910575,1.280264257,0.648356362,0.790343685,2.747
