DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,G_3_1_1,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,TAU,PA,RH,VPD,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,-0.077064725,390.34699711,-44.9796674,-0.6924733,-5.774875,-5.95185,-7.446225,-7.818975,1.4283,0.02502475,0.169659,0.153582,0.039932,-0.5810602,98.0849983,63.696250975,0.0905615,-36.281248075,-27.1491032,0.0015497,-5.95415,-1.570225,-0.941075,-0.510275,0.7629,2.173675,-0.34815,-0.09405,0.15775,0.534975,1.575625,2.7887,0,0,128.117267975,165.3046127
1,0.75,-0.0681205,390.51169743,-48.7943754,-0.6356145,-5.816175,-5.94705,-7.4452,-7.812675,1.15515,0.026810525,0.161288,0.127962,0.049191,-0.41864525,98,63.110500925,0.09084175,-36.5045,-27.1897015,0.0011956,-5.95845,-1.57005,-0.941975,-0.509275,0.762875,2.173675,-0.34815,-0.095025,0.15775,0.534975,1.57465,2.7887,0,0,126.1980589,164.762382875
1,1.25,-0.0167708,390.48065411,-44.0351505,-0.62733285,-5.844825,-5.936475,-7.44905,-7.8063,1.0338,0.03632345,0.120956,0.12953,0.046188,-0.4896532,98,62.6515,0.090399,-36.251000025,-27.2368684,0.00212775,-5.9618,-1.566125,-0.943825,-0.5083,0.7629,2.173675,-0.34815,-0.095025,0.15775,0.534975,1.57365,2.788675,0,0,127.7144669,164.1993616
1,1.75,-0.170508575,390.577075175,-50.525509,-0.6146135,-5.8637,-5.920025,-7.447875,-7.801875,0.98415,0.021506925,0.118002,0.133703,0.028151,-0.482665,98,63.395250925,0.0919425,-36.33025195,-26.976191375,0.001163225,-5.97585,-1.560275,-0.944725,-0.507325,0.761925,2.172675,-0.34815,-0.095025,0.15675,0.534975,1.573675,2.7877,0,0,125.3044862,164.242687775
1,2.25,-0.0355976,390.60484775,-49.563236,-1.346131,-5.867825,-5.9084,-7.4418,-7.824125,0.7735,0.02945345,0.114365,0.144193,0.029494,-0.43484925,98.0949981,63.969001,0.0890715,-36.42874805,-27.09961325,0.00115445,-5.989775,-1.553475,-0.945625,-0.506325,0.7619,2.172675,-0.34815,-0.095025,0.15675,0.534975,1.573675,2.787675,0,0,125.435067325,163.684736375
1,2.75,-0.0721209,390.560928385,-50.3817784,-0.8128262,-5.847125,-5.892,-7.4417,-7.822,0.906075,0.03425755,0.147574675,0.130589225,0.02663415,-0.38984775,98.099998,64.1029981,0.08851775,-36.64549905,-27.12717425,0.004412225,-6.00375,-1.547625,-0.945525,-0.505325,0.7619,2.172675,-0.34815,-0.095025,0.15675,0.53495,1.5727,2.787675,0,0,126.155907625,162.28611295
1,3.25,-0.017495775,390.526361055,-52.56360725,-0.742994,-5.7782,-5.873675,-7.43765,-7.7859,1.0719,0.035681,0.15052205,0.1148278,0.02806445,-0.403958,98.19499705,64.12325,0.08422,-36.682998025,-27.1347045,0.0024595,-6.0225,-1.5408,-0.946425,-0.504325,0.7619,2.171675,-0.34915,-0.095,0.15675,0.533975,1.572675,2.7857,0,0,126.132106875,162.39623335
1,3.75,-0.007597,390.62740708,-53.9375044,-0.654497,-5.70565,-5.866925,-7.444325,-7.7829,0.65025,0.03476275,0.10692155,0.1463763,0.036847,-0.4322134,98.19499705,64.10850385,0.08137125,-37.023748075,-27.1212109,0.0031212,-6.038225,-1.534975,-0.94635,-0.5033,0.7609,2.1707,-0.34915,-0.095025,0.155775,0.533975,1.5717,2.7857,0,0,126.169025225,162.08291475
1,4.25,-0.0668425,390.98621518,-57.1236709,-0.784581875,-5.632125,-5.881725,-7.45395,-7.7736,0.7431,0.051175375,0.15403105,0.15649765,0.0318579,-0.426725,98.19499705,64.11399805,0.0814385,-37.06899905,-27.19999575,0.00267215,-6.053,-1.529125,-0.947225,-0.502275,0.7609,2.170675,-0.34915,-0.095025,0.15675,0.533975,1.571675,2.785675,0,0,125.457262675,161.615760925
1,4.75,-0.05261205,391.06658932,-54.22032075,-1.527014025,-5.5589,-5.8763,-7.4624,-7.766275,1.021525,0.0340697,0.1676442,0.135698525,0.02932975,-0.3984015,98.19499705,64.14800005,0.0820185,-37.31049905,-27.095867375,0.0022382,-6.058225,-1.5223,-0.948125,-0.503225,0.7609,2.170675,-0.349125,-0.095025,0.155775,0.53395,1.571675,2.78565,0,0,125.3218915,161.6822996
1,5.25,-0.0647553,391.08615724,-63.5289305,-0.53123965,-5.4915,-5.841475,-7.47105,-7.761825,0.966375,0.0467514,0.1625083,0.1765583,0.0212341,-0.4227756,98.192497075,64.13624805,0.08343925,-37.690499,-27.0951718,0.0019535,-6.073175,-1.516475,-0.94805,-0.50415,0.760875,2.170625,-0.3491,-0.095025,0.155775,0.533925,1.5707,2.785625,0,0,125.16802145,162.143737425
1,5.75,-0.0801673,391.03986814,-59.712237075,-0.3134778,-5.4287,-5.811575,-7.452375,-7.752525,1.102225,0.033647,0.201134625,0.1682935,0.049724,-0.450334325,98.1899971,63.986750025,0.08383925,-37.783749025,-27.074008375,0.00292525,-6.092,-1.50965,-0.94705,-0.50515,0.7608,2.17055,-0.349075,-0.09505,0.154775,0.533875,1.567775,2.78555,0,0,125.569046775,161.36528825
1,6.25,-0.0666796,391.0870743,-80.2063377,-0.876004125,-5.376425,-5.7797,-7.430625,-7.750025,1.2693,0.027437175,0.1295434,0.13033845,0.0225422,-0.4577808,98.0849983,64.3714971,0.08559025,-37.71199905,-26.9926166,0.00162145,-6.10415,-1.503825,-0.94315,-0.506025,0.7598,2.16955,-0.34905,-0.09505,0.154775,0.53385,1.5668,2.78455,0,0,126.76591255,161.02343675
1,6.75,-0.20025575,390.89573818,-67.8404298,-0.776780125,-5.33195,-5.7458,-7.44605,-7.758275,0.97245,0.051196975,0.17661875,0.149341625,0.043541125,-0.459281,98.0799984,64.780498075,0.0881085,-37.471249025,-27.0362655,0.0032667,-6.112425,-1.497975,-0.94025,-0.5041,0.7588,2.16855,-0.35,-0.09505,0.154775,0.53285,1.565825,2.78355,0,0,128.197315925,159.647004575
1,7.25,-0.15364225,390.8362427,-67.239582,-0.426235375,-5.2807,-5.72755,-7.44175,-7.747475,0.853125,0.049237625,0.1641499,0.1201232,0.0349356,-0.46210065,98.0799984,64.928750975,0.08812475,-37.580001,-26.998519475,0.0022915,-6.118675,-1.4951,-0.93735,-0.502175,0.7588,2.168525,-0.349,-0.09505,0.154775,0.532825,1.56485,2.783525,0,0,127.459093725,159.942703075
1,7.75,-0.129232625,390.75050051,-55.6696196,-0.54010735,-5.232275,-5.7073,-7.4317,-7.727225,0.85105,0.03909865,0.202973625,0.18681425,0.037028125,-0.46589245,97.98750025,64.6982529,0.08678325,-37.614998075,-27.1246218,0.0032064,-6.12005,-1.499025,-0.93445,-0.50025,0.75875,2.167525,-0.349025,-0.095,0.154775,0.5328,1.56385,2.7825,0,0,128.744231175,160.110726725
1,8.25,-0.131009925,390.601966095,-41.52670235,-0.9808098,-5.1886,-5.686175,-7.42735,-7.718625,1.0626,0.057254375,0.129190325,0.12546155,0.039924175,-0.504699975,97.9900002,63.36550095,0.0857,-37.843251975,-27.304832625,0.00670415,-6.1274,-1.501975,-0.93055,-0.49735,0.75875,2.168475,-0.34905,-0.095,0.154775,0.5328,1.562875,2.782475,0,0.102617075,128.9740604,160.842017075
