DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,443.464103,9.011328,2352.466258,2.379335,0.6816585,-19.429294,-5.821142,0.102684,1.6174025,0.102895,-0.0075785,0.3854185,0.124094,101.96,93.2,6.395,0.67586,14.8994395,0.29951,7.314,7.706,8.47,9.7,10.59,7.856,8.08,8.61,9.78,10.61,6.935,7.392,8.28,9.74,10.62,-27.735887,0,0,-2.4,0.604839,309.383327,335.521268
1,0.75,443.168442,8.828443,2349.69465,2.3923915,1.703985,-19.304149,-6.034522,0.269138,1.523092,0.0992985,-0.0077625,0.3912165,0.112941,101.96,93.6,6.234,0.616502,14.673967,0.3019205,7.248,7.639,8.41,9.65,10.6,7.79,7.965,8.49,9.71,10.62,6.808,7.283,8.22,9.7,10.63,-23.937261,0,0,-2.4,0.504032,311.126088,335.341409
1,1.25,442.818232,8.6483005,2374.9451035,2.356476,-1.144305,-18.9998855,-6.207295,0.816651,1.488479,0.1023965,-0.005889,0.3939915,0.112305,101.94,94.1,6.085,0.560669,14.553256,0.2823125,7.091,7.504,8.27,9.61,10.6,7.689,7.849,8.41,9.67,10.63,6.715,7.185,8.11,9.66,10.64,-23.549587,0,0,-2.4,0.504032,311.045576,334.880886
1,1.75,447.028426,8.7847555,2416.687314,2.613342,0.3514535,-19.001978,-4.549942,0.428622,1.5174325,0.095192,-0.006593,0.3658065,0.1147055,101.957,94.7,5.914,0.513642,14.364494,0.28877,7.048,7.398,8.21,9.55,10.61,7.545,7.833,8.33,9.64,10.62,6.619,7.085,8.08,9.6,10.64,-23.077807,0,0,-2.4,0.504032,311.960085,333.923221
1,2.25,445.808536,8.542769,2424.942718,2.434527,0.2124415,-20.277662,-5.494506,0.705096,1.507212,0.1039625,-0.00598,0.3885595,0.114272,101.9785,95,5.821,0.476514,14.145221,0.2861905,6.887,7.314,8.12,9.515,10.6,7.522,7.757,8.25,9.58,10.59,6.4635,6.9875,7.982,9.51,10.61,-20.25637,0,0,-2.285714,0.504032,311.342741,334.0600295
1,2.75,446.058821,8.5025815,2454.6168445,2.648616,1.032772,-19.923187,-4.207683,0.488818,1.547478,0.1046655,-0.00809,0.3957575,0.11366,101.977,94.9,5.6295,0.459104,14.0489105,0.29856,6.793,7.236,8.045,9.485,10.605,7.405,7.654,8.15,9.525,10.575,6.377,6.906,7.9045,9.42,10.6,-20.514471,0,0,-2.171429,0.604839,312.360387,333.779023
1,3.25,443.7148475,8.3323985,2488.598168,3.000598,0.175749,-19.815547,-4.223999,1.408576,1.581364,0.1079785,-0.00808,0.4179745,0.1182245,101.9715,95.3,5.5655,0.452425,13.894593,0.293981,6.732,7.113,7.985,9.44,10.605,7.3185,7.5755,8.06,9.47,10.57,6.3655,6.794,7.8275,9.4,10.595,-20.4946075,0,0,-2.228571,0.554435,313.0573165,333.407298
1,3.75,444.522275,8.587043,2451.498998,2.3918595,0.353838,-19.501032,-4.3245095,1.526503,1.47253,0.1034855,-0.007201,0.3798825,0.116298,101.97,95.5,5.518,0.427127,13.9392275,0.2914365,6.7005,6.9835,7.8845,9.38,10.605,7.2795,7.4255,7.9955,9.42,10.56,6.4055,6.681,7.7155,9.345,10.595,-19.763589,0,0,-2.114286,0.554435,313.547978,333.3321185
1,4.25,444.1766675,8.504144,2425.513119,2.334585,-1.230749,-19.152759,-4.113336,1.1321845,1.394657,0.099372,-0.0065205,0.380042,0.108229,101.9585,95.5,5.2825,0.3948455,13.830213,0.2873745,6.6795,6.9545,7.769,9.305,10.6,7.234,7.289,7.9305,9.37,10.54,6.2855,6.652,7.6445,9.26,10.595,-19.730794,0,0,-2.057143,0.554435,312.5956985,332.937515
1,4.75,443.092865,8.445361,2427.189344,2.7278825,0.9068265,-19.330527,-3.994793,1.3163695,1.4571135,0.103792,-0.006595,0.3776445,0.113397,101.96,95.6,5.262,0.397329,13.4711065,0.287437,6.707,6.9465,7.6555,9.245,10.595,7.123,7.2525,7.811,9.31,10.515,6.1815,6.6525,7.6115,9.185,10.58,-18.665761,0,0,-2.285714,0.504032,312.2842005,332.9703505
