DOY2,HR2,H,LE,FC,TAU,CO2,H2O,WS,USTAR,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,G_1_3_1,NETRAD,PPFD_IN
1,0.25,-26.90004892,-3.53072480825,-0.465345961,-0.037332713,401.844402025,6.66093373125,0.77435562575,0.109283428,8.53296635,53.43421333,96.7403061525,1.34555737,12.4509041725,11.5783966775,8.979374975,-13.2990541675,-33.5269833325,-21.8495891675,-73.37467167,0.0212
1,0.75,-35.8375087475,-0.379839595,0.549938188,-0.058926896,401.379176875,6.561812265,0.828339822,0.1023742755,8.5242574,48.524991665,96.732609485,1.3663472625,12.369515,11.4950725,8.766667675,-13.5761983325,-32.8832741675,-22.00062333,-71.9597425025,0.027475
1,1.25,-34.538890915,-1.88757725075,0.322557606,-0.047593196,401.07054125,6.621306811,0.839876043,0.0991401055,8.84827249975,51.44061667,96.72798958,1.31097282,12.326180825,11.3816025025,8.55548742525,-13.0647849975,-33.0428658325,-21.90878583,-72.3125816675,0.02519022325
1,1.75,-42.9636275975,-1.527147404,0.5934284335,-0.073120755,401.7092901,6.48011415725,0.93810652725,0.09052238125,8.5968789165,52.29938083,96.73012641,1.45739762,12.29263585,11.219515,8.49326399975,-12.8959491675,-33.18913833,-21.9930649975,-70.2773675,0.022175
1,2.25,-35.6287619375,-6.295411731,-0.559886024,-0.0405882615,401.109256525,6.33533899975,0.83728385875,0.089746182,8.51556457525,46.84878333,96.726797055,1.33749431,12.2310425,11.06110835,8.31882032475,-12.879244165,-33.071680835,-22.0380791675,-71.8907908325,0.02383667175
1,2.75,-31.2618422725,-1.15205658925,-0.32289526825,-0.044603578,401.45818395,6.3519466205,0.79541994225,0.100768285,8.25814375025,47.2283025025,96.7167007175,1.2884957,12.0886108,10.901459175,8.170346675,-13.059361665,-31.4707908325,-21.787730835,-71.3229225025,0.022175
1,3.25,-24.2825377325,-0.8827350065,-0.175916012,-0.03351329225,402.3805124,6.1908000865,0.84144133025,0.08946583075,8.43426574975,51.760261665,96.7285564525,1.39294275,12.0552033,10.753614175,7.99215292475,-12.27048833,-32.2173258325,-21.95963917,-68.848034165,0.022175
1,3.75,-33.7105987275,0.186902456,-0.175234572,-0.04461025025,402.1652697,6.3594252035,0.78685393525,0.09964322325,8.24638514175,52.3486050025,96.728814545,1.389342705,12.003406675,10.6629167,7.790138675,-12.13252083,-32.2804808325,-22.065931665,-68.82333417,0.022175
1,4.25,-33.30663902,1.12385204,0.257646346,-0.0479317405,402.06556995,6.4064888025,0.67136615125,0.09119987075,8.342946475,51.744705,96.7245059575,1.2150795525,11.932229975,10.564925,7.60854199975,-11.937384165,-32.1348375,-22.0801124975,-68.21695917,0.02482066525
1,4.75,-28.0282098975,-0.4969179,-0.774112112,-0.057207187,401.782940425,6.3738333565,0.7266418295,0.104959871,8.583918325,50.811525835,96.7253177975,1.3007334025,11.803054175,10.366038325,7.445764333,-11.36018417,-32.63901833,-21.9905800025,-69.2274974975,0.0225
1,5.25,-29.546361625,-0.592238884,-0.3687538005,-0.05323684125,401.83781215,6.39755404775,0.6291418515,0.09444029225,7.971305175,52.1681324975,96.722806425,1.115860735,11.755139975,10.2607667,7.364235917,-11.9092533325,-32.7002075025,-22.174936665,-69.04244417,0.02845
1,5.75,-30.0091920525,-0.335427529,-0.40765902125,-0.052950771,402.3785632,6.382646452,0.825383528,0.10028213775,8.0289903,52.969494165,96.7270824225,1.212021965,11.671112475,10.1306889,7.2443056665,-11.4368275025,-32.73846917,-22.5758849975,-69.3926466675,0.02649629175
1,6.25,-28.5901130275,0.525503854,-0.4048090665,-0.041054654,401.3961748,5.97317382925,0.89700701925,0.0902079775,7.98027305,48.7171475,96.754707215,1.1882671625,11.5627775,9.97527544175,7.15833375025,-11.3112474975,-33.21878833,-22.979610835,-70.933033335,0.07415849325
1,6.75,-30.843836075,0.035853766,-0.33048439025,-0.04387465675,402.5417398,5.90959494125,0.7008477225,0.10244385975,8.26019924975,49.57607917,96.7713382675,1.4023880825,11.489655025,9.83764057525,7.07159716675,-11.15727583,-33.177264165,-22.9087725,-64.282665,7.69295347525
1,7.25,-29.98911403,1.04294443025,-0.2556043225,-0.05117344625,400.47917705,5.911282218,0.71442661125,0.0930408755,8.33939067475,49.29617417,96.77517385,1.29607894,11.3693108075,9.761457675,7.06298649975,-10.756332915,-32.554685835,-22.697854165,-52.3116025,48.80092417
1,7.75,-25.9285935175,2.65676439525,-1.0030985075,-0.07803660075,401.00744015,5.825051237,0.6797887295,0.097046701,8.184023425,50.3596216675,96.8141524875,1.373844495,11.2598541775,9.66902674975,7.05243100025,-9.67096599975,-31.0589558325,-21.70443083,-45.4689891675,84.6178216675
1,8.25,-16.3062237425,8.25700167175,-1.47013565225,-0.053787884,400.17275595,5.89348386,0.699898308,0.1100226065,8.8813308335,50.375156665,96.83610912,1.3767005,11.236388315,9.5968051665,7.1161115,-8.499570833,-27.842878335,-19.875375,-37.00635167,105.06211835
1,8.75,-4.602487415,13.95035999,-3.02110116375,-0.07546888125,402.3916143,7.749297441,0.5846021925,0.115047039,9.80772595,49.4961866675,96.8649336425,2.1490221125,11.2060458225,9.48367891675,7.13076492525,-7.8336810835,-24.324149165,-18.28970667,72.7539352325,310.5165417
1,9.25,22.621873055,27.168460725,-3.663124247,-0.074533733,404.487037825,9.15228697775,0.4971054455,0.129523308,10.753865655,48.1040475025,96.89825371,2.99043209,11.1368808075,9.55902775025,7.364930417,-6.886288167,-18.955154165,-13.5710493325,116.447324275,420.822164275
1,9.75,46.309026395,31.60600801,-4.52427583575,-0.09483562775,403.975291775,9.038298842,0.601507673,0.135899107,11.2524666675,38.8522025,96.9063534075,3.7214643125,11.09827,9.56520925025,7.77604189175,-5.4978506665,-8.7933986,-4.612769817,153.29301665,514.28196665
