DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_1,NEE,FC,SC_1_1_1,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,CO2_1_2_1,VPD,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.57775,-7.74075,4.12425,0.62725,0.541,0.323,-0.587,1.053,2.41975,0.53425,-3.257,-0.15525,0.17375,88.441,97.8,402.47875,400.5255,0.5,-5.37175,0,0,0,0,267.237,276.54275,3.114,0
1,0.75,0.57325,-7.56775,4.1345,0.675,0.546,0.2685,-0.7225,1.064,2.80275,0.6885,-3.2495,-0.15225,0.18325,88.2225,97.8015,402.4955,401.0255,0.48,-5.46775,0,0,0,0,267.5155,276.88075,3.1425,0
1,1.25,0.57,-7.66175,4.09575,0.61375,0.531,0.252,-0.6505,1.342,2.392,0.7405,-3.24675,-0.1515,0.181,89.024,97.8,402.5245,400.745,0.455,-5.543,0,0,0,0,267.444,275.821,3.1275,0
1,1.75,0.55275,-7.982,4.0135,0.5515,0.46,0.206,-0.87,1.425,2.433,0.6075,-3.258,-0.1535,0.183,88.9655,97.805,402.41675,400.904,0.44,-4.771,0,0,0,0,266.064,275.95325,3.0475,0
1,2.25,0.5325,-7.735,3.98275,0.584,0.474,0.206,-0.65825,1.715,2.192,0.5415,-3.232,-0.15275,0.18875,88.8095,97.825,402.446,401.063,0.435,-5.33,0,0,0,0,266.199,274.19125,3.039,0
1,2.75,0.511,-7.91975,4.02925,0.60325,0.432,0.284,-0.12775,2.037,1.90075,0.674,-3.2575,-0.154,0.187,88.505,97.837,402.619,400.971,0.44,-4.57125,0,0,0,0,267.92575,274.09675,3.0395,0
1,3.25,0.545,-7.8685,4.123,0.72675,0.46925,0.41125,-0.27375,1.536,2.0665,0.5995,-3.20675,-0.154,0.19,88.802,97.843,402.6925,401.289,0.435,-4.79475,0,0,0,0,268.112,273.894,3.0655,0
1,3.75,0.559,-7.83825,4.0165,0.654,0.50775,0.366,-0.52,1.565,2.393,0.481,-3.2245,-0.15725,0.17425,88.6255,97.822,402.8605,401.2445,0.43,-4.29325,0,0,0,0,267.82375,274.11825,3.027,0
1,4.25,0.557,-7.9995,4.036,0.6265,0.4865,0.2755,-0.1865,2.073,2.0135,0.525,-3.25,-0.1535,0.188,88.3465,97.847,402.7785,401.2955,0.44,-3.867,0,0,0,0,266.459,274.49275,3.0205,0
1,4.75,0.54075,-8.04075,4.01975,0.671,0.546,0.21175,-0.33875,2.498,2.1145,0.4695,-3.26,-0.155,0.1885,88.7895,97.82525,402.83525,401.32225,0.455,-3.483,0,0,0,0,269.1585,274.63875,3.034,0
