DOY2,HR2,USTAR,TA,WS,NEE,FC,H,LE,TS_1_1_1,TS_1_2_1,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,SC,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
1,17.25,0.48843,-5.26365,2.62345,0.62743,0.400755,-6.93495,0.12561,0.815,0.8,76.047,98.113,407.26,-16.1975,10.33956895,4.7158,1.961,269.657,298.69,3.2465,0.19782,1.3,1.45,2.24165,2.7,4.68335,6.2
1,17.75,0.462745,-5.39685,2.55585,0.574,0.3745,-8.8204,-0.0046298,0.821,0.8,77.099,98.132,407.335,-21.699,0.498095,-0.34168,0.58835,269.56,296.742,3.281,0.20579,1.29165,1.45415,2.24585,2.7,4.68335,6.2
1,18.25,0.446,-5.5376,2.5663,0.620145,0.38258,-9.8512,-0.095,0.814,0.8,78.0955,98.132,407.355,-20.909,0.016574,-0.7917,0.411015,269.85,296.78,3.28705,0.18586,1.2833,1.45415,2.25835,2.7,4.65,6.2
1,18.75,0.4475,-5.66085,2.6,0.619,0.3835,-10.436,-0.225435,0.804,0.8,78.233,98.153,407.505,-21.077,0.012462,-0.73906,0.373055,270.17,296.005,3.271,0.150395,1.2833,1.45,2.24585,2.7,4.68335,6.1667
1,19.25,0.451,-5.72995,2.6454,0.56352,0.39324,-10.578,-0.118,0.788,0.78333,79.3935,98.151,407.63,-19.991,0.01288,-0.70224,0.3625,269.68,295.72,3.23,0.12069,1.29165,1.4583,2.2542,2.7,4.66665,6.18335
1,19.75,0.45534,-5.99,2.6725,0.57475,0.402655,-10.863,-0.102,0.788,0.8,79.329,98.169,407.615,-19.558,0.013,-0.69556,0.33441,269.275,293.36,3.2575,0.16673,1.2833,1.45835,2.25,2.7,4.6667,6.18335
1,20.25,0.474035,-6.1742,2.7983,0.59348,0.408545,-10.908,-0.2612,0.787,0.8,79.816,98.161,407.94,-19.431,0.013,-0.7143,0.3572,270.2,294.45,3.2677,0.1288,1.27915,1.45,2.25,2.7,4.67515,6.2
1,20.75,0.46269,-6.2115,2.7431,0.564,0.4085,-10.478,-0.20016,0.786,0.8,81.0305,98.177,408.18,-18.833,0.013,-0.66,0.38922,268.75,295.54,3.2916,0.11158,1.2875,1.45,2.24165,2.7,4.64985,6.19165
1,21.25,0.46144,-6.27735,2.759,0.661175,0.473,-12.017,-0.17743,0.788,0.8,80.9685,98.183,408.125,-18.444,0.013,-0.68473,0.35601,270.98,295.13,3.2891,0.12453,1.27915,1.45,2.24585,2.7,4.7,6.18335
1,21.75,0.47025,-6.1845,2.757,0.5395,0.41508,-12.287,-0.17442,0.787,0.787835,81.638,98.182,408.23,-18.4145,0.013,-0.66604,0.3991,269.262,293.622,3.2652,0.10785,1.29165,1.4458,2.2542,2.7,4.65,6.18335
1,22.25,0.449545,-6.2733,2.77755,0.60366,0.5045,-13.1965,-0.067567,0.787,0.8,81.421,98.197,408.33,-18.6485,0.013396,-0.68421,0.39895,269.275,294.845,3.263,0.0803635,1.29165,1.45415,2.24165,2.6667,4.65015,6.18335
1,22.75,0.45705,-6.43,2.8599,0.59429,0.466655,-13.8575,-0.0907405,0.789,0.792,81.174,98.188,408.545,-18.756,0.0130425,-0.63458,0.41898,267.97,292.96,3.31155,0.0772055,1.275,1.45415,2.25415,2.7,4.66665,6.175
1,23.25,0.467295,-6.387,2.8321,0.52795,0.42341,-13.258,-0.1175,0.794,0.8,81.4645,98.16,408.42,-19.449,0.013506,-0.686105,0.37036,269.56,293.291,3.293,0.066089,1.2833,1.45,2.25,2.7,4.66665,6.1835
1,23.75,0.458,-6.533,2.7134,0.60082,0.43381,-13.504,-0.228,0.807,0.787835,82.0775,98.1745,408.36,-18.9615,0.014,-0.67134,0.37323,268.798,294.909,3.2281,0.096834,1.2875,1.45,2.24585,2.667,4.6667,6.18335
2,0.25,0.426095,-7.12475,2.7722,0.508895,0.363,-13.489,-0.20257,0.3945,0.354,77.676,98.3125,408.06,-33.748,0.014,-0.864,0.48557,258.55,294.63,3.111,0.064306,0.48333,0.75833,1.4167,1.833,3.7,5.0167
2,0.75,0.415945,-7.1774,2.757,0.459,0.333795,-13.737,-0.25972,0.416,0.367,78.717,98.293,408.24,-31.0175,0.014,-0.90205,0.48169,258.69,291.99,3.063,0.10172,0.55833,0.8,1.4333,1.8333,3.7,5.0667
2,1.25,0.399,-7.21,2.73,0.5465,0.382,-15.1755,-0.187,0.418,0.375,79.169,98.2695,408.29,-31.584,0.014,-0.987,0.495025,255.505,292.6555,3.082,0.080984,0.56667,0.80833,1.425,1.833,3.7,5.05
2,1.75,0.404,-7.276,2.7731,0.52685,0.3595,-15.504,-0.2494,0.422,0.375,79.8825,98.265,408.71,-31.564,0.014,-0.879,0.545745,258.92,291.75,3.066,0.15049,0.575,0.79167,1.425,1.8333,3.7,5.05
