DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
1,0.25,0.17,1.205,11.92,15.025,27.34,-2.425,-0.69,-48.98,-15.9,-14.65,2.74,0.89,10.7
1,0.75,0.16,1.155,11.85,14.89,27.5,-2.475,-0.71,-47.875,-14.09,-14.12,2.03,0.69,10.65
1,1.25,0.16,1.22,11.64,14.69,28.11,-2.49,-0.625,-47.64,-19.015,-14.04,1.89,0.78,10.595
1,1.75,0.17,1.13,11.68,14.75,28.76,-2.235,-0.525,-48.565,-16.535,-16.73,1.89,0.82,10.485
1,2.25,0.17,1.09,11.8,14.81,28.43,-2.455,-0.63,-47.515,-14.565,-14.595,2.27,0.72,10.44
1,2.75,0.17,1.14,11.855,14.77,28.6,-2.69,-0.83,-48,-15.63,-16.77,2.41,0.82,10.38
1,3.25,0.17,1.12,11.795,14.69,29.04,-2.72,-0.89,-47.015,-14.56,-15.865,2.425,0.83,10.32
1,3.75,0.15,1.18,11.76,14.885,28.74,-2.355,-0.825,-47.805,-14.15,-15.9,1.8,0.77,10.29
1,4.25,0.17,1.19,11.445,14.74,27.85,-2.245,-0.81,-46.685,-13.26,-15.92,2.485,0.915,10.28
1,4.75,0.19,1.4,11.68,14.89,27.33,-2.33,-0.645,-48.935,-13.07,-18.89,3.11,0.945,10.25
1,5.25,0.18,1.44,11.74,14.84,27.59,-2.505,-0.56,-48.12,-17.31,-20.26,3.455,0.95,10.22
1,5.75,0.2,1.36,11.64,14.82,27.54,-2.445,-0.905,-46.075,-15.89,-18.36,2.935,0.885,10.19
1,6.25,0.19,1.36,11.535,14.795,25.9,-2.65,-0.82,-47.105,-14.33,-20.32,2.62,0.89,10.15
1,6.75,0.2,1.425,11.495,14.655,27.29,-0.36,-0.405,-44.645,-11.55,-20.32,3.51,0.88,10.09
1,7.25,0.21,1.395,11.905,14.73,27.14,28.235,14.985,-33.535,-15.97,-21.56,6.65,0.49,10.03
1,7.75,0.21,1.35,12.315,15.15,27.96,103.315,40.66,2.69,-18.39,-7.98,14.65,-0.4,10.04
1,8.25,0.25,1.37,13.175,15.48,26.85,193.175,50.645,52.865,-17.35,7.79,32.42,-1.475,10.08
1,8.75,0.28,1.585,13.905,15.805,25.98,289.365,56.04,124.24,-18.15,40.745,44.18,-2.29,10.16
1,9.25,0.3,1.77,14.765,16.5,24.78,373.58,59.68,191.335,2.14,64.99,52.145,-2.92,10.26
1,9.75,0.33,1.88,15.36,17.01,24.62,448.51,64.025,252.63,10.13,91.62,58.65,-3.83,10.38
1,10.25,0.35,1.855,16,17.19,24.75,511.7,66.595,306.91,23.47,124.765,61.44,-3.62,10.58
1,10.75,0.36,2.05,16.015,17.22,25.53,561.365,69.275,348.275,24.85,145.44,64.075,-4.27,10.85
1,11.25,0.37,2,16.26,17.45,25.76,593.125,70.45,383.41,23.51,156.74,62.365,-3.345,11.17
1,11.75,0.36,1.9,16.285,17.59,26.57,608.94,70.54,397.635,10.13,148.46,64.41,-3.28,11.51
1,12.25,0.37,1.91,16.6,17.88,26.6,609.13,69.565,397.85,3.77,153.885,59.95,-3.485,11.77
1,12.75,0.36,1.84,16.835,18.175,25.47,588.075,64.89,381.52,27.52,142.94,58.61,-3.29,11.95
1,13.25,0.36,1.75,16.805,18,26.8,551.96,58.98,364.275,77.81,117.85,56.2,-2.75,12.11
1,13.75,0.36,1.69,16.845,18.045,27.37,500.55,54.22,320.45,93.34,102.31,52.24,-2.57,12.22
1,14.25,0.35,1.52,16.705,17.98,28.27,439.035,46.85,272.965,39.38,82.91,42.34,-2.58,12.29
1,14.75,0.34,1.66,16.405,17.88,29,365.395,37.24,213.545,40.76,48.635,31.84,-1.74,12.37
1,15.25,0.33,1.73,16.12,17.55,29.56,283.605,27.21,152.995,38.98,22.11,25.605,-1.33,12.42
1,15.75,0.29,1.705,15.425,17.27,32.57,120.03,7.96,89.605,18.86,-8.92,12.935,-0.35,12.44
1,16.25,0.25,1.735,14.72,16.895,35.41,33.945,1.47,8.32,10.71,-17.25,6.065,0.545,12.43
1,16.75,0.21,1.79,14.075,16.565,39.04,14.83,0.15,-48.35,8.57,-19.525,2.91,0.83,12.37
1,17.25,0.2,1.81,13.58,15.98,38.85,-0.445,-1.27,-57.305,4.55,-18.29,1.6,0.92,12.23
1,17.75,0.18,1.52,13.195,15.64,39.4,-3.45,-1.38,-54.755,-0.72,-17.035,0.79,0.86,12.12
1,18.25,0.17,1.46,12.85,15.655,39.35,-3.175,-1.24,-53.06,-7.22,-13.39,0.475,1.02,11.96
1,18.75,0.16,1.36,12.65,15.445,40.58,-2.825,-0.96,-52.775,-6.23,-13.775,1.12,0.93,11.81
1,19.25,0.17,1.38,12.61,15.55,39.24,-2.335,-0.75,-51.905,-6.66,-14.22,1.4,0.93,11.7
1,19.75,0.17,1.315,12.5,15.55,37.84,-2.45,-0.71,-50.22,-11.11,-14.49,1.51,1.03,11.58
1,20.25,0.17,1.22,12.4,15.32,33.99,-2.4,-0.72,-50.685,-13.5,-13.9,1.27,0.99,11.48
1,20.75,0.17,1.27,12.605,15.19,32.74,-2.635,-0.84,-50.585,-13.77,-14.44,2.455,0.95,11.35
1,21.25,0.17,1.24,12.25,15.02,34.43,-2.48,-0.82,-51.87,-12.78,-14.98,1.895,0.93,11.22
1,21.75,0.185,1.32,11.925,14.76,31.71,-2.415,-0.8,-51.9,-16.32,-17.3,2.6,0.9,11.13
1,22.25,0.175,1.3,11.645,14.79,32.24,-2.37,-0.77,-50.41,-14.8,-15.61,2.05,0.92,11.08
1,22.75,0.18,1.225,11.63,14.98,32.46,-2.31,-0.67,-50.22,-11.06,-14.31,1.955,0.895,11.02
1,23.25,0.18,1.2,11.98,14.945,33.14,-2.215,-0.71,-49.445,-15.26,-17.4,1.63,0.99,10.94
1,23.75,0.19,1.185,11.79,14.795,31.67,-2.42,-0.53,-49.885,-18.18,-17.88,2.81,0.92,10.87
2,0.25,0.145,1.03,9.91,12.79,59.335,-2.34,-0.505,-47.52,-17.915,-9.65,0.8,0.9,11.195
2,0.75,0.15,1.09,9.68,12.66,59.41,-2.34,-0.53,-46.245,-18.685,-10.97,0.93,0.78,11.12
2,1.25,0.14,1.11,9.35,12.37,59.25,-2.355,-0.71,-47.36,-20.065,-10.58,0.73,0.77,11.025
2,1.75,0.14,0.99,9.49,12.42,57.81,-2.145,-0.545,-45.52,-19.27,-9.21,0.915,0.77,10.975
2,2.25,0.13,1.01,9.325,12.07,56.93,-1.94,-0.555,-44.98,-18.67,-9.69,0.555,0.74,10.94
2,2.75,0.16,1.05,9.16,11.845,58.36,-2.385,-0.59,-45.53,-21,-13.205,0.84,0.96,10.875
2,3.25,0.15,1.05,9.08,11.65,58.665,-2.125,-0.53,-45.68,-21.2,-10.76,0.44,0.815,10.85
2,3.75,0.15,1.03,9.005,11.87,57.155,-2.31,-0.505,-44.195,-20.435,-12.32,1.15,0.745,10.8
2,4.25,0.14,0.995,8.965,11.865,58.445,-2.31,-0.425,-43.775,-19.1,-9.7,1.1,0.6,10.74
2,4.75,0.15,1.005,9.075,11.84,61.33,-2.18,-0.435,-43.83,-18.94,-9.68,1.77,0.75,10.71
2,5.25,0.14,0.955,9.145,11.875,57.345,-1.87,-0.335,-43.475,-23.155,-9.17,0.85,0.73,10.64
2,5.75,0.14,1.09,9.025,12.03,55.81,-1.835,-0.305,-44.94,-14.745,-10.715,1.04,0.84,10.58
2,6.25,0.15,1.09,9.005,11.91,55.04,-1.335,-0.37,-44.85,-18.83,-10.9,1.57,0.75,10.515
2,6.75,0.15,1.03,9.03,11.87,55.775,9.16,1.765,-38.85,-17.605,-10.34,1.23,0.54,10.485
2,7.25,0.17,0.9,9.14,12.085,56.2,61.99,28.67,-5.37,-17.95,-6.865,6.77,-0.18,10.43
2,7.75,0.21,0.935,9.505,12.75,51.895,154.575,46.475,31.73,-26.415,7.86,23.34,-1.8,10.38
2,8.25,0.245,1.18,10.295,13.365,50.13,257.715,55.125,101.14,-18.855,33.94,37.435,-3.105,10.405
2,8.75,0.28,1.37,10.855,13.61,48.26,360.35,61.32,175.62,-19.67,69.64,59.43,-4.94,10.535
2,9.25,0.31,1.57,11.33,14.22,49.945,455.645,67.1,257.07,-1.905,104.765,65.08,-5.22,10.735
2,9.75,0.33,1.79,11.935,14.66,50.255,528.315,71.79,326.405,12.91,137.89,65.7,-6.6,10.935
2,10.25,0.34,1.81,12.355,14.99,49.195,596.95,75.53,381.98,21.665,159.19,75.045,-7.04,11.15
2,10.75,0.37,1.88,12.89,15.39,48.57,647.55,77.095,429.67,42.585,182.34,78.48,-7.375,11.365
2,11.25,0.36,1.9,13.37,15.62,46.555,692.96,79.7,464.69,20.245,192.275,84.755,-7.395,11.625
2,11.75,0.4,1.785,13.605,15.835,45.175,718.885,79.965,496.615,9.995,202.54,91.615,-7.835,11.88
2,12.25,0.395,1.76,13.95,16.125,42.695,711.59,77.625,497.44,9.985,184.62,96.32,-7.31,12.195
2,12.75,0.41,1.585,14.2,16.15,42.025,700.18,74.77,486.85,37.58,168.1,91.125,-7.29,12.475
2,13.25,0.41,1.6,14.46,16.47,43.67,672.28,69.46,455.575,70.625,155.34,85.125,-7.02,12.66
2,13.75,0.42,1.53,14.77,16.715,43.42,627.625,65.095,419.22,106.07,138.39,78.04,-6.37,12.795
2,14.25,0.42,1.53,14.78,16.8,45.72,564.315,57.335,368.57,69.84,116.515,71.29,-5.485,12.9
2,14.75,0.41,1.74,14.725,16.435,47.115,494.185,49.55,306.855,45.605,88.66,57.965,-4.64,12.955
2,15.25,0.39,1.81,14.18,16.145,50.015,400.625,40.42,238.195,32.98,60.05,38.29,-3.37,13.01
2,15.75,0.37,1.845,13.63,15.835,52.495,304.02,28.59,160.455,23.94,30.135,26.285,-2.53,12.985
2,16.25,0.31,1.95,12.84,15.06,55.555,131.285,9.5,89.515,11.39,-2.5,11.82,-0.81,12.96
2,16.75,0.27,2,12.155,14.615,59.235,37.015,2.045,20.31,13.805,-14.26,4.03,0.37,12.925
2,17.25,0.24,1.825,11.55,14.165,61.945,15.5,0.095,-32.85,0.27,-17.62,1.63,0.95,12.84
2,17.75,0.18,1.775,10.995,13.765,64.175,-0.675,-1.38,-57.68,-0.6,-13.38,-0.5,1.16,12.705
2,18.25,0.17,1.66,10.625,13.41,66.895,-3.435,-1.165,-55.975,-11.215,-11.16,-0.53,1.115,12.605
2,18.75,0.15,1.385,10.32,13.16,68.05,-3.14,-0.925,-51.785,-12.12,-8.63,-0.29,1.01,12.45
2,19.25,0.15,1.25,10.055,13.07,68.875,-2.805,-0.835,-50.23,-16.96,-8.14,-0.27,0.72,12.25
2,19.75,0.15,1.335,10.005,12.77,69.51,-2.45,-0.85,-49.96,-20.42,-9.015,-0.25,0.97,12.07
2,20.25,0.15,1.27,9.93,12.915,69.435,-2.395,-0.695,-48.13,-13.025,-9.055,-0.49,0.93,11.97
2,20.75,0.16,1.27,9.905,12.78,68.845,-2.095,-0.535,-47.24,-19.06,-9.43,0.18,1.07,11.925
2,21.25,0.16,1.18,9.99,12.78,66.155,-2.245,-0.755,-46.98,-15.195,-9.93,0.43,0.84,11.87
2,21.75,0.14,1.135,9.735,12.875,64.185,-1.95,-0.725,-47.5,-15.335,-8.96,0.39,0.94,11.785
2,22.25,0.15,1.195,9.675,12.795,64.51,-2.035,-0.685,-47.05,-15.5,-9.46,0.275,0.985,11.615
2,22.75,0.16,1.1,9.64,13.06,63.155,-1.98,-0.525,-48.45,-19.865,-10.525,0.55,0.925,11.5
2,23.25,0.15,1.14,9.565,13.04,60.525,-2.345,-0.62,-47.33,-23.015,-10.35,0.97,0.93,11.365
2,23.75,0.15,1.055,9.665,12.79,57.515,-2.205,-0.6,-46.59,-18.875,-10.95,0.725,0.815,11.27
3,0.25,0.14,1.14,9.96,13.375,72.355,-1.865,-0.6,-46.625,-18.705,-8.23,0.685,0.92,12.585
3,0.75,0.15,1.05,9.84,13.225,73.785,-2.005,-0.6,-46.07,-23.435,-8.58,0.66,0.8,12.495
