DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH_1_1_1,RH_1_2_1,T_SONIC,TA_1_1_1,TA_1_2_1,TA_2_1_1,VPD_1_1_1,VPD_1_2_1,USTAR,WS_1_1_1,WS_1_2_1,G_1_3_1,G_2_3_1,G_3_3_1,G_4_3_1,LW_OUT,SW_IN,SW_OUT,LW_IN
1,0.25,635.491575,-0.14941785,2.818702,-73.2776675,-12.948375,95.752865,14.14,16.8,9.25996475,7.66,6.662,8.58075,0.607212043,0.493548954,0.0449959275,0.117,0.004025,-32.04,-34.46,-36.97175,-31.9025,347.0475,-3.83675,0.584775,275.7425
1,0.75,635.363675,-0.0912717925,2.862154,-71.28492,-7.69262825,95.747405,14.42,17.71,9.887145,7.5,6.086,8.84575,0.590036985,0.482064839,0.0406029325,0.047,0.00435,-31.58,-35.14,-36.4485,-31.965,345.6875,-2.894,0.593775,275.5775
1,1.25,634.48475,-0.1064348,2.91531525,-68.8454125,-9.4981725,95.74499,15.5695,16.72425,10.146623,7.53925,5.64445,8.899,0.572453193425,0.46984192735,0.033557955,0.097925,0.005375,-31.7605,-34.16025,-36.29475,-31.31575,345.4425,-2.927875,0.49215,274.8875
1,1.75,635.608,-0.134841925,2.87543525,-74.7562425,-8.78974525,95.742195,16.728,18.358,9.5486055,7.409075,5.384975,8.83485,0.56867797295,0.49161147435,0.0366594725,0.132925,0.0052,-32.71125,-34.51775,-36.88725,-31.3085,345.1325,-2.966875,0.68335,274.9
1,2.25,637.473475,-0.0747466625,2.89252125,-69.56,-18.2185525,95.725145,16.85025,19.1375,8.89561575,6.65415,5.261375,8.40725,0.5565868815,0.47765996745,0.042110405,0.06585,0.028,-32.45775,-34.6245,-36.5225,-31.9145,342.255,-3.1575,0.54805,274.355
1,2.75,638.7912,-0.068623165,2.8815225,-80.85563,-4.94840675,95.716835,16.62125,19.835,9.0347385,6.461475,5.37135,8.29025,0.53886640555,0.443948581825,0.058965785,0.049875,0.001675,-33.178,-34.17075,-37.47325,-31.26725,340.705,-3.063525,0.49245,274.4825
1,3.25,636.09805,-0.138331,2.8817945,-74.8832375,-32.166775,95.708575,16.14375,17.4545,9.8199325,6.34945,5.65345,8.3321,0.537562170925,0.4842935626,0.038865875,0.0797,0.0045,-33.26325,-34.49225,-36.56275,-31.6625,342.56,-2.4922,0.67445,273.05
1,3.75,637.74465,-0.175330125,2.953351,-84.45625,-11.41825,95.69629,17.3275,18.27775,10.14893,6.42765,5.63715,9.2515,0.537082724425,0.5011508541,0.0431317375,0.163825,0.001,-32.82525,-34.9305,-36.33675,-31.2585,343.36,-2.72995,0.85595,272.565
1,4.25,638.1858,-0.09928822,2.870648,-78.2565,-20.0217225,95.68156,17.01075,18.04025,9.66933825,5.92865,5.518475,8.464,0.54626183815,0.46287256305,0.0571734625,0.18095,0.004375,-33.3365,-35.08175,-36.8705,-32.105,341.38,-2.8958,0.7604,271.3
1,4.75,638.777,-0.27561995,3.027545,-94.470835,-6.1389445,95.66685,17.8155,18.819,9.601786,6.854,5.993125,8.24,0.561980510625,0.450972461275,0.04188062,0.1838,0.0352,-33.34575,-35.94425,-36.60125,-31.42675,340,-2.8325,0.435,272
1,5.25,638.5577,-0.10679705,2.95978625,-75.9764175,-4.84231175,95.651205,17.368,18.61,9.8432385,5.8042,5.635275,7.831375,0.55479782695,0.47692870945,0.0497950425,0.1283,0.0061,-33.182,-33.85175,-36.0165,-31.54275,339.03,-2.72005,0.30405,271.7775
1,5.75,640.70395,-0.213955925,3.00436275,-86.5463375,-5.9102085,95.62858,18.63175,19.489,8.87421425,5.468325,5.764425,8.13275,0.521180670975,0.4649105736,0.0421757475,0.18,0.0127,-32.10375,-34.01,-34.77075,-31.69925,337.2875,-2.9191,0.53065,269.755
1,6.25,639.75715,-0.06796407,3.00103025,-104.1259325,-10.45212,95.630035,18.0555,18.8525,8.82700325,5.956575,5.338,7.72345,0.522694587275,0.3808747832,0.0451376725,0.1758,0.004375,-32.15075,-33.6285,-34.493,-31.9015,336.77,-2.819775,0.55195,269.7825
1,6.75,640.1942,-0.070311105,3.00094575,-77.182985,-9.433764,95.6545675,17.82175,18.692,8.9686425,5.87225,5.72,7.79955,0.5352192309,0.4104154825,0.055137845,0.130475,0.004625,-32.10575,-34.09675,-35.3455,-31.37675,335.9175,-2.985725,0.436775,269.1725
