DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,0.25,6.2344,0.6405,0,0,0,101.7181,-17.7549,0.0494,527.7922,0.05545,-0.0481,-0.0481,0,-0.05435,0.08645,0.4307,196.694,218.3955,0,0,-8.92045,-9.35355,-5.3113,-7.9949,-9.9623,-10.0384,-10.2174,-10.0939,-12.0282,-9.4836,-13.9022,-11.2274,-10.3781,-10.8899,-11.0812,-11.4333,-8.9565,-12.7764,-10.4178,-9.4436,-10.4757,-10.5956
1,0.75,5.61835,0.5681,0,0,0,101.7151,-17.4248,0.0345,525.39205,0.05385,-0.1807,-0.1807,0,-0.2287,0.0844,0.533,195.458,217.844,0,0,-9.0086,-9.23145,-5.23085,-7.9873,-9.9794,-10.0497,-10.2085,-10.1031,-12.0435,-9.488,-13.9089,-11.2176,-10.3709,-10.8955,-11.0899,-11.4341,-8.9538,-12.7729,-10.4239,-9.4499,-10.4829,-10.5968
1,1.25,5.55575,0.69625,0,0,0,101.7223,-17.4754,0.0372,526.31155,0.0526,-0.0468,-0.0468,0,0.0143,0.1318,0.4993,191.9875,217.0785,0,0,-9.05355,-9.4919,-5.2967,-8.01325,-9.9929,-10.0714,-10.20425,-10.1123,-12.0378,-9.4802,-13.8858,-11.2306,-10.3669,-10.9001,-11.0948,-11.434,-8.9548,-12.7689,-10.4385,-9.4496,-10.4861,-10.5951
1,1.75,5.61055,0.57965,0,0,0,101.72845,-17.54155,0.0303,527.6671,0.05385,-0.0538,-0.0538,0,-0.0283,0.0658,0.3287,195.86,218.519,0,0,-8.92385,-9.47715,-5.26365,-7.9448,-9.99535,-10.0777,-10.2041,-10.1187,-12.0268,-9.4763,-13.8923,-11.2338,-10.3708,-10.9099,-11.1012,-11.4457,-8.9504,-12.7692,-10.4277,-9.4532,-10.4947,-10.5897
1,2.25,6.3607,0.567,0,0,1.9976,101.74195,-17.8913,0.0365,526.5696,0.05335,-0.2174,-0.2174,0,-0.18145,0.15715,0.3672,197.976,219.141,0,0,-8.9849,-9.4286,-5.3382,-7.89815,-9.9904,-10.08095,-10.20015,-10.1207,-12.0297,-9.4695,-13.8733,-11.2404,-10.3829,-10.9193,-11.1079,-11.4511,-8.9447,-12.7673,-10.4442,-9.4523,-10.5061,-10.5918
1,2.75,6.1014,0.4779,0,0,0,101.76345,-18.11215,0.0316,527.36275,0.0543,-0.29185,-0.29185,0,-0.0036,0.1041,0.3572,199.2495,218.7455,0,0,-8.903,-9.32645,-5.33825,-7.8996,-9.99395,-10.0755,-10.19675,-10.12245,-12.0564,-9.4677,-13.8691,-11.2304,-10.3797,-10.9164,-11.0971,-11.4511,-8.9477,-12.7655,-10.4517,-9.4522,-10.5108,-10.589
1,3.25,6.03755,0.6148,0,0,0,101.76175,-18.27625,0.0272,526.4738,0.0538,-0.2332,-0.2332,0,-1.6299,0.1385,0.4349,196.058,219.104,0,0,-9.06755,-9.3825,-5.44785,-7.9457,-9.99455,-10.0574,-10.19945,-10.12065,-12.0504,-9.4708,-13.8525,-11.2469,-10.3765,-10.9213,-11.0876,-11.4659,-8.9416,-12.757,-10.4594,-9.4565,-10.532,-10.5909
1,3.75,6.5912,0.5628,0,0,0,101.76985,-18.1203,0.0306,525.8449,0.0548,-0.2081,-0.2081,0,-0.2155,0.1282,0.3737,196.1965,218.233,0,0,-9.0414,-9.4562,-5.33725,-7.8858,-9.99645,-10.0507,-10.19845,-10.1141,-12.062,-9.4733,-13.8469,-11.2469,-10.3759,-10.9141,-11.0855,-11.4762,-8.941,-12.7552,-10.4609,-9.4516,-10.5438,-10.5901
1,4.25,6.1844,0.5257,0,0,0,101.7704,-18.0705,0.02625,525.7949,0.0539,0.0451,0.0451,0,-0.012,0.1195,0.3717,193.727,216.997,0,0,-8.9225,-9.4616,-5.43335,-7.8815,-10.00565,-10.05385,-10.2054,-10.10665,-12.0769,-9.4672,-13.8452,-11.2557,-10.3675,-10.9143,-11.0807,-11.4781,-8.9423,-12.7555,-10.4518,-9.4535,-10.5576,-10.5881
1,4.75,5.31125,0.54215,0,0,0,101.7804,-18.09755,0.0333,526.11635,0.0541,-0.65195,-0.65195,0,-0.10505,0.09555,0.4381,196.54,216.5395,0,0,-8.9483,-9.48325,-5.374,-7.8575,-10.00535,-10.05305,-10.2008,-10.09775,-12.0992,-9.4659,-13.8283,-11.2598,-10.3649,-10.9196,-11.0852,-11.4913,-8.9342,-12.7548,-10.4451,-9.4563,-10.5736,-10.5906
