DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1
1,0.25,1.704,-1.225,2.2975,0.438,2.87275,-8.215,0,0,2.71875,97.925,1.7125,90.87525,-0.92525,1.62625,0.9815
1,0.75,1.294,0.6525,2.3425,0.455,2.7205,-7.2475,0,0,2.70775,97.275,1.8575,90.87525,-0.92375,1.67625,0.9835
1,1.25,1.898,1.4,1.025,0.435,2.77025,-7.9575,0,0,2.75575,97.1375,1.7775,90.87525,-0.92525,1.63925,0.993
1,1.75,2.502,2.2175,1.3225,0.45725,2.31325,-6.58525,0,0,2.78425,98,1.73,90.801,-0.92225,1.6705,0.983
1,2.25,1.332,1.2,1.0325,0.3295,2.3995,-6.892,0,0,2.4935,97.775,1.59,90.801,-0.9115,1.67625,0.969
1,2.75,0.5265,-0.24,8.8625,0.39,2.3095,-7.315,0,0,2.8,98.0975,1.6,90.801,-0.906,1.66425,0.993
1,3.25,0.274,-2.33,2.14,0.4655,2.33875,-7.53,0,0,2.826,97.85,1.68,90.77575,-0.903,1.69575,0.98175
1,3.75,1.262,1.47,3.18,0.43825,2.306,-5.973,0,0,2.625,97.96,1.75,90.801,-0.90075,1.645,0.97575
1,4.25,1.197,3.325,4.86,0.41675,2.3395,-6.31525,0,0,2.771,97.775,1.7075,90.801,-0.89025,1.64575,0.9685
1,4.75,0.84775,7.5475,7.24,0.3305,2.14875,-5.8145,0,0,2.93425,96.875,1.63,90.801,-0.89,1.62525,0.95425
1,5.25,1.1355,9.625,11.02,0.34475,2.069,-5.619,0,0,2.7425,97.325,1.62,90.85,-0.8945,1.6245,0.95475
1,5.75,3.62375,25.205,22.225,0.36575,2.20125,-5.574,0,0,2.5175,97.825,1.6075,90.801,-0.89525,1.68125,0.95025
1,6.25,1.6235,60.29,42.635,0.429,2.3145,-5.884,0,0,2.69125,97.9,1.7125,90.801,-0.88975,1.6555,0.965
1,6.75,2.67,104.4425,32.015,0.3575,2.296,-5.599,0,0,2.5875,97.60825,1.5875,90.801,-0.896,1.64975,0.9685
1,7.25,0.44125,69.33575,31.495,0.357,2.16275,-4.976,1.0665,0,2.615,98.075,1.565,90.801,-0.88875,1.72625,0.99675
1,7.75,-0.04275,86.27,48.19,0.359,1.76925,-1.426,17.2125,7.34775,2.52375,97.875,1.58,90.801,-0.89225,1.70525,1.0005
1,8.25,-0.046,155.165,40.285,0.42425,2.1375,7.2,64.035,30.921,2.50175,97.625,1.6525,90.9,-0.89225,1.52425,0.9945
1,8.75,-0.2535,149.195,48.165,0.461,2.272,25.96,121.2,66.79875,2.66,97.05,1.675,90.975,-0.8945,1.446,0.94825
1,9.25,-0.6385,184.465,45.89,0.435,2.367,49.60975,194.35,96.29825,2.75325,97.175,1.825,91,-0.895,1.364,0.93325
1,9.75,-0.017,168.95,41.12,0.403,2.5145,119.9175,393.24,206.3725,3.6785,94.975,2.11,90.975,-0.8565,1.343,0.89925
1,10.25,0.16025,155.13,33.52,0.4585,2.289,174.0375,561.975,305.745,4.3625,95.05,2.415,90.95025,-0.897,1.36675,0.80525
1,10.75,-0.297,183.7,32.75,0.557,2.6495,210.95,651.625,329.925,4.9075,92.50125,2.6225,90.95025,-0.8855,1.4155,0.70275
1,11.25,0.53,179.5725,26.38,0.60475,2.77475,220.2525,711.25,266.975,5.3075,90.375,3.08,91,-0.901,1.453,0.65925
1,11.75,0.912,142.18,41.79,0.539,2.67075,243.575,763.5,344.9775,5.69,89.9,3.29,90.925,-0.89275,1.45425,0.62975
